# Cases Age [0-4],# Cases Age [25-49],# Cases Age [5-24],# Cases Age [50-64],# Cases Age [>= 65],# Cases Age [Unknown],# Cases Race/Ethnicity: Asian,# Cases Race/Ethnicity: Black,# Cases Race/Ethnicity: Hispanic/Latino,# Cases Race/Ethnicity: Not Hispanic/Latino,# Cases Race/Ethnicity: Other Race,# Cases Race/Ethnicity: Unknown Ethnicity,# Cases Race/Ethnicity: Unknown Race,# Cases Race/Ethnicity: White,# Deaths Age [0-4],# Deaths Age [25-49],# Deaths Age [5-24],# Deaths Age [50-64],# Deaths Age [>= 65],# Deaths Race/Ethnicity: Asian,# Deaths Race/Ethnicity: Black,# Deaths Race/Ethnicity: Hispanic/Latino,# Deaths Race/Ethnicity: Not Hispanic/Latino,# Deaths Race/Ethnicity: Other Race,# Deaths Race/Ethnicity: Unknown Ethnicity,# Deaths Race/Ethnicity: Unknown Race,# Deaths Race/Ethnicity: White,Scrape Time,Total Cases: Female,Total Cases: Male,Total Cases: Unknown Sex,Total Deaths: Female,Total Deaths: Male
617,15123,6536,7624,6510,272,161,13740,3712,22709,2127,10261,7926,12728,2,38,2,155,708,4,417,24,790,13,91,27,444,2020-06-29 13:19:31.787310,20674,15728,280,439,463
617,15123,6536,7624,6510,272,161,13740,3712,22709,2127,10261,7926,12728,2,38,2,155,708,4,417,24,790,13,91,27,444,2020-06-29 22:50:27.562660,20674,15728,280,439,463
639,15606,6805,7817,6638,31,170,14043,3797,23313,2206,10426,7994,13123,2,38,2,158,726,4,424,25,804,13,97,28,457,2020-06-30 20:03:16.680190,21152,16100,284,448,475
653,15984,7003,7986,6787,29,169,14309,3881,23873,2277,10688,8199,13488,2,39,2,163,741,4,431,28,822,15,97,28,469,2020-07-01 20:03:44.914957,21653,16496,293,462,482
677,16457,7277,8208,6957,28,173,14595,3980,24502,2345,11122,8577,13914,2,40,2,163,754,4,436,28,834,15,99,31,475,2020-07-02 22:08:51.466898,22240,17046,318,470,488
712,17178,7714,8497,7196,65,180,14941,4091,25270,2423,12001,9352,14466,2,43,2,167,769,4,441,31,849,17,103,33,488,2020-07-03 22:40:06.577787,23208,17828,326,477,503
732,17597,7920,8660,7321,129,182,15198,4156,25724,2484,12479,9753,14742,2,43,2,167,770,4,442,31,850,17,103,33,488,2020-07-04 20:26:35.919090,23738,18270,351,477,504
764,18024,8156,8833,7444,229,184,15319,4177,25919,2515,13354,10569,14863,2,43,2,167,770,4,442,31,850,17,103,33,488,2020-07-05 20:00:46.433658,24328,18767,355,477,504
774,18376,8368,9000,7538,319,190,15481,4194,26126,2549,14055,11162,14993,2,43,2,167,770,4,442,31,850,17,103,33,488,2020-07-06 20:02:13.756788,24828,19183,364,477,504
793,18828,8607,9176,7698,161,190,15769,4300,26726,2588,14237,11224,15492,2,44,2,170,789,4,451,32,870,18,105,34,500,2020-07-07 19:57:51.503173,25294,19605,364,490,514
832,19326,8899,9392,7899,76,195,16007,4373,27326,2651,14725,11632,15939,2,44,2,173,811,4,459,33,891,18,108,38,513,2020-07-08 20:30:19.741961,25946,20101,377,504,525
861,20038,9292,9747,8187,463,201,16434,4487,28047,2719,16054,12711,16523,2,45,2,176,817,4,462,33,899,18,110,38,520,2020-07-09 20:10:37.619127,27153,21041,394,509,530
891,20679,9596,10060,8431,235,210,16800,4595,28855,2797,16442,13006,17079,2,46,2,181,846,4,476,34,926,19,117,41,537,2020-07-10 20:13:51.668483,27832,21633,427,527,547
932,21373,9989,10350,8635,15,212,17111,4697,29497,2971,17100,13458,17542,2,46,2,181,855,4,479,34,937,19,115,41,543,2020-07-11 20:12:11.415759,28652,22207,435,533,550
932,21373,9989,10350,8635,15,212,17111,4697,29497,2971,17100,13458,17542,2,46,2,181,855,4,479,34,937,19,115,41,543,2020-07-12 20:04:35.541398,28652,22207,435,533,550
