# Cases Age [0-4],# Cases Age [18-24],# Cases Age [25-49],# Cases Age [5-17],# Cases Age [50-64],# Cases Age [>= 65],# Cases Age [Unknown],# Cases Race/Ethnicity: Asian,# Cases Race/Ethnicity: Black,# Cases Race/Ethnicity: Hispanic/Latino,# Cases Race/Ethnicity: Not Hispanic/Latino,# Cases Race/Ethnicity: Other Race,# Cases Race/Ethnicity: Unknown Ethnicity,# Cases Race/Ethnicity: Unknown Race,# Cases Race/Ethnicity: White,# Deaths Age [0-4],# Deaths Age [18-24],# Deaths Age [25-49],# Deaths Age [50-64],# Deaths Age [>= 65],# Deaths Race/Ethnicity: Asian,# Deaths Race/Ethnicity: Black,# Deaths Race/Ethnicity: Hispanic/Latino,# Deaths Race/Ethnicity: Not Hispanic/Latino,# Deaths Race/Ethnicity: Other Race,# Deaths Race/Ethnicity: Unknown Ethnicity,# Deaths Race/Ethnicity: Unknown Race,# Deaths Race/Ethnicity: White,Scrape Time,Total Cases: Female,Total Cases: Male,Total Cases: Unknown Sex,Total Deaths: Female,Total Deaths: Male,Total Deaths: Unknown Sex
2187,14829,42782,7537,21663,17666,120,408,28664,6672,50896,5674,49216,38408,33630,3,3,84,329,1457,4,769,56,1594,41,226,67,995,2020-08-19 20:26:43.828548,59258,46286,1240,907,964,1
2196,14952,43003,7583,21805,17824,120,411,28913,6699,51363,5750,49421,38452,33957,3,3,87,330,1482,4,780,55,1621,41,229,70,1010,2020-08-20 20:08:31.686537,59664,46577,1242,923,977,1
2196,14952,43003,7583,21805,17824,120,411,28913,6699,51363,5750,49421,38452,33957,3,3,87,330,1482,4,780,55,1621,41,229,70,1010,2020-08-21 21:56:42.606048,59664,46577,1242,923,977,1
2204,15219,43780,7657,22324,18290,92,422,29503,6824,52543,5873,50199,38649,35119,3,4,88,336,1511,5,792,57,1650,43,235,70,1032,2020-08-22 19:07:57.034746,60793,47534,1239,939,998,1
2212,15289,43948,7697,22441,18413,94,425,29589,6841,52797,5909,50456,38805,35366,3,4,88,336,1513,5,792,57,1652,43,235,70,1034,2020-08-23 20:03:46.876326,61094,47755,1245,939,999,1
2224,15382,44175,7749,22581,18554,104,428,29709,6851,53078,5924,50840,39136,35572,3,4,89,337,1517,6,795,57,1657,43,236,71,1035,2020-08-24 19:09:12.191378,61470,48051,1248,943,1001,1
2218,15443,44207,7755,22626,18634,71,431,29832,6887,53465,5969,50602,38868,35854,3,4,90,338,1524,6,797,58,1665,42,236,72,1042,2020-08-25 20:06:03.730233,61575,48119,1260,945,1008,1
2279,15658,44497,7923,22846,18850,73,434,29947,6909,53770,5976,51447,39699,36070,3,4,90,342,1526,6,799,58,1669,43,238,73,1044,2020-08-26 20:08:55.398764,62251,48598,1277,947,1012,1
2290,15816,44668,7986,22955,19006,73,439,30139,6931,54264,6034,51599,39687,36495,3,4,93,351,1539,6,810,59,1689,43,242,75,1056,2020-08-27 20:00:36.196250,62642,48873,1279,956,1028,1
2309,16067,44926,8065,23121,19166,69,447,30318,6970,54842,6113,51911,39873,36972,3,4,94,359,1557,6,815,61,1712,45,244,76,1075,2020-08-28 19:51:39.207869,63193,49257,1273,968,1043,1
2324,16510,45440,8173,23378,19389,70,447,30501,7010,55391,6698,52883,40177,37461,3,4,96,364,1592,6,834,61,1745,45,253,77,1097,2020-08-29 19:53:32.234844,64046,49942,1296,985,1068,1
