# Cases Age [0-17],# Cases Age [18-24],# Cases Age [25-44],# Cases Age [45-64],# Cases Age [65+],# Deaths Age [0-17],# Deaths Age [18-24],# Deaths Age [25-44],# Deaths Age [45-64],# Deaths Age [65+],Active Cases,Scrape_Time,Total Cases,Total Deaths,Total Deaths: Pacific Islander,Total Deaths: ethn_hispanic,Total Deaths: ethn_nonhispanic,Total Deaths: race_asian,Total Deaths: race_black,Total Deaths: race_na,Total Deaths: race_other_race,Total Deaths: race_white,Total Recovered,cases_asian,cases_black,cases_cardiac_disease,cases_ckd,cases_cpd,cases_diabetes,cases_female,cases_healthcare,cases_hispanic,cases_hypertension,cases_immunocompromised,cases_male,cases_nonhispanic,cases_nursing_home,cases_unk_race,cases_white,race_cases_na,race_cases_pacificislander
5076,5406,14310,10471,4184,0,0,23,105,280,6674,2020-07-27 20:22:31.153769,39447,408,30,41,367,6,106,2,27,237,32365,567,8264,883,259,788,2575,18464,2488,9157,4117,252,20864,30290,717,5563,19502,113,2082
5160,5506,14544,10681,4290,0,0,23,110,295,6565,2020-07-28 20:07:12.249881,40181,428,30,42,386,6,110,2,27,250,33188,580,8424,906,262,806,2625,18872,2570,9308,4224,258,21216,30873,725,5588,19965,118,2096
5241,5629,14824,10876,4398,0,0,24,111,299,6596,2020-07-29 20:17:48.145575,40968,434,31,43,391,6,113,2,30,255,33938,587,8673,938,272,829,2695,19211,2631,9493,4354,269,21677,31475,734,5456,20527,120,2103
5341,5732,15122,11087,4477,0,0,24,111,307,6580,2020-07-30 20:37:18.468593,41759,442,31,43,399,6,115,2,30,260,34737,593,8862,965,284,866,2768,19618,2719,9679,4498,275,22054,32080,740,5510,20995,120,2127
5446,5821,15369,11295,4580,0,0,25,114,314,6645,2020-07-31 20:04:35.864786,42511,453,32,44,409,7,117,2,30,267,35413,602,9011,995,289,890,2842,20064,2795,9874,4615,288,22396,32637,744,5611,21404,120,2140
5518,5931,15633,11440,4651,0,0,25,114,319,6679,2020-08-01 20:12:35.030399,43173,458,32,44,414,7,118,2,31,271,36034,618,9162,1012,295,908,2897,20368,2843,9996,4702,290,22725,33177,754,5722,21770,120,2161
5518,5931,15633,11440,4651,0,0,25,114,319,6679,2020-08-02 20:23:42.690913,43173,458,32,44,414,7,118,2,31,271,36034,618,9162,1012,295,908,2897,20368,2843,9996,4702,290,22725,33177,754,5722,21770,120,2161
5694,6132,16089,11836,4846,0,0,26,115,334,6882,2020-08-03 20:13:46.994928,44597,475,32,44,431,7,122,2,30,285,37240,627,9398,1044,300,934,2976,21154,2963,10199,4833,295,23341,34398,767,6235,22351,123,2174
5798,6241,16366,12035,4941,0,0,29,118,343,6891,2020-08-04 20:00:11.281794,45381,490,33,43,447,7,129,2,30,290,38000,643,9629,1069,307,960,3039,21573,3052,10376,4938,302,23698,35005,783,6195,22833,125,2183
5883,6368,16738,12254,5050,0,0,28,126,354,6937,2020-08-05 20:05:28.345452,46293,508,33,46,462,7,136,2,30,302,38848,659,9928,1097,319,998,3153,21976,3147,10599,5115,310,24194,35694,797,5983,23573,129,2193
5972,6458,16993,12444,5161,0,0,29,127,359,6958,2020-08-06 20:00:58.456176,47028,515,35,46,469,7,138,2,30,303,39555,669,10074,1122,324,1023,3227,22393,3231,10743,5260,314,24515,36285,808,5988,23933,134,2198
5989,6599,17421,12748,5282,0,0,29,130,362,7158,2020-08-07 20:03:01.571129,48039,521,35,48,473,7,140,2,31,305,40360,673,10284,1150,327,1044,3286,22847,3281,10885,5367,318,25071,37154,825,6145,24414,138,2208
6067,6704,17688,12971,5381,0,0,29,132,374,7299,2020-08-08 20:00:35.454052,48811,535,35,50,485,8,143,2,33,315,40977,686,10440,1179,330,1068,3345,23246,3355,11001,5462,321,25465,37810,833,6256,24865,140,2209
6159,6768,17900,13116,5440,0,0,29,135,380,7387,2020-08-09 20:05:37.847879,49383,544,35,50,494,8,147,2,33,319,41452,686,10569,1191,332,1079,3369,23507,3391,11081,5514,324,25769,38302,840,6351,25178,143,2220
6248,6846,18117,13277,5540,0,0,29,139,387,7343,2020-08-10 20:02:20.823484,50028,555,35,51,504,8,147,3,34,327,42130,690,10682,1203,334,1090,3388,23837,3422,11165,5557,329,26077,38863,849,6506,25492,145,2224
6307,6901,18219,13382,5602,0,0,30,141,395,6847,2020-08-11 20:02:13.257936,50411,566,35,52,514,8,150,3,34,336,42998,697,10840,1242,339,1115,3480,24046,3473,11338,5699,339,26282,39073,863,6275,25916,148,2226
6307,6901,18219,13382,5602,0,0,30,141,395,6847,2020-08-12 20:27:42.258688,50411,566,35,52,514,8,150,3,34,336,42998,697,10840,1242,339,1115,3480,24046,3473,11338,5699,339,26282,39073,863,6275,25916,148,2226
6480,7072,18623,13770,5821,0,0,31,145,406,6582,2020-08-13 20:25:46.673551,51766,582,35,54,528,8,154,3,35,349,44602,711,11214,1319,357,1157,3652,24802,3611,11644,5990,356,26887,40122,894,6028,26978,163,2235
6565,7130,18845,13930,5922,0,0,31,147,409,6359,2020-08-14 20:03:46.492815,52392,587,35,54,533,8,155,3,35,353,45446,719,11414,1347,367,1180,3734,25053,3686,11789,6111,364,27259,40603,899,5755,27582,167,2246
6560,7039,18697,13812,5884,0,0,32,148,420,6487,2020-08-15 20:04:34.713787,51992,600,35,54,546,9,158,3,35,360,44905,718,11417,1354,367,1188,3738,24844,3670,11746,6144,367,27074,40246,872,5553,27495,153,2234
6646,7117,18984,13967,5951,0,0,32,148,419,6494,2020-08-16 20:12:57.104220,52665,599,35,54,545,9,158,3,35,359,45572,726,11566,1362,368,1196,3757,25119,3706,11796,6178,370,27457,40869,880,5788,27735,153,2242
6646,7117,18984,13967,5951,0,0,32,148,419,6494,2020-08-17 19:48:28.195175,52665,599,35,54,545,9,158,3,35,359,45572,726,11566,1362,368,1196,3757,25119,3706,11796,6178,370,27457,40869,880,5788,27735,153,2242
6763,7223,19248,14170,6083,0,0,34,156,429,5898,2020-08-18 19:53:11.133183,53487,619,36,55,564,9,163,3,36,369,46970,740,11743,1407,374,1217,3825,25544,3791,11980,6317,376,27840,41507,891,5753,28318,157,2256
6863,7325,19466,14358,6204,0,0,34,159,438,5919,2020-08-19 20:10:32.981808,54216,631,36,55,576,9,163,3,37,383,47666,747,11909,1433,384,1231,3883,25920,3865,12096,6412,384,28190,42120,901,5785,28771,161,2264
6946,7367,19648,14510,6294,0,0,34,161,446,5666,2020-08-20 20:08:44.711213,54765,641,36,56,585,9,165,3,37,388,48458,755,12039,1455,387,1250,3944,26208,3904,12194,6523,393,28449,42571,915,5751,29164,161,2268
7119,7466,19910,14739,6418,0,0,35,161,467,5854,2020-08-21 21:56:46.172202,55652,663,38,55,608,9,170,3,38,401,49135,759,12196,1479,390,1258,3999,26668,3953,12299,6629,396,28865,43353,929,5977,29570,162,2284
7191,7526,20100,14884,6498,0,0,35,162,477,5761,2020-08-22 19:07:59.806545,56199,674,38,56,618,9,170,3,39,413,49764,776,12645,1494,394,1269,4043,26956,4003,12611,6707,400,29121,43588,2852,4533,30863,170,2341
7299,7618,20296,15042,6639,0,0,35,166,495,5509,2020-08-24 19:09:15.276683,56894,696,38,57,639,9,176,3,39,428,50689,783,12810,1511,395,1281,4103,27333,4074,12708,6802,403,29420,44186,2875,4583,31295,174,2344
7299,7618,20296,15042,6639,0,0,35,166,495,5509,2020-08-25 20:06:06.958477,56894,696,38,57,639,9,176,3,39,428,50689,783,12810,1511,395,1281,4103,27333,4074,12708,6802,403,29420,44186,2875,4583,31295,174,2344
7373,7761,20698,15343,6848,0,0,35,173,524,5390,2020-08-26 20:08:59.374779,58023,732,39,58,674,10,178,3,44,456,51901,791,13087,1566,412,1313,4205,27908,4162,12865,6995,412,29972,45158,3018,4584,32047,179,2349
7480,7863,20909,15522,6971,0,0,35,173,531,5341,2020-08-27 20:00:39.054811,58745,739,39,58,681,10,180,3,44,461,52665,797,13208,1596,415,1328,4253,28265,4220,12967,7091,418,30325,45778,3064,4727,32472,182,2351
7588,7970,21173,15764,7088,0,0,37,178,541,5496,2020-08-28 19:51:42.062296,59583,756,39,58,698,10,182,3,44,475,53331,804,13331,1622,417,1345,4296,28637,4294,13070,7200,420,30783,46513,3093,4991,32887,183,2356
7666,8120,21457,15960,7175,0,0,38,182,552,5473,2020-08-29 19:53:35.093102,60378,772,39,59,713,10,187,3,44,489,54133,812,13464,1651,420,1359,4351,28961,4342,13187,7287,429,31218,47191,3161,5102,33380,185,2365
7742,8197,21608,16056,7253,0,0,38,185,561,5664,2020-08-30 19:45:24.638549,60856,784,39,59,725,11,189,3,45,495,54408,814,13549,1657,425,1364,4367,29193,4391,13227,7321,432,31452,47629,3227,5195,33660,186,2366
7787,8291,21716,16130,7300,0,0,39,189,569,5466,2020-08-31 21:11:43.133165,61224,797,40,60,737,11,191,3,45,503,54961,817,13582,1662,425,1368,4380,29398,4408,13261,7349,432,31612,47963,3241,5326,33850,186,2367
7832,8346,21792,16196,7331,0,0,39,192,583,5036,2020-09-01 19:52:28.911235,61497,814,40,65,749,11,197,3,45,512,55647,818,13741,1688,430,1382,4447,29564,4449,13348,7455,439,31735,48149,3268,5042,34224,189,2368
7898,8555,21922,16324,7413,0,1,41,202,597,5010,2020-09-02 20:00:30.494865,62112,841,46,66,775,11,200,3,49,526,56261,823,13864,1703,436,1400,4494,29926,4487,13431,7539,448,31982,48681,3342,5070,34651,191,2369
8017,8897,22157,16491,7519,0,1,42,204,614,5331,2020-09-03 20:48:27.673949,63081,861,46,70,791,11,200,3,52,537,56889,831,13983,1714,441,1410,4520,30475,4540,13512,7595,452,32381,49569,3365,5408,35108,196,2371
8110,9266,22385,16713,7701,0,1,42,206,624,5755,2020-09-04 20:48:29.482446,64175,873,46,70,803,11,204,3,52,543,57547,839,14168,1731,447,1424,4565,31017,4607,13563,7682,463,32911,50612,3396,5671,35729,200,2372
