Currently Hospitalized,Currently on Ventilator,Total Nursing Home Residents,Fraction Male,Fraction Female,Age [0-18],Age [19-64],Age [65+],pullTime
48,17,42,0.381,0.614,15,242,124,2020-03-27 13:05:00.909605
48,17,42,0.391,0.609,15,259,130,2020-03-28 18:38:21.909605
43,16,43,0.39899999999999997,0.601,15,276,135,2020-03-29 19:29:09.369489
43,16,43,0.39899999999999997,0.601,15,276,135,2020-03-29 19:34:29.023649
62,21,43,0.39899999999999997,0.601,17,307,149,2020-03-30 20:37:10.237586
62,21,43,0.39899999999999997,0.601,17,307,149,2020-03-31 20:28:01.043681
56,25,54,0.387,0.613,18,396,170,2020-04-01 20:08:12.013231
56,25,54,0.387,0.613,18,396,170,2020-04-01 20:10:24.134245
66,23,51,0.406,0.594,20,440,183,2020-04-02 20:26:10.260496
71,26,53,0.406,0.594,20,487,197,2020-04-03 20:24:08.303565
72,23,61,0.402,0.598,20,49,210,2020-04-04 20:09:45.643928
67,27,60,0.41100000000000003,0.589,20,55,246,2020-04-05 20:14:56.363842
74,22,59,0.41600000000000004,0.583,20,59,265,2020-04-06 20:27:45.445356
74,22,59,0.41600000000000004,0.583,20,59,265,2020-04-06 20:28:46.438743
74,26,61,0.429,0.5710000000000001,21,64,287,2020-04-07 20:04:39.665759
76,30,68,0.425,0.575,24,69,310,2020-04-08 20:17:50.656692
76,30,68,0.425,0.575,24,69,310,2020-04-08 20:17:59.789300
76,30,68,0.425,0.575,24,69,310,2020-04-08 20:18:49.431551
73,31,76,0.42,0.58,24,72,330,2020-04-09 19:51:07.713088
73,31,76,0.42,0.58,24,72,330,2020-04-09 19:51:13.761507
86,33,79,0.425,0.575,33,75,351,2020-04-10 20:20:24.481590
74,30,84,0.43,0.57,37,79,371,2020-04-11 19:52:59.266409
77,29,84,0.431,0.569,43,83,383,2020-04-12 20:38:04.221606
77,29,84,0.431,0.569,43,83,383,2020-04-12 20:38:56.588992
74,28,84,0.456,0.544,45,92,439,2020-04-13 20:21:20.626546
81,29,93,0.46,0.539,47,100,472,2020-04-14 20:01:04.664803
83,26,98,0.47700000000000004,0.523,52,109,507,2020-04-15 20:12:05.850499
83,21,118,0.47700000000000004,0.523,52,109,507,2020-04-16 20:16:39.080615
93,23,116,0.491,0.507,57,117,547,2020-04-17 20:03:49.370439
93,23,125,0.495,0.504,58,117,563,2020-04-18 20:10:51.796035
93,23,125,0.495,0.504,58,117,563,2020-04-19 20:24:21.462081
93,24,128,0.52,0.478,66,132,632,2020-04-20 20:21:01.438965
93,24,128,0.52,0.478,66,132,632,2020-04-21 20:08:15.877438
97,23,170,0.574,0.425,70,162,818,2020-04-22 20:22:35.451710
101,24,174,0.5870000000000001,0.41,70,162,818,2020-04-23 20:20:16.246907
104,25,176,0.609,0.387,75,207,1042,2020-04-24 20:45:50.489590
104,25,176,0.609,0.387,75,207,1042,2020-04-25 20:27:23.911421
107,24,204,0.613,0.384,81,225,1131,2020-04-26 20:00:26.403745
109,25,203,0.612,0.386,83,231,1164,2020-04-27 20:41:36.366812
109,25,203,0.612,0.386,83,231,1164,2020-04-27 20:42:47.125387
104,20,208,0.61,0.385,86,242,1198,2020-04-28 20:35:21.125193
93,18,208,0.608,0.387,94,257,1218,2020-04-29 19:54:47.107270
95,23,222,0.608,0.387,96,266,1244,2020-04-30 20:53:49.961264
95,23,229,0.608,0.387,96,266,1244,2020-05-01 20:24:18.717927
100,20,233,0.603,0.39399999999999996,102,281,1280,2020-05-02 20:31:47.889481
198,19,240,0.602,0.39399999999999996,105,285,1304,2020-05-03 20:31:05.155743
91,16,245,0.603,0.39399999999999996,105,291,1312,2020-05-04 19:44:00.863826
89,16,261,0.601,0.396,111,291,1327,2020-05-05 20:14:26.853110
69,14,264,0.601,0.396,111,291,1327,2020-05-06 20:13:27.001433
70,14,266,0.601,0.396,120,308,1388,2020-05-07 20:53:26.641804
70,14,266,0.601,0.396,120,308,1388,2020-05-08 22:02:40.905252
64,14,270,0.599,0.39799999999999996,127,320,1424,2020-05-09 20:26:43.083975
64,14,270,0.599,0.39799999999999996,127,320,1424,2020-05-10 20:03:43.013054
61,11,289,0.61,0.387,142,336,1567,2020-05-11 20:46:51.601987
59,12,299,0.608,0.389,147,351,1613,2020-05-12 20:13:09.874557
59,12,299,0.608,0.389,147,351,1613,2020-05-13 20:05:08.582760
64,13,316,0.606,0.391,151,359,1640,2020-05-14 21:01:30.203591
65,9,315,0.6,0.391,173,383,1724,2020-05-15 20:21:46.718429
65,9,315,0.6,0.391,173,383,1724,2020-05-16 19:56:03.745926
65,9,315,0.6,0.391,173,383,1724,2020-05-17 19:50:20.163620
65,9,315,0.6,0.391,173,383,1724,2020-05-17 19:53:05.970759
77,12,324,0.612,0.38,193,416,1899,2020-05-18 20:15:18.242764
77,12,324,0.612,0.38,193,416,1899,2020-05-19 19:52:59.420884
