# Cases Age [0-17],# Cases Age [18-24],# Cases Age [25-44],# Cases Age [45-64],# Cases Age [65+],# Deaths Age [0-17],# Deaths Age [18-24],# Deaths Age [25-44],# Deaths Age [45-64],# Deaths Age [65+],Active Cases,Nursing Home Patients,On Ventilator,Scrape_Time,Total Cases,Total Deaths,Total Deaths: Pacific Islander,Total Deaths: ethn_hispanic,Total Deaths: ethn_nonhispanic,Total Deaths: race_asian,Total Deaths: race_black,Total Deaths: race_na,Total Deaths: race_other_race,Total Deaths: race_white,Total Hospitalized,Total Recovered,cases_asian,cases_black,cases_cardiac_disease,cases_ckd,cases_cpd,cases_diabetes,cases_female,cases_healthcare,cases_hispanic,cases_hypertension,cases_immunocompromised,cases_male,cases_nonhispanic,cases_nursing_home,cases_unk_race,cases_white,race_cases_na,race_cases_pacificislander
200,450,1976,1626,751,0,0,4,25,78,1044,325,14,5/20/20 00:00,5003,107,2,3,104,0,41,0,5,59,78,3852,50,2001,226,85,181,431,1901,500,300,841,85,3052,4703,296,200,2617,35,100
236,465,2169,1763,825,0,0,4,26,80,1433,330,14,2020-05-21 20:56:58.622379,5458,110,2,3,107,1,41,0,5,61,86,3915,59,2008,246,92,208,485,2024,514,370,956,88,3395,5088,304,314,2668,21,120
255,485,2221,1811,840,0,0,4,26,83,1470,330,14,2020-05-22 20:06:04.325211,5612,113,2,3,110,1,42,0,5,63,86,4029,60,2052,248,92,211,498,2096,525,434,984,89,3477,5178,313,272,2745,21,148
279,509,2282,1854,851,0,0,4,27,84,1564,358,17,2020-05-23 20:36:33.142391,5775,115,2,3,112,1,44,0,5,63,86,4096,61,2076,253,93,214,511,2176,536,490,1005,91,3559,5285,316,304,2804,22,160
301,529,2334,1899,859,0,0,4,27,85,1658,359,17,2020-05-24 20:30:19.404170,5922,116,2,3,113,1,44,0,5,64,92,4148,61,2110,257,94,215,522,2265,548,544,1017,95,3617,5378,317,321,2862,22,172
319,544,2380,1920,866,0,0,4,27,86,1663,359,17,2020-05-25 20:29:51.232186,6029,117,2,3,114,1,44,0,5,65,99,4249,61,2130,260,97,221,534,2318,557,597,1034,96,3669,5432,320,310,2919,22,183
342,570,2429,1958,881,0,0,4,27,88,1729,361,18,2020-05-26 21:03:00.644641,6180,119,2,4,115,1,45,0,6,65,107,4332,62,2158,264,99,222,542,2401,566,632,1049,99,3738,5548,326,376,2956,22,186
363,581,2461,1979,893,0,0,4,28,88,1733,364,22,2020-05-27 20:39:02.213019,6277,120,3,4,116,1,45,0,6,65,108,4424,62,2194,268,100,222,551,2458,575,673,1067,100,3774,5604,326,358,3012,22,190
395,614,2554,2055,920,0,0,4,29,92,1830,372,27,2020-05-28 20:12:00.739191,6538,125,3,4,121,1,46,0,6,69,104,4583,67,2236,270,101,224,559,2615,583,717,1072,101,3906,5821,332,423,3119,22,212
426,654,2638,2120,939,0,0,5,29,98,1699,384,24,2020-05-29 19:58:12.417132,6777,132,3,4,128,1,46,0,7,75,113,4946,69,2271,275,101,228,583,2740,608,810,1102,103,4013,5967,336,477,3218,23,236
