Active Cases,County Name,Deaths,FIPS,Negative Cases,Pending Cases,Positive Cases,Recovered,Scrape Time,Testing: Private Lab,Testing: Public Lab,Total Tested
0,Arkansas,0,001,241,0,2,2,2020-05-21 20:34:08.094020,225,18,243
1,Ashley,0,003,506,0,19,18,2020-05-21 20:34:08.094020,392,133,525
1,Baxter,0,005,486,0,6,5,2020-05-21 20:34:08.094020,477,15,492
67,Benton,0,007,7797,0,190,123,2020-05-21 20:34:08.094020,7580,407,7987
1,Boone,0,009,540,0,5,4,2020-05-21 20:34:08.094020,538,7,545
4,Bradley,1,011,360,0,15,10,2020-05-21 20:34:08.094020,182,193,375
0,Calhoun,0,013,53,0,0,0,2020-05-21 20:34:08.094020,44,9,53
3,Carroll,0,015,531,0,8,5,2020-05-21 20:34:08.094020,522,17,539
3,Chicot,0,017,190,0,12,9,2020-05-21 20:34:08.094020,137,65,202
1,Clark,0,019,666,0,35,34,2020-05-21 20:34:08.094020,433,268,701
1,Clay,0,021,436,0,4,3,2020-05-21 20:34:08.094020,437,3,440
1,Cleburne,4,023,569,0,73,68,2020-05-21 20:34:08.094020,557,85,642
3,Cleveland,0,025,271,0,17,14,2020-05-21 20:34:08.094020,204,84,288
6,Columbia,2,027,284,0,20,12,2020-05-21 20:34:08.094020,276,28,304
1,Conway,1,029,482,0,14,12,2020-05-21 20:34:08.094020,444,52,496
59,Craighead,0,031,3220,0,170,111,2020-05-21 20:34:08.094020,3245,145,3390
2,Crawford,0,033,549,0,12,10,2020-05-21 20:34:08.094020,554,7,561
55,Crittenden,8,035,2237,0,267,204,2020-05-21 20:34:08.094020,2114,390,2504
13,Cross,0,037,516,0,41,28,2020-05-21 20:34:08.094020,403,154,557
0,Dallas,0,039,129,0,1,1,2020-05-21 20:34:08.094020,118,12,130
0,Desha,0,041,392,0,18,18,2020-05-21 20:34:08.094020,306,104,410
2,Drew,1,043,517,0,19,16,2020-05-21 20:34:08.094020,475,61,536
14,Faulkner,3,045,2562,0,98,81,2020-05-21 20:34:08.094020,2274,386,2660
0,Franklin,0,047,208,0,2,2,2020-05-21 20:34:08.094020,202,8,210
1,Fulton,0,049,201,0,4,3,2020-05-21 20:34:08.094020,195,10,205
9,Garland,1,051,3494,0,131,121,2020-05-21 20:34:08.094020,3550,75,3625
1,Grant,0,053,411,0,16,15,2020-05-21 20:34:08.094020,392,35,427
10,Greene,0,055,1396,0,34,24,2020-05-21 20:34:08.094020,1290,140,1430
4,Hempstead,1,057,202,0,12,7,2020-05-21 20:34:08.094020,201,13,214
3,Hot Spring,0,059,709,0,29,26,2020-05-21 20:34:08.094020,687,51,738
0,Howard,0,061,237,0,14,14,2020-05-21 20:34:08.094020,249,2,251
6,Independence,0,063,635,0,27,21,2020-05-21 20:34:08.094020,639,23,662
3,Izard,0,065,170,0,14,11,2020-05-21 20:34:08.094020,174,10,184
0,Jackson,0,067,204,0,1,1,2020-05-21 20:34:08.094020,196,9,205
268,Jefferson,22,069,2218,0,500,210,2020-05-21 20:34:08.094020,1576,1142,2718
2,Johnson,0,071,297,0,36,34,2020-05-21 20:34:08.094020,303,30,333
0,Lafayette,1,073,36,0,9,8,2020-05-21 20:34:08.094020,44,1,45
16,Lawrence,5,075,563,0,79,58,2020-05-21 20:34:08.094020,622,20,642
6,Lee,1,077,184,0,13,6,2020-05-21 20:34:08.094020,156,41,197
35,Lincoln,8,079,907,0,966,923,2020-05-21 20:34:08.094020,1361,512,1873
1,Little River,0,081,151,0,1,0,2020-05-21 20:34:08.094020,134,18,152
0,Logan,0,083,224,0,4,4,2020-05-21 20:34:08.094020,216,12,228
3,Lonoke,0,085,1481,0,46,43,2020-05-21 20:34:08.094020,1320,207,1527
1,Madison,0,087,244,0,2,1,2020-05-21 20:34:08.094020,236,10,246
0,Marion,0,089,134,0,1,1,2020-05-21 20:34:08.094020,131,4,135
3,Miller,1,091,571,0,42,38,2020-05-21 20:34:08.094020,602,11,613
38,Missing County Info,0,05,25585,0,151,113,2020-05-21 20:34:08.094020,25630,106,25736
16,Mississippi,1,093,830,0,69,52,2020-05-21 20:34:08.094020,798,101,899
1,Monroe,0,095,141,0,5,4,2020-05-21 20:34:08.094020,136,10,146
0,Montgomery,0,097,131,0,1,1,2020-05-21 20:34:08.094020,123,9,132
1,Nevada,0,099,109,0,4,3,2020-05-21 20:34:08.094020,106,7,113
0,Newton,0,101,110,0,3,3,2020-05-21 20:34:08.094020,113,0,113
1,Ouachita,0,103,661,0,10,9,2020-05-21 20:34:08.094020,550,121,671
1,Perry,0,105,230,0,12,11,2020-05-21 20:34:08.094020,211,31,242
1,Phillips,1,107,352,0,6,4,2020-05-21 20:34:08.094020,312,46,358
0,Pike,0,109,491,0,4,4,2020-05-21 20:34:08.094020,490,5,495
6,Poinsett,2,111,422,0,30,22,2020-05-21 20:34:08.094020,433,19,452
1,Polk,0,113,381,0,9,8,2020-05-21 20:34:08.094020,313,77,390
41,Pope,1,115,2097,0,92,50,2020-05-21 20:34:08.094020,2084,105,2189
