Age_17,Age_18-49,Age_50-64,Age_64,Age_Unknown,Scrape_Time,TotalCases,TotalFatalities,TotalTested,female_pos,male_pos,sex_unknown_pos
1,49,27,22,0,2020-04-06 01:18:52.373579,13438,319,131500,47,51,2
1,50,27,22,0,2020-04-06 18:26:37.009421,14336,343,143800,47,51,2
1,49,27,22,0,2020-04-07 23:20:20.794095,15865,374,157800,48,50,2
1,49,27,22,0,2020-04-08 18:26:06.450744,16957,442,168800,48,50,2
1,49,27,22,0,2020-04-09 17:34:36.209130,18309,492,177600,48,50,2
1,49,27,22,0,2020-04-10 18:56:00.339861,19472,541,185300,48,50,2
1,49,27,22,0,2020-04-11 16:56:13.578458,20615,609,196200,48,50,2
2,49,27,22,0,2020-04-12 18:00:20.633937,21794,651,203400,49,50,1
2,48,27,23,0,2020-04-14 01:39:46.332762,22348,687,212900,49,50,1
2,48,27,23,0,2020-04-14 20:36:07.804420,23338,758,215400,49,50,1
2,48,27,23,0,2020-04-15 19:12:54.121611,24424,821,227600,49,50,1
2,48,27,23,0,2020-04-16 18:32:16.940538,26182,890,246400,49,50,1
2,48,27,23,0,2020-04-17 17:54:07.809920,27528,985,258800,49,50,1
2,48,27,23,0,2020-04-18 17:42:15.547706,28963,1072,266900,49,50,1
2,47,27,23,0,2020-04-19 18:20:23.097732,30333,1166,280900,49,50,1
2,47,27,23,0,2020-04-20 17:00:29.908379,30978,1208,290500,49,50,1
2,48,27,23,0,2020-04-21 17:06:03.626433,33261,1268,300100,49,50,1
2,48,27,23,0,2020-04-22 17:30:32.017741,35396,1354,308700,49,50,1
2,48,27,22,0,2020-04-23 17:36:32.624357,37369,1469,482097,49,50,1
2,48,27,23,0,2020-04-24 18:05:10.118968,39254,1562,494173,49,50,1
2,48,26,23,0,2020-04-25 17:36:09.887936,41137,1651,506035,50,50,1
2,48,26,23,0,2020-04-26 22:12:39.693250,42164,1710,526084,50,50,1
3,48,26,23,0,2020-04-27 17:50:36.708430,43464,1755,553409,50,50,1
3,49,26,2,0,2020-04-28 20:49:01.163425,45031,1809,577608,50,50,1
3,49,26,2,0,2020-04-29 17:32:38.162416,46500,1887,603139,50,50,1
3,49,26,2,0,2020-04-30 22:30:27.595446,48917,1982,625337,50,50,1
3,49,26,22,0,2020-05-01 22:56:51.781749,50442,2073,654985,50,50,1
3,49,26,22,0,2020-05-02 19:26:05.264614,52197,2171,685048,50,50,1
3,49,26,22,0,2020-05-03 20:31:08.108564,53616,2215,715751,50,50,1
3,49,26,22,0,2020-05-04 19:44:05.117402,54937,2254,747874,50,50,1
3,49,26,22,0,2020-05-05 20:14:30.619989,56212,2317,779902,50,50,1
3,49,26,22,0,2020-05-06 20:13:29.040819,58815,2412,809036,50,50,1
3,49,25,22,0,2020-05-07 20:53:30.272012,60614,2904,842874,50,50,1
4,49,25,22,0,2020-05-08 22:02:43.239794,62512,2985,875272,50,50,1
4,50,25,22,0,2020-05-09 20:26:46.416728,64561,2678,912570,49,50,1
4,50,25,21,0,2020-05-10 20:03:46.114681,66680,2745,955664,49,50,1
4,50,25,22,0,2020-05-11 20:46:53.368370,67939,2770,991897,49,50,1
4,50,25,21,0,2020-05-12 21:27:43.839181,69382,2847,1033370,49,50,1
4,50,25,21,0,2020-05-13 20:05:13.344409,71141,2934,1065592,49,50,1
4,50,25,21,0,2020-05-14 21:01:31.663843,73164,3032,1104651,49,50,1
4,50,25,21,0,2020-05-15 20:21:50.204805,74936,3108,1133906,49,50,1
4,50,25,21,0,2020-05-16 19:56:07.196941,76793,3204,1179126,49,50,1
4,50,25,21,0,2020-05-17 19:53:06.634315,78839,3261,1235243,49,50,1
4,50,25,21,0,2020-05-18 20:15:22.016933,80430,3302,1292672,49,50,1
4,51,24,21,0,2020-05-20 19:58:40.213522,84057,3436,1380120,49,50,1
5,51,24,20,0,2020-05-21 20:57:04.213706,86197,3542,1421127,49,50,1
5,51,24,20,0,2020-05-22 20:06:09.191195,88444,3630,1466773,49,50,1
5,51,24,20,0,2020-05-23 17:59:26.048362,90631,3708,1515306,49,50,nan
5,51,24,20,0,2020-05-24 20:30:24.780208,92710,3774,1582745,nan,nan,nan
5,51,24,20,0,2020-05-25 20:29:57.054417,94558,3795,1644102,nan,nan,nan
5,51,24,20,0,2020-05-26 21:03:11.351720,96733,3814,1696396,nan,nan,nan
5,52,24,19,0,2020-05-27 20:39:07.841477,98980,3884,1736894,nan,nan,nan
5,52,24,19,0,2020-05-28 20:12:07.852189,101697,3973,1790559,nan,nan,nan
5,52,24,19,0,2020-05-29 19:58:17.969263,103886,4068,1835478,nan,nan,nan
6,52,24,19,0,2020-05-30 19:50:39.856016,106878,4156,1888595,nan,nan,nan
6,52,24,19,0,2020-05-31 20:10:31.709369,110583,4213,1944848,nan,nan,nan
6,52,23,18,0,2020-06-01 20:01:40.989453,113006,4251,2012583,nan,nan,nan
6,53,23,18,0,2020-06-02 20:15:24.766205,115310,4286,2071591,nan,nan,nan
6,53,23,18,0,2020-06-03 19:54:21.061011,117687,4361,2131294,nan,nan,nan
6,53,23,18,0,2020-06-04 20:09:12.509208,119807,4422,2182671,nan,nan,nan
6,53,23,18,0,2020-06-05 20:08:41.157835,122901,4485,2238463,nan,nan,nan
6,53,23,18,0,2020-06-06 20:30:35.792842,126016,4559,2308300,nan,nan,nan
6,53,23,18,0,2020-06-07 20:27:32.708715,128812,4626,2362218,nan,nan,nan
6,53,23,18,0,2020-06-08 20:09:29.792799,131319,4653,2431190,nan,nan,nan
6,53,23,18,0,2020-06-08 20:26:26.182308,131319,4653,2431190,nan,nan,nan
6,53,23,17,0,2020-06-09 20:24:19.321957,133489,4697,2486245,nan,nan,nan
7,54,23,17,0,2020-06-10 20:34:44.858067,136191,4776,2040798,nan,nan,nan
7,54,23,17,0,2020-06-11 20:20:15.405656,139281,4881,2597647,nan,nan,nan
7,54,23,17,0,2020-06-12 20:24:41.397414,141983,4943,2662258,nan,nan,nan
7,54,23,17,0,2020-06-13 20:36:13.251718,145643,4989,2724393,nan,nan,nan
7,54,23,17,0,2020-06-13 20:40:05.381933,145643,4989,2724393,nan,nan,nan
7,54,22,17,0,2020-06-14 19:58:02.608664,148855,5063,2801996,nan,nan,nan
7,54,22,17,0,2020-06-15 20:22:16.186738,151452,5089,2868182,nan,nan,nan
7,54,22,16,0,2020-06-16 20:26:21.298318,153560,5121,2937755,nan,nan,nan
7,54,22,16,0,2020-06-17 20:30:11.923882,157015,5208,2997988,nan,nan,nan
7,55,22,16,0,2020-06-18 21:02:04.900085,161099,5290,3074530,nan,nan,nan
7,55,22,16,0,2020-06-19 19:43:15.935441,165416,5360,3155702,nan,nan,nan
7,55,22,16,0,2020-06-20 21:17:14.335127,169309,5424,3234412,nan,nan,nan
7,55,22,16,0,2020-06-21 20:47:15.265409,173824,5495,3319256,nan,nan,nan
8,55,22,15,0,2020-06-22 19:52:18.649578,178054,5515,3411686,nan,nan,nan
8,55,22,15,0,2020-06-23 19:20:22.466940,183073,5980,3496929,nan,nan,nan
