# Cases Age [0-17],# Cases Age [18-49],# Cases Age [50-64],# Cases Age [65+],# Cases Age [Unknown],# Deaths Age [0-17],# Deaths Age [18-49],# Deaths Age [50-64],# Deaths Age [65+],# Deaths Age [Unknown],% Cases Age [0-17],% Cases Age [18-49],% Cases Age [50-64],% Cases Age [65+],% Cases Age [Unknown],% Deaths Age [0-17],% Deaths Age [18-49],% Deaths Age [50-64],% Deaths Age [65+],% Deaths Age [Unknown],Report Date
120,5302,2879,2342,58,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2020-04-02
137,5917,3253,2660,59,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2020-04-03
160,6610,3653,2966,49,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2020-04-04
173,7099,3884,3129,51,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2020-04-05
197,7753,4344,3516,55,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2020-04-06
222,8289,4639,3751,56,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2020-04-07
252,8939,5003,4056,59,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2020-04-08
269,9469,5347,4335,52,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2020-04-09
303,10069,5633,4561,49,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2020-04-10
330,10599,5941,4870,54,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2020-04-11
337,10838,6079,5036,58,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2020-04-12
362,11246,6348,5320,62,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2020-04-13
385,11721,6644,5605,69,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2020-04-14
432,12479,7141,6051,79,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2020-04-15
472,13144,7488,6360,64,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2020-04-16
507,13798,7862,6729,67,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2020-04-17
550,14408,8232,7071,72,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2020-04-18
573,14690,8385,7267,63,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2020-04-19
683,15901,8961,7650,66,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2020-04-20
768,17009,9517,8035,67,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2020-04-21
855,18004,10025,8401,84,0.0,99.0,223.0,1074.0,0.0,2.29,48.18,26.83,22.48,0.22,0.0,7.09,15.97,76.93,0.0,2020-04-22
936,18954,10451,8832,81,0.0,107.0,234.0,1148.0,0.0,2.38,48.29,26.62,22.5,0.21,0.0,7.19,15.71,77.1,0.0,2020-04-23
1011,19897,10885,9256,88,0.0,112.0,246.0,1215.0,0.0,2.46,48.37,26.46,22.5,0.21,0.0,7.12,15.64,77.24,0.0,2020-04-24
1039,20379,11139,9512,95,0.0,117.0,254.0,1276.0,0.0,2.46,48.33,26.42,22.56,0.23,0.0,7.1,15.42,77.47,0.0,2020-04-25
1085,21028,11442,9824,85,0.0,119.0,258.0,1299.0,0.0,2.5,48.38,26.33,22.6,0.2,0.0,7.1,15.39,77.51,0.0,2020-04-26
1190,21888,11781,10086,86,0.0,120.0,265.0,1336.0,0.0,2.64,48.61,26.16,22.4,0.19,0.0,6.97,15.4,77.63,0.0,2020-04-27
1263,22596,12153,10413,75,0.0,126.0,284.0,1399.0,0.0,2.72,48.59,26.14,22.39,0.16,0.0,6.97,15.7,77.34,0.0,2020-04-28
