state,stateAbbrev,date,time,tz,fatalities,cases,female_case,male_cases,unkown_gender_c,age0_17,age18_49,age50_64,age18_64,age65,unkown_age,tot_tests,link,scrape_time
California,CA,March 27,2p.m.,PDT,101,4643,2057,2536,50,54,2368,1184,3552,1016,21,89600,https://www.cdph.ca.gov/Programs/OPA/Pages/NR20-036.aspx,2020-03-29 21:22:01.203927
California,CA,March 26,2p.m.,PDT,78,3801,1680,2074,47,45,1906,967,2873,847,36,88400,https://www.cdph.ca.gov/Programs/OPA/Pages/NR20-035.aspx,2020-03-29 21:22:04.126171
California,CA,March 25,2p.m.,PDT,65,3006,1309,1665,32,37,1505,764,2269,678,22,77800,https://www.cdph.ca.gov/Programs/OPA/Pages/NR20-034.aspx,2020-03-29 21:22:06.912684
California,CA,March 24,2p.m.,PDT,53,2535,1117,1389,29,37,1278,638,1916,562,20,66800,https://www.cdph.ca.gov/Programs/OPA/Pages/NR20-033.aspx,2020-03-29 21:22:09.497789
California,CA,March 23,2p.m.,PDT,40,2102,843,1081,178,28,970,493,1463,449,162,27650,https://www.cdph.ca.gov/Programs/OPA/Pages/NR20-32.aspx,2020-03-29 21:22:12.242724
California,CA,March 22,2p.m.,PDT,27,1733,nan,nan,nan,25,837,442,1279,415,14,26400,https://www.cdph.ca.gov/Programs/OPA/Pages/NR20-031.aspx,2020-03-29 21:22:14.934981
California,CA,March 21,2p.m.,PDT,27,1468,nan,nan,nan,23,nan,nan,1066,369,10,26200,https://www.cdph.ca.gov/Programs/OPA/Pages/NR20-030.aspx,2020-03-29 21:22:17.595627
California,CA,March 20,2p.m.,PDT,23,1224,nan,nan,nan,19,nan,nan,876,321,8,25200,https://www.cdph.ca.gov/Programs/OPA/Pages/NR20-029.aspx,2020-03-29 21:22:20.358043
California,CA,March 19,6p.m.,PDT,19,1006,nan,nan,nan,18,nan,nan,711,273,4,23200,https://www.cdph.ca.gov/Programs/OPA/Pages/NR20-028.aspx,2020-03-29 21:22:25.133861
California,CA,March 18,6p.m.,PDT,16,675,nan,nan,nan,13,nan,nan,448,209,5,16900,https://www.cdph.ca.gov/Programs/OPA/Pages/NR20-027.aspx,2020-03-29 21:22:27.836878
California,CA,March 17,6p.m.,PDT,13,598,nan,nan,nan,13,nan,nan,392,188,5,nan,https://www.cdph.ca.gov/Programs/OPA/Pages/NR20-026.aspx,2020-03-29 21:22:30.583613
California,CA,March 16,6p.m.,PDT,11,472,nan,nan,nan,7,nan,nan,nan,160,5,nan,https://www.cdph.ca.gov/Programs/OPA/Pages/NR20-025.aspx,2020-03-29 21:23:40
California,CA,March 15,6p.m.,PDT,6,392,nan,nan,nan,6,nan,nan,nan,135,5,nan,https://www.cdph.ca.gov/Programs/OPA/Pages/NR20-024.aspx,2020-03-29 21:23:40
