Age_17,Age_18-49,Age_50-64,Age_64,Age_Unknown,Scrape_Time,TotalCases,TotalFatalities,TotalTested,female_pos,male_pos,sex_unknown_pos
1,49,27,22,0,2020-04-06 01:18:52.373579,13438,319,131500,47,51,2
1,50,27,22,0,2020-04-06 18:26:37.009421,14336,343,143800,47,51,2
1,49,27,22,0,2020-04-07 23:20:20.794095,15865,374,157800,48,50,2
1,49,27,22,0,2020-04-08 18:26:06.450744,16957,442,168800,48,50,2
1,49,27,22,0,2020-04-09 17:34:36.209130,18309,492,177600,48,50,2
1,49,27,22,0,2020-04-10 18:56:00.339861,19472,541,185300,48,50,2
1,49,27,22,0,2020-04-11 16:56:13.578458,20615,609,196200,48,50,2
2,49,27,22,0,2020-04-12 18:00:20.633937,21794,651,203400,49,50,1
2,48,27,23,0,2020-04-14 01:39:46.332762,22348,687,212900,49,50,1
2,48,27,23,0,2020-04-14 20:36:07.804420,23338,758,215400,49,50,1
2,48,27,23,0,2020-04-15 19:12:54.121611,24424,821,227600,49,50,1
2,48,27,23,0,2020-04-16 18:32:16.940538,26182,890,246400,49,50,1
