# Cases Race/Ethnicity: American Indian or Alaska Native,# Cases Race/Ethnicity: Asian,# Cases Race/Ethnicity: Black,# Cases Race/Ethnicity: Latino,# Cases Race/Ethnicity: Multi-Race,# Cases Race/Ethnicity: Native Hawaiian or Pacific Islander,# Cases Race/Ethnicity: Other,# Cases Race/Ethnicity: White,# Deaths Race/Ethnicity: American Indian or Alaska Native,# Deaths Race/Ethnicity: Asian,# Deaths Race/Ethnicity: Black,# Deaths Race/Ethnicity: Latino,# Deaths Race/Ethnicity: Multi-Race,# Deaths Race/Ethnicity: Native Hawaiian or Pacific Islander,# Deaths Race/Ethnicity: Other,# Deaths Race/Ethnicity: White,% Cases Race/Ethnicity: American Indian or Alaska Native,% Cases Race/Ethnicity: Asian,% Cases Race/Ethnicity: Black,% Cases Race/Ethnicity: Latino,% Cases Race/Ethnicity: Multi-Race,% Cases Race/Ethnicity: Native Hawaiian or Pacific Islander,% Cases Race/Ethnicity: Other,% Cases Race/Ethnicity: White,% Deaths Race/Ethnicity: American Indian or Alaska Native,% Deaths Race/Ethnicity: Asian,% Deaths Race/Ethnicity: Black,% Deaths Race/Ethnicity: Latino,% Deaths Race/Ethnicity: Multi-Race,% Deaths Race/Ethnicity: Native Hawaiian or Pacific Islander,% Deaths Race/Ethnicity: Other,% Deaths Race/Ethnicity: White,Report Date
33,1902,1030,5276,268,243,1269,4639,3,98,61,170,8,4,9,246,0.23,12.97,7.03,35.99,1.83,1.66,8.66,31.64,0.5,16.36,10.18,28.38,1.34,0.67,1.5,41.07,2020-04-13
33,2045,1107,5910,303,252,1306,4939,3,103,79,203,9,6,16,264,0.21,12.87,6.96,37.18,1.91,1.59,8.22,31.07,0.44,15.08,11.57,29.72,1.32,0.88,2.34,38.65,2020-04-14
32,2161,1176,6433,329,262,1385,5239,3,122,87,226,10,9,18,286,0.19,12.7,6.91,37.8,1.93,1.54,8.14,30.79,0.39,16.03,11.43,29.7,1.31,1.18,2.37,37.58,2020-04-15
34,2361,1244,7013,362,279,1414,5504,4,135,103,254,11,12,18,314,0.19,12.96,6.83,38.51,1.99,1.53,7.76,30.22,0.47,15.86,12.1,29.85,1.29,1.41,2.12,36.9,2020-04-16
38,2489,1312,7627,376,290,1463,5757,4,147,110,281,11,13,20,333,0.2,12.86,6.78,39.41,1.94,1.5,7.56,29.75,0.44,16.0,11.97,30.58,1.2,1.41,2.18,36.24,2020-04-17
39,2605,1376,8195,390,304,1489,5945,4,162,120,314,11,14,23,357,0.19,12.81,6.76,40.28,1.92,1.49,7.32,29.22,0.4,16.12,11.94,31.24,1.09,1.39,2.29,35.52,2020-04-18
40,2635,1414,8397,398,310,1555,6051,4,169,125,326,13,14,20,368,0.19,12.67,6.8,40.37,1.91,1.49,7.48,29.09,0.38,16.27,12.03,31.38,1.25,1.35,1.92,35.42,2020-04-19
43,2741,1479,9090,876,315,1632,6257,4,175,130,337,16,14,20,388,0.19,12.22,6.59,40.52,3.9,1.4,7.27,27.89,0.37,16.14,11.99,31.09,1.48,1.29,1.85,35.79,2020-04-20
50,3020,1630,9701,189,336,1735,6982,4,206,138,364,3,14,24,417,0.21,12.77,6.89,41.03,0.8,1.42,7.34,29.53,0.34,17.61,11.79,31.11,0.26,1.2,2.05,35.64,2020-04-21
53,3133,1682,10385,201,339,1698,7206,5,224,149,406,3,15,23,442,0.21,12.69,6.81,42.05,0.81,1.37,6.88,29.18,0.39,17.68,11.76,32.04,0.24,1.18,1.82,34.89,2020-04-22
