% Total Cases: Female,% Total Cases: Male,% Total Cases: Unknown Sex,% Total Deaths: Female,% Total Deaths: Male,% Total Deaths: Unknown Sex,Report Date,Total Cases: Female,Total Cases: Male,Total Cases: Unknown Sex,Total Deaths: Female,Total Deaths: Male,Total Deaths: Unknown Sex
nan,nan,nan,nan,nan,nan,2020-04-02,5015,5547,139,nan,nan,nan
nan,nan,nan,nan,nan,nan,2020-04-03,5674,6202,150,nan,nan,nan
nan,nan,nan,nan,nan,nan,2020-04-04,6349,6876,213,nan,nan,nan
nan,nan,nan,nan,nan,nan,2020-04-05,6740,7296,300,nan,nan,nan
nan,nan,nan,nan,nan,nan,2020-04-06,7600,7957,308,nan,nan,nan
nan,nan,nan,nan,nan,nan,2020-04-07,8108,8488,361,nan,nan,nan
nan,nan,nan,nan,nan,nan,2020-04-08,8776,9130,401,nan,nan,nan
nan,nan,nan,nan,nan,nan,2020-04-09,9387,9745,400,nan,nan,nan
nan,nan,nan,nan,nan,nan,2020-04-10,9981,10330,304,nan,nan,nan
nan,nan,nan,nan,nan,nan,2020-04-11,10571,10926,297,nan,nan,nan
nan,nan,nan,nan,nan,nan,2020-04-12,10877,11256,215,nan,nan,nan
nan,nan,nan,nan,nan,nan,2020-04-13,11352,11772,214,nan,nan,nan
nan,nan,nan,nan,nan,nan,2020-04-14,11934,12265,225,nan,nan,nan
nan,nan,nan,nan,nan,nan,2020-04-15,12771,13169,242,nan,nan,nan
nan,nan,nan,nan,nan,nan,2020-04-16,13424,13865,239,nan,nan,nan
nan,nan,nan,nan,nan,nan,2020-04-17,14185,14535,243,nan,nan,nan
nan,nan,nan,nan,nan,nan,2020-04-18,14902,15185,246,nan,nan,nan
nan,nan,nan,nan,nan,nan,2020-04-19,15224,15507,247,nan,nan,nan
nan,nan,nan,nan,nan,nan,2020-04-20,16363,16641,257,nan,nan,nan
nan,nan,nan,nan,nan,nan,2020-04-21,17411,17718,267,nan,nan,nan
49.23,50.01,0.76,39.54,60.1,0.36,2020-04-22,18395,18690,284,552.0,839.0,5.0
49.41,49.87,0.72,39.82,59.84,0.34,2020-04-23,19394,19577,283,593.0,891.0,5.0
49.58,49.73,0.69,39.73,60.01,0.25,2020-04-24,20395,20459,283,625.0,944.0,4.0
49.59,49.7,0.71,39.89,59.87,0.24,2020-04-25,20908,20957,299,657.0,986.0,4.0
49.61,49.7,0.69,39.62,60.08,0.3,2020-04-26,21562,21600,302,664.0,1007.0,5.0
49.71,49.6,0.69,39.98,59.73,0.29,2020-04-27,22384,22337,310,688.0,1028.0,5.0
49.79,49.56,0.65,40.08,59.65,0.28,2020-04-28,23154,23045,301,725.0,1079.0,5.0
49.57,49.82,0.61,40.42,59.31,0.26,2020-04-29,24247,24372,298,764.0,1121.0,5.0
49.5,49.9,0.6,40.8,58.9,0.3,2020-04-30,24973,25167,302,812.0,1171.0,5.0
49.58,49.82,0.59,41.19,58.57,0.24,2020-05-01,25881,26006,310,858.0,1220.0,5.0
49.5,49.8,0.6,41.5,58.3,0.2,2020-05-02,26556,26716,344,887.0,1246.0,5.0
49.58,49.75,0.67,41.55,58.22,0.23,2020-05-03,27239,27332,366,905.0,1268.0,5.0
49.5,49.8,0.7,41.8,57.9,0.2,2020-05-04,27853,27980,379,929.0,1287.0,5.0
49.6,49.6,0.7,42.6,57.2,0.2,2020-05-05,29190,29193,432,990.0,1330.0,5.0
49.7,49.7,0.7,43.1,56.7,0.2,2020-05-06,30109,30096,409,1039.0,1368.0,5.0
49.5,49.8,0.7,42.6,57.2,0.2,2020-05-07,30972,31111,429,1061.0,1427.0,5.0
49.2,50.2,0.7,42.7,57.1,0.2,2020-05-08,31756,32379,426,1101.0,1470.0,5.0
49.0,50.4,0.7,43.1,56.8,0.2,2020-05-09,32660,33584,436,1144.0,1509.0,4.0
49.0,50.4,0.6,43.1,56.7,0.1,2020-05-10,33291,34221,427,1161.0,1526.0,4.0
49.0,50.4,0.6,43.1,56.7,0.1,2020-05-11,33992,34955,435,1187.0,1561.0,4.0
49.0,50.4,0.6,43.2,56.6,0.1,2020-05-12,34851,35845,445,1230.0,1612.0,4.0
49.1,50.3,0.6,43.3,56.6,0.1,2020-05-13,35890,36826,448,1267.0,1655.0,4.0
49.0,50.4,0.6,43.4,56.5,0.1,2020-05-14,36728,37744,464,1315.0,1710.0,4.0
49.1,50.3,0.6,43.7,56.2,0.1,2020-05-15,37676,38647,470,1363.0,1752.0,4.0
49.0,50.4,0.6,43.9,55.9,0.1,2020-05-16,38662,39701,476,1397.0,1778.0,4.0
49.0,50.4,0.6,43.9,56.0,0.1,2020-05-17,39425,40533,472,1412.0,1800.0,4.0
49.0,50.4,0.6,43.9,56.0,0.1,2020-05-18,40105,41214,476,1426.0,1820.0,4.0
49.0,50.4,0.6,44.0,55.9,0.1,2020-05-19,41226,42336,495,1483.0,1887.0,4.0
49.0,50.4,0.6,44.1,55.8,0.1,2020-05-20,42252,43450,495,1521.0,1926.0,4.0
48.9,50.4,0.7,44.1,55.8,0.1,2020-05-21,43272,44534,638,1562.0,1978.0,4.0
49.1,50.3,0.6,44.1,55.7,0.1,2020-05-22,44539,45580,512,1584.0,2000.0,5.0
49.2,50.3,0.6,44.1,55.8,0.1,2020-05-23,45597,46595,518,1608.0,2033.0,5.0
49.2,50.2,0.6,44.1,55.8,0.1,2020-05-24,46544,47490,524,1616.0,2045.0,5.0
49.2,50.3,0.5,44.0,55.8,0.1,2020-05-25,47595,48614,524,1620.0,2054.0,5.0
49.2,50.2,0.5,44.0,55.9,0.1,2020-05-26,48739,49714,527,1631.0,2071.0,5.0
49.3,50.2,0.5,44.1,55.8,0.1,2020-05-27,50091,51067,539,1682.0,2129.0,5.0
49.3,50.2,0.5,44.2,55.7,0.2,2020-05-28,51169,52177,540,1725.0,2173.0,6.0
49.2,50.3,0.5,44.1,55.7,0.2,2020-05-29,52561,53765,552,1759.0,2220.0,6.0
