Scrape_Time,posICU,posPatients,responding_beds_no_num,responding_beds_yes_num,responding_facilities_yes_percent,responding_fasilities_yes_num,suspectedICU,suspectedPatients
2020-04-14 01:39:46.332762,1178,3015,5152,68715,89,349,374,2033
2020-04-14 20:36:07.804420,1177,3124,1024,72843,99,389,375,2039
2020-04-15 19:12:54.121611,1175,3171,1164,72703,99,389,368,1894
2020-04-16 18:32:16.940538,1191,3141,1611,72256,99,389,377,1890
2020-04-17 17:54:07.809920,1174,3180,99,73768,100,392,310,1712
2020-04-18 17:42:15.547706,1173,3221,99,73398,99,389,316,1715
2020-04-19 18:20:23.097732,1163,3196,2953,70914,94,369,294,1535
2020-04-20 17:00:29.908379,1196,3257,4505,69362,90,354,284,1417
2020-04-21 17:06:03.626433,1241,3365,1351,72516,98,386,261,1521
2020-04-22 17:30:32.017741,1219,3357,3408,70459,96,378,332,1627
2020-04-23 17:36:32.624357,1204,3343,4681,69186,95,372,327,1586
2020-04-24 18:05:10.118968,1216,3344,2762,71105,96,376,305,1536
2020-04-25 17:36:09.887936,1198,3343,1213,72654,98,387,260,1504
2020-04-26 22:12:39.693250,1184,3324,5413,68454,88,347,289,1604
2020-04-27 17:50:36.708430,1185,3372,4454,69413,93,365,314,1506
2020-04-28 20:49:01.163425,1181,3455,907,72960,99,388,304,1528
2020-04-29 17:32:38.162416,1186,3495,1228,72639,98,386,326,1516
2020-04-30 22:30:27.595446,1192,3497,6532,67335,92,362,281,1484
2020-05-01 22:56:51.781749,1192,3428,1190,72677,98,386,242,1278
2020-05-02 19:26:05.264614,1178,3423,671,73196,98,387,255,1299
2020-05-03 20:31:08.108564,1169,3318,247,68620,89,351,299,1416
2020-05-04 19:44:05.117402,1179,3284,714,68153,92,362,285,1332
2020-05-05 20:14:30.619989,1157,3369,2075,71792,97,380,231,1253
2020-05-06 20:13:29.040819,1140,3334,1147,72720,98,386,275,1347
2020-05-07 20:53:30.272012,1125,3319,593,73274,99,390,249,1241
2020-05-08 22:02:43.239794,1118,3250,1194,72673,98,387,224,1264
2020-05-09 20:26:46.416728,1115,3282,2525,71342,97,381,234,1256
2020-05-10 20:03:46.114681,1097,3218,5342,68525,89,348,231,1337
2020-05-11 20:46:53.368370,1093,3248,3826,70041,93,367,236,1301
2020-05-12 21:27:43.839181,1078,3284,548,73867,0.9923664122137404,393,271,1260
2020-05-13 20:05:13.344409,1075,3301,572,73867,0.9923664122137404,393,239,1244
2020-05-14 21:01:31.663843,1099,3261,987,73867,0.9796437659033079,393,225,1394
2020-05-15 20:21:50.204805,1067,3157,720,73867,0.9872773536895675,393,257,1362
2020-05-16 19:56:07.196941,1079,3126,1018,73867,0.9847328244274809,393,234,1298
2020-05-17 19:50:23.268996,1069,3025,4189,73867,0.9287531806615776,393,224,1266
2020-05-17 19:53:06.634315,1069,3025,4189,73867,0.9287531806615776,393,224,1266
2020-05-18 20:15:22.016933,1076,3037,2256,73867,0.9389312977099237,393,249,1354
2020-05-19 19:53:01.277897,1076,3073,761,73867,0.9872773536895675,393,231,1290
2020-05-20 19:59:04.770655,1068,3047,364,73867,0.9872773536895675,393,277,1634
2020-05-20 20:02:49.378802,1068,3047,364,73867,0.9872773536895675,393,277,1634
2020-05-21 20:57:04.213706,1051,3048,119,73867,0.9923664122137404,393,259,1687
2020-05-22 20:06:09.191195,1050,3007,195,73867,0.9872773536895675,393,267,1755
2020-05-23 17:59:26.048362,1079,3024,1628,73867,0.9770992366412213,393,233,1318
2020-05-24 20:30:24.780208,1071,2980,4708,73867,0.9083969465648855,393,244,1320
2020-05-25 20:29:57.054417,1062,3015,4432,73867,0.916030534351145,393,239,1291
2020-05-26 21:03:11.351720,1084,3065,5493,73867,0.905852417302799,393,308,1339
2020-05-27 20:39:07.841477,1095,3114,6285,73867,0.9134860050890585,393,312,1430
2020-05-28 20:12:07.852189,1092,3091,2596,73867,0.9567430025445293,393,233,1438
