American Indian,Asian,Black,Latino,Multiracial,Native Hawaiian,Other,Scrape_Time,White
0,13,7,36,2,2,9,2020-04-14 20:36:07.804420,32
0,13,7,31,2,2,8,2020-04-15 19:12:54.121611,31
0,13,7,38,2,2,8,2020-04-16 18:32:16.940538,31
0,13,7,39,2,2,8,2020-04-17 17:54:07.809920,30
0,13,7,39,2,2,8,2020-04-18 17:42:15.547706,30
0,13,7,40,2,1,7,2020-04-19 18:20:23.097732,29
0,13,7,40,2,1,7,2020-04-20 17:00:29.908379,29
0,12,7,41,4,1,7,2020-04-21 17:06:03.626433,28
0,13,7,41,1,1,7,2020-04-22 17:30:32.017741,30
0,13,7,42,1,1,7,2020-04-23 17:36:32.624357,29
0,13,7,43,1,1,7,2020-04-24 18:05:10.118968,29
0,13,7,43,1,1,7,2020-04-25 17:36:09.887936,28
0,12,7,44,1,1,7,2020-04-26 22:12:39.693250,28
0,12,7,44,1,1,7,2020-04-27 17:50:36.708430,28
0,12,7,44,1,1,7,2020-04-28 20:49:01.163425,28
0,12,7,45,1,1,7,2020-04-29 17:32:38.162416,27
0,12,6,45,1,1,6,2020-04-30 22:30:27.595446,27
0,12,6,46,1,1,6,2020-05-01 22:56:51.781749,27
0,12,6,47,1,1,6,2020-05-02 19:26:05.264614,26
0,12,6,48,1,1,6,2020-05-03 20:31:08.108564,26
0,12,6,48,1,1,6,2020-05-04 19:44:05.117402,26
0,12,6,48,1,1,6,2020-05-05 20:14:30.619989,26
0,12,6,49,1,1,6,2020-05-06 20:13:29.040819,25
0,11,6,49,1,1,6,2020-05-07 20:53:30.272012,25
0,11,6,50,1,1,6,2020-05-08 22:02:43.239794,25
0,11,6,50,1,1,6,2020-05-09 20:26:46.416728,24
0,11,6,51,1,1,6,2020-05-10 20:03:46.114681,24
0,11,6,51,1,1,6,2020-05-11 20:46:53.368370,24
0,11,6,51,1,1,6,2020-05-12 21:27:43.839181,24
0,11,6,52,1,1,6,2020-05-13 20:05:13.344409,24
0,11,6,52,1,1,6,2020-05-14 21:01:31.663843,24
0,11,6,53,1,1,5,2020-05-15 20:21:50.204805,23
0,11,6,53,1,1,5,2020-05-16 19:56:07.196941,23
0,11,6,54,1,1,5,2020-05-17 19:50:23.268996,23
0,11,6,54,1,1,5,2020-05-17 19:53:06.634315,23
0,11,6,53,1,1,5,2020-05-18 20:15:22.016933,23
0,11,6,54,1,1,5,2020-05-19 19:53:01.277897,23
0,11,6,54,1,1,5,2020-05-20 19:58:40.213522,23
0,10,6,54,1,1,5,2020-05-21 20:57:04.213706,22
0,10,6,55,1,1,5,2020-05-22 20:06:09.191195,22
0,10,6,55,1,1,5,2020-05-23 17:59:26.048362,22
0,10,6,55,1,1,6,2020-05-24 20:30:24.780208,22
0,10,6,55,1,1,6,2020-05-25 20:29:57.054417,22
0,10,6,55,1,1,71,2020-05-26 21:03:11.351720,22
0,10,6,55,1,1,71,2020-05-27 20:39:07.841477,21
0,10,5,55,1,1,8,2020-05-28 20:12:07.852189,21
0,9,5,55,1,1,8,2020-05-29 19:58:17.969263,21
0,9,5,55,1,1,9,2020-05-30 19:50:39.856016,20
0,9,5,55,1,1,9,2020-05-31 20:10:31.709369,20
0,9,5,54,1,1,10,2020-06-01 20:01:40.989453,20
0,9,5,54,1,1,10,2020-06-02 20:15:24.766205,20
0,9,5,54,1,1,10,2020-06-03 19:54:21.061011,20
0,9,5,54,1,1,1,2020-06-04 20:09:12.509208,20
0,9,5,55,1,1,10,2020-06-05 20:08:41.157835,20
0,9,5,55,1,1,1,2020-06-06 20:30:35.792842,19
0,9,5,55,1,1,1,2020-06-07 20:27:32.708715,19
0,9,5,55,1,1,1,2020-06-08 20:09:29.792799,19
0,9,5,55,1,1,1,2020-06-08 20:26:26.182308,19
0,8,5,55,1,1,1,2020-06-09 20:24:19.321957,19
0,8,5,56,1,1,1,2020-06-10 20:34:44.858067,19
0,8,5,56,1,1,1,2020-06-11 20:20:15.405656,18
0,8,5,56,1,1,1,2020-06-12 20:24:41.397414,18
0,8,5,56,1,1,1,2020-06-13 20:36:13.251718,18
0,8,5,56,1,1,1,2020-06-13 20:40:05.381933,18
0,8,5,56,1,1,1,2020-06-14 19:58:02.608664,18
0,8,5,56,1,1,12,2020-06-15 20:22:16.186738,18
0,8,5,56,1,1,12,2020-06-16 20:26:21.298318,18
0,8,5,57,1,1,12,2020-06-17 20:30:11.923882,18
0,8,5,57,1,1,12,2020-06-18 21:02:04.900085,18
0,8,5,57,1,1,12,2020-06-19 19:43:15.935441,18
0,7,5,57,1,1,12,2020-06-20 21:17:14.335127,17
0,7,5,57,1,1,13,2020-06-21 20:47:15.265409,17
0,7,5,57,1,1,13,2020-06-22 19:52:18.649578,17
0,7,5,56,1,1,13,2020-06-23 19:20:22.466940,17
0,7,5,56,1,1,14,2020-06-24 20:29:12.095788,17
0,7,5,57,1,1,13,2020-06-25 19:50:43.245126,17
0,7,4,57,1,1,13,2020-06-26 19:32:39.955526,17
0,7,4,57,1,1,13,2020-06-27 21:25:53.350945,17
0,7,4,57,1,1,14,2020-06-28 19:58:33.341579,17
