,age_group,totalpositive,date,case_percent,deaths,deaths_percent,ca_percent
0,0-17,120,2020-04-02,,,,
1,18-49,5302,2020-04-02,,,,
2,50-64,2879,2020-04-02,,,,
3,65 and Older,2342,2020-04-02,,,,
4,Unknown,58,2020-04-02,,,,
5,0-17,137,2020-04-03,,,,
6,18-49,5917,2020-04-03,,,,
7,50-64,3253,2020-04-03,,,,
8,65 and Older,2660,2020-04-03,,,,
9,Unknown,59,2020-04-03,,,,
10,0-17,160,2020-04-04,,,,
11,18-49,6610,2020-04-04,,,,
12,50-64,3653,2020-04-04,,,,
13,65 and Older,2966,2020-04-04,,,,
14,Unknown,49,2020-04-04,,,,
15,0-17,173,2020-04-05,,,,
16,18-49,7099,2020-04-05,,,,
17,50-64,3884,2020-04-05,,,,
18,65 and Older,3129,2020-04-05,,,,
19,Unknown,51,2020-04-05,,,,
20,0-17,197,2020-04-06,,,,
21,18-49,7753,2020-04-06,,,,
22,50-64,4344,2020-04-06,,,,
23,65 and Older,3516,2020-04-06,,,,
24,Unknown,55,2020-04-06,,,,
25,0-17,222,2020-04-07,,,,
26,18-49,8289,2020-04-07,,,,
27,50-64,4639,2020-04-07,,,,
28,65 and Older,3751,2020-04-07,,,,
29,Unknown,56,2020-04-07,,,,
30,0-17,252,2020-04-08,,,,
31,18-49,8939,2020-04-08,,,,
32,50-64,5003,2020-04-08,,,,
33,65 and Older,4056,2020-04-08,,,,
34,Unknown,59,2020-04-08,,,,
35,0-17,269,2020-04-09,,,,
36,18-49,9469,2020-04-09,,,,
37,50-64,5347,2020-04-09,,,,
38,65 and Older,4335,2020-04-09,,,,
39,Unknown,52,2020-04-09,,,,
40,0-17,303,2020-04-10,,,,
41,18-49,10069,2020-04-10,,,,
42,50-64,5633,2020-04-10,,,,
43,65 and Older,4561,2020-04-10,,,,
44,Unknown,49,2020-04-10,,,,
45,0-17,330,2020-04-11,,,,
46,18-49,10599,2020-04-11,,,,
47,50-64,5941,2020-04-11,,,,
48,65 and Older,4870,2020-04-11,,,,
49,Unknown,54,2020-04-11,,,,
50,0-17,337,2020-04-12,,,,
51,18-49,10838,2020-04-12,,,,
52,50-64,6079,2020-04-12,,,,
53,65 and Older,5036,2020-04-12,,,,
54,Unknown,58,2020-04-12,,,,
55,0-17,362,2020-04-13,,,,
56,18-49,11246,2020-04-13,,,,
57,50-64,6348,2020-04-13,,,,
58,65 and Older,5320,2020-04-13,,,,
59,Unknown,62,2020-04-13,,,,
60,0-17,385,2020-04-14,,,,
61,18-49,11721,2020-04-14,,,,
62,50-64,6644,2020-04-14,,,,
63,65 and Older,5605,2020-04-14,,,,
64,Unknown,69,2020-04-14,,,,
65,0-17,432,2020-04-15,,,,
66,18-49,12479,2020-04-15,,,,
67,50-64,7141,2020-04-15,,,,
68,65 and Older,6051,2020-04-15,,,,
69,Unknown,79,2020-04-15,,,,
70,0-17,472,2020-04-16,,,,
71,18-49,13144,2020-04-16,,,,
72,50-64,7488,2020-04-16,,,,
73,65 and Older,6360,2020-04-16,,,,
74,Unknown,64,2020-04-16,,,,
75,0-17,507,2020-04-17,,,,
76,18-49,13798,2020-04-17,,,,
