,county,todays_date,hospitalized_covid_confirmed_patients,hospitalized_suspected_covid_patients,hospitalized_covid_patients,all_hospital_beds,icu_covid_confirmed_patients,icu_suspected_covid_patients,icu_available_beds
0,Yolo,2020-03-29,2.0,3.0,,,1.0,1.0,0.0
1,Mono,2020-03-29,0.0,1.0,,,0.0,0.0,2.0
2,Monterey,2020-03-29,2.0,16.0,,,1.0,2.0,10.0
3,Fresno,2020-03-29,8.0,116.0,,,3.0,14.0,22.0
4,Tulare,2020-03-29,6.0,13.0,,,5.0,3.0,7.0
5,Yuba,2020-03-29,2.0,12.0,,,2.0,4.0,2.0
6,Nevada,2020-03-29,23.0,,,,1.0,0.0,3.0
7,Lake,2020-03-29,0.0,1.0,,,0.0,1.0,2.0
8,Santa Barbara,2020-03-29,15.0,21.0,,,9.0,3.0,47.0
9,Santa Clara,2020-03-29,141.0,72.0,,,65.0,15.0,70.0
10,Los Angeles,2020-03-29,489.0,1132.0,,,191.0,182.0,345.0
11,Santa Cruz,2020-03-29,0.0,0.0,,,0.0,0.0,
12,Plumas,2020-03-29,0.0,1.0,,,0.0,1.0,
13,San Diego,2020-03-29,121.0,211.0,,,77.0,39.0,205.0
14,Madera,2020-03-29,1.0,6.0,,,1.0,1.0,8.0
15,Inyo,2020-03-29,,,,,,,
16,Del Norte,2020-03-29,1.0,2.0,,,0.0,0.0,3.0
17,Placer,2020-03-29,18.0,14.0,,,4.0,1.0,10.0
18,San Joaquin,2020-03-29,34.0,35.0,,,5.0,2.0,7.0
19,San Francisco,2020-03-29,50.0,73.0,,,24.0,10.0,61.0
20,Humboldt,2020-03-29,1.0,10.0,,,0.0,0.0,18.0
21,Amador,2020-03-29,1.0,0.0,,,0.0,0.0,2.0
22,Imperial,2020-03-29,5.0,100.0,,,1.0,2.0,2.0
23,San Mateo,2020-03-29,46.0,27.0,,,16.0,10.0,28.0
24,Solano,2020-03-29,7.0,27.0,,,4.0,1.0,28.0
25,Glenn,2020-03-29,,,,,,,
26,Tuolumne,2020-03-29,1.0,5.0,,,0.0,0.0,0.0
27,Napa,2020-03-29,0.0,26.0,,,,,5.0
28,Kings,2020-03-29,2.0,5.0,,,1.0,0.0,2.0
29,Kern,2020-03-29,16.0,57.0,,,8.0,8.0,39.0
30,Mendocino,2020-03-29,1.0,11.0,,,0.0,0.0,1.0
31,Riverside,2020-03-29,44.0,78.0,,,13.0,20.0,46.0
32,San Bernardino,2020-03-29,33.0,123.0,,,19.0,20.0,65.0
33,Shasta,2020-03-29,0.0,0.0,,,0.0,0.0,
34,Modoc,2020-03-29,0.0,0.0,,,0.0,0.0,
35,Tehama,2020-03-29,0.0,0.0,,,0.0,0.0,2.0
36,Marin,2020-03-29,7.0,13.0,,,2.0,6.0,11.0
37,Butte,2020-03-29,,,,,,,
38,San Benito,2020-03-29,1.0,1.0,,,1.0,0.0,1.0
39,Merced,2020-03-29,1.0,7.0,,,0.0,0.0,3.0
40,Stanislaus,2020-03-29,20.0,48.0,,,9.0,8.0,25.0
41,Lassen,2020-03-29,0.0,2.0,,,0.0,0.0,
