,race_ethnicity,cases,case_percentage,deaths,death_percentage,percent_ca_population,date
0,Latino,5276,35.99,170,28.38,38.9,2020-04-13
1,Latino,5910,37.18,203,29.72,38.9,2020-04-14
2,Latino,6433,37.8,226,29.7,38.9,2020-04-15
3,Latino,7013,38.51,254,29.85,38.9,2020-04-16
4,Latino,7627,39.41,281,30.58,38.9,2020-04-17
5,Latino,8195,40.28,314,31.24,38.9,2020-04-18
6,Latino,8397,40.37,326,31.38,38.9,2020-04-19
7,Latino,9090,40.52,337,31.09,38.9,2020-04-20
8,Latino,9701,41.03,364,31.11,38.9,2020-04-21
9,Latino,10385,42.05,406,32.04,38.9,2020-04-22
10,Latino,10964,42.63,447,32.23,38.9,2020-04-23
11,Latino,11630,43.35,476,32.47,38.9,2020-04-24
12,Latino,12092,43.85,502,32.56,38.9,2020-04-25
13,Latino,12465,44.09,514,32.74,38.9,2020-04-26
14,Latino,12890,44.37,555,33.39,38.9,2020-04-27
15,Latino,13608,44.78820392982921,589,33.8117106773823,38.9,2020-04-28
16,Latino,14351,45.26843732256639,620,34.009873834339,38.9,2020-04-29
17,Latino,15233,46.0,657,34.6,38.9,2020-04-30
18,Latino,16086,46.73717240978561,681,34.3939393939394,38.9,2020-05-01
19,Latino,17127,47.5,704,34.3,38.9,2020-05-02
20,Latino,17716,47.927713450925204,720,34.4168260038241,38.9,2020-05-03
21,Latino,18087,48.0,740,34.6,38.9,2020-05-04
22,Latino,19333,48.9,784,35.2,38.9,2020-05-05
23,Latino,20030,49.4,819,35.4,38.9,2020-05-06
24,Latino,20824,49.8,850,35.5,38.9,2020-05-07
25,Latino,21621,50.3,875,35.6,38.9,2020-05-08
26,Latino,22525,50.8,914,35.6,38.9,2020-05-09
27,Latino,22971,50.9,924,35.7,38.9,2020-05-10
28,Latino,23511,51.2,946,35.8,38.9,2020-05-11
29,Latino,24511,51.7,984,36.1,38.9,2020-05-12
30,Latino,25582,52.0,1022,36.6,38.9,2020-05-13
31,Latino,26880,52.6,1060,36.7,38.9,2020-05-14
32,White,4639,31.64,246,41.07,36.6,2020-04-13
33,White,4939,31.07,264,38.65,36.6,2020-04-14
34,White,5239,30.79,286,37.58,36.6,2020-04-15
35,White,5504,30.22,314,36.9,36.6,2020-04-16
36,White,5757,29.75,333,36.24,36.6,2020-04-17
37,White,5945,29.22,357,35.52,36.6,2020-04-18
38,White,6051,29.09,368,35.42,36.6,2020-04-19
39,White,6257,27.89,388,35.79,36.6,2020-04-20
40,White,6982,29.53,417,35.64,36.6,2020-04-21
41,White,7206,29.18,442,34.89,36.6,2020-04-22
42,White,7422,28.86,485,34.97,36.6,2020-04-23
43,White,7618,28.39,512,34.92,36.6,2020-04-24
44,White,7739,28.07,536,34.76,36.6,2020-04-25
45,White,7885,27.89,543,34.59,36.6,2020-04-26
46,White,8064,27.76,582,35.02,36.6,2020-04-27
