# Deaths Age [0-9],# Deaths Age [10-19],# Deaths Age [20-29],# Deaths Age [30-39],# Deaths Age [40-49],# Deaths Age [50-59],# Deaths Age [60-69],# Deaths Age [70-79],# Deaths Age [80+],# Deaths Age [Unknown],# Hospitalized Age [0-9],# Hospitalized Age [10-19],# Hospitalized Age [20-29],# Hospitalized Age [30-39],# Hospitalized Age [40-49],# Hospitalized Age [50-59],# Hospitalized Age [60-69],# Hospitalized Age [70-79],# Hospitalized Age [80+],# Hospitalized Age [Unknown],# Not Hospitalized Age [0-9],# Not Hospitalized Age [10-19],# Not Hospitalized Age [20-29],# Not Hospitalized Age [30-39],# Not Hospitalized Age [40-49],# Not Hospitalized Age [50-59],# Not Hospitalized Age [60-69],# Not Hospitalized Age [70-79],# Not Hospitalized Age [80+],# Not Hospitalized Age [Unknown],# Outbreaks,% Cases Age [0-9],% Cases Age [10-19],% Cases Age [20-29],% Cases Age [30-39],% Cases Age [40-49],% Cases Age [50-59],% Cases Age [60-69],% Cases Age [70-79],% Cases Age [80+],% Cases Age [Unknown],% Cases Race/Ethnicity: AIAN - Non Hispanic,% Cases Race/Ethnicity: Asian - Non Hispanic,% Cases Race/Ethnicity: Black - Non Hispanic,"% Cases Race/Ethnicity: Hispanic, All Races",% Cases Race/Ethnicity: Multiple - Non Hispanic,% Cases Race/Ethnicity: NHOPI - Non Hispanic,% Cases Race/Ethnicity: Other,% Cases Race/Ethnicity: Unknown/Not Provided,% Cases Race/Ethnicity: White - Non Hispanic,% Deaths Age [0-9],% Deaths Age [10-19],% Deaths Age [20-29],% Deaths Age [30-39],% Deaths Age [40-49],% Deaths Age [50-59],% Deaths Age [60-69],% Deaths Age [70-79],% Deaths Age [80+],% Deaths Age [Unknown],% Deaths Race/Ethnicity: AIAN - Non Hispanic,% Deaths Race/Ethnicity: Asian - Non Hispanic,% Deaths Race/Ethnicity: Black - Non Hispanic,"% Deaths Race/Ethnicity: Hispanic, All Races",% Deaths Race/Ethnicity: Multiple - Non Hispanic,% Deaths Race/Ethnicity: NHOPI - Non Hispanic,% Deaths Race/Ethnicity: Other,% Deaths Race/Ethnicity: Unknown/Not Provided,% Deaths Race/Ethnicity: White - Non Hispanic,% Total Cases: Female,% Total Cases: Male,% Total Cases: Unknown Sex,Total Cases,Total Deaths,Total Hospitalized,Total Tested,FileDate,Scrape Time
0,3.0,9.0,9.0,37.0,78.0,184.0,350.0,804.0,0,41.0,38.0,204.0,362.0,544.0,780.0,772.0,560.0,367.0,1.0,563.0,1200.0,4127.0,4286.0,4033.0,3423.0,2067.0,1003.0,895.0,48.0,284.0,2.25,4.63,16.2,17.38,17.22,15.98,11.28,7.14,7.71,0.18,0.51,2.66,5.84,37.55,0.63,0.41,0.93,17.12,34.36,0,0.2,0.61,0.61,2.51,5.29,12.48,23.74,54.55,0,0.54,3.6,6.85,19.74,0.68,0.41,0.54,4.48,63.16,50.37,47.75,1.87,26788.0,,4419.0,190700.0,2020-06-02,2020-06-03 14:39:56.638183
0,3.0,9.0,9.0,37.0,80.0,188.0,357.0,811.0,0,41.0,38.0,209.0,363.0,549.0,783.0,774.0,559.0,369.0,1.0,576.0,1223.0,4174.0,4330.0,4081.0,3451.0,2086.0,1014.0,897.0,48.0,292.0,2.28,4.67,16.23,17.38,17.25,15.94,11.26,7.13,7.68,0.18,0.52,2.66,5.84,37.68,0.63,0.41,0.92,17.04,34.3,0,0.2,0.6,0.6,2.48,5.35,12.58,23.9,54.28,0,0.54,3.61,6.89,19.61,0.67,0.4,0.54,5.09,62.65,50.35,47.75,1.88,27060.0,,4443.0,194697.0,2020-06-03,2020-06-03 20:09:24.839396
0,3.0,9.0,9.0,38.0,82.0,191.0,362.0,818.0,0,40.0,38.0,210.0,366.0,552.0,786.0,777.0,557.0,370.0,0,587.0,1253.0,4245.0,4381.0,4124.0,3493.0,2101.0,1019.0,900.0,49.0,294.0,2.29,4.73,16.32,17.38,17.23,15.94,11.22,7.08,7.63,0.18,0.52,2.67,5.82,37.84,0.62,0.42,0.92,16.99,34.2,0,0.2,0.6,0.6,2.51,5.42,12.63,23.94,54.1,0,0.53,3.64,6.88,19.91,0.66,0.4,0.6,4.96,62.43,50.39,47.77,1.82,27360.0,,4460.0,200912.0,2020-06-04,2020-06-04 20:09:45.638291
0,3.0,9.0,10.0,40.0,84.0,193.0,363.0,822.0,0,40.0,38.0,210.0,365.0,554.0,786.0,778.0,559.0,370.0,0,593.0,1278.0,4298.0,4430.0,4160.0,3532.0,2115.0,1030.0,914.0,41.0,296.0,2.29,4.78,16.36,17.4,17.22,15.94,11.18,7.07,7.63,0.15,0.52,2.66,5.8,37.85,0.62,0.42,0.91,17.13,34.09,0,0.2,0.59,0.66,2.62,5.51,12.66,23.82,53.94,0,0.52,3.67,6.89,19.95,0.66,0.39,0.59,5.12,62.2,50.38,47.82,1.79,27615.0,,4472.0,205761.0,2020-06-05,2020-06-05 20:09:14.586632
0,3.0,9.0,10.0,40.0,85.0,193.0,362.0,825.0,0,40.0,38.0,211.0,365.0,555.0,789.0,778.0,561.0,371.0,0,602.0,1299.0,4356.0,4482.0,4195.0,3555.0,2130.0,1034.0,922.0,38.0,299.0,2.31,4.81,16.43,17.44,17.2,15.9,11.14,7.03,7.61,0.14,0.52,2.65,5.76,37.95,0.62,0.42,0.9,17.19,33.99,0,0.2,0.59,0.65,2.62,5.57,12.64,23.71,54.03,0,0.52,3.67,6.88,20.04,0.65,0.39,0.59,5.17,62.08,50.39,47.82,1.77,27848.0,,4480.0,210485.0,2020-06-06,2020-06-06 20:31:08.907840
0,3.0,9.0,10.0,40.0,85.0,193.0,362.0,825.0,0,40.0,38.0,211.0,365.0,556.0,789.0,779.0,562.0,373.0,0,604.0,1318.0,4384.0,4510.0,4228.0,3572.0,2138.0,1042.0,927.0,38.0,299.0,2.3,4.85,16.44,17.45,17.23,15.88,11.11,7.02,7.59,0.14,0.55,2.64,5.75,37.92,0.62,0.42,0.9,17.32,33.88,0,0.2,0.59,0.65,2.62,5.57,12.64,23.71,54.03,0,0.52,3.67,6.88,20.04,0.65,0.39,0.59,5.17,62.08,50.36,47.87,1.76,28001.0,,4485.0,214940.0,2020-06-07,2020-06-07 20:28:03.850884
0,3.0,9.0,10.0,42.0,87.0,196.0,365.0,831.0,0,50.0,52.0,248.0,404.0,629.0,842.0,822.0,600.0,403.0,0,605.0,1324.0,4384.0,4508.0,4175.0,3540.0,2106.0,1010.0,900.0,38.0,299.0,2.32,4.89,16.47,17.46,17.19,15.86,11.08,7.01,7.57,0.13,0.55,2.71,5.89,38.21,0.74,0.41,0.82,16.33,34.35,0,0.19,0.58,0.65,2.72,5.64,12.7,23.66,53.86,0,0.58,3.63,6.87,20.35,0.78,0.39,0.52,4.15,62.73,50.33,47.9,1.75,28183.0,,4859.0,219331.0,2020-06-08,2020-06-08 20:10:00.867084
0,3.0,9.0,10.0,43.0,90.0,197.0,368.0,833.0,0,47.0,58.0,268.0,431.0,648.0,889.0,847.0,610.0,410.0,0,615.0,1342.0,4407.0,4509.0,4174.0,3514.0,2088.0,1008.0,891.0,38.0,301.0,2.34,4.95,16.52,17.46,17.16,15.85,11.05,7.01,7.53,0.13,0.55,2.7,5.88,38.34,0.74,0.41,0.85,16.17,34.36,0,0.19,0.58,0.64,2.77,5.8,12.69,23.7,53.64,0,0.58,3.61,6.83,20.41,0.77,0.39,0.58,4.38,62.46,50.29,47.85,1.84,28347.0,,5025.0,223534.0,2020-06-09,2020-06-09 20:24:53.121674
0,3.0,9.0,10.0,43.0,95.0,199.0,375.0,839.0,0,47.0,58.0,269.0,432.0,649.0,888.0,848.0,605.0,412.0,0,622.0,1356.0,4430.0,4525.0,4198.0,3528.0,2110.0,1018.0,893.0,38.0,306.0,2.35,4.97,16.52,17.43,17.16,15.83,11.08,7.01,7.52,0.13,0.55,2.71,5.88,38.59,0.74,0.42,0.86,15.77,34.47,0,0.19,0.57,0.64,2.73,6.04,12.65,23.84,53.34,0,0.57,3.56,6.74,20.6,0.76,0.38,0.57,4.51,62.3,50.35,47.86,1.78,28499.0,,5035.0,227761.0,2020-06-10,2020-06-10 20:35:17.300913
0,3.0,9.0,10.0,43.0,96.0,203.0,377.0,842.0,0,47.0,58.0,270.0,435.0,650.0,893.0,850.0,609.0,415.0,0,626.0,1372.0,4467.0,4554.0,4210.0,3548.0,2115.0,1016.0,891.0,38.0,308.0,2.35,5.0,16.57,17.45,17.12,15.84,11.06,6.99,7.5,0.13,0.56,2.71,5.88,38.61,0.74,0.42,0.86,15.72,34.51,0,0.19,0.57,0.63,2.72,6.06,12.82,23.82,53.19,0,0.57,3.54,6.76,20.66,0.76,0.38,0.57,4.49,62.29,50.35,47.87,1.76,28647.0,,5057.0,231763.0,2020-06-11,2020-06-11 20:20:55.235435
