CasesAge_0_9,CasesAge_10_19,CasesAge_20_29,CasesAge_30_39,CasesAge_40_49,CasesAge_50_59,CasesAge_60_69,CasesAge_70_79,CasesAge_80_plus,CasesAge_Unknown,Deaths,DeathsAge_0_9,DeathsAge_10_19,DeathsAge_20_29,DeathsAge_30_39,DeathsAge_40_49,DeathsAge_50_59,DeathsAge_60_69,DeathsAge_70_79,DeathsAge_80_plus,DeathsAge_Unknown,GenderFemaleCases,GenderFemaleDeaths,GenderMaleCases,GenderMaleDeaths,GenderUnknownCases,Hospitalizations,HospitalizedAge_0_9,HospitalizedAge_10_19,HospitalizedAge_20_29,HospitalizedAge_30_39,HospitalizedAge_40_49,HospitalizedAge_50_59,HospitalizedAge_60_69,HospitalizedAge_70_79,HospitalizedAge_80_plus,HospitalizedAge_Unknown,NotHospitalizedAge_0_9,NotHospitalizedAge_10_19,NotHospitalizedAge_20_29,NotHospitalizedAge_30_39,NotHospitalizedAge_40_49,NotHospitalizedAge_50_59,NotHospitalizedAge_60_69,NotHospitalizedAge_70_79,NotHospitalizedAge_80_plus,NotHospitalizedAge_Unknown,Outbreaks,PeopleTested,TotalCases,FileDate,Scrape_Time
2,7,20,39,35,33,23,15,6,3,2,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,1790,183,3/17/20,08:17.9
1,9,27,40,41,40,29,18,7,4,2,,,,,,,,,,,,,,,,26,,,,4,2,10,15,9,4,,3,15,53,62,60,54,37,28,7,,,2328,216,3/18/20,08:17.9
2,12,37,49,53,50,41,25,8,,2,,,,,,,,,,,,,,,,42,,,,3,2,9,14,6,4,,2,12,37,46,51,41,27,19,4,,,2952,277,3/19/20,08:17.9
3,15,53,66,62,64,52,37,11,,4,,,,,,,,,,,191,,172,,,44,,,,4,2,10,15,9,4,,3,15,53,62,60,54,37,28,7,,,3680,363,3/20/20,08:17.9
3,15,65,84,95,79,66,46,20,2,5,,,,,,,,,,,246,,229,,,49,,,,4,4,10,17,10,4,,3,15,65,80,91,69,49,36,16,2,,4550,475,3/21/20,08:17.9
5,17,83,102,117,95,82,60,27,3,6,,,,,,,,,,,290,,301,,,58,,,,6,7,11,17,12,5,,5,17,83,96,110,84,65,48,22,3,5,5436,591,3/22/20,08:17.9
5,18,101,123,145,114,98,80,33,3,7,0,0,0,0,0,0,2,4,1,0,351,,368,,1,72,,,,6,8,16,18,18,6,,5,18,101,117,137,98,78,58,26,3,5,6224,720,3/23/20,08:17.9
11,23,122,157,175,148,127,97,48,4,11,0,0,0,0,0,1,2,6,2,0,452,,460,,,84,,,,9,10,18,20,20,7,,11,23,122,148,165,129,105,71,39,4,7,7701,912,3/24/20,08:17.9
15,26,151,187,204,180,148,113,58,4,19,0,0,0,0,1,2,3,7,6,0,525,,549,,12,148,,,3,13,19,34,26,26,16,,15,26,148,174,184,144,119,80,36,4,9,8064,1086,3/25/20,08:17.9
19,38,202,247,247,245,201,145,81,5,24,0,0,0,0,1,2,3,7,11,0,715,,702,,13,184,1,,4,17,25,40,34,29,19,,18,38,198,230,221,203,164,109,51,5,9,10122,1430,3/26/20,08:17.9
20,43,250,301,282,294,250,183,106,5,31,0,0,0,0,1,2,4,10,14,0,888,14,835,17,11,239,1,,7,19,33,48,45,41,25,,19,43,243,282,248,244,201,132,67,5,9,11676,1734,3/27/20,26:22.2
22,48,308,351,323,352,293,220,135,9,44,0,0,0,0,2,3,4,14,21,0,1077,19,972,25,12,274,1,,9,19,37,55,53,48,30,,21,48,299,332,284,294,236,158,84,9,10,13276,2061,3/28/20,26:22.2
23,49,343,390,356,407,332,245,152,10,47,0,0,0,0,2,3,5,15,22,0,1201,19,1094,28,12,326,1,,9,23,40,65,64,59,39,,22,49,334,367,314,339,263,171,91,10,10,14470,2307,3/29/20,09:09.0
28,49,384,455,404,471,369,282,174,11,51,0,0,0,0,2,3,5,18,23,0,1358,19,1257,32,12,414,1,,12,33,44,86,80,78,48,,27,49,372,422,358,382,284,186,103,11,14,15364,2627,3/30/20,05:30.8
32,55,420,498,456,535,430,330,199,11,69,0,0,0,0,2,4,5,22,36,0,1531,29,1422,40,13,509,1,,14,38,56,101,105,98,50,,31,55,406,460,398,430,320,210,113,11,16,16849,2966,3/31/20,28:12.4
33,60,471,543,520,603,494,363,240,15,80,0,0,0,0,2,4,7,23,44,0,1729,32,1600,48,13,620,3,2,15,45,66,122,127,118,70,,30,58,456,498,452,477,360,222,126,15,17,18645,3342,4/1/20,08:17.9
39,64,520,590,586,680,564,407,263,15,97,0,0,0,0,3,4,9,26,55,0,1928,38,1785,59,15,710,3,2,18,48,73,143,145,130,81,1,36,62,502,542,510,533,410,251,127,14,21,20411,3728,4/2/20,26:20.4
43,73,575,670,652,761,630,454,298,17,111,0,0,0,1,4,6,11,27,62,0,2148,42,2007,69,18,823,5,2,21,57,87,160,166,159,93,,38,71,554,612,561,595,453,268,143,17,27,22071,4173,4/3/20,24:16.6
45,83,623,737,724,841,683,483,329,17,126,0,0,0,1,4,8,12,31,70,0,2364,48,2178,78,23,875,5,2,22,62,95,166,181,168,92,,40,81,601,674,625,667,490,284,167,17,30,23900,4565,4/4/20,09:55.1
49,93,681,802,788,913,734,512,361,17,140,0,0,0,1,5,8,14,35,77,0,2565,55,2360,85,25,924,5,2,23,67,97,177,190,176,100,,44,91,658,734,686,728,530,301,184,17,37,25773,4950,4/5/20,15:15.1
51,95,710,843,820,952,769,536,379,17,150,0,0,0,1,5,8,14,39,83,0,2675,58,2470,92,27,994,6,2,28,69,106,195,203,186,107,,45,93,682,773,709,749,552,311,189,17,41,26875,5172,4/6/20,28:47.3
58,100,744,879,857,1002,807,562,396,24,179,0,0,0,2,7,12,18,46,94,0,2815,67,2584,112,30,1079,6,2,32,84,123,204,214,198,112,,52,98,712,793,727,786,575,318,190,24,44,28094,5429,4/7/20,04:42.3
59,109,767,923,893,1045,850,576,408,25,193,0,0,1,2,7,13,20,52,98,0,2916,71,2705,122,34,1162,6,4,34,88,130,221,236,201,122,,53,105,732,833,756,811,594,323,188,25,48,29199,5655,4/8/20,19:04.9
68,125,846,1010,990,1143,910,618,466,26,226,0,0,1,2,9,13,22,57,122,0,3198,89,2969,137,35,1221,6,5,38,90,139,232,247,209,123,,62,120,807,918,842,898,641,352,221,26,54,31180,6202,4/9/20,51:31.1
73,134,892,1046,1038,1201,952,657,493,24,250,0,0,2,2,11,13,25,65,132,0,,,,,,1312,7,6,44,98,147,246,261,221,137,1,66,128,846,946,880,942,666,371,224,23,59,32653,6510,4/10/20,20:41.6
76,142,955,1110,1103,1254,1015,687,527,24,274,0,0,2,2,11,15,30,71,143,0,,,,,,1376,7,6,46,102,148,255,275,227,140,,69,136,907,1006,944,984,710,389,244,24,67,34873,6893,4/11/20,53:18.4
77,145,1010,1192,1176,1339,1062,719,559,24,290,0,0,2,2,11,15,34,78,148,0,,,,,,1417,7,6,48,104,151,258,282,235,148,,70,139,960,1086,1014,1066,746,406,263,24,68,37153,7303,4/12/20,39:13.9
78,149,1069,1252,1244,1406,1114,749,599,31,308,0,0,2,2,12,15,38,82,157,0,,,,,,1493,7,7,51,112,165,272,300,244,149,,71,142,1016,1138,1067,1119,776,423,293,31,72,38742,7691,4/13/20,21:41.2
82,156,1095,1284,1289,1449,1155,776,622,33,329,0,0,2,2,12,17,40,86,170,0,,,,,,1556,8,7,54,115,173,281,313,250,156,,74,149,1039,1167,1104,1151,802,440,296,33,78,39580,7941,4/14/20,01:23.4
83,164,1138,1346,1345,1509,1199,813,650,33,357,0,0,3,2,13,18,43,96,182,0,,,,,,1636,9,8,57,123,187,299,321,258,163,,74,156,1078,1221,1145,1192,835,459,305,33,83,40533,8280,4/15/20,12:31.2
87,181,1186,1404,1419,1570,1253,845,694,36,374,0,0,3,2,14,21,47,96,191,0,,,,,,1693,9,8,61,128,193,311,327,266,170,,78,173,1122,1274,1212,1238,879,483,333,36,93,41830,8675,4/16/20,16:57.6
90,193,1237,1467,1494,1643,1304,872,715,32,391,0,0,3,2,14,21,54,100,197,0,,,,,,1755,9,9,64,142,200,319,335,269,175,,81,184,1170,1323,1280,1303,915,503,343,32,100,43307,9047,4/17/20,04:07.0
94,208,1291,1528,1552,1708,1356,902,763,31,411,0,0,3,2,14,22,56,109,205,0,,,,,,1797,9,9,65,139,208,324,340,276,182,,85,199,1223,1387,1330,1362,960,517,376,31,107,44606,9433,4/18/20,11:11.9
