# Deaths Age [0-9],# Deaths Age [10-19],# Deaths Age [20-29],# Deaths Age [30-39],# Deaths Age [40-49],# Deaths Age [50-59],# Deaths Age [60-69],# Deaths Age [70-79],# Deaths Age [80+],# Deaths Age [Unknown],# Hospitalized Age [0-9],# Hospitalized Age [10-19],# Hospitalized Age [20-29],# Hospitalized Age [30-39],# Hospitalized Age [40-49],# Hospitalized Age [50-59],# Hospitalized Age [60-69],# Hospitalized Age [70-79],# Hospitalized Age [80+],# Hospitalized Age [Unknown],# Not Hospitalized Age [0-9],# Not Hospitalized Age [10-19],# Not Hospitalized Age [20-29],# Not Hospitalized Age [30-39],# Not Hospitalized Age [40-49],# Not Hospitalized Age [50-59],# Not Hospitalized Age [60-69],# Not Hospitalized Age [70-79],# Not Hospitalized Age [80+],# Not Hospitalized Age [Unknown],# Outbreaks,% Cases Age [0-9],% Cases Age [10-19],% Cases Age [20-29],% Cases Age [30-39],% Cases Age [40-49],% Cases Age [50-59],% Cases Age [60-69],% Cases Age [70-79],% Cases Age [80+],% Cases Age [Unknown],% Deaths Age [0-9],% Deaths Age [10-19],% Deaths Age [20-29],% Deaths Age [30-39],% Deaths Age [40-49],% Deaths Age [50-59],% Deaths Age [60-69],% Deaths Age [70-79],% Deaths Age [80+],% Deaths Age [Unknown],% Total Cases: Female,% Total Cases: Male,% Total Cases: Unknown Sex,Total Cases,Total Deaths,Total Hospitalized,Total Tested,FileDate,Scrape Time
0,2,5,5,24,47,125,222,514,0,29,27,150,296,442,637,641,495,330,2,268,596,2572,2823,2679,2406,1528,763,690,53,178,1.62,3.4,14.84,17.01,17.12,16.82,12.49,8.06,8.35,0.3,0,0.21,0.53,0.53,2.54,4.98,13.24,23.52,54.45,0,50.99,47.86,1.14,18371,944,3557,92267,5/7/20,16:18.5
0,1,5,5,24,47,129,225,524,0,29,27,153,298,449,644,649,501,331,1,275,629,2652,2902,2761,2471,1562,780,699,54,184,1.61,3.49,14.93,17.02,17.18,16.8,12.43,8,8.25,0.29,0,0.1,0.52,0.52,2.5,4.9,13.44,23.44,54.58,0,50.84,47.99,1.15,18827,960,3600,96772,5/8/20,16:18.5
0,1,5,5,25,47,131,226,527,0,29,27,154,297,453,650,652,504,332,1,287,665,2740,3017,2859,2552,1611,803,721,54,188,1.63,3.58,14.96,17.13,17.22,16.77,12.36,7.91,8.15,0.28,0,0.1,0.52,0.52,2.59,4.86,13.55,23.37,54.5,0,50.57,48.17,1.25,19375,967,3623,100610,5/9/20,16:18.5
0,1,5,5,25,47,131,227,530,0,29,27,155,297,454,650,654,505,333,1,301,682,2791,3078,2923,2594,1645,816,743,54,190,1.67,3.6,14.98,17.15,17.27,16.7,12.33,7.86,8.15,0.28,0,0.1,0.51,0.51,2.57,4.84,13.49,23.38,54.58,0,50.49,48.06,1.43,19703,971,3631,104077,5/10/20,16:18.5
0,1,5,6,26,47,134,229,539,0,29,28,159,300,459,652,657,510,333,1,311,706,2807,3100,2957,2620,1652,818,742,51,192,1.71,3.7,14.95,17.13,17.31,16.7,12.29,7.83,8.12,0.26,0,0.1,0.51,0.61,2.63,4.76,13.58,23.2,54.61,0,50.62,48.01,1.36,19879,987,3663,106761,5/11/20,16:18.5
0,1,6,7,26,49,135,234,551,0,30,28,157,303,461,661,664,511,337,1,314,722,2856,3156,3002,2667,1667,824,738,49,199,1.71,3.73,14.98,17.2,17.31,16.75,12.23,7.78,8.07,0.25,0,0.1,0.59,0.69,2.58,4.86,13.38,23.19,54.61,0,50.57,48.38,1.05,20157,1009,3695,109304,5/12/20,16:18.5
0,1,6,7,27,51,142,243,585,0,30,29,159,303,467,668,668,513,336,1,324,741,2902,3200,3054,2703,1682,831,750,52,206,1.73,3.77,14.98,17.14,17.33,16.71,12.17,7.75,8.16,0.26,0,0.09,0.56,0.66,2.54,4.8,13.37,22.88,55.08,0,50.55,48.34,1.09,20475,1062,3735,112505,5/13/20,16:18.5
0,1,6,7,28,55,146,250,598,0,31,30,162,311,475,674,677,518,338,1,339,769,2961,3262,3100,2749,1709,834,754,53,208,1.78,3.84,15.02,17.18,17.29,16.69,12.15,7.69,8.11,0.26,0,0.09,0.55,0.64,2.57,5.04,13.38,22.91,54.81,0,50.53,48.43,1.04,20838,1091,3789,115996,5/14/20,16:18.5
0,2,7,7,30,57,154,267,626,0,32,30,165,316,474,686,683,517,337,1,357,802,3030,3323,3163,2785,1731,841,755,54,213,1.83,3.93,15.08,17.17,17.27,16.62,12.09,7.65,8.09,0.26,0,0.17,0.61,0.61,2.61,4.96,13.39,23.22,54.43,0,50.62,48.37,1,21232,,3842,119759,5/15/20,16:18.5
0,2,7,7,31,60,158,280,647,0,32,30,165,319,477,689,686,513,339,1,382,839,3099,3397,3231,2818,1759,853,757,55,222,1.91,4.03,15.12,17.21,17.28,16.49,12.03,7.61,8.06,0.26,0,0.17,0.59,0.59,2.6,5.03,13.26,23.49,54.28,0,50.65,48.32,1.01,21633,,3866,123422,5/16/20,16:18.5
