# Cases Age [0-9],# Cases Age [10-19],# Cases Age [20-29],# Cases Age [30-39],# Cases Age [40-49],# Cases Age [50-59],# Cases Age [60-69],# Cases Age [70-79],# Cases Age [80 and older],# Confirmed Cases Age [0-9],# Confirmed Cases Age [10-19],# Confirmed Cases Age [20-29],# Confirmed Cases Age [30-39],# Confirmed Cases Age [40-49],# Confirmed Cases Age [50-59],# Confirmed Cases Age [60-69],# Confirmed Cases Age [70-79],# Confirmed Cases Age [80 and older],# Confirmed Deaths Age [0-9],# Confirmed Deaths Age [10-19],# Confirmed Deaths Age [20-29],# Confirmed Deaths Age [30-39],# Confirmed Deaths Age [40-49],# Confirmed Deaths Age [50-59],# Confirmed Deaths Age [60-69],# Confirmed Deaths Age [70-79],# Confirmed Deaths Age [80 and older],# Deaths Age [0-9],# Deaths Age [10-19],# Deaths Age [20-29],# Deaths Age [30-39],# Deaths Age [40-49],# Deaths Age [50-59],# Deaths Age [60-69],# Deaths Age [70-79],# Deaths Age [80 and older],# Probable Cases Age [0-9],# Probable Cases Age [10-19],# Probable Cases Age [20-29],# Probable Cases Age [30-39],# Probable Cases Age [40-49],# Probable Cases Age [50-59],# Probable Cases Age [60-69],# Probable Cases Age [70-79],# Probable Cases Age [80 and older],# Probable Deaths Age [0-9],# Probable Deaths Age [10-19],# Probable Deaths Age [20-29],# Probable Deaths Age [30-39],# Probable Deaths Age [40-49],# Probable Deaths Age [50-59],# Probable Deaths Age [60-69],# Probable Deaths Age [70-79],# Probable Deaths Age [80 and older],Reported Date
689,1458,5863,6741,6680,7989,6607,4441,6986,666,1401,5658,6573,6493,7752,6396,4207,6328,1,1,4,21,44,146,459,783,2033,1,1,4,21,56,176,542,951,2619,23,57,205,168,187,237,211,234,658,0,0,0,0,12,30,83,168,586,2020-07-12 00:00:00
682,1430,5807,6707,6655,7956,6589,4434,6971,659,1374,5603,6540,6468,7721,6378,4196,6320,1,1,4,21,44,146,455,779,2025,1,1,4,21,56,176,537,947,2605,23,56,204,167,187,235,211,238,651,0,0,0,0,12,30,82,168,580,2020-07-09 00:00:00
678,1422,5792,6701,6645,7945,6579,4430,6961,655,1366,5588,6532,6457,7709,6366,4192,6310,1,1,4,21,44,146,455,779,2025,1,1,4,21,56,176,537,947,2605,23,56,204,169,188,236,213,238,651,0,0,0,0,12,30,82,168,580,2020-07-08 00:00:00
674,1412,5761,6685,6633,7935,6574,4424,6955,651,1357,5558,6516,6448,7701,6360,4186,6304,1,1,4,21,44,146,453,778,2023,1,1,4,21,56,176,535,946,2603,23,55,203,169,185,234,214,238,651,0,0,0,0,12,30,82,168,580,2020-07-07 00:00:00
670,1403,5750,6670,6622,7926,6565,4417,6952,647,1349,5547,6502,6438,7692,6352,4179,6300,1,1,4,21,44,146,452,777,2020,1,1,4,21,56,176,533,945,2601,23,54,203,168,184,234,213,238,652,0,0,0,0,12,30,81,168,581,2020-07-06 00:00:00
668,1400,5734,6662,6614,7921,6551,4416,6952,645,1346,5530,6494,6430,7687,6337,4178,6300,1,1,4,21,44,146,452,777,2020,1,1,4,21,56,176,533,945,2601,23,54,204,168,184,234,214,238,652,0,0,0,0,12,30,81,168,581,2020-07-05 00:00:00
663,1374,5657,6631,6587,7880,6529,4400,6938,640,1320,5455,6464,6403,7645,6316,4162,6286,1,1,4,21,44,146,452,777,2017,1,1,4,21,56,176,533,945,2598,23,54,202,167,184,235,213,238,652,0,0,0,0,12,30,81,168,581,2020-07-02 00:00:00
660,1369,5637,6620,6579,7873,6526,4398,6926,637,1314,5436,6452,6395,7636,6313,4160,6279,1,1,4,21,44,146,451,775,2016,1,1,4,21,56,176,532,943,2592,23,55,201,168,184,237,213,238,647,0,0,0,0,12,30,81,168,576,2020-07-01 00:00:00
658,1366,5625,6610,6570,7863,6517,4395,6909,634,1311,5424,6442,6385,7625,6303,4157,6261,1,1,4,21,44,146,451,775,2014,1,1,4,21,56,176,532,943,2590,24,55,201,168,185,238,214,238,648,0,0,0,0,12,30,81,168,576,2020-06-30 00:00:00
655,1362,5610,6598,6561,7857,6509,4393,6910,631,1307,5411,6430,6376,7618,6296,4155,6259,1,1,4,21,44,146,451,774,2011,1,1,4,21,56,176,531,942,2590,24,55,199,168,185,239,213,238,651,0,0,0,0,12,30,80,168,579,2020-06-29 00:00:00
