# Cases Age [0-9],# Cases Age [10-19],# Cases Age [20-29],# Cases Age [30-39],# Cases Age [40-49],# Cases Age [50-59],# Cases Age [60-69],# Cases Age [70-79],# Cases Age [80 and older],# Confirmed Cases Age [0-9],# Confirmed Cases Age [10-19],# Confirmed Cases Age [20-29],# Confirmed Cases Age [30-39],# Confirmed Cases Age [40-49],# Confirmed Cases Age [50-59],# Confirmed Cases Age [60-69],# Confirmed Cases Age [70-79],# Confirmed Cases Age [80 and older],# Confirmed Deaths Age [0-9],# Confirmed Deaths Age [10-19],# Confirmed Deaths Age [20-29],# Confirmed Deaths Age [30-39],# Confirmed Deaths Age [40-49],# Confirmed Deaths Age [50-59],# Confirmed Deaths Age [60-69],# Confirmed Deaths Age [70-79],# Confirmed Deaths Age [80 and older],# Deaths Age [0-9],# Deaths Age [10-19],# Deaths Age [20-29],# Deaths Age [30-39],# Deaths Age [40-49],# Deaths Age [50-59],# Deaths Age [60-69],# Deaths Age [70-79],# Deaths Age [80 and older],# Probable Cases Age [0-9],# Probable Cases Age [10-19],# Probable Cases Age [20-29],# Probable Cases Age [30-39],# Probable Cases Age [40-49],# Probable Cases Age [50-59],# Probable Cases Age [60-69],# Probable Cases Age [70-79],# Probable Cases Age [80 and older],# Probable Deaths Age [0-9],# Probable Deaths Age [10-19],# Probable Deaths Age [20-29],# Probable Deaths Age [30-39],# Probable Deaths Age [40-49],# Probable Deaths Age [50-59],# Probable Deaths Age [60-69],# Probable Deaths Age [70-79],# Probable Deaths Age [80 and older],Reported Date
508,1078,4763,5867,5949,7286,6147,4099,6378,,,,,,,,,,,,,,,,,,,1,1,4,19,52,157,497,843,2369,,,,,,,,,,,,,,,,,,,2020-05-30 00:00:00
501,1072,4751,5855,5933,7257,6122,4076,6333,,,,,,,,,,,,,,,,,,,1,1,4,19,52,157,492,837,2348,,,,,,,,,,,,,,,,,,,2020-05-29 00:00:00
488,1059,4702,5829,5896,7219,6096,4055,6299,,,,,,,,,,,,,,,,,,,1,1,4,19,52,157,490,822,2321,,,,,,,,,,,,,,,,,,,2020-05-28 00:00:00
481,1050,4682,5791,5871,7200,6067,4039,6265,,,,,,,,,,,,,,,,,,,1,1,4,19,52,154,483,815,2296,,,,,,,,,,,,,,,,,,,2020-05-27 00:00:00
477,1040,4641,5753,5846,7150,6025,4022,6222,,,,,,,,,,,,,,,,,,,1,1,4,19,53,154,478,816,2276,,,,,,,,,,,,,,,,,,,2020-05-26 00:00:00
465,1040,4650,5747,5882,7184,6021,4016,6165,,,,,,,,,,,,,,,,,,,1,1,4,19,53,153,472,808,2257,,,,,,,,,,,,,,,,,,,2020-05-25 00:00:00
459,1016,4590,5705,5788,7087,5971,3995,6147,,,,,,,,,,,,,,,,,,,1,1,4,19,52,153,467,805,2239,,,,,,,,,,,,,,,,,,,2020-05-24 00:00:00
446,992,4532,5636,5723,7027,5916,3961,6100,,,,,,,,,,,,,,,,,,,1,1,4,19,51,155,461,800,2200,,,,,,,,,,,,,,,,,,,2020-05-23 00:00:00
436,981,4479,5563,5674,6974,5882,3905,5992,,,,,,,,,,,,,,,,,,,1,1,4,19,52,154,462,796,2185,,,,,,,,,,,,,,,,,,,2020-05-22 00:00:00
421,966,4417,5505,5619,6922,5845,3881,5947,,,,,,,,,,,,,,,,,,,1,1,4,20,51,153,457,787,2162,,,,,,,,,,,,,,,,,,,2020-05-21 00:00:00
409,942,4368,5449,5571,6857,5787,3842,5863,,,,,,,,,,,,,,,,,,,1,1,4,20,50,150,443,774,2138,,,,,,,,,,,,,,,,,,,2020-05-20 00:00:00
407,935,4338,5423,5549,6833,5764,3829,5817,,,,,,,,,,,,,,,,,,,1,1,4,20,51,148,436,765,2101,,,,,,,,,,,,,,,,,,,2020-05-19 04:00:00
386,897,4264,5340,5475,6739,5686,3772,5748,,,,,,,,,,,,,,,,,,,1,1,4,20,51,143,433,749,2068,,,,,,,,,,,,,,,,,,,2020-05-18 00:00:00
376,900,4247,5297,5427,6690,5620,3742,5681,,,,,,,,,,,,,,,,,,,1,1,4,20,53,140,435,745,2048,,,,,,,,,,,,,,,,,,,2020-05-17 00:00:00
352,852,4131,5236,5345,6597,5568,3668,5545,,,,,,,,,,,,,,,,,,,1,1,4,20,48,141,426,733,2032,,,,,,,,,,,,,,,,,,,2020-05-16 00:00:00
339,830,4037,5123,5251,6453,5457,3609,5463,,,,,,,,,,,,,,,,,,,1,1,4,20,46,136,418,720,1991,,,,,,,,,,,,,,,,,,,2020-05-15 00:00:00
332,810,3955,5035,5184,6363,5381,3549,5343,,,,,,,,,,,,,,,,,,,1,1,4,20,45,133,410,710,1958,,,,,,,,,,,,,,,,,,,2020-05-14 00:00:00
328,789,3866,4934,5095,6266,5299,3495,5260,,,,,,,,,,,,,,,,,,,1,1,4,19,45,130,403,695,1918,,,,,,,,,,,,,,,,,,,2020-05-13 00:00:00
313,765,3825,4858,5036,6159,5209,3432,5131,,,,,,,,,,,,,,,,,,,1,1,4,19,43,127,390,680,1856,,,,,,,,,,,,,,,,,,,2020-05-12 00:00:00
303,748,3739,4777,4970,6088,5152,3384,5032,,,,,,,,,,,,,,,,,,,1,1,4,19,41,125,380,668,1798,,,,,,,,,,,,,,,,,,,2020-05-11 00:00:00
289,729,3664,4677,4898,5996,5091,3330,4950,,,,,,,,,,,,,,,,,,,1,1,4,19,40,123,373,665,1777,,,,,,,,,,,,,,,,,,,2020-05-10 00:00:00
287,724,3649,4661,4870,5956,5060,3304,4902,,,,,,,,,,,,,,,,,,,1,1,4,19,40,120,363,656,1758,,,,,,,,,,,,,,,,,,,2020-05-09 00:00:00
280,709,3577,4587,4799,5852,4974,3266,4805,,,,,,,,,,,,,,,,,,,1,1,4,20,39,121,363,641,1739,,,,,,,,,,,,,,,,,,,2020-05-08 00:00:00
267,684,3506,4505,4728,5768,4894,3216,4704,,,,,,,,,,,,,,,,,,,1,1,4,19,41,120,356,630,1699,,,,,,,,,,,,,,,,,,,2020-05-07 00:00:00
256,663,3411,4393,4638,5672,4824,3159,4626,,,,,,,,,,,,,,,,,,,1,1,4,19,41,120,343,615,1650,,,,,,,,,,,,,,,,,,,2020-05-06 00:00:00
243,638,3332,4303,4531,5539,4716,3062,4485,,,,,,,,,,,,,,,,,,,1,1,4,19,38,120,340,596,1596,,,,,,,,,,,,,,,,,,,2020-05-05 00:00:00
239,628,3292,4254,4491,5493,4663,3010,4400,,,,,,,,,,,,,,,,,,,1,1,4,18,38,116,328,581,1543,,,,,,,,,,,,,,,,,,,2020-05-04 00:00:00
226,611,3190,4151,4401,5405,4583,2946,4307,,,,,,,,,,,,,,,,,,,1,1,4,18,37,111,324,558,1499,,,,,,,,,,,,,,,,,,,2020-05-03 04:00:00
220,603,3122,4042,4298,5297,4483,2872,4193,,,,,,,,,,,,,,,,,,,1,1,4,18,33,104,309,535,1426,,,,,,,,,,,,,,,,,,,2020-05-02 00:00:00
214,589,3051,3977,4227,5218,4413,2808,4063,,,,,,,,,,,,,,,,,,,1,1,3,18,32,102,300,521,1357,,,,,,,,,,,,,,,,,,,2020-05-01 00:00:00
207,568,2936,3821,4063,5040,4259,2712,3860,,,,,,,,,,,,,,,,,,,1,1,3,18,31,101,290,507,1301,,,,,,,,,,,,,,,,,,,2020-04-30 00:00:00
199,537,2820,3695,3952,4894,4124,2609,3704,,,,,,,,,,,,,,,,,,,1,1,3,16,31,98,279,486,1249,,,,,,,,,,,,,,,,,,,2020-04-29 00:00:00
190,532,2770,3651,3905,4840,4053,2545,3593,,,,,,,,,,,,,,,,,,,1,1,3,17,31,96,274,468,1195,,,,,,,,,,,,,,,,,,,2020-04-28 00:00:00
188,523,2750,3614,3885,4796,4011,2501,3498,,,,,,,,,,,,,,,,,,,1,1,3,16,31,92,270,455,1141,,,,,,,,,,,,,,,,,,,2020-04-27 00:00:00
