County Name,Reported Date,Total Cases,Total Confirmed Cases,Total Confirmed Deaths,Total Deaths,Total Hospitalized,Total Probable Cases,Total Probable Deaths
Fairfield,2020-07-12 00:00:00,16954,16309,1075,1385,23,645,310
Hartford,2020-07-12 00:00:00,11949,11268,1074,1391,18,681,317
Litchfield,2020-07-12 00:00:00,1512,1448,118,139,1,64,21
Middlesex,2020-07-12 00:00:00,1340,1281,149,187,5,59,38
New Haven,2020-07-12 00:00:00,12612,12221,936,1087,23,391,151
New London,2020-07-12 00:00:00,1328,1269,75,101,4,59,26
Tolland,2020-07-12 00:00:00,935,865,50,65,0,70,15
Windham,2020-07-12 00:00:00,636,629,13,14,0,7,1
Fairfield,2020-07-09 00:00:00,16906,16265,1074,1380,25,641,306
Hartford,2020-07-09 00:00:00,11892,11212,1068,1385,28,680,317
Litchfield,2020-07-09 00:00:00,1510,1447,117,137,1,63,20
Middlesex,2020-07-09 00:00:00,1335,1276,149,187,5,59,38
New Haven,2020-07-09 00:00:00,12532,12142,929,1079,15,390,150
New London,2020-07-09 00:00:00,1322,1263,76,102,3,59,26
Tolland,2020-07-09 00:00:00,928,859,50,64,0,69,14
Windham,2020-07-09 00:00:00,632,625,13,14,0,7,1
Fairfield,2020-07-08 00:00:00,16886,16245,1074,1380,32,641,306
Hartford,2020-07-08 00:00:00,11866,11185,1068,1385,31,681,317
Litchfield,2020-07-08 00:00:00,1510,1446,117,137,1,64,20
Middlesex,2020-07-08 00:00:00,1334,1275,149,187,6,59,38
New Haven,2020-07-08 00:00:00,12509,12119,929,1079,17,390,150
New London,2020-07-08 00:00:00,1319,1257,76,102,3,62,26
Tolland,2020-07-08 00:00:00,928,859,50,64,0,69,14
Windham,2020-07-08 00:00:00,630,622,13,14,0,8,1
Fairfield,2020-07-07 00:00:00,16859,16220,1072,1378,34,639,306
Hartford,2020-07-07 00:00:00,11835,11155,1065,1382,29,680,317
Litchfield,2020-07-07 00:00:00,1509,1446,117,137,0,63,20
Middlesex,2020-07-07 00:00:00,1331,1272,149,187,8,59,38
New Haven,2020-07-07 00:00:00,12486,12097,929,1079,13,389,150
New London,2020-07-07 00:00:00,1308,1246,76,102,3,62,26
Tolland,2020-07-07 00:00:00,926,857,50,64,0,69,14
Windham,2020-07-07 00:00:00,626,619,13,14,1,7,1
Fairfield,2020-07-06 00:00:00,16837,16200,1071,1377,26,637,306
Hartford,2020-07-06 00:00:00,11812,11133,1064,1380,30,679,316
Litchfield,2020-07-06 00:00:00,1508,1444,117,137,1,64,20
Middlesex,2020-07-06 00:00:00,1320,1260,147,186,5,60,39
New Haven,2020-07-06 00:00:00,12473,12084,928,1078,18,389,150
New London,2020-07-06 00:00:00,1304,1242,76,102,1,62,26
Tolland,2020-07-06 00:00:00,925,857,50,64,0,68,14
Windham,2020-07-06 00:00:00,627,620,13,14,2,7,1
Fairfield,2020-07-05 00:00:00,16823,16186,1071,1377,25,637,306
Hartford,2020-07-05 00:00:00,11794,11115,1064,1380,24,679,316
Litchfield,2020-07-05 00:00:00,1504,1440,117,137,1,64,20
Middlesex,2020-07-05 00:00:00,1321,1261,147,186,3,60,39
New Haven,2020-07-05 00:00:00,12462,12072,928,1078,14,390,150
New London,2020-07-05 00:00:00,1296,1234,76,102,1,62,26
Tolland,2020-07-05 00:00:00,925,856,50,64,0,69,14
Windham,2020-07-05 00:00:00,624,617,13,14,1,7,1
Fairfield,2020-07-02 00:00:00,16757,16119,1071,1377,31,638,306
Hartford,2020-07-02 00:00:00,11728,11050,1062,1378,27,678,316
Litchfield,2020-07-02 00:00:00,1494,1430,117,137,1,64,20
Middlesex,2020-07-02 00:00:00,1308,1249,147,186,5,59,39
New Haven,2020-07-02 00:00:00,12409,12022,927,1077,27,387,150
New London,2020-07-02 00:00:00,1277,1215,76,102,4,62,26
Tolland,2020-07-02 00:00:00,915,846,50,64,0,69,14
Windham,2020-07-02 00:00:00,616,609,13,14,0,7,1
Fairfield,2020-07-01 00:00:00,16733,16094,1070,1376,31,639,306
Hartford,2020-07-01 00:00:00,11716,11041,1060,1374,33,675,314
Litchfield,2020-07-01 00:00:00,1492,1429,117,137,1,63,20
Middlesex,2020-07-01 00:00:00,1311,1252,146,185,6,59,39
New Haven,2020-07-01 00:00:00,12383,11995,927,1074,28,388,147
New London,2020-07-01 00:00:00,1273,1211,76,102,2,62,26
Tolland,2020-07-01 00:00:00,915,845,50,64,0,70,14
Windham,2020-07-01 00:00:00,612,605,13,14,0,7,1
Fairfield,2020-06-30 00:00:00,16717,16078,1070,1376,31,639,306
Hartford,2020-06-30 00:00:00,11691,11013,1059,1373,32,678,314
Litchfield,2020-06-30 00:00:00,1490,1427,117,137,0,63,20
Middlesex,2020-06-30 00:00:00,1304,1245,146,185,7,59,39
New Haven,2020-06-30 00:00:00,12368,11978,926,1073,28,390,147
New London,2020-06-30 00:00:00,1268,1206,76,102,2,62,26
Tolland,2020-06-30 00:00:00,913,843,50,64,0,70,14
Windham,2020-06-30 00:00:00,612,605,13,14,0,7,1
Fairfield,2020-06-29 00:00:00,16703,16064,1070,1376,37,639,306
Hartford,2020-06-29 00:00:00,11662,10987,1057,1370,28,675,313
Litchfield,2020-06-29 00:00:00,1490,1427,117,137,0,63,20
Middlesex,2020-06-29 00:00:00,1305,1246,145,184,3,59,39
New Haven,2020-06-29 00:00:00,12359,11965,925,1075,27,394,150
New London,2020-06-29 00:00:00,1268,1206,76,102,3,62,26
Tolland,2020-06-29 00:00:00,913,843,50,64,0,70,14
Windham,2020-06-29 00:00:00,610,603,13,14,0,7,1
Fairfield,2020-06-28 00:00:00,16664,16025,1070,1376,32,639,306
Hartford,2020-06-28 00:00:00,11623,10950,1057,1370,26,673,313
Litchfield,2020-06-28 00:00:00,1487,1424,116,136,0,63,20
Middlesex,2020-06-28 00:00:00,1295,1235,144,183,6,60,39
New Haven,2020-06-28 00:00:00,12318,11924,925,1075,33,394,150
New London,2020-06-28 00:00:00,1255,1193,76,102,2,62,26
Tolland,2020-06-28 00:00:00,909,839,50,64,0,70,14
Windham,2020-06-28 00:00:00,606,599,13,14,0,7,1
Fairfield,2020-06-27 00:00:00,16633,15995,1070,1375,32,638,305
Hartford,2020-06-27 00:00:00,11587,10912,1056,1369,27,675,313
Litchfield,2020-06-27 00:00:00,1482,1419,116,136,1,63,20
Middlesex,2020-06-27 00:00:00,1292,1232,144,183,8,60,39
New Haven,2020-06-27 00:00:00,12299,11905,923,1073,33,394,150
New London,2020-06-27 00:00:00,1244,1182,76,102,2,62,26
Tolland,2020-06-27 00:00:00,910,840,50,64,0,70,14
Windham,2020-06-27 00:00:00,605,598,13,14,0,7,1
Fairfield,2020-06-26 00:00:00,16606,15968,1070,1375,35,638,305
Hartford,2020-06-26 00:00:00,11558,10882,1056,1369,24,676,313
Litchfield,2020-06-26 00:00:00,1482,1419,116,136,1,63,20
Middlesex,2020-06-26 00:00:00,1287,1226,143,182,9,61,39
New Haven,2020-06-26 00:00:00,12275,11881,919,1069,35,394,150
New London,2020-06-26 00:00:00,1241,1179,76,102,1,62,26
Tolland,2020-06-26 00:00:00,906,836,50,64,0,70,14
Windham,2020-06-26 00:00:00,599,592,13,14,1,7,1
Fairfield,2020-06-25 00:00:00,16564,15931,1070,1375,46,633,305
Hartford,2020-06-25 00:00:00,11511,10835,1053,1365,25,676,312
Litchfield,2020-06-25 00:00:00,1471,1408,116,136,1,63,20
Middlesex,2020-06-25 00:00:00,1282,1222,143,182,8,60,39
New Haven,2020-06-25 00:00:00,12254,11862,919,1069,45,392,150
New London,2020-06-25 00:00:00,1223,1161,76,102,1,62,26
Tolland,2020-06-25 00:00:00,904,834,50,64,0,70,14
Windham,2020-06-25 00:00:00,598,591,13,14,1,7,1
Fairfield,2020-06-24 00:00:00,16547,15914,1069,1373,46,633,304
Hartford,2020-06-24 00:00:00,11483,10806,1051,1362,25,677,311
Litchfield,2020-06-24 00:00:00,1469,1406,116,136,1,63,20
Middlesex,2020-06-24 00:00:00,1277,1218,141,179,8,59,38
New Haven,2020-06-24 00:00:00,12245,11852,918,1068,39,393,150
New London,2020-06-24 00:00:00,1219,1157,76,102,2,62,26
Tolland,2020-06-24 00:00:00,899,829,50,64,0,70,14
Windham,2020-06-24 00:00:00,595,586,13,14,1,9,1
Fairfield,2020-06-23 00:00:00,16527,15896,1067,1370,47,631,303
Hartford,2020-06-23 00:00:00,11450,10782,1044,1356,28,668,312
Litchfield,2020-06-23 00:00:00,1469,1406,116,136,1,63,20
Middlesex,2020-06-23 00:00:00,1273,1214,141,179,8,59,38
New Haven,2020-06-23 00:00:00,12227,11838,916,1066,37,389,150
New London,2020-06-23 00:00:00,1221,1159,76,102,2,62,26
Tolland,2020-06-23 00:00:00,898,828,50,64,0,70,14
Windham,2020-06-23 00:00:00,588,581,13,14,1,7,1
Fairfield,2020-06-22 00:00:00,16522,15892,1065,1367,46,630,302
Hartford,2020-06-22 00:00:00,11443,10775,1040,1352,39,668,312
Litchfield,2020-06-22 00:00:00,1469,1406,116,136,1,63,20
Middlesex,2020-06-22 00:00:00,1272,1213,139,177,10,59,38
New Haven,2020-06-22 00:00:00,12225,11836,915,1065,38,389,150
New London,2020-06-22 00:00:00,1221,1159,76,102,3,62,26
Tolland,2020-06-22 00:00:00,898,828,50,64,0,70,14
Windham,2020-06-22 00:00:00,587,580,13,14,1,7,1
Fairfield,2020-06-21 00:00:00,16483,15854,1064,1362,51,629,298
Hartford,2020-06-21 00:00:00,11414,10743,1038,1350,39,671,312
Litchfield,2020-06-21 00:00:00,1467,1404,115,135,1,63,20
Middlesex,2020-06-21 00:00:00,1259,1200,136,174,8,59,38
New Haven,2020-06-21 00:00:00,12196,11805,911,1063,37,391,152
New London,2020-06-21 00:00:00,1214,1152,76,101,3,62,25
Tolland,2020-06-21 00:00:00,895,825,50,64,0,70,14
Windham,2020-06-21 00:00:00,584,577,13,14,1,7,1
Fairfield,2020-06-20 00:00:00,16475,15847,1063,1361,53,628,298
Hartford,2020-06-20 00:00:00,11405,10738,1039,1350,44,667,311
Litchfield,2020-06-20 00:00:00,1467,1404,115,135,1,63,20
Middlesex,2020-06-20 00:00:00,1259,1200,136,174,9,59,38
New Haven,2020-06-20 00:00:00,12185,11798,909,1061,37,387,152
New London,2020-06-20 00:00:00,1217,1155,76,101,4,62,25
Tolland,2020-06-20 00:00:00,895,825,50,64,0,70,14
Windham,2020-06-20 00:00:00,579,572,13,14,1,7,1
Fairfield,2020-06-19 00:00:00,16469,15841,1063,1361,53,628,298
Hartford,2020-06-19 00:00:00,11392,10726,1034,1344,35,666,310
Litchfield,2020-06-19 00:00:00,1467,1404,115,135,3,63,20
Middlesex,2020-06-19 00:00:00,1258,1200,135,172,9,58,37
New Haven,2020-06-19 00:00:00,12174,11786,908,1060,46,388,152
New London,2020-06-19 00:00:00,1209,1147,76,101,3,62,25
Tolland,2020-06-19 00:00:00,895,825,50,64,0,70,14
Windham,2020-06-19 00:00:00,575,568,13,14,1,7,1
Fairfield,2020-06-18 00:00:00,16425,15801,1060,1355,66,624,295
Hartford,2020-06-18 00:00:00,11358,10690,1032,1341,35,668,309
Litchfield,2020-06-18 00:00:00,1448,1385,114,135,5,63,21
Middlesex,2020-06-18 00:00:00,1254,1195,135,172,8,59,37
New Haven,2020-06-18 00:00:00,12136,11751,905,1056,52,385,151
New London,2020-06-18 00:00:00,1203,1141,76,101,5,62,25
Tolland,2020-06-18 00:00:00,893,823,50,64,0,70,14
Windham,2020-06-18 00:00:00,567,560,13,14,1,7,1
Fairfield,2020-06-17 00:00:00,16398,15773,1058,1352,64,625,294
Hartford,2020-06-17 00:00:00,11322,10653,1029,1336,37,669,307
Litchfield,2020-06-17 00:00:00,1447,1385,114,135,7,62,21
