Reported Date,Total Cases: Female,Total Cases: Male,Total Confirmed Cases: Female,Total Confirmed Cases: Male,Total Confirmed Deaths: Female,Total Confirmed Deaths: Male,Total Deaths: Female,Total Deaths: Male,Total Probable Cases: Female,Total Probable Cases: Male,Total Probable Deaths: Female,Total Probable Deaths: Male
2020-07-12 00:00:00,25978,21412,24882,20530,1795,1695,2283,2086,1096,882,488,391
2020-07-09 00:00:00,25838,21329,24744,20453,1787,1688,2272,2075,1094,876,485,387
2020-07-08 00:00:00,25783,21305,24683,20429,1787,1688,2272,2075,1100,876,485,387
2020-07-07 00:00:00,25725,21266,24628,20392,1784,1686,2269,2073,1097,874,485,387
2020-07-06 00:00:00,25682,21227,24585,20355,1781,1685,2266,2072,1097,872,485,387
2020-07-05 00:00:00,25651,21203,24554,20329,1781,1685,2266,2072,1097,874,485,387
2020-07-02 00:00:00,25503,21091,24409,20217,1780,1683,2265,2070,1094,874,485,387
2020-07-01 00:00:00,25459,21064,24367,20190,1778,1681,2262,2064,1092,874,484,383
2020-06-30 00:00:00,25414,21039,24320,20163,1777,1680,2261,2063,1094,876,484,383
2020-06-29 00:00:00,25385,21011,24289,20136,1776,1677,2261,2061,1096,875,485,384
2020-06-28 00:00:00,25303,20935,24208,20062,1773,1676,2256,2060,1095,873,483,384
2020-06-27 00:00:00,25228,20872,24135,20003,1771,1674,2254,2057,1093,869,483,383
2020-06-26 00:00:00,25171,20833,24077,19963,1768,1672,2251,2055,1094,870,483,383
2020-06-25 00:00:00,25081,20775,23992,19907,1766,1671,2249,2053,1089,868,483,382
2020-06-24 00:00:00,25040,20748,23948,19880,1765,1666,2248,2045,1092,868,483,379
2020-06-23 00:00:00,24989,20718,23909,19855,1758,1662,2241,2041,1080,863,483,379
2020-06-22 00:00:00,24980,20713,23901,19850,1753,1658,2235,2037,1079,863,482,379
2020-06-21 00:00:00,24907,20667,23825,19803,1746,1654,2225,2033,1082,864,479,379
2020-06-20 00:00:00,24896,20651,23820,19790,1746,1652,2225,2030,1076,861,479,378
2020-06-19 00:00:00,24875,20632,23798,19773,1741,1650,2220,2026,1077,859,479,376
2020-06-18 00:00:00,24786,20564,23711,19708,1737,1645,2212,2021,1075,856,475,376
2020-06-17 00:00:00,24721,20510,23645,19655,1734,1641,2206,2015,1076,855,472,374
2020-06-16 00:00:00,24665,20486,23593,19632,1731,1639,2201,2013,1072,854,470,374
2020-06-15 00:00:00,24628,20446,23559,19597,1722,1637,2194,2011,1069,849,472,374
2020-06-14 00:00:00,24587,20374,23519,19526,1717,1636,2189,2010,1068,848,472,374
2020-06-13 00:00:00,24541,20334,23481,19494,1717,1635,2189,2007,1060,840,472,372
2020-06-12 00:00:00,24503,20250,23443,19410,1709,1630,2179,2002,1060,840,470,372
2020-06-11 00:00:00,24366,20078,23312,19247,1697,1621,2165,1989,1054,831,468,368
2020-06-10 00:00:00,24297,19919,23244,19084,1688,1617,2154,1987,1053,835,466,370
