Reported Date,Total Cases: Female,Total Cases: Male,Total Deaths: Female,Total Deaths: Male
5/30/20 00:00,23080,18906,2043,1895
5/29/20 00:00,22967,18846,2021,1885
5/28/20 00:00,22826,18735,1990,1872
5/27/20 00:00,22702,18662,1962,1858
5/26/20 00:00,22534,18558,1950,1847
5/25/20 00:00,22544,18542,1931,1832
5/24/20 00:00,22325,18344,1905,1828
5/23/20 00:00,22099,18145,1863,1821
5/22/20 00:00,21879,17913,1860,1805
5/21/20 00:00,21692,17738,1838,1790
5/20/20 00:00,21457,17550,1816,1759
5/19/20 04:00,21345,17476,1785,1737
5/18/20 00:00,21019,17231,1752,1714
5/17/20 00:00,20855,17067,1737,1706
5/16/20 00:00,20463,16769,1710,1690
5/15/20 00:00,20033,16468,1679,1651
5/14/20 00:00,19694,16201,1657,1621
5/13/20 00:00,19352,15924,1622,1589
5/12/20 00:00,19043,15628,1568,1549
5/11/20 00:00,18726,15416,1524,1509
5/10/20 00:00,18394,15183,1511,1489
5/9/20 00:00,18275,15082,1488,1470
5/8/20 00:00,17938,14844,1473,1450
5/7/20 00:00,17574,14620,1433,1430
5/6/20 00:00,17235,14322,1391,1396
5/5/20 00:00,16793,13981,1351,1356
5/4/20 00:00,16577,13800,1305,1315
5/3/20 00:00,16229,13493,1264,1278
5/2/20 00:00,15862,13167,1207,1215
5/1/20 00:00,15547,12900,1151,1175
4/30/20 00:00,14926,12425,1110,1134
4/29/20 00:00,14401,12012,1062,1092
4/28/20 00:00,14126,11831,1011,1064
4/27/20 00:00,13949,11696,967,1032
4/26/20 00:00,13554,11359,931,980
4/25/20 00:00,13179,11050,900,950
4/24/20 00:00,12821,10746,847,905
4/23/20 00:00,12337,10406,773,851
4/22/20 00:00,11964,10150,725,808
4/21/20 00:00,10814,9184,666,748
4/20/20 00:00,10517,8933,619,704
4/19/20 00:00,9546,8111,531,589
4/18/20 00:00,9289,7954,506,573
4/17/20 00:00,8852,7654,485,545
4/16/20 00:00,8314,7243,467,499
4/15/20 00:00,7694,6746,410,452
4/14/20 00:00,7262,6371,306,361
4/13/20 00:00,6919,6123,272,326
4/12/20 00:00,6296,5589,250,302
4/11/20 00:00,5999,5357,219,273
4/10/20 00:00,5457,4920,200,246
4/9/20 00:00,5068,4549,158,220
4/8/20 00:00,4522,4085,136,197
4/7/20 00:00,3975,3651,109,167
4/6/20 00:00,3550,3274,78,127
4/5/20 00:00,2911,2677,72,116
