# Cases Race/Ethnicity: Hispanic,# Cases Race/Ethnicity: NH American Indian or Alaskan Native,# Cases Race/Ethnicity: NH Asian or Pacific Islander,# Cases Race/Ethnicity: NH Black,# Cases Race/Ethnicity: NH Multiracial,# Cases Race/Ethnicity: NH Other,# Cases Race/Ethnicity: NH White,# Cases Race/Ethnicity: Unknown Race,# Deaths Race/Ethnicity: Hispanic,# Deaths Race/Ethnicity: NH American Indian or Alaskan Native,# Deaths Race/Ethnicity: NH Asian or Pacific Islander,# Deaths Race/Ethnicity: NH Black,# Deaths Race/Ethnicity: NH Multiracial,# Deaths Race/Ethnicity: NH Other,# Deaths Race/Ethnicity: NH White,# Deaths Race/Ethnicity: Unknown Race,Reported Date
9029,44,688,6262,138,290,17016,14043,374,2,48,645,30,21,3206,45,2020-07-12 00:00:00
8973,45,684,6189,139,264,16610,14383,376,2,47,646,27,16,3184,50,2020-07-09 00:00:00
8958,46,682,6176,131,266,16597,14353,376,2,47,646,27,16,3184,50,2020-07-08 00:00:00
8933,46,681,6161,130,265,16564,14328,375,2,47,644,27,16,3182,50,2020-07-07 00:00:00
8904,45,681,6148,129,263,16517,14346,374,2,47,644,27,16,3179,49,2020-07-06 00:00:00
8893,45,681,6144,129,266,16492,14326,374,2,47,644,27,16,3179,49,2020-07-05 00:00:00
8857,45,680,6134,128,264,16433,14176,374,2,47,644,27,16,3176,49,2020-07-02 00:00:00
8826,46,677,6122,128,265,16380,14202,374,2,46,642,27,16,3170,49,2020-07-01 00:00:00
8810,46,677,6108,128,265,16317,14221,374,2,46,641,27,16,3168,50,2020-06-30 00:00:00
8795,51,677,6097,127,257,16258,14252,373,2,46,643,27,16,3165,50,2020-06-29 00:00:00
8741,51,677,6074,125,255,16162,14277,373,2,45,642,27,15,3154,62,2020-06-28 00:00:00
8701,49,670,6053,122,254,16121,14333,373,2,45,642,26,15,3151,62,2020-06-27 00:00:00
8680,49,669,6045,121,253,16101,14288,370,2,45,642,26,15,3149,62,2020-06-26 00:00:00
8655,42,669,6037,120,252,16051,14233,370,2,45,642,26,15,3145,62,2020-06-25 00:00:00
8644,41,669,6027,120,252,16024,14217,368,2,45,641,26,15,3139,62,2020-06-24 00:00:00
8593,41,668,6003,120,252,15952,14284,368,2,45,639,26,15,3130,62,2020-06-23 00:00:00
8586,41,668,5999,120,253,15948,14284,366,2,45,638,26,15,3123,62,2020-06-22 00:00:00
8563,41,665,5980,121,253,15885,14274,365,2,45,636,26,15,3113,61,2020-06-21 00:00:00
8528,41,665,5958,122,253,15845,14343,365,2,45,635,26,15,3110,62,2020-06-20 00:00:00
8515,41,662,5953,122,253,15835,14334,364,2,45,633,26,15,3104,62,2020-06-19 00:00:00
8454,41,662,5934,120,252,15766,14328,360,2,45,631,26,15,3097,62,2020-06-18 00:00:00
8395,41,661,5915,120,251,15717,14340,357,2,45,627,26,16,3089,64,2020-06-17 00:00:00
8378,41,661,5908,120,253,15676,14392,357,2,45,627,26,17,3080,65,2020-06-16 00:00:00
8329,41,658,5886,119,253,15628,14435,357,2,45,626,26,16,3076,62,2020-06-15 00:00:00
8272,40,656,5872,119,253,15592,14431,356,2,45,625,26,16,3072,62,2020-06-14 00:00:00
8251,40,655,5846,119,252,15570,14355,355,2,45,625,26,16,3070,62,2020-06-13 00:00:00
8238,40,656,5839,119,252,15542,14308,354,2,45,623,26,16,3058,62,2020-06-12 00:00:00
8190,39,654,5797,118,253,15415,14223,351,2,45,622,26,16,3035,62,2020-06-11 00:00:00
8130,39,654,5781,118,251,15369,14119,351,2,45,620,26,15,3024,63,2020-06-10 00:00:00
8082,39,650,5761,117,249,15320,14129,349,2,45,619,26,16,3002,61,2020-06-09 00:00:00
8030,39,649,5734,117,247,15238,14125,348,2,44,614,27,16,2978,68,2020-06-08 00:00:00
8002,39,649,5726,116,246,15179,14135,345,2,44,611,27,16,2978,61,2020-06-07 00:00:00
7977,40,649,5714,114,245,15142,14087,344,2,44,611,26,16,2966,62,2020-06-06 00:00:00
7940,39,648,5686,114,244,15097,14050,344,2,44,610,26,16,2951,62,2020-06-05 00:00:00
7866,39,640,5637,113,241,15015,13909,343,2,44,603,26,16,2942,62,2020-06-04 00:00:00
7821,39,638,5615,107,236,14906,13877,342,2,42,596,26,16,2919,64,2020-06-03 00:00:00
7766,40,633,5573,106,232,14814,13927,339,2,41,592,26,16,2908,65,2020-06-02 00:00:00
7710,40,627,5536,105,232,14733,13996,341,2,41,591,26,16,2890,65,2020-06-01 00:00:00
7359,40,599,5285,97,223,14059,13897,332,2,37,566,24,13,2791,61,2020-05-27 00:00:00
7316,39,596,5248,95,220,13951,13823,334,2,36,560,23,13,2764,71,2020-05-26 00:00:00
7311,39,599,5249,85,222,13913,13885,327,1,36,557,19,14,2748,67,2020-05-25 00:00:00
7243,39,592,5208,83,222,13795,13691,325,1,35,550,17,15,2730,69,2020-05-24 00:00:00
7185,39,589,5156,80,215,13557,13647,324,1,36,542,16,13,2689,72,2020-05-23 00:00:00
7120,39,579,5065,78,204,12891,14046,320,1,35,540,16,13,2661,89,2020-05-22 00:00:00
7051,39,576,5029,78,203,12783,13881,316,1,36,533,16,13,2639,83,2020-05-21 00:00:00
6945,38,571,4959,76,199,12606,13814,312,1,35,525,15,14,2600,80,2020-05-20 00:00:00
6847,38,563,4904,68,198,12455,13944,305,1,35,519,13,15,2560,81,2020-05-19 00:00:00
6669,38,561,4788,66,193,12185,13930,294,1,35,512,13,15,2520,82,2020-05-18 00:00:00
5079,30,444,3720,43,163,9964,11178,234,0,25,399,8,14,1879,74,2020-05-05 00:00:00

9034,44,688,6264,138,291,17024,14047,376,2,48,645,31,21,3204,45,2020-07-13 00:00:00
9047,44,689,6273,139,291,17043,14110,376,2,48,646,31,21,3211,45,2020-07-14 00:00:00
9063,44,690,6280,139,292,17058,14184,378,2,48,650,31,21,3216,43,2020-07-15 00:00:00
9070,44,690,6278,139,288,17025,14359,380,2,49,651,31,21,3218,44,2020-07-16 00:00:00
