Age [0-18]: Female Cases,Age [0-18]: Male Cases,Age [19-30]: Female Cases,Age [19-30]: Male Cases,Age [31-40]: Female Cases,Age [31-40]: Male Cases,Age [41-50]: Female Cases,Age [41-50]: Male Cases,Age [51-60]: Female Cases,Age [51-60]: Male Cases,Age [61-70]: Female Cases,Age [61-70]: Male Cases,Age [71-80]: Female Cases,Age [71-80]: Male Cases,Age [81+]: Female Cases,Age [81+]: Male Cases,pullTime
16,24,133,110,152,183,116,120,101,133,102,109,48,46,28,16,2020-04-08 18:16:54.488475
16,24,133,110,152,183,116,120,101,133,102,109,48,46,28,16,2020-04-08 20:19:10.234048
16,24,142,119,161,186,124,131,108,141,103,112,50,55,30,19,2020-04-09 19:51:40.774079
16,26,153,131,171,194,134,143,114,156,113,122,58,61,43,22,2020-04-10 20:20:49.334379
16,26,164,133,180,208,143,151,126,170,121,136,60,67,48,26,2020-04-11 19:53:26.296730
17,29,174,135,191,222,148,162,131,177,128,144,63,71,50,27,2020-04-12 20:39:20.743417
19,29,182,141,199,224,155,167,136,178,130,152,69,70,64,35,2020-04-13 20:21:49.239966
21,30,193,154,208,232,163,168,147,191,137,157,69,72,69,38,2020-04-14 20:01:29.194735
25,32,198,166,217,246,173,178,159,204,144,172,75,78,79,42,2020-04-15 20:12:36.908050
27,33,212,174,229,256,192,198,172,231,154,185,76,81,82,42,2020-04-16 21:44:47.638977
33,34,218,181,244,266,203,209,180,249,163,198,81,84,85,43,2020-04-17 20:07:15.234975
33,35,238,189,266,278,222,227,202,269,171,214,87,92,89,49,2020-04-18 20:11:18.222064
35,39,246,204,271,289,229,236,212,276,179,222,91,98,91,51,2020-04-19 20:24:47.943449
37,41,267,219,283,295,238,244,223,291,196,235,96,102,97,55,2020-04-20 20:35:26.100459
39,42,276,229,290,309,250,258,238,309,214,253,106,111,109,57,2020-04-21 20:11:25.501091
42,43,281,230,296,318,255,270,246,321,221,263,112,119,118,61,2020-04-22 20:23:02.349640
44,45,292,245,309,330,264,285,261,335,231,273,118,125,129,66,2020-04-23 20:20:41.745360
46,49,301,261,323,349,272,299,270,351,240,291,123,128,143,74,2020-04-24 20:39:23.678265
47,51,315,270,332,364,281,307,288,374,252,303,131,133,153,83,2020-04-25 20:27:48.804308
47,52,326,278,346,376,290,316,297,387,257,311,132,139,169,85,2020-04-26 20:00:51.636986
48,53,315,286,345,382,292,331,299,388,272,323,130,148,172,89,2020-04-27 20:42:00.045455
48,53,315,286,345,382,292,331,299,388,272,323,130,148,172,89,2020-04-27 20:43:15.795823
49,53,318,294,357,390,295,340,313,400,278,332,140,157,177,91,2020-04-28 20:35:45.963833
52,55,326,303,367,399,301,344,321,408,287,337,147,166,190,94,2020-04-29 19:55:13.955678
55,56,343,322,393,423,321,367,332,439,301,351,149,170,194,97,2020-04-30 20:54:50.349881
59,64,374,342,431,458,352,397,360,471,327,373,160,177,202,101,2020-05-01 20:24:49.325302
61,66,383,354,447,468,366,407,367,482,333,391,163,189,207,102,2020-05-02 20:32:22.772033
66,72,405,367,465,492,378,427,378,503,344,416,174,194,215,108,2020-05-03 20:31:48.272677
67,72,412,379,476,509,391,436,391,517,355,432,185,205,220,111,2020-05-04 19:44:44.390426
71,75,436,392,494,521,402,451,403,529,359,439,188,209,226,115,2020-05-05 20:15:09.090404
72,75,454,396,503,533,421,460,414,538,371,452,191,215,233,121,2020-05-06 20:14:09.633969
85,80,478,405,523,555,434,471,428,552,379,469,197,221,237,127,2020-05-07 20:54:09.108318
91,84,503,434,540,578,453,484,443,566,402,488,204,234,242,134,2020-05-08 22:03:21.052090
102,97,524,458,561,600,463,502,457,581,405,498,211,241,246,136,2020-05-09 20:27:26.841255
105,101,543,475,583,615,472,516,473,596,415,506,215,246,249,141,2020-05-10 20:04:25.420632
107,104,554,487,594,624,482,525,477,606,424,513,220,249,253,145,2020-05-11 20:47:37.767066
116,107,564,492,607,635,487,530,480,614,428,520,224,252,258,146,2020-05-12 20:14:01.116292
120,110,576,501,612,643,495,538,492,620,431,524,229,258,262,148,2020-05-13 20:05:56.832342
131,116,591,520,623,662,502,550,504,626,446,533,235,261,264,148,2020-05-14 21:02:30.372538
137,120,602,524,635,679,516,561,512,640,457,543,237,268,268,149,2020-05-15 20:22:28.891820
141,127,619,537,645,693,527,577,523,653,465,564,247,273,273,154,2020-05-16 19:56:47.793351
142,127,625,543,650,707,532,581,531,658,470,572,251,275,275,158,2020-05-17 19:54:03.719098
153,130,648,555,660,718,548,592,538,670,481,580,258,275,277,161,2020-05-18 20:16:15.134180
162,142,660,568,678,730,571,600,556,680,490,586,260,279,286,162,2020-05-19 19:53:39.791427
169,150,670,580,685,741,585,615,561,692,496,587,264,278,291,164,2020-05-20 19:59:42.954377
169,150,670,580,685,741,585,615,561,692,496,587,264,278,291,164,2020-05-20 20:03:27.358601
180,154,695,596,707,771,600,636,587,709,517,596,269,284,295,167,2020-05-21 20:57:43.653254
