Age [0-4]: Female Cases,Age [0-4]: Male Cases,Age [15-19]: Female Cases,Age [15-19]: Male Cases,Age [20-24]: Female Cases,Age [20-24]: Male Cases,Age [25-34]: Female Cases,Age [25-34]: Male Cases,Age [35-44]: Female Cases,Age [35-44]: Male Cases,Age [45-54]: Female Cases,Age [45-54]: Male Cases,Age [5-14]: Female Cases,Age [5-14]: Male Cases,Age [55-64]: Female Cases,Age [55-64]: Male Cases,Age [65-74]: Female Cases,Age [65-74]: Male Cases,Age [75+]: Female Cases,Age [75+]: Male Cases,pullTime
40.0,39.0,80.0,66.0,222.0,175.0,713.0,684.0,649.0,703.0,562.0,621.0,68.0,69.0,564.0,704.0,398.0,439.0,425.0,307.0,2020-05-22 22:18:47.878686
43.0,42.0,84.0,71.0,242.0,184.0,752.0,721.0,682.0,746.0,600.0,656.0,77.0,71.0,601.0,736.0,415.0,448.0,447.0,325.0,2020-05-23 20:36:45.255143
44.0,46.0,85.0,73.0,255.0,187.0,765.0,732.0,698.0,753.0,610.0,670.0,79.0,74.0,608.0,745.0,418.0,455.0,456.0,331.0,2020-05-24 20:31:06.208084
44.0,48.0,86.0,73.0,259.0,187.0,774.0,750.0,710.0,770.0,623.0,673.0,79.0,74.0,614.0,753.0,423.0,464.0,460.0,335.0,2020-05-25 20:30:34.563619
44.0,47.0,87.0,73.0,262.0,189.0,775.0,755.0,711.0,780.0,622.0,674.0,78.0,76.0,616.0,755.0,423.0,466.0,461.0,335.0,2020-05-26 21:04:00.868917
47.0,48.0,90.0,74.0,270.0,195.0,801.0,766.0,727.0,789.0,628.0,685.0,80.0,79.0,625.0,762.0,427.0,475.0,470.0,338.0,2020-05-27 20:39:49.919055
52.0,51.0,94.0,78.0,269.0,198.0,809.0,774.0,737.0,792.0,634.0,694.0,83.0,82.0,628.0,768.0,427.0,478.0,471.0,345.0,2020-05-28 20:12:47.976425
52.0,51.0,95.0,78.0,270.0,199.0,815.0,775.0,742.0,798.0,635.0,697.0,83.0,82.0,633.0,774.0,429.0,481.0,476.0,346.0,2020-05-29 19:58:57.377863
54.0,52.0,99.0,81.0,277.0,203.0,831.0,800.0,768.0,807.0,646.0,713.0,84.0,85.0,642.0,788.0,436.0,486.0,482.0,353.0,2020-05-30 19:51:25.691785
54.0,52.0,100.0,81.0,277.0,206.0,840.0,806.0,772.0,810.0,653.0,717.0,85.0,85.0,647.0,795.0,440.0,494.0,498.0,359.0,2020-05-31 20:11:16.887937
54.0,52.0,100.0,81.0,278.0,206.0,849.0,811.0,773.0,818.0,662.0,718.0,85.0,86.0,652.0,805.0,441.0,499.0,498.0,360.0,2020-06-01 20:05:25.668786
54.0,52.0,100.0,81.0,279.0,209.0,850.0,818.0,773.0,817.0,663.0,722.0,85.0,86.0,659.0,808.0,442.0,499.0,498.0,362.0,2020-06-02 20:16:04.775872
56.0,53.0,100.0,83.0,283.0,215.0,872.0,827.0,788.0,836.0,670.0,725.0,98.0,87.0,668.0,813.0,443.0,506.0,500.0,364.0,2020-06-03 19:54:59.400317
56.0,54.0,102.0,84.0,285.0,221.0,884.0,835.0,799.0,844.0,676.0,738.0,102.0,91.0,680.0,817.0,447.0,507.0,501.0,367.0,2020-06-04 20:09:52.490278
57.0,54.0,105.0,89.0,288.0,222.0,888.0,843.0,808.0,850.0,682.0,743.0,105.0,91.0,686.0,819.0,453.0,513.0,505.0,370.0,2020-06-05 20:09:20.049801
58.0,55.0,106.0,89.0,292.0,226.0,896.0,854.0,813.0,852.0,687.0,750.0,109.0,93.0,694.0,820.0,457.0,513.0,505.0,371.0,2020-06-06 20:31:15.399559
58.0,55.0,110.0,89.0,295.0,226.0,905.0,860.0,820.0,860.0,689.0,756.0,110.0,94.0,700.0,820.0,462.0,514.0,508.0,371.0,2020-06-07 20:28:08.701692
58.0,56.0,111.0,90.0,297.0,227.0,909.0,866.0,828.0,865.0,690.0,759.0,110.0,96.0,704.0,822.0,467.0,517.0,511.0,375.0,2020-06-08 20:10:06.160734
58.0,56.0,111.0,90.0,297.0,227.0,909.0,866.0,828.0,865.0,690.0,759.0,110.0,96.0,704.0,822.0,467.0,517.0,511.0,375.0,2020-06-08 20:27:00.923269
60.0,57.0,112.0,91.0,302.0,228.0,917.0,874.0,838.0,874.0,696.0,761.0,112.0,101.0,711.0,827.0,470.0,525.0,513.0,375.0,2020-06-09 20:24:58.330816
60.0,58.0,112.0,92.0,303.0,231.0,924.0,878.0,845.0,880.0,698.0,767.0,113.0,102.0,717.0,831.0,477.0,529.0,515.0,377.0,2020-06-10 20:35:23.674363
60.0,58.0,114.0,92.0,307.0,231.0,926.0,880.0,850.0,882.0,701.0,770.0,114.0,105.0,721.0,836.0,481.0,531.0,524.0,377.0,2020-06-11 20:21:01.978080
60.0,58.0,114.0,94.0,311.0,233.0,936.0,890.0,861.0,888.0,706.0,776.0,115.0,106.0,722.0,839.0,483.0,530.0,526.0,377.0,2020-06-12 20:25:19.589126
60.0,59.0,114.0,95.0,315.0,234.0,944.0,898.0,865.0,890.0,708.0,782.0,117.0,113.0,726.0,843.0,483.0,530.0,526.0,378.0,2020-06-13 20:36:54.608951
60.0,59.0,114.0,95.0,315.0,234.0,944.0,898.0,865.0,890.0,708.0,782.0,117.0,113.0,726.0,843.0,483.0,530.0,526.0,378.0,2020-06-13 20:40:53.788728
60.0,60.0,115.0,95.0,321.0,236.0,948.0,900.0,870.0,892.0,713.0,787.0,117.0,115.0,734.0,852.0,487.0,530.0,526.0,380.0,2020-06-14 19:58:41.150366
