Recovered,Age_0_4,Age_5_17,Age_18_49,Age_50_64,Age_65_plus,Hospitalizations,CriticalCond,Male,Female,Scrape_Time,CreationDate,EditDate,Last_Updated
9,1,3,95,53,62,31,8,105,109,2020-03-29 09:35:54.580040,2020-03-23 12:07:13.724000,2020-03-28 16:43:35.687000,2020-03-28 16:45:00
9,1,3,104,57,67,33,8,114,118,2020-03-29 19:35:31.956101,2020-03-23 12:07:13.724000,2020-03-29 12:26:53.189000,2020-03-29 12:00:00
22,1,3,117,67,76,46,14,130,134,2020-03-30 20:37:17.996991,2020-03-23 12:07:13.724000,2020-03-30 16:41:38.167000,2020-03-30 16:30:00
22,2,5,139,86,87,57,14,152,167,2020-03-31 20:28:19.682183,2020-03-23 12:07:13.724000,2020-03-31 17:02:01.578000,2020-03-31 16:00:00
49,2,5,160,97,104,51,13,171,197,2020-04-01 20:08:29.022755,2020-03-23 12:07:13.724000,2020-04-01 15:31:04.756000,2020-04-01 15:30:00
49,2,5,160,97,104,51,13,171,197,2020-04-01 20:10:52.342833,2020-03-23 12:07:13.724000,2020-04-01 15:31:04.756000,2020-04-01 15:30:00
49,2,5,173,103,110,56,15,179,214,2020-04-02 20:26:26.585998,2020-03-23 12:07:13.724000,2020-04-02 16:50:21.251000,2020-04-02 16:45:00
71,2,5,205,123,115,63,15,206,244,2020-04-03 20:24:23.123266,2020-03-23 12:07:13.724000,2020-04-03 15:47:01.734000,2020-04-03 15:45:00
71,3,9,258,170,153,95,24,271,322,2020-04-04 20:10:00.591536,2020-03-23 12:07:13.724000,2020-04-04 16:53:16.034000,2020-04-04 16:45:00
71,3,13,303,188,166,101,25,308,365,2020-04-05 20:15:20.572745,2020-03-23 12:07:13.724000,2020-04-05 15:32:45.303000,2020-04-05 15:30:00
71,3,12,369,225,174,140,25,308,365,2020-04-06 20:28:52.957101,2020-03-23 12:07:13.724000,2020-04-06 17:31:37.534000,2020-04-06 17:30:00
144,4,13,444,273,194,147,25,308,365,2020-04-07 20:04:47.770136,2020-03-23 12:07:13.724000,2020-04-07 16:25:46.265000,2020-04-07 16:30:00
159,6,20,547,327,216,177,51,308,365,2020-04-08 20:19:11.546674,2020-03-23 12:07:13.724000,2020-04-08 16:47:34.109000,2020-04-08 16:30:00
173,6,22,598,351,232,201,43,308,365,2020-04-09 19:51:41.837372,2020-03-23 12:07:13.724000,2020-04-09 17:07:11.498000,2020-04-09 17:00:00
177,7,25,657,384,253,181,48,584,736,2020-04-10 20:20:50.241601,2020-03-23 12:07:13.724000,2020-04-10 18:18:43.068000,2020-04-10 17:00:00
191,7,28,740,422,282,190,55,584,736,2020-04-11 19:53:27.133121,2020-03-23 12:07:13.724000,2020-04-11 16:26:19.015000,2020-04-11 16:30:00
213,8,30,815,463,309,201,51,584,736,2020-04-12 20:39:21.501690,2020-03-23 12:07:13.724000,2020-04-12 17:07:34.316000,2020-04-12 17:00:00
277,9,36,892,498,326,204,51,584,736,2020-04-13 20:21:50.744079,2020-03-23 12:07:13.724000,2020-04-13 17:07:49.764000,2020-04-13 17:00:00
319,9,43,997,537,340,217,45,584,736,2020-04-14 20:01:30.266271,2020-03-23 12:07:13.724000,2020-04-14 17:53:15.856000,2020-04-14 17:45:00
354,9,45,1035,561,364,208,48,584,736,2020-04-15 20:12:38.562214,2020-03-23 12:07:13.724000,2020-04-15 16:21:20.406000,2020-04-15 16:15:00
378,10,47,1056,578,384,209,60,584,736,2020-04-16 20:17:06.235417,2020-03-23 12:07:13.724000,2020-04-16 17:00:08.500000,2020-04-16 17:00:00
423,12,52,1185,649,425,224,64,584,736,2020-04-17 20:04:13.777369,2020-03-23 12:07:13.724000,2020-04-17 16:54:13.236000,2020-04-17 17:00:00
466,14,60,1295,717,452,249,62,584,736,2020-04-18 20:11:19.107880,2020-03-23 12:07:13.724000,2020-04-18 17:05:16.972000,2020-04-18 17:00:00
466,14,60,1295,717,452,249,62,584,736,2020-04-19 20:24:49.029685,2020-03-23 12:07:13.724000,2020-04-18 17:05:16.972000,2020-04-18 17:00:00
495,16,72,1404,719,490,256,64,584,736,2020-04-20 20:21:32.470342,2020-03-23 12:07:13.724000,2020-04-20 12:10:56.348000,2020-04-20 12:00:00
565,17,75,1493,809,537,263,71,584,736,2020-04-21 20:08:41.286170,2020-03-23 12:07:13.724000,2020-04-21 12:28:11.996000,2020-04-21 12:00:00
599,21,82,1637,867,593,269,69,584,736,2020-04-22 20:23:03.552584,2020-03-23 12:07:13.724000,2020-04-22 12:03:16.734000,2020-04-22 12:00:00
643,21,82,1687,900,618,290,65,1489,1813,2020-04-23 20:20:42.692052,2020-03-23 12:07:13.724000,2020-04-23 12:21:54.559000,2020-04-23 12:00:00
703,22,84,1752,946,638,277,63,1557,1879,2020-04-24 20:39:24.792059,2020-03-23 12:07:13.724000,2020-04-24 12:52:46.597000,2020-04-24 13:00:00
809,24,88,1845,966,653,300,61,1557,1879,2020-04-25 20:27:49.902768,2020-03-23 12:07:13.724000,2020-04-25 13:11:42.428000,2020-04-25 13:15:00
911,28,108,2140,1060,698,317,48,1557,1879,2020-04-26 20:00:52.579982,2020-03-23 12:07:13.724000,2020-04-26 12:26:02.381000,2020-04-26 12:30:00
996,30,114,2200,1080,738,325,50,1557,1879,2020-04-27 20:42:01.230303,2020-03-23 12:07:13.724000,2020-04-27 12:04:58.365000,2020-04-27 12:10:00
996,30,114,2200,1080,738,325,50,1557,1879,2020-04-27 20:43:16.738653,2020-03-23 12:07:13.724000,2020-04-27 12:04:58.365000,2020-04-27 12:10:00
1096,33,131,2449,1170,792,337,60,1557,1879,2020-04-28 20:35:48.105069,2020-03-23 12:07:13.724000,2020-04-28 15:15:40.016000,2020-04-28 12:20:00
1173,34,133,2493,1190,805,326,60,1557,1879,2020-04-29 19:55:14.944072,2020-03-23 12:07:13.724000,2020-04-29 12:15:44.860000,2020-04-29 12:15:00
1275,36,135,2530,1206,827,296,65,1557,1879,2020-04-30 20:54:51.228675,2020-03-23 12:07:13.724000,2020-04-30 12:07:43.948000,2020-04-30 12:10:00
1403,38,146,2630,1243,861,281,58,1557,1879,2020-05-01 20:24:50.263777,2020-03-23 12:07:13.724000,2020-05-01 14:42:44.675000,2020-05-01 13:15:00
1546,46,152,2688,1268,884,300,64,2308,2709,2020-05-02 20:32:23.744822,2020-03-23 12:07:13.724000,2020-05-02 12:24:48.203000,2020-05-02 12:10:00
1640,49,159,2765,1314,921,284,61,2308,2709,2020-05-03 20:31:48.989132,2020-03-23 12:07:13.724000,2020-05-03 12:36:34.458000,2020-05-03 12:40:00
