# Cases Age [0-4],# Cases Age [18-34],# Cases Age [35-49],# Cases Age [5-17],# Cases Age [50-64],# Cases Age [65+],# Cases Race/Ethnicity: Another/Multiple,# Cases Race/Ethnicity: Asian/Pacific Islander,# Cases Race/Ethnicity: Hispanic/Latino,# Cases Race/Ethnicity: Non-Hispanic Black,# Cases Race/Ethnicity: Non-Hispanic White,# Cases Race/Ethnicity: Unknown,# Deaths Age [0-4],# Deaths Age [18-34],# Deaths Age [35-49],# Deaths Age [5-17],# Deaths Age [50-64],# Deaths Age [65+],# Deaths Race/Ethnicity: Another/Multiple,# Deaths Race/Ethnicity: Asian/Pacific Islander,# Deaths Race/Ethnicity: Hispanic/Latino,# Deaths Race/Ethnicity: Non-Hispanic Black,# Deaths Race/Ethnicity: Non-Hispanic White,% Cases Age [0-4],% Cases Age [18-34],% Cases Age [35-49],% Cases Age [5-17],% Cases Age [50-64],% Cases Age [65+],% Cases Race/Ethnicity: Another/Multiple,% Cases Race/Ethnicity: Asian/Pacific Islander,% Cases Race/Ethnicity: Hispanic/Latino,% Cases Race/Ethnicity: Non-Hispanic Black,% Cases Race/Ethnicity: Non-Hispanic White,% Cases Race/Ethnicity: Unknown,% Deaths Age [0-4],% Deaths Age [18-34],% Deaths Age [35-49],% Deaths Age [5-17],% Deaths Age [50-64],% Deaths Age [65+],% Deaths Race/Ethnicity: Another/Multiple,% Deaths Race/Ethnicity: Asian/Pacific Islander,% Deaths Race/Ethnicity: Hispanic/Latino,% Deaths Race/Ethnicity: Non-Hispanic Black,% Deaths Race/Ethnicity: Non-Hispanic White,% Total Cases: Female,% Total Cases: Male,% Total Cases: Unknown Gender,% Total Deaths: Female,% Total Deaths: Male,Confirmed Cases,Kent County: Positive Cases,New Castle County: Positive Cases,Probable Cases,Scrape_Time,Sussex County: Positive Cases,Total Cases,Total Cases: Female,Total Cases: Male,Total Cases: Unknown Gender,Total Deaths,Total Deaths: Female,Total Deaths: Male,Total Negative,Total Recovered
369,7190,5187,1525,4563,3455,1042,300,4936,5863,8470,1678,0,13,17,0,87,539,12,1,49,168,426,2,32,23,7,20,16,5,1,22,26,38,8,0,2,3,0,13,82,2,0,7,26,65,54,46,0,52,48,1080,3243,11688,1378,2020-10-13 10:36:57.287555,7267,22289,11997,10253,39,656,343,313,291992,11493
374,7227,5204,1534,4581,3474,1045,300,4956,5882,8528,1683,0,13,17,0,87,542,12,1,49,169,428,2,32,23,7,20,16,5,1,22,26,38,8,0,2,3,0,13,82,2,0,7,26,65,54,46,0,53,47,1083,3254,11747,1378,2020-10-13 19:48:45.099304,7302,22394,12055,10300,39,659,346,313,293358,11588
374,7240,5221,1542,4590,3498,1048,303,4963,5898,8569,1684,0,13,17,0,87,543,12,1,49,170,428,2,32,23,7,20,16,5,1,22,26,38,7,0,2,3,0,13,82,2,0,7,26,65,54,46,0,53,47,1085,3259,11787,1385,2020-10-14 20:30:59.814857,7328,22465,12099,10327,39,660,347,313,294358,11665
379,7267,5233,1557,4597,3527,1051,304,4972,5925,8623,1685,0,11,18,0,73,559,12,1,49,171,428,2,32,23,7,20,16,5,1,22,26,38,7,0,2,3,0,11,85,2,0,7,26,65,54,46,0,52,48,1087,3272,11851,1387,2020-10-15 21:39:18.831081,7346,22560,12152,10370,38,661,347,314,296073,11724
387,7314,5267,1582,4630,3544,1055,308,4999,5962,8713,1687,0,11,18,0,73,560,12,1,49,171,429,2,32,23,7,20,16,5,1,22,26,38,7,0,2,3,0,11,85,2,0,7,26,65,54,46,0,52,48,1089,3285,11958,1387,2020-10-16 20:40:33.335054,7390,22724,12234,10452,38,662,347,315,298418,11818
396,7370,5306,1607,4684,3579,1063,310,5034,6019,8826,1690,0,11,18,0,73,562,12,1,49,172,430,2,32,23,7,20,16,5,1,22,26,38,7,0,2,3,0,11,85,2,0,7,26,65,54,46,0,52,48,1093,3316,12059,1389,2020-10-17 20:06:04.735422,7476,22942,12365,10539,38,664,348,316,301527,11928
404,7414,5344,1620,4717,3594,1075,315,5059,6045,8910,1689,0,11,18,0,73,563,12,1,49,172,431,2,32,23,7,20,16,5,1,22,26,39,7,0,2,3,0,11,85,2,0,7,26,65,54,46,0,52,48,1096,3331,12153,1390,2020-10-18 20:02:30.608361,7518,23093,12463,10592,38,665,348,317,304203,12018
408,7450,5356,1634,4736,3612,1080,316,5076,6059,8971,1694,0,11,18,0,73,564,12,1,49,172,432,2,32,23,7,20,16,5,1,22,26,39,7,0,2,3,0,11,85,2,0,7,26,65,54,46,0,52,48,1098,3345,12200,1392,2020-10-19 20:13:21.088922,7560,23196,12519,10639,38,666,348,318,305822,12113
416,7475,5374,1646,4756,3658,1081,319,5098,6096,9028,1703,0,11,18,0,74,565,12,1,49,173,433,2,32,23,7,20,16,5,1,22,26,39,7,0,2,3,0,11,85,2,0,7,26,65,54,46,0,52,48,1105,3364,12277,1415,2020-10-20 20:34:17.244639,7593,23325,12583,10704,38,668,350,318,307401,12245
416,7492,5386,1648,4775,3658,1077,322,5106,6116,9047,1707,0,13,18,0,84,555,12,1,49,174,434,2,32,23,7,20,16,5,1,22,26,39,7,0,2,3,0,13,83,2,0,7,26,65,54,46,0,52,48,1112,3364,12311,1438,2020-10-21 19:53:06.095760,7609,23375,12610,10727,38,670,351,319,308105,12335
