COUNTY,COUNTYNAME,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Scrape_Time
001,ALACHUA,4001,87,54,511,783,577,501,569,492,274,106,47,0 to 118,44,2348,1530,123,3938,63,0,99,3856,199,41,187,3801,9,4,3925,102,75,1,178,1,0,31,41,22,27,28,22,8,5,2,2 to 92,43,74,50,15,39,12,125,41,32,4,23,2,0,0,187,78,107,178,9,0,3747,54,4001,3801,187,0,67,54,2020-04-13 22:12:45.562914
003,BAKER,235,6,6,24,38,28,43,33,21,23,13,0,0 to 99,49,148,71,16,232,3,0,15,204,50,3,17,218,0,0,232,10,7,0,17,0,0,1,1,0,0,4,4,4,3,0,24 to 97,71,15,1,1,0,0,17,0,4,0,7,0,0,2,17,7,10,17,0,0,215,3,235,218,17,2,1,0,2020-04-13 22:12:45.562914
005,BAY,610,7,11,45,90,94,133,102,75,39,14,0,0 to 99,49,318,244,48,608,2,0,27,563,46,27,38,572,0,0,608,16,21,0,37,0,0,2,7,7,10,5,6,0,1,0,21 to 93,47,24,5,3,5,6,24,7,13,1,5,1,0,1,38,22,16,37,1,0,571,1,610,572,38,1,31,28,2020-04-13 22:12:45.562914
007,BRADFORD,307,4,4,22,34,31,40,44,40,52,34,2,0 to 100,59,191,106,10,307,0,0,17,256,69,0,30,263,0,14,293,25,5,0,30,0,2,2,0,5,0,2,6,7,6,0,8 to 100,72,24,2,0,4,0,24,6,2,0,6,0,0,1,30,5,25,30,0,0,263,0,307,263,30,1,28,16,2020-04-13 22:12:45.562914
009,BREVARD,3114,45,56,178,391,441,458,675,530,242,97,1,0 to 103,54,1834,1233,47,3107,7,0,74,2983,158,42,148,2759,204,3,2900,72,70,0,142,1,3,8,20,24,24,29,17,16,6,0,1 to 94,52,101,23,9,9,22,110,10,58,2,37,2,0,6,148,72,76,142,6,0,2758,1,3114,2759,148,6,208,167,2020-04-13 22:12:45.562914
011,BROWARD,26322,215,287,1666,4482,4850,5061,4562,2974,1442,745,38,0 to 119,48,13631,11105,1586,25618,704,0,999,23805,1976,702,3177,23055,32,58,25533,1422,1624,17,3063,2,17,222,496,533,597,613,398,190,107,2,0 to 99,50,1462,827,312,462,940,1682,441,893,39,438,28,3,77,3177,1693,1466,3063,114,0,22470,585,26322,23055,3177,77,931,676,2020-04-13 22:12:45.562914
013,CALHOUN,62,1,2,6,9,10,8,8,8,9,1,0,0 to 88,49,33,27,2,62,0,0,3,55,4,3,5,57,0,0,62,3,2,0,5,0,0,1,1,0,1,0,1,0,1,0,20 to 88,47,1,4,0,0,0,5,0,4,0,2,0,0,0,5,2,3,5,0,0,57,0,62,57,5,0,27,22,2020-04-13 22:12:45.562914
015,CHARLOTTE,1121,11,12,61,113,129,158,200,209,138,88,2,0 to 98,58,652,443,26,1108,13,0,54,1021,83,11,119,993,2,7,1100,69,47,2,118,0,0,4,9,4,15,20,30,17,20,0,16 to 96,68,82,15,2,19,2,88,28,22,0,21,0,0,5,119,48,69,118,1,0,982,11,1121,993,119,5,81,70,2020-04-13 22:12:45.562914
017,CITRUS,1022,15,22,62,127,130,143,181,185,108,45,4,0 to 97,56,568,338,116,1019,3,0,35,911,131,21,72,942,3,5,1011,36,36,0,72,0,1,4,5,6,8,22,12,10,4,0,12 to 88,60,39,0,1,32,4,39,29,21,0,21,0,0,7,72,36,36,72,0,0,939,3,1022,942,72,7,242,125,2020-04-13 22:12:45.562914
019,CLAY,2167,27,50,154,296,408,431,362,255,131,45,8,0 to 99,48,1208,839,120,2163,4,0,64,2013,187,39,165,1998,1,3,2159,97,67,0,164,0,0,8,11,22,28,32,31,22,11,0,18 to 95,59,89,29,15,31,14,117,33,52,0,38,0,0,9,165,68,97,164,1,0,1995,3,2167,1998,165,9,47,31,2020-04-13 22:12:45.562914
021,COLLIER,3569,31,49,223,456,485,536,602,601,427,157,2,0 to 103,55,2046,1510,13,3426,143,0,180,3206,373,133,376,3178,1,14,3411,156,160,0,316,3,2,22,50,40,54,75,57,55,18,0,0 to 101,58,219,10,24,63,88,160,68,78,16,45,7,2,5,376,195,181,316,60,0,3095,83,3569,3178,376,5,494,383,2020-04-13 22:12:45.562914
023,COLUMBIA,449,18,23,34,55,73,61,91,60,24,7,3,0 to 118,48,240,189,20,444,5,0,107,306,89,17,27,415,0,7,439,14,12,0,26,1,0,2,5,2,3,10,3,1,0,0,1 to 76,57,21,3,1,1,4,20,2,0,0,4,0,0,0,27,13,14,26,1,0,413,2,449,415,27,0,8,7,2020-04-13 22:12:45.562914
025,MIAMI-DADE,42611,420,570,2661,7162,7351,8188,7018,5197,2683,1259,102,0 to 119,48,22090,19778,743,42417,193,1,722,40558,1644,462,7459,34500,452,200,41768,3510,3804,77,7391,27,50,523,1276,1240,1530,1234,878,462,221,18,0 to 103,49,3081,854,289,3167,2877,1234,3280,1150,19,581,8,3,109,7459,3850,3532,7390,68,1,34377,123,42611,34500,7459,109,2101,1619,2020-04-13 22:12:45.562914
027,DESOTO,341,7,3,13,59,44,55,55,51,37,17,0,0 to 92,53,179,138,24,340,1,0,8,306,61,3,22,319,0,0,340,8,14,0,22,0,0,0,5,0,2,7,3,3,2,0,27 to 92,62,18,0,0,4,4,11,7,7,0,6,0,0,3,22,14,8,22,0,0,318,1,341,319,22,3,3,0,2020-04-13 22:12:45.562914
029,DIXIE,115,3,4,10,13,24,14,14,24,6,2,1,0 to 86,47,65,49,1,115,0,0,7,108,8,0,2,112,0,1,114,1,1,0,2,0,0,1,0,0,0,0,1,0,0,0,24 to 66,45,0,2,0,0,0,1,1,2,0,1,0,0,0,2,1,1,2,0,0,112,0,115,112,2,0,9,9,2020-04-13 22:12:45.562914
031,DUVAL,13306,204,239,1087,2597,2369,2236,2114,1355,664,417,24,0 to 118,45,7495,5076,735,13256,50,0,268,12724,230,46,691,12525,11,79,13166,349,307,21,677,4,8,59,117,112,112,128,76,48,25,2,1 to 97,50,151,109,29,388,15,253,409,81,4,63,3,0,13,691,314,353,677,14,0,12489,36,13306,12525,691,13,482,434,2020-04-13 22:12:45.562914
033,ESCAMBIA,3716,163,133,428,660,582,566,553,371,174,78,8,0 to 105,42,2227,1458,31,3417,299,0,87,3553,186,51,241,3459,5,11,3401,110,108,5,223,3,1,33,34,39,33,36,32,18,12,0,2 to 95,47,79,54,6,84,2,122,99,28,0,19,0,0,3,241,116,120,223,18,0,3178,281,3716,3459,241,3,124,68,2020-04-13 22:12:45.562914
035,FLAGLER,710,7,8,34,86,102,102,135,144,73,18,1,0 to 98,56,378,293,39,703,7,0,9,674,33,27,45,663,2,0,701,22,20,0,42,0,0,1,5,3,5,18,10,3,0,0,17 to 77,60,30,4,5,3,9,31,2,10,1,7,1,0,2,45,21,24,42,3,0,659,4,710,663,45,2,57,27,2020-04-13 22:12:45.562914
037,FRANKLIN,55,1,2,6,6,2,8,13,11,6,0,0,3 to 84,56,23,31,1,54,1,0,8,47,5,3,2,53,0,0,54,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,25 to 60,42,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,2,1,1,0,53,0,55,53,2,0,3,3,2020-04-13 22:12:45.562914
039,GADSDEN,222,6,7,22,40,38,44,32,23,7,2,1,0 to 90,43,141,79,2,220,1,1,1,191,17,6,36,186,0,0,221,23,12,0,35,0,0,3,8,8,8,6,2,1,0,0,20 to 81,43,3,7,0,25,0,7,28,0,0,1,0,0,0,36,12,24,34,1,1,186,0,222,186,36,0,40,17,2020-04-13 22:12:45.562914
