COUNTY,COUNTYNAME,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,PUIAgeAvrg,PUIAgeRange,C_AgeAvrg,C_AgeRange,C_AllResTypes,C_NonResDeaths,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUITravelNo,PUITravelUnkn,PUITravelYes,C_ED_NO,C_ED_NoData,C_ED_Yes,C_Hosp_No,C_Hosp_Nodata,C_Hosp_Yes,FLResDeaths,PUILab_Yes,TPositive,TNegative,TInconc,TPending,PUIContNo,PUIContUnkn,PUIContYes,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Scrape_Time
001,ALACHUA,1166,58,20,227,244,157,120,124,126,50,24,16,1,0,19,12,7,6,9,9,2,1,1,0 to 101,40,2 to 91,64,0,711,445,10,1154,12,0,177,961,28,11,47,9,17,43,7,0,1145,67,1078,0,21,43,26,9,67,29,37,64,3,0,1069,9,1133,1078,67,0,25,14,2020-03-28 17:22:43.330070
003,BAKER,52,0,3,4,6,3,12,5,6,9,4,0,0,0,0,0,0,0,2,1,2,2,0,5 to 97,53,55 to 97,7,0,38,13,1,51,1,0,35,14,3,5,1,1,5,0,2,0,51,7,44,0,1,12,14,11,7,3,4,7,0,0,43,1,50,44,7,0,1,0,2020-03-28 17:22:43.330149
005,BAY,90,3,3,4,16,10,15,23,8,7,1,0,0,0,0,0,1,1,1,2,0,0,0,0 to 90,48,44 to 74,4,0,48,39,3,88,2,0,15,53,22,4,0,1,4,0,1,0,89,5,84,0,1,14,15,9,5,4,1,4,1,0,83,1,87,84,5,0,5,3,2020-03-28 17:22:43.330171
007,BRADFORD,49,0,0,4,6,2,10,8,7,8,4,0,0,0,0,0,0,0,0,1,0,0,0,19 to 92,57,69 to 69,1,0,30,18,1,49,0,0,17,32,0,0,1,0,0,0,1,0,49,1,48,0,0,7,9,6,1,1,0,1,0,0,48,0,49,48,1,0,13,13,2020-03-28 17:22:43.330184
009,BREVARD,436,5,10,23,61,57,57,98,61,41,22,1,1,0,3,4,3,3,8,3,1,0,0,1 to 97,52,1 to 76,24,0,258,172,6,434,2,0,65,355,16,15,4,7,21,2,3,0,426,26,400,0,10,43,15,15,26,19,7,24,2,0,400,0,424,400,26,0,81,54,2020-03-28 17:22:43.330195
011,BROWARD,7868,78,112,586,1329,1456,1498,1277,934,401,190,7,2,3,87,126,134,136,147,111,42,26,0,0 to 106,48,0 to 97,795,0,3789,3316,763,7782,86,0,684,6816,368,198,364,252,376,346,92,11,7717,814,6901,2,151,337,447,538,814,438,302,795,19,0,6839,63,7634,6902,814,11,566,376,2020-03-28 17:22:43.330205
013,CALHOUN,11,0,0,2,0,2,0,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,19 to 84,55,NA,0,0,7,4,0,11,0,0,0,9,2,0,0,0,0,0,0,0,11,0,11,0,0,1,1,0,0,0,0,0,0,0,11,0,11,11,0,0,1,0,2020-03-28 17:22:43.330214
015,CHARLOTTE,197,2,1,12,11,20,25,37,55,23,10,1,0,0,0,0,1,4,3,3,1,0,0,2 to 96,58,43 to 76,12,0,110,79,8,195,2,0,12,183,2,1,9,2,4,6,2,0,192,12,180,0,5,8,1,4,12,6,6,12,0,0,179,1,191,180,12,0,47,41,2020-03-28 17:22:43.330223
017,CITRUS,178,3,3,11,19,12,23,41,29,25,12,0,0,0,1,1,2,1,6,0,2,1,0,1 to 97,56,17 to 87,14,0,106,68,4,177,1,0,69,95,14,2,10,2,9,2,3,1,174,14,160,0,4,25,41,17,14,6,8,14,0,0,159,1,173,160,14,1,83,30,2020-03-28 17:22:43.330232
019,CLAY,293,1,6,17,27,46,70,61,36,21,8,0,0,0,2,4,0,6,4,4,3,1,0,1 to 97,51,21 to 94,24,0,174,117,2,291,2,0,68,209,16,10,2,12,11,1,12,4,290,24,266,0,3,39,20,27,24,13,11,24,0,0,264,2,288,266,24,4,28,19,2020-03-28 17:22:43.330241
021,COLLIER,917,6,13,53,110,88,133,157,157,144,56,0,0,0,7,16,3,10,17,11,23,5,0,0 to 94,56,17 to 94,80,0,514,394,9,876,41,0,166,692,59,35,36,21,65,18,9,0,872,92,780,0,45,111,54,53,92,52,40,80,12,0,753,27,833,780,92,0,149,144,2020-03-28 17:22:43.330253
023,COLUMBIA,133,11,12,11,11,19,17,22,18,9,2,1,0,0,0,0,0,2,0,1,0,0,0,1 to 98,43,46 to 70,3,0,78,55,0,131,2,0,43,86,4,0,3,0,3,0,0,0,90,3,86,1,43,38,30,12,3,1,2,3,0,0,85,1,88,86,3,0,1,1,2020-03-28 17:22:43.330263
025,MIAMI-DADE,6760,101,137,492,1199,1244,1243,1042,704,399,187,12,2,9,71,193,195,210,147,106,55,14,1,0 to 103,47,3 to 99,982,0,3491,3202,67,6693,66,1,357,6153,250,77,663,263,261,654,88,3,6663,1003,5655,5,97,223,301,340,1003,588,405,981,21,1,5616,42,6598,5658,1003,3,1001,842,2020-03-28 17:22:43.330273
027,DESOTO,98,2,1,5,23,15,9,16,11,13,3,0,0,0,0,4,0,0,2,0,0,1,0,2 to 91,50,27 to 91,7,0,36,27,35,98,0,0,37,61,0,4,2,1,4,2,1,0,58,7,51,0,40,8,18,15,7,5,2,7,0,0,51,0,58,51,7,0,4,4,2020-03-28 17:22:43.330282
029,DIXIE,24,1,1,3,2,6,1,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2 to 78,45,NA,0,0,10,14,0,24,0,0,4,20,0,0,0,0,0,0,0,0,24,0,24,0,0,6,0,0,0,0,0,0,0,0,24,0,24,24,0,0,0,0,2020-03-28 17:22:43.330291
031,DUVAL,2014,32,32,132,285,303,304,297,235,180,209,5,0,1,5,6,18,23,19,14,15,14,0,0 to 104,53,13 to 97,109,0,1179,774,61,2000,14,0,140,1843,31,12,87,16,16,77,22,3,1792,115,1676,1,222,193,67,70,115,48,56,109,6,0,1670,7,1779,1677,115,3,119,91,2020-03-28 17:22:43.330300
