state,stateAbbrev,date,Hospitalizations,Deaths,Cases,Tested,Age_Cases [0-17],Age_Cases [18-59],Age_Cases [60+],Age_Cases [Unknown],Sex_Cases [Female],Sex_Cases [Unknown],Sex_Cases [Male],Race_Cases [American Indian/Alaska Native],Race_Cases [Asian],Race_Cases [African-American/Black],Race_Cases [Native Hawaiian/Pacific Islander],Race_Cases [Other],Race_Cases [Unknown],Race_Cases [White],Ethnicity_Cases [Hispanic/Latino],Ethnicity_Cases [Non-Hispanic/Latino],Ethnicity_Cases [Unknown],Race_Deaths [American Indian/Alaska Native],Race_Deaths [Asian],Race_Deaths [African-American/Black],Race_Deaths [Native Hawaiian/Pacific Islander],Race_Deaths [Other],Race_Deaths [Unknown],Race_Deaths [White],Ethnicity_Deaths [Hispanic/Latino],Ethnicity_Deaths [Non-Hispanic/Latino],Ethnicity_Deaths [Unknown],pullTime,ICU,Age_Cases [0-1],Age_Cases [01-04],Age_Cases [05-09],Age_Cases [10-17],Age_Cases [18-29],Age_Cases [30-39],Age_Cases [40-49],Age_Cases [50-59],Age_Cases [60-69],Age_Cases [70-79],Age_Cases [80+],Age_Cases [Missing/Unknown],Age_Deaths [0-1],Age_Deaths [01-04],Age_Deaths [05-09],Age_Deaths [10-17],Age_Deaths [18-29],Age_Deaths [30-39],Age_Deaths [40-49],Age_Deaths [50-59],Age_Deaths [60-69],Age_Deaths [70-79],Age_Deaths [80+],Age_Deaths [Missing/Unknown],Age_Hospitalizations [0-1],Age_Hospitalizations [01-04],Age_Hospitalizations [05-09],Age_Hospitalizations [10-17],Age_Hospitalizations [18-29],Age_Hospitalizations [30-39],Age_Hospitalizations [40-49],Age_Hospitalizations [50-59],Age_Hospitalizations [60-69],Age_Hospitalizations [70-79],Age_Hospitalizations [80+],Age_Hospitalizations [Missing/Unknown],Ethnicity_Hospitalizations [Hispanic/Latino],Ethnicity_Hospitalizations [Non-Hispanic/Latino],Ethnicity_Hospitalizations [Unknown],Race_Hospitalizations [African-American/Black],Race_Hospitalizations [American Indian/Alaska Native],Race_Hospitalizations [Asian],Race_Hospitalizations [Native Hawaiian/Pacific Islander],Race_Hospitalizations [Other],Race_Hospitalizations [Unknown],Race_Hospitalizations [White],Age_Deaths [Unknown],Age_Hospitalizations [Unknown]
Georgia,GA,2020-03-14,,1,42,,1.0,20.0,19.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,2020-03-30 10:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,GA,2020-03-15,,1,66,,1.0,28.0,35.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,2020-03-30 10:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,GA,2020-03-16,,1,121,,2.0,53.0,53.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,2020-03-30 10:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,GA,2020-03-17,,1,146,,1.0,67.0,58.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,2020-03-30 10:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,GA,2020-03-18,,1,197,1065.0,4.0,85.0,77.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,2020-03-30 10:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,GA,2020-03-19,,10,287,1323.0,3.0,132.0,100.0,52.0,,,,,,,,,,,,,,,,,,,,,,,,2020-03-30 10:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,GA,2020-03-20,,13,420,1682.0,4.0,172.0,139.0,105.0,,,,,,,,,,,,,,,,,,,,,,,,2020-03-30 10:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,GA,2020-03-21,,20,555,2798.0,6.0,228.0,178.0,144.0,,,,,,,,,,,,,,,,,,,,,,,,2020-03-30 10:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,GA,2020-03-22,,25,620,3099.0,6.0,372.0,223.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,2020-03-30 10:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,GA,2020-03-23,,26,800,3824.0,8.0,472.0,288.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,2020-03-30 10:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
