state,stateAbbrev,date,Age [0-17],Age [18-59],Age [60+],Age [Unknown],Female,Male,SexUnknown,Hospitalizations,Fatalities,Cases,Tested,pullTime
Georgia,GA,3/14/20,1,20,19,2,15,27,0,,1,42,,3/30/20 10:00
Georgia,GA,3/15/20,1,28,35,2,29,37,0,,1,66,,3/30/20 10:00
Georgia,GA,3/16/20,2,53,53,13,61,61,0,,1,121,,3/30/20 10:00
Georgia,GA,3/17/20,1,67,58,19,72,74,0,,1,146,,3/30/20 10:00
Georgia,GA,3/18/20,4,85,77,32,106,91,0,,1,197,1065,3/30/20 10:00
Georgia,GA,3/19/20,3,132,100,52,132,152,3,,10,287,1323,3/30/20 10:00
Georgia,GA,3/20/20,4,172,139,105,206,206,4,,13,420,1682,3/30/20 10:00
Georgia,GA,3/21/20,6,228,178,144,272,266,6,,20,555,2798,3/30/20 10:00
Georgia,GA,3/22/20,6,372,223,19,310,298,6,,25,620,3099,3/30/20 10:00
Georgia,GA,3/23/20,8,472,288,32,400,384,16,,26,800,3824,3/30/20 10:00
Georgia,GA,3/24/20,11,614,384,88,549,538,11,361,38,1097,4106,3/30/20 10:00
Georgia,GA,3/25/20,14,832,499,42,694,666,28,438,47,1387,4697,3/30/20 10:00
Georgia,GA,3/26/20,14,832,499,42,694,666,28,438,47,1387,4697,3/30/20 10:00
Georgia,GA,3/27/20,16,937,575,115,822,756,66,509,56,1643,7302,3/30/20 10:00
Georgia,GA,3/28/20,24,1370,856,196,1199,1150,98,660,79,2446,11051,3/28/20 00:00
Georgia,GA,3/29/20,27,1502,939,215,1315,1288,80,678,83,2683,12564,3/29/20 00:00
Georgia,GA,3/30/20,30,1728,1061,212,1516,1455,61,773,102,3032,13457,3/30/20 00:00
