TotalCases,TotalMaleCases,TotalFemaleCases,Cases_0_17,Cases_18_40,Cases_41_60,Cases_61_80,Cases_81_plus,CurrHospitalized,DischargedRecovering,Deceased,Scrape_Time
1995,960,1027,27,643,768,445,112,171,908,53,2020-04-16 02:29:38.037445
2141,1038,1094,27,680,830,476,128,175,987,60,2020-04-16 20:17:13.700416
2332,1126,1196,27,749,898,506,152,183,1007,64,2020-04-17 20:04:19.823597
2513,1219,1287,35,814,976,532,156,193,1095,74,2020-04-18 20:11:24.953612
2902,1402,1410,35,1017,1123,554,173,198,1171,75,2020-04-19 20:24:55.235440
3159,1545,1520,36,1137,1211,586,189,214,1235,79,2020-04-20 20:21:38.343996
3641,1821,1722,40,1369,1408,629,195,214,1293,83,2020-04-21 20:08:47.794246
3748,1882,1777,42,1417,1452,642,195,272,1428,90,2020-04-22 20:23:10.247101
3924,1989,1852,47,1490,1512,675,200,282,1492,96,2020-04-23 20:20:48.866798
4445,2263,2089,53,1690,1723,743,236,278,1604,107,2020-04-24 20:39:30.944824
5092,2628,2378,61,1969,1980,821,261,293,1723,112,2020-04-25 20:27:56.100207
5476,2842,2552,72,2144,2121,865,274,286,1900,118,2020-04-26 20:00:59.811430
5868,2842,2552,86,2311,2262,918,291,300,2021,127,2020-04-27 20:42:10.034119
5868,2842,2552,86,2311,2262,918,291,300,2021,127,2020-04-27 20:43:25.867352
6376,3316,2971,111,2526,2454,971,314,304,2164,136,2020-04-28 20:35:54.246512
6843,3565,3168,120,2710,2636,1037,340,323,2428,148,2020-04-29 19:55:20.948442
7145,3715,3280,125,2853,2748,1072,347,335,2697,162,2020-04-30 20:54:57.812907
7884,4060,3643,148,3183,3008,1158,384,345,2899,170,2020-05-01 20:24:56.163638
8641,4424,3949,163,3518,3299,1249,407,353,3156,175,2020-05-02 20:32:29.828652
9169,4685,4218,174,3751,3487,1305,448,378,3325,184,2020-05-03 20:31:54.449522
9703,4978,4463,183,3993,3684,1369,470,389,3486,188,2020-05-04 19:44:51.260847
10111,5187,4641,202,4161,3833,1421,492,407,3572,207,2020-05-05 20:15:15.744754
10404,5327,4807,212,4278,3938,1469,505,414,3803,219,2020-05-06 20:14:16.445331
11059,5640,5087,221,4534,4092,1548,553,417,4266,231,2020-05-07 20:54:16.143356
11457,5640,5843,229,4812,4239,1604,573,407,4685,243,2020-05-08 22:03:28.263896
11671,5952,5369,233,4785,4318,1634,584,402,5011,252,2020-05-09 20:27:33.086744
11959,6111,5547,264,4963,4452,1696,585,413,5154,265,2020-05-10 20:04:32.525464
12373,6334,5733,282,5150,4589,1741,611,394,5249,271,2020-05-11 20:47:44.466164
12912,6459,5876,288,5371,4834,1801,618,385,5618,289,2020-05-12 20:14:08.173593
13289,6675,6040,312,5516,4957,1858,646,388,5954,306,2020-05-13 20:06:04.548309
13675,6863,6204,328,5678,5108,1901,660,405,6231,318,2020-05-14 21:02:37.502346
14049,7047,6430,350,5853,5223,1939,684,387,6561,336,2020-05-15 20:22:35.802727
14328,7206,6572,361,5970,5301,1985,711,387,6927,346,2020-05-16 19:56:54.873437
14651,7364,6764,384,6107,5403,2030,727,376,7154,351,2020-05-17 19:54:11.846809
14955,7364,6764,401,6233,5490,2088,743,382,7324,355,2020-05-18 20:16:29.523360
15296,7648,7189,459,6424,5506,2141,766,383,7847,367,2020-05-19 19:53:47.744702
15533,7648,7189,466,6524,5592,2175,776,381,8211,381,2020-05-20 19:59:50.364004
15533,7648,7189,466,6524,5592,2175,776,381,8211,381,2020-05-20 20:03:33.931074
15954,7977,7498,479,6701,5743,2234,798,376,8475,400,2020-05-21 20:57:51.288516
16408,8204,7712,492,6891,5907,2297,821,362,8804,418,2020-05-22 20:06:53.575566
16795,8396,7894,504,7054,6046,2351,840,362,9191,444,2020-05-23 20:36:52.853057
17213,8607,8090,516,7229,6197,2410,861,363,9285,449,2020-05-24 20:31:13.958496
17557,8779,8252,527,7374,6320,2458,878,377,9341,456,2020-05-25 20:30:41.519675
17661,8831,8301,530,7418,6358,2472,883,379,9410,464,2020-05-26 21:04:12.344768
18256,9259,8540,580,7755,6537,2485,893,393,9859,485,2020-05-27 20:39:57.479784
18502,9379,8672,600,7856,6620,2513,906,383,10148,500,2020-05-28 20:12:56.813811
18791,9518,8824,614,7978,6706,2566,921,376,10600,520,2020-05-29 19:59:05.126747
19142,9717,8971,640,8146,6816,2606,928,368,10915,528,2020-05-30 19:51:33.567886
19487,9889,9132,647,8329,6918,2646,940,341,11062,533,2020-05-31 20:11:24.855830
19688,9997,9210,664,8440,6970,2658,949,339,11185,538,2020-06-01 20:05:33.720935
19956,10133,9349,692,8562,7051,2691,953,327,11604,560,2020-06-02 20:16:13.773897
20010,10164,9372,695,8581,7069,2702,956,314,11925,566,2020-06-03 19:55:08.007304
20706,10508,9715,754,8913,7294,2761,977,310,12183,579,2020-06-04 20:10:01.429504
21094,10709,9906,777,9106,7413,2808,983,299,12464,589,2020-06-05 20:09:27.194788
21438,10888,10073,807,9273,7520,2838,994,299,12677,598,2020-06-06 20:31:22.770900
21611,10977,10159,822,9357,7572,2854,1000,269,12767,602,2020-06-07 20:28:15.909392
21918,11106,10332,856,9520,7652,2880,1004,265,12875,607,2020-06-08 20:10:13.609491
21918,11106,10332,856,9520,7652,2880,1004,265,12875,607,2020-06-08 20:27:08.671334
22177,11225,10470,879,9639,7731,2911,1011,255,13277,622,2020-06-09 20:25:05.798338
22516,11400,10621,902,9821,7826,2943,1019,245,13545,629,2020-06-10 20:35:31.393395
22785,11518,10768,919,9978,7884,2969,1030,242,13827,638,2020-06-11 20:21:10.241663
23166,11715,10952,947,10194,7980,3001,1039,225,14071,642,2020-06-12 20:25:26.450207
23555,11924,11125,976,10431,8068,3032,1044,200,14306,650,2020-06-13 20:37:02.336880
23555,11924,11125,976,10431,8068,3032,1044,200,14306,650,2020-06-13 20:41:00.483081
23904,12087,11302,1005,10608,8175,3063,1049,203,14364,651,2020-06-14 19:58:48.273714
24046,12156,11376,1017,10679,8207,3081,1059,197,14461,653,2020-06-15 20:23:04.733505
24168,12223,11433,1027,10735,8242,3092,1069,193,14829,661,2020-06-16 20:27:07.994252
24379,12331,11533,1050,10832,8302,3113,1079,188,15139,671,2020-06-17 20:31:09.290135
24737,12516,11710,1075,11017,8390,3162,1090,188,15453,677,2020-06-18 21:03:04.252488
25164,12737,11905,1102,11280,8483,3197,1099,197,15683,680,2020-06-19 19:44:19.203378
25424,12880,12025,1123,11443,8536,3217,1102,182,15904,681,2020-06-20 21:18:11.937225
25891,13107,12256,1144,11737,8629,3268,1110,170,16022,685,2020-06-21 20:49:00.675503
25891,13107,12256,1144,11737,8629,3268,1110,170,16022,685,2020-06-22 19:53:18.442391
26346,13348,12476,1179,12007,8718,3322,1117,163,16432,688,2020-06-23 19:21:20.206250
26601,13479,12602,1192,12177,8758,3350,1121,140,16764,690,2020-06-24 20:30:15.207795
27061,13709,12832,1224,12445,8866,3400,1123,137,16952,694,2020-06-25 19:51:43.105132
