TotalCases,TotalMaleCases,TotalFemaleCases,Cases_0_17,Cases_18_40,Cases_41_60,Cases_61_80,Cases_81_plus,CurrHospitalized,NeverHospitalized,DischargedRecovering,Deceased,Scrape_Time
298,139,159,1,83,106,94,14,46,142,15,3,2020-03-28 23:44:35.984574
298,139,159,1,83,106,94,14,46,142,15,3,2020-03-29 10:27:59.704164
336,157,179,1,92,120,106,16,51,185,17,4,2020-03-29 19:35:36.560245
424,197,227,5,113,150,132,24,51,203,23,6,2020-03-30 20:37:23.668247
497,233,264,6,136,176,149,30,61,268,33,7,2020-03-31 20:28:25.383073
549,262,287,7,147,195,167,33,63,303,36,9,2020-04-01 20:08:34.725826
549,262,287,7,147,195,167,33,63,303,36,9,2020-04-01 20:11:07.746850
614,288,326,8,168,226,178,34,74,347,46,11,2020-04-02 20:26:31.981885
699,325,374,8,189,256,206,40,80,415,58,11,2020-04-03 20:24:29.285173
786,370,416,8,214,287,227,50,85,488,68,14,2020-04-04 20:10:05.822677
868,407,461,8,238,323,239,60,91,542,74,22,2020-04-05 20:15:25.467147
946,443,503,8,264,356,253,65,99,596,80,25,2020-04-06 20:28:58.982545
1048,493,555,11,307,387,274,69,104,646,89,26,2020-04-07 20:04:52.523687
1145,544,601,13,350,420,290,72,122,646,431,27,2020-04-08 20:19:16.407800
1270,607,662,16,387,483,306,78,115,646,476,29,2020-04-09 19:51:47.084529
1388,674,714,17,432,537,322,80,119,646,506,31,2020-04-10 20:20:55.250930
1510,731,779,17,480,582,349,82,118,646,585,34,2020-04-11 19:53:32.236030
1587,768,819,18,497,626,360,86,129,646,674,41,2020-04-12 20:39:27.091393
1710,768,819,18,536,675,388,93,142,646,741,43,2020-04-13 20:21:56.467876
1899,768,819,18,536,675,388,93,142,646,741,49,2020-04-14 20:01:35.848308
