Case_Pct_Ethn_Hispanic,Case_Pct_Ethn_NonHispanic,Case_Pct_Race_AmericanIndian,Case_Pct_Race_Asian,Case_Pct_Race_Black,Case_Pct_Race_MultipleRaces,Case_Pct_Race_NativeHawaiian,Case_Pct_Race_Other,Case_Pct_Race_White,CasesAmongHCW,CasesRecovered,Death_Pct_Ethn_Hispanic,Death_Pct_Ethn_NonHispanic,Death_Pct_Race_AmericanIndian,Death_Pct_Race_Asian,Death_Pct_Race_Black,Death_Pct_Race_NativeHawaiian,Death_Pct_Race_Other,Death_Pct_Race_White,ICUAdmissions,Pct_Age_0_17,Pct_Age_100_plus,Pct_Age_18_29,Pct_Age_30_39,Pct_Age_40_49,Pct_Age_50_59,Pct_Age_60_69,Pct_Age_70_79,Pct_Age_80_89,Pct_Age_90_99,Pct_Gender_Female,Pct_Gender_Male,Scrape_Time,TotalCases,TotalDeaths,TotalHospitalizations
35.28,64.72,1.88,1.64,2.24,5.21,0.51,14.95,73.56,509,4233,6.5,93.5,1.09,2.17,1.09,0.0,1.09,94.57,116,7.2,0.1,34.3,16.0,13.9,12.2,8.2,4.3,2.8,1.0,53.7,46.3,2020-06-30 21:42:51.204954,6117,92,330
35.18,64.82,1.81,1.6,2.32,5.26,0.51,14.78,73.73,519,4393,6.5,93.5,1.09,2.17,1.09,0.0,1.09,94.57,118,7.4,0.1,34.5,16.1,13.7,12.2,8.0,4.3,2.7,0.9,53.6,46.4,2020-07-01 20:05:03.430961,6370,92,340
35.48,64.52,1.72,1.56,2.28,5.27,0.54,15.1,73.53,534,2801,6.5,93.5,1.09,2.17,1.09,0.0,1.09,94.57,121,7.4,0.1,34.7,16.0,13.7,12.2,7.9,4.5,2.6,0.9,53.5,46.5,2020-07-02 22:11:56.009730,6593,92,350
35.39,64.61,1.7,1.51,2.25,5.23,0.55,15.42,73.34,558,2831,6.5,93.5,1.09,2.17,1.09,0.0,1.09,94.57,121,7.4,0.1,35.1,16.1,13.7,12.1,7.8,4.3,2.5,0.9,53.3,46.7,2020-07-03 22:41:59.898009,6994,93,355
35.48,64.52,1.62,1.5,2.16,5.16,0.59,15.89,73.08,569,2858,6.5,93.5,1.09,2.17,1.09,0.0,1.09,94.57,122,7.5,0.1,35.5,16.1,13.7,12.1,7.8,4.2,2.4,0.9,53.2,46.8,2020-07-04 20:28:25.952270,7370,93,359
35.3,64.7,1.54,1.53,2.2,5.17,0.56,16.06,72.93,570,2886,6.5,93.5,1.09,2.17,1.09,0.0,1.09,94.57,124,7.5,0.1,35.8,16.2,13.7,12.0,7.5,4.1,2.3,0.8,53.2,46.8,2020-07-05 20:02:00.223542,7733,93,369
35.04,64.96,1.54,1.51,2.23,5.2,0.54,16.18,72.81,596,2907,7.4,92.6,1.06,2.13,1.06,0.0,1.06,94.68,130,7.6,0.1,35.5,16.3,13.8,12.1,7.5,4.1,2.3,0.8,53.4,46.6,2020-07-06 20:12:39.843344,8052,94,387
34.94,65.06,1.47,1.45,2.22,5.26,0.52,16.18,72.89,633,2932,7.4,92.6,1.06,2.13,1.06,0.0,1.06,94.68,130,7.6,0.1,35.4,16.4,13.8,12.0,7.5,4.1,2.3,0.8,53.3,46.7,2020-07-07 19:59:13.731977,8539,94,396
34.65,65.35,1.48,1.43,2.22,5.41,0.5,16.08,72.89,651,2978,8.2,91.8,1.02,2.04,1.02,0.0,1.02,94.9,133,7.7,0.1,35.0,16.5,14.0,12.1,7.6,4.0,2.2,0.9,53.4,46.6,2020-07-08 20:31:58.134466,8969,98,411
34.75,65.25,1.41,1.4,2.18,5.41,0.47,16.08,73.04,678,3022,8.2,91.8,1.02,2.04,1.02,0.0,1.02,94.9,137,7.9,0.1,34.8,16.6,14.1,12.1,7.5,3.9,2.2,0.8,53.3,46.7,2020-07-09 20:12:22.457880,9428,100,432
34.6,65.4,1.42,1.35,2.17,5.44,0.52,15.89,73.22,708,3066,7.9,92.1,0.99,1.98,0.99,0.0,0.99,95.05,138,7.9,0.1,34.6,16.8,14.2,12.1,7.6,3.9,2.2,0.7,52.9,47.1,2020-07-10 20:15:18.836651,9928,101,449
34.5,65.5,1.34,1.34,2.1,5.5,0.52,16.1,73.1,735,3114,7.9,92.1,0.99,1.98,0.99,0.0,0.99,95.05,139,8.0,0.1,34.4,16.9,14.2,12.1,7.4,3.9,2.2,0.7,53.0,47.0,2020-07-11 20:13:55.134210,10505,102,468
34.36,65.64,1.3,1.31,2.05,5.44,0.5,16.32,73.08,743,3179,7.9,92.1,0.99,1.98,0.99,0.0,0.99,95.05,142,8.1,0.1,34.4,16.7,14.4,12.0,7.4,3.9,2.2,0.7,52.8,47.2,2020-07-12 20:06:29.511615,10902,102,477
34.21,65.79,1.27,1.36,2.05,5.32,0.52,16.0,73.48,760,3262,7.8,92.2,0.98,1.96,0.98,0.0,0.98,95.1,144,8.1,0.1,34.2,16.9,14.5,12.1,7.4,3.8,2.1,0.7,52.1,47.9,2020-07-13 20:10:02.157894,11402,102,500
34.22,65.78,1.27,1.36,2.03,5.26,0.5,16.06,73.52,780,3360,7.8,92.2,0.97,1.94,0.97,0.0,0.97,95.15,151,8.1,0.1,34.1,17.0,14.6,12.1,7.4,3.8,2.1,0.7,52.3,47.7,2020-07-14 20:05:01.951561,11718,103,510
34.1,65.9,1.22,1.34,1.99,5.34,0.53,16.54,73.04,811,3513,7.5,92.5,0.94,1.89,0.94,0.0,0.94,95.28,151,8.1,0.1,33.9,17.1,14.7,12.1,7.3,3.9,2.2,0.8,52.1,47.9,2020-07-15 20:06:54.989422,12445,110,526
33.96,66.04,1.26,1.31,1.94,5.35,0.51,16.6,73.04,823,3676,10.9,89.1,0.91,1.82,0.91,0.0,0.91,95.45,165,8.2,0.1,33.8,17.1,14.7,12.2,7.4,3.8,2.2,0.7,51.8,48.2,2020-07-16 20:24:31.492591,13133,114,554
33.86,66.14,1.22,1.31,1.94,5.31,0.5,16.84,72.88,855,3827,7.9,92.1,0.88,1.75,0.88,0.0,0.88,95.61,170,8.2,0.1,33.5,17.3,14.8,12.2,7.3,3.7,2.1,0.7,51.3,48.7,2020-07-17 20:22:59.521708,13752,118,570
33.93,66.07,1.19,1.35,1.88,5.36,0.48,17.19,72.56,878,3989,7.9,92.1,0.88,1.75,0.88,0.0,0.88,95.61,180,8.1,0.1,33.3,17.4,14.9,12.1,7.4,3.8,2.1,0.7,51.3,48.7,2020-07-18 20:33:33.514434,14302,119,583
34.18,65.82,1.18,1.31,1.95,5.25,0.46,17.44,72.41,882,4149,7.9,92.1,0.88,1.75,0.88,0.0,0.88,95.61,181,8.4,0.1,33.0,17.4,14.9,12.1,7.4,3.9,2.2,0.7,51.3,48.7,2020-07-19 20:05:43.584235,14873,119,600
