Case_Pct_Ethn_Hispanic,Case_Pct_Ethn_NonHispanic,Case_Pct_Race_AmericanIndian,Case_Pct_Race_Asian,Case_Pct_Race_Black,Case_Pct_Race_MultipleRaces,Case_Pct_Race_NativeHawaiian,Case_Pct_Race_Other,Case_Pct_Race_White,CasesAmongHCW,CasesRecovered,Death_Pct_Ethn_Hispanic,Death_Pct_Ethn_NonHispanic,Death_Pct_Race_AmericanIndian,Death_Pct_Race_Asian,Death_Pct_Race_Black,Death_Pct_Race_Other,Death_Pct_Race_White,ICUAdmissions,Pct_Age_0_17,Pct_Age_100_plus,Pct_Age_18_29,Pct_Age_30_39,Pct_Age_40_49,Pct_Age_50_59,Pct_Age_60_69,Pct_Age_70_79,Pct_Age_80_89,Pct_Age_90_99,Pct_Gender_Female,Pct_Gender_Male,Scrape_Time,TotalCases,TotalDeaths,TotalHospitalizations
35.12,64.88,2.15,1.85,2.41,5.33,0.48,15.58,72.21,390,3088,6.74,93.26,1.12,2.25,1.12,1.12,94.38,101,6.7,0.0,25.5,16.7,15.8,14.6,10.2,5.6,3.7,1.2,54.3,45.7,2020-06-18 21:29:38.604840,3743,89,278
35.16,64.84,2.13,1.84,2.42,5.34,0.54,15.33,72.4,397,3183,6.7,93.3,1.1,2.2,1.1,1.1,94.4,101,6.7,0.0,26.2,16.8,15.5,14.4,10.1,5.6,3.5,1.2,54.5,45.5,2020-06-19 19:44:21.180913,3871,89,279
35.47,64.53,2.12,1.83,2.36,5.36,0.53,15.1,72.69,406,3305,6.7,93.3,1.1,2.2,1.1,1.1,94.4,101,6.7,0.0,27.1,16.8,15.3,14.0,9.9,5.5,3.5,1.2,54.0,46.0,2020-06-20 21:18:13.903963,4006,89,283
35.47,64.53,2.12,1.83,2.36,5.36,0.53,15.1,72.69,406,3305,6.7,93.3,1.1,2.2,1.1,1.1,94.4,101,6.7,0.0,27.1,16.8,15.3,14.0,9.9,5.5,3.5,1.2,54.0,46.0,2020-06-21 20:49:02.445303,4006,89,283
35.79,64.21,2.06,1.79,2.22,5.31,0.53,15.57,72.52,416,3405,6.7,93.3,1.1,2.2,1.1,1.1,94.4,102,6.7,0.0,28.7,16.4,15.2,13.6,9.5,5.2,3.4,1.1,54.2,45.8,2020-06-22 19:53:20.002598,4254,89,293
35.79,64.21,1.98,1.79,2.27,5.31,0.51,15.44,72.7,427,3484,6.7,93.3,1.12,2.25,1.12,1.12,94.38,105,6.7,0.1,29.8,16.4,15.0,13.3,9.3,5.1,3.2,1.1,54.1,45.9,2020-06-23 21:17:16.055628,4402,89,298
35.77,64.23,2.01,1.73,2.19,5.36,0.52,15.49,72.7,449,3610,6.7,93.3,1.1,2.2,1.1,1.1,94.4,106,6.7,0.0,30.6,16.6,14.5,13.1,9.1,5.0,3.2,1.1,53.9,46.1,2020-06-24 20:30:18.723951,4645,90,300
35.84,64.16,2.01,1.69,2.19,5.26,0.5,15.49,72.86,458,3712,6.7,93.3,1.1,2.2,1.1,1.1,94.4,106,6.9,0.0,31.3,16.5,14.4,12.7,8.7,4.8,3.3,1.2,53.8,46.2,2020-06-25 19:51:45.460292,4865,90,303
35.61,64.39,2.0,1.72,2.19,5.18,0.56,15.25,73.11,468,3827,6.7,93.3,1.1,2.2,1.1,1.1,94.4,108,6.9,0.0,32.4,16.3,14.2,12.7,8.5,4.7,3.2,1.2,53.8,46.2,2020-06-26 19:33:44.627492,148,90,309
35.78,64.22,2.0,1.67,2.19,5.13,0.55,15.11,73.35,475,3898,6.7,93.3,1.1,2.2,1.1,1.1,94.4,111,7.0,0.0,33.0,16.0,14.2,12.6,8.4,4.5,3.1,1.1,53.8,46.2,2020-06-27 21:26:56.876496,5319,91,312
35.78,64.22,2.0,1.67,2.19,5.13,0.55,15.11,73.35,475,3898,6.7,93.3,1.1,2.2,1.1,1.1,94.4,111,7.0,0.0,33.0,16.0,14.2,12.6,8.4,4.5,3.1,1.1,53.8,46.2,2020-06-28 20:00:47.716939,5319,91,312
35.78,64.22,1.95,1.67,2.23,4.97,0.54,15.03,73.62,491,4073,6.6,93.4,1.1,2.2,1.1,1.1,94.51,114,7.0,0.1,34.2,16.0,14.0,12.2,8.2,4.4,2.9,1.1,53.5,46.5,2020-06-29 23:35:54.364653,575 2,91,322
