CasesAmongHCW,ICUAdmissions,Pct_Age_0_17,Pct_Age_18-49,Pct_Age_50_plus,Pct_Gender_Female,Pct_Gender_Male,Scrape_Time,TestsCommercialLab,TestsStateLab,TotalCases,TotalDeaths,TotalHospitalizations,TotalTested,UpdateTime
46,7,1.1,51.1,47.8,51.9,48.1,2020-04-02 22:09:14.907087,6094,1851,891,9,56,7945,2020-04-02 17:00:00
46,7,1.1,51.1,47.8,51.9,48.1,2020-04-02 22:09:44.660486,6094,1851,891,9,56,7945,2020-04-02 17:00:00
47,8,1.3,51.8,46.9,51.8,48.2,2020-04-03 20:53:00.048214,6857,2013,1013,10,62,8870,2020-04-03 17:00:00
65,11,1.3,52.5,46.2,51.5,48.5,2020-04-04 20:10:08.698105,8124,2137,1077,10,66,10261,2020-04-04 17:00:00
80,16,1.3,52.7,46.0,51.2,48.8,2020-04-05 20:45:17.144878,8732,2263,1101,10,77,10995,2020-03-29 17:00:00
87,21,1.1,53.4,45.5,51.3,48.7,2020-04-06 20:29:01.509569,8983,2263,1170,13,83,11246,2020-04-06 17:00:00
96,24,1.1,53.9,45.0,51.3,48.7,2020-04-07 20:04:57.749803,9567,2331,1210,15,93,11898,2020-04-07 17:00:00
113,29,1.1,54.0,44.9,51.3,48.7,2020-04-08 20:19:56.198741,10036,2495,1232,18,113,12531,2020-04-07 17:00:00
143,33,1.4,54.2,44.5,51.5,48.5,2020-04-09 19:51:49.153516,10523,2571,1353,24,127,13094,2020-04-09 17:00:00
150,35,1.4,54.3,44.3,51.8,48.2,2020-04-10 20:27:11.819071,11098,2666,1396,25,128,13764,2020-04-10 17:00:00
153,38,1.4,54.3,44.3,51.9,48.1,2020-04-11 19:53:34.590967,11569,2739,1407,27,131,14308,2020-04-11 17:00:00
153,38,1.4,54.3,44.3,51.8,48.2,2020-04-12 20:39:29.125924,12051,2830,1426,27,132,14881,2020-04-12 17:00:00
156,38,1.4,54.6,44.1,51.8,48.2,2020-04-13 20:21:58.533907,12284,2830,1453,33,135,15114,2020-04-13 17:00:00
172,46,2.3,53.6,44.0,52.7,47.3,2020-04-15 20:12:46.280489,12799,2952,1507,41,143,15751,2020-04-14 17:00:00
166,43,2.1,53.8,44.2,52.3,47.7,2020-04-14 21:13:03.022486,12525,2873,1464,39,141,15398,2020-04-14 17:00:00
