CasesAmongHCW,CasesRecovered,Death_Pct_Ethn_Hispanic,Death_Pct_Ethn_NonHispanic,Death_Pct_Race_Asian,Death_Pct_Race_Black,Death_Pct_Race_White,Death_Rate_Per_100000,ICUAdmissions,Pct_Age_0_17,Pct_Age_18_29,Pct_Age_30_39,Pct_Age_40_49,Pct_Age_50_59,Pct_Age_60_69,Pct_Age_70_79,Pct_Age_80_plus,Pct_Gender_Female,Pct_Gender_Male,Scrape_Time,TotalCases,TotalDeaths,TotalHospitalizations
251,1121,6.7,93.3,3.3,1.7,95,3.4,74,3.1,20.2,15.4,16.7,17.4,13,7.4,6.8,53.5,46.5,2020-04-29 20:00:29.640400,1984,60,175
254,1175,7.9,92.1,3.2,1.6,95.2,3.6,75,3.1,20.3,15.5,16.4,17.2,13.3,7.3,6.8,53.8,46.2,2020-04-30 20:00:29.640400,2015,63,178
258,1215,7.9,92.1,3.2,1.6,95.2,3.6,76,3.2,20.3,15.6,16.3,17.1,13.1,7.4,6.9,53.7,46.3,2020-05-01 20:00:29.640400,2035,63,178
261,1267,7.9,92.1,3.2,1.6,95.2,3.6,83,3.1,20.3,15.7,16.5,17.1,13.1,7.4,6.9,53.7,46.3,2020-05-02 20:00:29.640400,2061,64,200
261,1267,7.9,92.1,3.2,1.6,95.2,3.6,83,3.1,20.3,15.7,16.5,17.1,13.1,7.4,6.9,53.7,46.3,2020-05-03 20:00:29.640400,2061,64,200
266,1358,7.9,92.1,3.2,1.6,95.2,3.6,83,3.3,20.5,15.6,16.3,17,13,7.4,6.8,54,46,2020-05-04 20:00:29.640400,2106,64,201
267,1379,7.9,92.1,3.2,1.6,95.2,3.7,84,3.5,20.6,15.7,16.3,16.8,12.9,7.4,6.7,54,46,2020-05-05 20:00:29.640400,2127,65,203
268,1399,6.5,93.5,3.2,1.6,95.2,3.8,86,3.8,20.6,15.9,16.3,16.6,12.7,7.4,6.8,54.2,45.8,2020-05-06 20:00:29.640400,2158,66,205
269,1420,6.3,93.7,3.2,1.6,95.2,3.8,86,3.8,20.7,15.9,16.4,16.7,12.7,7.3,6.6,54.4,45.6,2020-05-07 20:00:29.640400,2178,67,206
272,1442,6.2,93.8,3.1,1.5,95.4,3.8,86,4.0,20.8,15.8,16.2,16.6,12.7,7.2,6.8,54.5,45.5,2020-05-08 22:03:29.640400,2205,67,206
274,1473,6.2,93.8,3.1,1.5,95.4,3.8,87,4.0,20.7,15.8,16.3,16.5,12.6,7.3,6.9,54.5,45.5,2020-05-09 20:30:13.657824,2230,67,207
274,1473,6.2,93.8,3.1,1.5,95.4,3.8,87,4.0,20.7,15.8,16.3,16.5,12.6,7.3,6.9,54.5,45.5,2020-05-10 20:04:34.632075,2230,67,207
275,1508,6.1,93.9,3.0,1.5,95.5,4.0,87,4.0,20.6,15.9,16.2,16.5,12.6,7.3,7.0,54.5,45.5,2020-05-11 20:47:46.597332,2260,70,210
278,1536,5.9,94.1,2.9,1.5,95.6,3.9,88,4.2,20.7,15.8,16.2,16.4,12.6,7.2,6.8,54.5,45.5,2020-05-12 20:14:10.383485,2293,69,214
282,1557,5.8,94.2,2.9,1.4,95.7,3.9,88,4.4,20.7,15.9,16.3,16.3,12.5,7.2,6.8,54.5,45.5,2020-05-13 20:06:06.932528,2324,69,212
286,1573,5.6,94.4,2.8,1.4,95.8,4.1,89,4.4,20.7,16.1,16.3,16.2,12.4,7.2,6.7,54.5,45.5,2020-05-14 21:02:39.572310,2351,72,212
289,1588,5.5,94.5,2.7,1.4,95.9,4.2,89,4.4,20.8,16.1,16.3,16.3,12.3,7.1,6.7,54.8,45.2,2020-05-15 20:27:15.208032,2389,73,213
293,1612,5.5,94.5,2.7,1.4,95.9,4.2,89,4.6,20.7,16.1,16.3,16.3,12.2,7.0,6.7,54.8,45.2,2020-05-16 19:56:56.926025,2419,73,213
293,1612,5.5,94.5,2.7,1.4,95.9,4.2,89,4.6,20.7,16.1,16.3,16.3,12.2,7.0,6.7,54.8,45.2,2020-05-17 19:54:14.340391,2419,73,213
295,1649,5.4,94.6,2.7,1.4,95.9,4.2,89,4.7,20.9,16.2,16.4,16.3,12.0,7.0,6.6,54.9,45.1,2020-05-18 20:16:31.609019,2455,74,213
297,1668,5.3,94.7,2.6,1.3,96.1,4.4,89,4.7,21.1,16.2,16.3,16.2,12.1,6.9,6.6,54.8,45.2,2020-05-19 21:25:56.341106,2476,77,215
