state,stateAbbrev,date,Tested,Cases,Deaths,Sex_Cases [Male],Sex_Cases [Female],Sex_Cases [Unknown/Left Blank],Sex_Deaths [Male],Sex_Deaths [Female],Sex_Deaths [Unknown/Left Blank],Age_Cases [Unknown],Age_Cases [0-20],Age_Cases [20-29],Age_Cases [30-39],Age_Cases [40-49],Age_Cases [50-59],Age_Cases [60-69],Age_Cases [70-79],Age_Cases [80+],Age_Deaths [Unknown],Age_Deaths [0-20],Age_Deaths [20-29],Age_Deaths [30-39],Age_Deaths [40-49],Age_Deaths [50-59],Age_Deaths [60-69],Age_Deaths [70-79],Age_Deaths [80+],Race_Cases [White],Race_Cases [Black],Race_Cases [Left Blank],Race_Cases [Other],Race_Cases [Asian],Race_Cases [Hispanic],Race_Cases [NH/PI*],Race_Cases [AI/AN**],Race_Deaths [White],Race_Deaths [Black],Race_Deaths [Left Blank],Race_Deaths [Other],Race_Deaths [Asian],Race_Deaths [Hispanic],Race_Deaths [NH/PI*],Race_Deaths [AI/AN**],pullTime,probable_deaths
Illinois,IL,2020-04-06,62942,12262,307,6017,6112,133,174,131,2,6,224,1451,1861,2273,2471,1926,1235,815,0,1,2,6,16,31,67,91,93,3372,3607,2996,655,409,1194,16,13,114,129,22,5,13,23,0,1,2020-04-06 00:00:00,
Illinois,IL,2020-04-07,68732,13549,380,6667,6718,173,211,166,3,6,248,1599,2056,2525,2724,2139,1349,912,0,1,2,9,23,36,77,108,124,3671,3853,3477,712,453,1359,20,13,137,163,26,7,14,32,0,1,2020-04-07 00:00:00,
Illinois,IL,2020-04-08,75066,15078,462,7338,7554,186,262,199,1,7,275,1766,2300,2785,3030,2365,1513,1037,0,1,2,10,27,46,92,132,152,4002,4207,3987,767,499,1581,21,14,167,200,32,6,18,37,0,2,2020-04-08 00:00:00,
Illinois,IL,2020-04-09,80857,16422,528,7970,8233,219,301,225,2,7,298,1926,2485,3022,3318,2574,1630,1162,0,1,2,11,30,48,104,149,183,4342,4587,4327,810,535,1786,22,13,189,225,37,9,21,45,0,2,2020-04-09 00:00:00,
Illinois,IL,2020-04-10,87527,17887,596,8641,8964,282,349,244,0,7,333,2118,2704,3289,3590,2827,1755,1264,0,0,0,12,29,60,115,172,204,4692,4926,4694,872,582,2080,25,16,208,258,44,7,22,54,0,0,2020-04-10 00:00:00,
Illinois,IL,2020-04-11,92779,19180,677,9241,9636,303,389,285,3,7,358,2285,2916,3562,3846,3002,1841,1363,0,1,3,13,30,65,130,191,244,4986,5213,5050,924,639,2317,28,22,242,292,39,10,26,65,2,1,2020-04-11 00:00:00,
Illinois,IL,2020-04-12,100735,20852,720,10026,10507,319,415,302,3,8,402,2491,3200,3874,4179,3224,1978,1496,0,1,3,13,31,70,135,201,266,5214,5458,5936,988,691,2513,28,24,259,308,41,12,27,70,2,1,2020-04-12 00:00:00,
Illinois,IL,2020-04-13,105768,22025,794,10591,11116,318,455,336,3,8,432,2659,3398,4091,4419,3377,2055,1586,0,1,3,15,37,77,152,217,292,5385,5693,6421,1025,725,2720,30,26,286,340,47,14,29,75,2,1,2020-04-13 00:00:00,
Illinois,IL,2020-04-14,110616,23247,868,11139,11756,352,498,365,5,6,476,2805,3609,4291,4641,3573,2160,1686,0,1,3,17,41,85,164,235,322,5758,6019,6556,1077,774,3002,33,28,318,368,45,14,33,87,2,1,2020-04-14 00:00:00,
Illinois,IL,2020-04-15,116929,24593,948,11797,12409,387,546,398,4,6,511,2961,3815,4532,4908,3745,2302,1813,0,2,3,18,41,90,181,259,354,6127,6331,6747,1117,847,3357,33,34,355,397,55,16,33,89,2,1,2020-04-15 00:00:00,
Illinois,IL,2020-04-16,122589,25733,1072,12354,12984,395,617,450,5,7,544,3116,3970,4733,5138,3893,2397,1935,0,2,3,19,44,101,198,293,412,6453,6630,6904,1129,882,3662,36,37,412,441,61,17,36,102,2,1,2020-04-16 20:19:46.888358,
Illinois,IL,2020-04-17,130163,27575,1134,13266,13886,423,654,475,5,9,625,3349,4245,5069,5514,4164,2522,2078,0,2,3,19,47,103,210,305,445,6939,6982,7188,1234,978,4179,37,38,444,456,63,17,42,109,2,1,2020-04-17 20:08:34.840528,
Illinois,IL,2020-04-18,137404,29160,1259,14068,14645,447,725,529,5,10,680,3587,4488,5365,5815,4385,2649,2181,0,2,4,23,49,115,232,336,498,7273,7238,7641,1274,1049,4605,39,41,483,502,73,16,50,132,2,1,2020-04-18 20:15:24.404604,
Illinois,IL,2020-04-19,143318,30357,1290,14642,15259,456,742,542,6,10,734,3766,4691,5574,6048,4541,2720,2273,0,2,4,23,50,117,239,336,519,7554,7498,7898,1324,1085,4913,39,46,501,512,74,15,51,134,2,1,2020-04-19 20:28:33.675941,
Illinois,IL,2020-04-20,148358,31508,1349,15218,15833,457,778,565,6,10,801,3920,4850,5750,6251,4707,2834,2385,0,2,4,24,52,122,246,351,548,7814,7764,8220,1350,1130,5142,41,47,527,528,75,16,54,146,2,1,2020-04-20 20:24:07.813029,
Illinois,IL,2020-04-21,154997,33059,1468,15988,16595,476,852,609,7,11,860,4137,5080,6038,6565,4891,2949,2528,0,2,5,25,56,134,265,382,599,8126,8126,8538,1402,1178,5595,44,50,576,570,77,17,61,164,2,1,2020-04-21 20:15:54.669407,
Illinois,IL,2020-04-22,164346,35108,1565,16925,17660,523,910,647,8,11,940,4437,5398,6408,6953,5131,3121,2709,0,2,5,27,59,141,281,406,644,8573,8504,9050,1447,1244,6195,45,50,621,596,80,21,62,181,3,1,2020-04-22 20:26:37.849244,
Illinois,IL,2020-04-23,173316,36934,1688,17832,18545,557,978,704,6,13,995,4729,5703,6747,7303,5356,3238,2850,0,2,6,28,64,148,294,448,698,9064,8842,9203,1524,1323,6879,45,54,678,624,92,21,69,200,3,1,2020-04-23 20:26:26.247658,
Illinois,IL,2020-04-24,189632,39658,1795,19105,19960,593,1039,749,7,14,1137,5135,6175,7215,7782,5691,3429,3080,0,2,7,29,68,158,309,480,742,9588,9321,9909,1619,1407,7704,49,61,736,663,86,20,73,214,2,1,2020-04-24 20:42:26.121048,
Illinois,IL,2020-04-25,201617,41777,1874,20054,21025,698,1089,783,2,15,1228,5405,6515,7575,8192,5951,3592,3304,0,2,7,30,71,164,321,496,783,10053,9653,10527,1717,1467,8248,50,62,770,685,92,23,76,224,2,2,2020-04-25 20:34:36.098851,
Illinois,IL,2020-04-26,214952,43903,1933,21102,22026,775,1124,807,2,17,1328,5714,6837,7959,8563,6304,3739,3442,0,2,10,31,73,170,334,506,807,10427,9918,11341,1834,1523,8743,52,65,794,712,83,19,76,245,2,2,2020-04-26 20:07:49.044649,
Illinois,IL,2020-04-27,227628,45883,1983,22087,22965,831,1156,825,2,19,1425,6005,7163,8306,8937,6542,3865,3621,0,2,10,33,75,176,341,520,826,10761,10168,12104,1905,1570,9256,53,66,811,728,86,20,78,256,2,2,2020-04-27 20:46:41.630247,
Illinois,IL,2020-04-28,242189,48102,2125,23115,24067,920,1236,888,1,23,1540,6356,7495,8685,9303,6827,4021,3852,0,3,12,35,79,187,371,556,882,11200,10522,12683,1933,1642,10000,55,67,877,772,85,23,89,275,2,2,2020-04-28 20:42:31.328449,
Illinois,IL,2020-04-29,256667,50355,2215,24137,25213,1005,1288,926,1,32,1652,6737,7884,9119,9681,7095,4152,4003,0,3,12,36,83,192,390,578,921,11676,10850,13102,2031,1718,10846,62,70,912,796,91,24,91,297,2,2,2020-04-29 20:01:12.466742,
Illinois,IL,2020-04-30,269867,52918,2355,25309,26523,1086,1372,981,2,31,1821,7145,8303,9583,10138,7406,4321,4170,0,3,16,37,86,204,412,605,992,12276,11353,13393,2087,1826,11848,61,74,981,828,93,24,99,326,2,2,2020-04-30 21:00:51.159784,
Illinois,IL,2020-05-01,284688,56055,2457,26895,28047,1113,1427,1028,2,32,2048,7625,8874,10201,10705,7743,4476,4351,0,4,13,39,90,207,436,628,1040,12772,11706,14287,2272,1897,12979,64,78,1022,868,82,25,105,351,2,2,2020-05-01 20:31:27.080016,
Illinois,IL,2020-05-02,299896,58505,2559,28068,29272,1165,1481,1076,2,38,2204,8037,9265,10592,11128,8035,4645,4561,0,2,14,41,91,217,452,651,1091,13207,12001,15093,2403,1952,13704,64,81,1072,891,92,30,106,363,2,3,2020-05-02 20:39:44.351130,
Illinois,IL,2020-05-03,319313,61499,2618,29497,30765,1237,1513,1103,2,40,2411,8547,9819,11116,11672,8390,4795,4709,0,2,14,41,92,224,464,665,1116,13566,12240,16517,2524,2001,14502,67,82,1096,904,92,30,111,379,3,3,2020-05-03 20:39:38.626707,
Illinois,IL,2020-05-04,333147,63840,2662,30600,31931,1309,1531,1129,2,53,2566,8927,10190,11531,12063,8656,4962,4892,0,2,15,43,93,228,469,679,1133,13825,12438,17774,2576,2047,15026,68,86,1116,911,99,29,112,389,3,3,2020-05-04 19:48:00.403959,
