% Cases Race/Ethnicity: Asian,% Cases Race/Ethnicity: Black or African American,% Cases Race/Ethnicity: Hispanic or Latino,% Cases Race/Ethnicity: Not Hispanic or Latino,% Cases Race/Ethnicity: Other Race,% Cases Race/Ethnicity: Unknown Ethnicity,% Cases Race/Ethnicity: Unknown Race,% Cases Race/Ethnicity: White,% Deaths Race/Ethnicity: Asian,% Deaths Race/Ethnicity: Black or African American,% Deaths Race/Ethnicity: Hispanic or Latino,% Deaths Race/Ethnicity: Not Hispanic or Latino,% Deaths Race/Ethnicity: Other Race,% Deaths Race/Ethnicity: Unknown Ethnicity,% Deaths Race/Ethnicity: Unknown Race,% Deaths Race/Ethnicity: White,PctCaseAge_0_19,PctCaseAge_20_29,PctCaseAge_30_39,PctCaseAge_40_49,PctCaseAge_50_59,PctCaseAge_60_69,PctCaseAge_70_79,PctCaseAge_80_plus,PctCaseFemale,PctCaseMale,PctDeathAge_0_19,PctDeathAge_20_29,PctDeathAge_30_39,PctDeathAge_40_49,PctDeathAge_50_59,PctDeathAge_60_69,PctDeathAge_70_79,PctDeathAge_80_plus,PctDeathFemale,PctDeathMale,Scrape_Time
1.5,13.2,11.7,33.5,18.4,54.8,22.4,44.5,0.4,15.2,1.9,55,12.7,43.1,7,64.7,1.7,11.7,14.4,15.7,18.1,18.2,12.4,7.6,52.1,47.9,0.0,0.0,2.7,0.0,11.4,17.1,28.7,40.1,34.3,65.7,2020-06-09 14:38:24.306309
1.5,13.2,11.7,33.5,18.4,54.8,22.4,44.5,0.4,15.2,1.9,55,12.7,43.1,7,64.7,1.7,11.7,14.4,15.7,18.1,18.2,12.4,7.6,52.1,47.9,0.0,0.0,2.7,0.0,11.4,17.1,28.7,40.1,34.3,65.7,2020-06-09 20:31:44.994902
1.5,13.1,11.7,33.5,18.3,54.9,22.6,44.4,0.4,15.1,1.9,54.9,12.8,43.2,7.1,64.6,1.7,11.7,14.4,15.7,18.1,18.2,12.4,7.6,52.1,47.9,0.0,0.0,2.7,0.0,11.4,17.1,28.7,40.1,34.3,65.7,2020-06-10 20:35:50.147753
1.6,13.1,11.6,33.5,18.3,54.9,22.9,44.3,0.4,15.2,1.9,54.8,12.8,43.3,7.2,64.4,1.7,11.7,14.4,15.7,18.1,18.2,12.4,7.6,52.1,47.9,0.0,0.0,2.7,0.0,11.4,17.1,28.7,40.1,34.3,65.7,2020-06-11 20:29:49.072565
1.6,13,11.8,33.5,18.3,54.7,22.9,44.2,0.5,15.1,1.9,54.7,12.9,43.4,7.3,64.2,1.7,11.7,14.4,15.7,18.1,18.2,12.4,7.6,52.1,47.9,0.0,0.0,2.7,0.0,11.4,17.1,28.7,40.1,34.3,65.7,2020-06-12 20:26:14.724751
1.6,12.9,11.7,33.5,18.2,54.8,23.3,44,0.5,15.2,1.9,54.4,13,43.7,7.4,64.1,1.7,11.7,14.4,15.7,18.1,18.2,12.4,7.6,52.1,47.9,0.0,0.0,2.7,0.0,11.4,17.1,28.7,40.1,34.3,65.7,2020-06-13 20:43:14.310120
1.6,12.8,11.7,33.5,18.1,54.8,23.5,44,0.5,15.1,1.9,54.3,13,43.8,7.4,64.1,1.7,11.7,14.4,15.7,18.1,18.2,12.4,7.6,52.1,47.9,0.0,0.0,2.7,0.0,11.4,17.1,28.7,40.1,34.3,65.7,2020-06-14 20:02:47.081721
1.6,12.9,11.6,33.3,18.4,55,22.5,44.7,0.4,15.2,1.9,54.3,13.1,43.8,6.9,64.4,1.7,11.7,14.4,15.7,18.1,18.2,12.4,7.6,52.1,47.9,0.0,0.0,2.7,0.0,11.4,17.1,28.7,40.1,34.3,65.7,2020-06-15 20:27:03.892515
1.6,12.8,11.6,33.3,18.3,55.1,22.8,44.5,0.4,15.1,1.9,54.3,13,43.8,7.1,64.4,1.7,11.7,14.4,15.7,18.1,18.2,12.4,7.6,52.1,47.9,0.0,0.0,2.7,0.0,11.4,17.1,28.7,40.1,34.3,65.7,2020-06-16 20:28:53.255855
1.6,12.8,11.6,33.3,18.3,55.1,22.9,44.5,0.5,15.1,1.9,54.1,12.9,44,7.4,64.2,1.7,11.7,14.4,15.7,18.1,18.2,12.4,7.6,52.1,47.9,0.0,0.0,2.7,0.0,11.4,17.1,28.7,40.1,34.3,65.7,2020-06-17 20:33:31.755715
1.6,12.7,11.7,33.4,18.2,55,23,44.5,0.5,15.1,2,54,12.9,44,7.4,64.1,1.7,11.7,14.4,15.7,18.1,18.2,12.4,7.6,52.1,47.9,0.0,0.0,2.7,0.0,11.4,17.1,28.7,40.1,34.3,65.7,2020-06-18 21:06:41.170295
