PctCaseAge_0_19,PctCaseAge_20_29,PctCaseAge_30_39,PctCaseAge_40_49,PctCaseAge_50_59,PctCaseAge_60_69,PctCaseAge_70_79,PctCaseAge_80_plus,PctCaseFemale,PctCaseMale,PctDeathAge_0_19,PctDeathAge_20_29,PctDeathAge_30_39,PctDeathAge_40_49,PctDeathAge_50_59,PctDeathAge_60_69,PctDeathAge_70_79,PctDeathAge_80_plus,PctDeathFemale,PctDeathMale,Scrape_Time
1.7,11.7,14.4,15.7,18.1,18.2,12.4,7.6,52.1,47.9,0.0,0.0,2.7,0.0,11.4,17.1,28.7,40.1,34.3,65.7,2020-03-30 23:59:07.716066
1.7,11.7,14.4,15.7,18.1,18.2,12.4,7.6,52.1,47.9,0.0,0.0,2.7,0.0,11.4,17.1,28.7,40.1,34.3,65.7,2020-03-31 20:28:29.602702
1.7,11.7,14.4,15.7,18.1,18.2,12.4,7.6,52.1,47.9,0.0,0.0,2.7,0.0,11.4,17.1,28.7,40.1,34.3,65.7,2020-04-01 20:08:38.481260
1.7,11.7,14.4,15.7,18.1,18.2,12.4,7.6,52.1,47.9,0.0,0.0,2.7,0.0,11.4,17.1,28.7,40.1,34.3,65.7,2020-04-01 20:11:28.416871
1.7,11.7,14.4,15.7,18.1,18.2,12.4,7.6,52.1,47.9,0.0,0.0,2.7,0.0,11.4,17.1,28.7,40.1,34.3,65.7,2020-04-02 20:26:35.919595
1.7,11.7,14.4,15.7,18.1,18.2,12.4,7.6,52.1,47.9,0.0,0.0,2.7,0.0,11.4,17.1,28.7,40.1,34.3,65.7,2020-04-03 20:24:49.028032
1.7,11.7,14.4,15.7,18.1,18.2,12.4,7.6,52.1,47.9,0.0,0.0,2.7,0.0,11.4,17.1,28.7,40.1,34.3,65.7,2020-04-04 20:10:27.854232
1.7,11.7,14.4,15.7,18.1,18.2,12.4,7.6,52.1,47.9,0.0,0.0,2.7,0.0,11.4,17.1,28.7,40.1,34.3,65.7,2020-04-05 20:15:34.709480
1.7,11.7,14.4,15.7,18.1,18.2,12.4,7.6,52.1,47.9,0.0,0.0,2.7,0.0,11.4,17.1,28.7,40.1,34.3,65.7,2020-04-06 20:29:16.566590
1.7,11.7,14.4,15.7,18.1,18.2,12.4,7.6,52.1,47.9,0.0,0.0,2.7,0.0,11.4,17.1,28.7,40.1,34.3,65.7,2020-04-07 20:05:13.381418
1.7,11.7,14.4,15.7,18.1,18.2,12.4,7.6,52.1,47.9,0.0,0.0,2.7,0.0,11.4,17.1,28.7,40.1,34.3,65.7,2020-04-08 20:19:19.417155
1.7,11.7,14.4,15.7,18.1,18.2,12.4,7.6,52.1,47.9,0.0,0.0,2.7,0.0,11.4,17.1,28.7,40.1,34.3,65.7,2020-04-09 19:52:04.744158
1.7,11.7,14.4,15.7,18.1,18.2,12.4,7.6,52.1,47.9,0.0,0.0,2.7,0.0,11.4,17.1,28.7,40.1,34.3,65.7,2020-04-10 20:21:10.838893
1.7,11.7,14.4,15.7,18.1,18.2,12.4,7.6,52.1,47.9,0.0,0.0,2.7,0.0,11.4,17.1,28.7,40.1,34.3,65.7,2020-04-11 19:53:49.630350
1.7,11.7,14.4,15.7,18.1,18.2,12.4,7.6,52.1,47.9,0.0,0.0,2.7,0.0,11.4,17.1,28.7,40.1,34.3,65.7,2020-04-12 20:39:44.129260
1.7,11.7,14.4,15.7,18.1,18.2,12.4,7.6,52.1,47.9,0.0,0.0,2.7,0.0,11.4,17.1,28.7,40.1,34.3,65.7,2020-04-13 20:22:13.917387
1.7,11.7,14.4,15.7,18.1,18.2,12.4,7.6,52.1,47.9,0.0,0.0,2.7,0.0,11.4,17.1,28.7,40.1,34.3,65.7,2020-04-14 20:01:51.088700
1.7,11.7,14.4,15.7,18.1,18.2,12.4,7.6,52.1,47.9,0.0,0.0,2.7,0.0,11.4,17.1,28.7,40.1,34.3,65.7,2020-04-15 20:13:07.767877
1.7,11.7,14.4,15.7,18.1,18.2,12.4,7.6,52.1,47.9,0.0,0.0,2.7,0.0,11.4,17.1,28.7,40.1,34.3,65.7,2020-04-16 20:17:29.986609
1.7,11.7,14.4,15.7,18.1,18.2,12.4,7.6,52.1,47.9,0.0,0.0,2.7,0.0,11.4,17.1,28.7,40.1,34.3,65.7,2020-04-17 20:04:37.009869
1.7,11.7,14.4,15.7,18.1,18.2,12.4,7.6,52.1,47.9,0.0,0.0,2.7,0.0,11.4,17.1,28.7,40.1,34.3,65.7,2020-04-18 20:11:42.979346
1.7,11.7,14.4,15.7,18.1,18.2,12.4,7.6,52.1,47.9,0.0,0.0,2.7,0.0,11.4,17.1,28.7,40.1,34.3,65.7,2020-04-19 20:25:12.637460
1.7,11.7,14.4,15.7,18.1,18.2,12.4,7.6,52.1,47.9,0.0,0.0,2.7,0.0,11.4,17.1,28.7,40.1,34.3,65.7,2020-04-20 20:21:54.949929
1.7,11.7,14.4,15.7,18.1,18.2,12.4,7.6,52.1,47.9,0.0,0.0,2.7,0.0,11.4,17.1,28.7,40.1,34.3,65.7,2020-04-21 20:09:35.203364
1.7,11.7,14.4,15.7,18.1,18.2,12.4,7.6,52.1,47.9,0.0,0.0,2.7,0.0,11.4,17.1,28.7,40.1,34.3,65.7,2020-04-22 20:23:27.167762
1.7,11.7,14.4,15.7,18.1,18.2,12.4,7.6,52.1,47.9,0.0,0.0,2.7,0.0,11.4,17.1,28.7,40.1,34.3,65.7,2020-04-23 20:21:08.872954
1.7,11.7,14.4,15.7,18.1,18.2,12.4,7.6,52.1,47.9,0.0,0.0,2.7,0.0,11.4,17.1,28.7,40.1,34.3,65.7,2020-04-24 20:40:50.393278
1.7,11.7,14.4,15.7,18.1,18.2,12.4,7.6,52.1,47.9,0.0,0.0,2.7,0.0,11.4,17.1,28.7,40.1,34.3,65.7,2020-04-25 20:30:35.927139
1.7,11.7,14.4,15.7,18.1,18.2,12.4,7.6,52.1,47.9,0.0,0.0,2.7,0.0,11.4,17.1,28.7,40.1,34.3,65.7,2020-04-26 20:03:27.141848
1.7,11.7,14.4,15.7,18.1,18.2,12.4,7.6,52.1,47.9,0.0,0.0,2.7,0.0,11.4,17.1,28.7,40.1,34.3,65.7,2020-04-27 20:43:54.488389
1.7,11.7,14.4,15.7,18.1,18.2,12.4,7.6,52.1,47.9,0.0,0.0,2.7,0.0,11.4,17.1,28.7,40.1,34.3,65.7,2020-04-28 20:39:12.695105
1.7,11.7,14.4,15.7,18.1,18.2,12.4,7.6,52.1,47.9,0.0,0.0,2.7,0.0,11.4,17.1,28.7,40.1,34.3,65.7,2020-04-29 19:58:35.230366
1.7,11.7,14.4,15.7,18.1,18.2,12.4,7.6,52.1,47.9,0.0,0.0,2.7,0.0,11.4,17.1,28.7,40.1,34.3,65.7,2020-04-30 20:57:42.117002
1.7,11.7,14.4,15.7,18.1,18.2,12.4,7.6,52.1,47.9,0.0,0.0,2.7,0.0,11.4,17.1,28.7,40.1,34.3,65.7,2020-05-01 20:27:12.538009
1.7,11.7,14.4,15.7,18.1,18.2,12.4,7.6,52.1,47.9,0.0,0.0,2.7,0.0,11.4,17.1,28.7,40.1,34.3,65.7,2020-05-02 20:33:50.826819
1.7,11.7,14.4,15.7,18.1,18.2,12.4,7.6,52.1,47.9,0.0,0.0,2.7,0.0,11.4,17.1,28.7,40.1,34.3,65.7,2020-05-03 20:33:20.725092
1.7,11.7,14.4,15.7,18.1,18.2,12.4,7.6,52.1,47.9,0.0,0.0,2.7,0.0,11.4,17.1,28.7,40.1,34.3,65.7,2020-05-04 19:46:08.116751
1.7,11.7,14.4,15.7,18.1,18.2,12.4,7.6,52.1,47.9,0.0,0.0,2.7,0.0,11.4,17.1,28.7,40.1,34.3,65.7,2020-05-05 20:19:53.155512
1.7,11.7,14.4,15.7,18.1,18.2,12.4,7.6,52.1,47.9,0.0,0.0,2.7,0.0,11.4,17.1,28.7,40.1,34.3,65.7,2020-05-06 20:16:32.832615
1.7,11.7,14.4,15.7,18.1,18.2,12.4,7.6,52.1,47.9,0.0,0.0,2.7,0.0,11.4,17.1,28.7,40.1,34.3,65.7,2020-05-07 20:56:11.668477
1.7,11.7,14.4,15.7,18.1,18.2,12.4,7.6,52.1,47.9,0.0,0.0,2.7,0.0,11.4,17.1,28.7,40.1,34.3,65.7,2020-05-08 22:04:57.171638
1.7,11.7,14.4,15.7,18.1,18.2,12.4,7.6,52.1,47.9,0.0,0.0,2.7,0.0,11.4,17.1,28.7,40.1,34.3,65.7,2020-05-09 20:28:31.189635
1.7,11.7,14.4,15.7,18.1,18.2,12.4,7.6,52.1,47.9,0.0,0.0,2.7,0.0,11.4,17.1,28.7,40.1,34.3,65.7,2020-05-10 20:06:07.416975
1.7,11.7,14.4,15.7,18.1,18.2,12.4,7.6,52.1,47.9,0.0,0.0,2.7,0.0,11.4,17.1,28.7,40.1,34.3,65.7,2020-05-11 20:50:21.435457
1.7,11.7,14.4,15.7,18.1,18.2,12.4,7.6,52.1,47.9,0.0,0.0,2.7,0.0,11.4,17.1,28.7,40.1,34.3,65.7,2020-05-12 20:16:09.703034
1.7,11.7,14.4,15.7,18.1,18.2,12.4,7.6,52.1,47.9,0.0,0.0,2.7,0.0,11.4,17.1,28.7,40.1,34.3,65.7,2020-05-13 20:07:55.415563
1.7,11.7,14.4,15.7,18.1,18.2,12.4,7.6,52.1,47.9,0.0,0.0,2.7,0.0,11.4,17.1,28.7,40.1,34.3,65.7,2020-05-14 21:04:13.423606
1.7,11.7,14.4,15.7,18.1,18.2,12.4,7.6,52.1,47.9,0.0,0.0,2.7,0.0,11.4,17.1,28.7,40.1,34.3,65.7,2020-05-15 20:23:29.879804
1.7,11.7,14.4,15.7,18.1,18.2,12.4,7.6,52.1,47.9,0.0,0.0,2.7,0.0,11.4,17.1,28.7,40.1,34.3,65.7,2020-05-16 19:58:10.047698
1.7,11.7,14.4,15.7,18.1,18.2,12.4,7.6,52.1,47.9,0.0,0.0,2.7,0.0,11.4,17.1,28.7,40.1,34.3,65.7,2020-05-17 19:55:43.360610
