Case_Pct_Female,Case_Pct_Male,Case_Pct_Other,Cases_0_17,Cases_18_29,Cases_30_39,Cases_40_49,Cases_50_59,Cases_60_69,Cases_70_plus,CommercialTests,Deaths_0_17,Deaths_18_29,Deaths_30_39,Deaths_40_49,Deaths_50_59,Deaths_60_69,Deaths_70_plus,Hospitalized,OnVentilator,Scrape_Time,TestsByStateLab
57,43,0,23,295,491,649,708,591,558,22467,1,0,5,11,24,17,79,927,336,2020-03-29 10:54:21.437611,2694
57,43,0,27,318,515,691,738,641,606,24939,1,0,6,11,26,21,86,1127,380,2020-03-29 19:35:40.585673,2932
58,42,0,31,367,584,777,843,730,693,30853,1,0,6,13,28,32,105,1158,385,2020-03-30 20:37:28.507990,3180
54,41,5,47,496,819,993,1090,938,854,35498,1,1,6,14,35,42,140,1355,438,2020-03-31 21:15:15.263185,3469
54,40,6,53,632,1027,1228,1334,1138,1012,42078,1,1,8,15,40,45,163,1498,490,2020-04-01 20:08:39.212733,3698
54,40,6,53,632,1027,1228,1334,1138,1012,42078,1,1,8,15,40,45,163,1498,490,2020-04-01 20:11:31.033272,3698
55,40,5,65,878,1454,1714,1929,1640,1470,47185,1,4,10,21,43,47,184,1639,507,2020-04-02 20:26:36.502674,3901
54,40,6,74,981,1647,1906,2178,1854,1657,49608,1,3,11,23,49,59,224,1707,535,2020-04-03 20:24:49.774228,4037
55,40,5,89,1197,1989,2313,2628,2234,2046,54304,1,3,12,28,53,67,245,1726,571,2020-04-04 20:10:28.440343,4194
55,40,5,123,1247,2048,2395,2737,2306,2154,55957,1,3,14,29,61,87,282,1803,561,2020-04-05 20:15:35.451487,4368
55,40,5,126,1477,2380,2759,3117,2649,2359,64656,1,4,14,30,64,97,300,1809,563,2020-04-06 20:29:17.235024,4510
40,55,5,142,1637,2620,2977,3401,2904,2603,70046,1,4,16,31,72,110,348,1996,519,2020-04-07 20:05:14.051236,4609
55,40,5,155,1720,2745,3103,3547,3041,2719,76640,1,4,17,33,79,131,383,1983,490,2020-04-08 20:19:20.175867,4766
55,40,5,166,1889,2924,3303,3808,3258,2935,81948,1,4,19,35,82,140,418,2014,473,2020-04-09 19:52:05.336963,4971
55,40,5,180,2003,3072,3444,3963,3438,3153,87121,1,5,20,37,87,149,456,2054,479,2020-04-10 20:21:11.477463,5159
55,40,5,191,2103,3198,3566,4100,3549,3307,91589,1,5,20,38,91,158,493,2067,470,2020-04-11 19:53:50.322115,5326
55,40,5,194,2177,3277,3654,4196,3633,3464,98526,1,5,20,39,94,163,517,2084,458,2020-04-12 20:39:44.704952,5519
55,40,5,203,2225,3339,3729,4274,3711,3535,102502,1,5,20,39,99,167,553,2134,461,2020-04-13 20:22:14.496906,5589
