Beds_InUseRegion1,Beds_InUseRegion2,Beds_InUseRegion3,Beds_InUseRegion4,Beds_InUseRegion5,Beds_InUseRegion6,Beds_InUseRegion7,Beds_InUseRegion8,Beds_InUseRegion9,Beds_StillAvailableRegion1,Beds_StillAvailableRegion2,Beds_StillAvailableRegion3,Beds_StillAvailableRegion4,Beds_StillAvailableRegion5,Beds_StillAvailableRegion6,Beds_StillAvailableRegion7,Beds_StillAvailableRegion8,Beds_StillAvailableRegion9,Case_Pct_Female,Case_Pct_Male,Case_Pct_Other,Cases_0_17,Cases_18_29,Cases_30_39,Cases_40_49,Cases_50_59,Cases_60_69,Cases_70_plus,CommercialTests,Deaths_0_17,Deaths_18_29,Deaths_30_39,Deaths_40_49,Deaths_50_59,Deaths_60_69,Deaths_70_plus,Hospitalized,ICUBeds_InUseRegion1,ICUBeds_InUseRegion2,ICUBeds_InUseRegion3,ICUBeds_InUseRegion4,ICUBeds_InUseRegion5,ICUBeds_InUseRegion6,ICUBeds_InUseRegion7,ICUBeds_InUseRegion8,ICUBeds_InUseRegion9,ICUBeds_StillAvailableRegion1,ICUBeds_StillAvailableRegion2,ICUBeds_StillAvailableRegion3,ICUBeds_StillAvailableRegion4,ICUBeds_StillAvailableRegion5,ICUBeds_StillAvailableRegion6,ICUBeds_StillAvailableRegion7,ICUBeds_StillAvailableRegion8,ICUBeds_StillAvailableRegion9,OnVentilator,Scrape_Time,TestsByStateLab,Vent_InUseRegion1,Vent_InUseRegion2,Vent_InUseRegion3,Vent_InUseRegion4,Vent_InUseRegion5,Vent_InUseRegion6,Vent_InUseRegion7,Vent_InUseRegion8,Vent_InUseRegion9,Vent_StillAvailableRegion1,Vent_StillAvailableRegion2,Vent_StillAvailableRegion3,Vent_StillAvailableRegion4,Vent_StillAvailableRegion5,Vent_StillAvailableRegion6,Vent_StillAvailableRegion7,Vent_StillAvailableRegion8,Vent_StillAvailableRegion9
2231,1989,522,1090,470,942,1380,592,970,1054,891,293,779,631,651,1072,878,806,55,40,5,203,2225,3339,3729,4274,3711,3535,102502,1,5,20,39,99,167,553,2134,483,284,84,131,58,66,212,83,106,223,82,23,37,39,39,94,88,84,461,2020-04-13 22:54:02.837402,5589,262,138,46,85,32,33,103,55,60,425,102,70,129,67,93,171,89,141
2247,2026,490,1122,499,963,1378,605,972,987,834,325,764,602,620,1083,865,787,55,40,5,207,2294,3421,3805,4346,3789,3656,112741,1,5,23,41,101,191,641,1977,464,283,76,136,61,64,200,85,103,222,83,23,32,36,41,107,86,94,436,2020-04-14 20:01:51.783517,5681,240,139,48,90,29,33,108,52,52,446,108,68,124,70,93,166,92,154
2186,2015,496,1177,524,983,1343,606,972,1123,878,323,707,618,610,1106,867,771,55,40,5,216,2341,3489,3865,4429,3862,3749,116111,1,5,27,45,112,206,707,1943,493,285,80,138,64,59,203,78,92,209,91,26,34,41,46,104,96,108,425,2020-04-15 20:13:08.978629,5817,243,124,46,82,26,33,109,53,47,456,120,70,133,73,93,178,92,159
2252,1994,479,1147,542,968,1348,604,928,1156,925,344,763,600,615,1116,869,817,56,40,4,226,2417,3573,3964,4525,3952,3875,120618,1,5,28,46,117,215,744,1914,451,232,72,128,56,60,203,83,88,229,137,34,42,49,45,104,93,108,396,2020-04-16 20:17:31.498047,5968,238,129,44,77,23,33,100,55,48,499,116,73,138,76,93,185,90,158
2048,1315,366,992,428,717,1198,599,812,1192,893,341,752,598,639,1152,899,703,56,40,4,234,2507,3656,4054,4605,4063,3999,125885,1,6,29,47,123,231,776,1868,447,280,65,131,42,62,206,104,86,231,101,41,39,63,43,100,83,106,363,2020-04-17 20:04:38.078059,6102,218,117,43,72,25,33,103,52,47,492,128,75,143,74,93,183,93,159
1864,1197,338,914,422,710,1108,540,720,1183,838,362,694,566,588,1070,837,686,56,40,4,249,2566,3723,4112,4683,4121,4126,131750,1,6,31,48,126,244,809,1761,406,282,61,134,51,65,208,92,90,272,99,46,34,54,40,98,84,102,347,2020-04-18 20:11:44.209913,6249,221,122,42,74,21,33,99,54,41,452,126,76,141,78,93,183,95,165
1862,1171,339,929,437,713,1184,557,703,1138,864,358,677,553,585,1003,822,711,56,40,4,263,2621,3779,4172,4713,4168,4212,135079,1,6,33,50,130,246,827,1748,415,267,59,133,53,65,194,90,94,254,114,48,34,54,40,113,87,98,349,2020-04-19 20:25:13.728013,6425,236,120,39,67,27,31,99,53,43,470,128,79,148,72,95,183,95,162
1912,1214,372,967,432,717,1226,581,766,1110,821,351,665,558,579,975,800,678,56,40,4,271,2676,3880,4269,4845,4259,4323,135353,1,6,33,52,131,254,850,1794,399,268,64,131,56,62,187,85,87,271,113,43,38,51,41,115,94,105,332,2020-04-20 20:21:55.985076,6482,226,121,40,69,26,30,93,49,40,481,129,78,146,73,96,183,99,165
1910,1308,396,990,375,733,1216,620,763,1013,683,308,584,492,523,925,742,657,56,40,4,281,2728,3928,4316,4905,4297,4399,135079,1,7,33,56,137,272,898,1798,406,267,59,129,45,68,194,96,88,267,114,43,43,60,37,113,83,104,297,2020-04-21 20:09:36.354774,6578,157,123,31,79,21,34,97,47,38,449,128,90,136,78,92,181,102,167
1919,1285,378,964,393,736,1231,635,763,1101,700,336,609,420,519,907,728,669,56,40,4,288,2800,3981,4366,4975,4337,4511,135079,1,7,33,57,141,282,951,1747,396,256,53,123,47,68,184,103,99,271,115,48,46,50,37,113,77,95,287,2020-04-22 20:23:28.545311,6593,163,111,28,69,23,35,85,47,32,445,135,93,139,76,91,198,100,173
1914,1300,379,1071,392,750,1208,624,745,1127,662,327,487,414,503,945,738,661,56,40,4,295,2864,4058,4437,5052,4408,4625,135079,1,7,34,59,147,292,1000,1727,380,260,57,114,52,70,194,105,89,293,99,40,51,45,33,107,75,105,274,2020-04-23 20:21:09.917816,6779,155,118,27,64,19,34,83,49,35,437,129,94,141,82,92,199,98,169
1896,1274,382,993,403,736,1263,633,775,1115,684,323,580,401,524,889,729,723,56,40,4,312,2914,4133,4489,5124,4462,4706,128923,1,7,34,60,152,305,1042,1697,376,259,59,109,50,68,210,112,87,269,100,38,51,47,53,91,68,106,286,2020-04-24 20:40:51.479395,6977,211,114,28,61,16,36,83,45,40,466,133,93,144,85,90,192,102,169
1913,1270,387,944,372,712,1278,629,766,1062,684,314,624,432,547,883,733,719,56,40,4,318,2962,4198,4575,5180,4505,4774,131700,1,8,34,62,153,312,1074,1700,371,229,58,118,42,76,267,111,82,246,130,39,40,55,45,81,69,100,268,2020-04-25 20:30:36.843552,7302,208,111,32,59,13,33,80,46,42,466,133,93,144,85,90,192,102,169
1799,1360,405,934,359,714,1213,614,794,1173,608,283,628,445,546,938,748,691,56,40,4,326,2996,4229,4620,5207,4553,4842,135726,1,8,34,62,155,315,1095,1701,366,228,56,113,46,69,251,104,90,250,131,37,44,51,52,100,76,92,265,2020-04-26 20:03:28.165911,7310,218,102,31,66,14,31,75,44,43,460,149,90,139,86,95,197,103,166
1869,1274,412,950,369,714,1254,640,813,1100,705,300,631,434,547,901,723,666,56,40,4,339,3046,4270,4660,5260,4594,4899,139473,1,8,34,62,158,320,1114,1683,340,230,63,111,48,68,230,101,88,265,112,34,49,49,55,117,79,93,262,2020-04-27 20:43:55.620410,7516,199,112,23,69,18,31,74,40,48,479,136,98,136,82,95,198,107,155
1812,1246,410,1016,385,727,1256,640,838,1139,733,307,574,418,532,891,726,662,56,40,4,342,3080,4306,4700,5285,4631,4942,143541,1,8,35,63,163,327,1161,1666,342,231,61,117,52,78,223,101,93,267,111,38,45,45,43,129,79,90,244,2020-04-28 20:39:14.858576,7567,201,105,25,56,19,27,87,44,42,466,144,96,140,78,99,187,103,157
1844,1204,384,1015,375,713,1264,655,834,1147,779,320,583,428,558,889,715,656,56,40,4,349,3132,4371,4754,5347,4677,5030,148885,1,8,35,64,164,331,1199,1629,329,206,50,108,49,75,233,121,86,272,136,47,50,48,48,122,62,94,244,2020-04-29 19:58:36.193853,7683,199,102,25,54,20,27,87,38,43,467,147,96,142,75,99,187,109,156
1818,1212,391,1047,363,705,1267,652,817,995,775,314,530,440,564,896,714,678,56,40,4,358,3183,4441,4795,5391,4738,5095,153463,1,8,35,67,165,338,1248,1601,337,227,43,114,46,71,241,116,94,190,115,54,42,51,50,110,66,88,231,2020-04-30 20:57:43.223305,7846,173,101,22,54,16,25,77,42,47,477,143,101,141,79,101,201,105,158
1783,1232,392,1025,391,738,1283,657,834,967,905,322,554,409,533,918,708,658,56,40,4,372,3312,4570,4921,5543,4808,5185,160190,1,8,36,70,172,345,1295,1607,348,213,43,128,52,75,248,105,90,198,97,54,30,45,48,115,77,92,230,2020-05-01 20:27:13.642695,8061,181,99,20,55,21,25,81,43,50,473,146,104,133,74,101,201,104,155
