% Probable Deaths by Ethnicity: Hispanic/Latino,% Probable Deaths by Ethnicity: Non-Hispanic/Latino,% Probable Deaths by Ethnicity: Unknown,% Probable Deaths by Gender: Female,% Probable Deaths by Gender: Male,% Probable Deaths by Gender: Unknown/Other,% Probable Deaths by Race: American Indian/Alaska N..,% Probable Deaths by Race: Asian,% Probable Deaths by Race: Black,% Probable Deaths by Race: Native Hawaiian/Pl,% Probable Deaths by Race: Other,% Probable Deaths by Race: Unknown,% Probable Deaths by Race: White,% Probable Deaths by Underlying Condition: Asthma,% Probable Deaths by Underlying Condition: Cancer,% Probable Deaths by Underlying Condition: Cardiac Disease,% Probable Deaths by Underlying Condition: Chronic Kidney Disease,% Probable Deaths by Underlying Condition: Congestive Heart Failure,% Probable Deaths by Underlying Condition: Diabetes,% Probable Deaths by Underlying Condition: Hypertension,% Probable Deaths by Underlying Condition: Neurological,% Probable Deaths by Underlying Condition: Obesity,% Probable Deaths by Underlying Condition: Pulmonary,Beds_InUseRegion1,Beds_InUseRegion2,Beds_InUseRegion3,Beds_InUseRegion4,Beds_InUseRegion5,Beds_InUseRegion6,Beds_InUseRegion7,Beds_InUseRegion8,Beds_InUseRegion9,Beds_StillAvailableRegion1,Beds_StillAvailableRegion2,Beds_StillAvailableRegion3,Beds_StillAvailableRegion4,Beds_StillAvailableRegion5,Beds_StillAvailableRegion6,Beds_StillAvailableRegion7,Beds_StillAvailableRegion8,Beds_StillAvailableRegion9,Case_Pct_Female,Case_Pct_Male,Case_Pct_Other,Cases_0_17,Cases_18_29,Cases_30_39,Cases_40_49,Cases_50_59,Cases_60_69,Cases_70_plus,CommercialTests,Deaths_0_17,Deaths_18_29,Deaths_30_39,Deaths_40_49,Deaths_50_59,Deaths_60_69,Deaths_70_plus,Deaths_Region 1_race_American Indian/Alaskan Native,Deaths_Region 1_race_Asian,Deaths_Region 1_race_Black,Deaths_Region 1_race_Native Hawaiian/Other Pacific Islander,Deaths_Region 1_race_Other,Deaths_Region 1_race_Unknown,Deaths_Region 1_race_White,Deaths_Region 2_race_American Indian/Alaskan Native,Deaths_Region 2_race_Asian,Deaths_Region 2_race_Black,Deaths_Region 2_race_Native Hawaiian/Other Pacific Islander,Deaths_Region 2_race_Other,Deaths_Region 2_race_Unknown,Deaths_Region 2_race_White,Deaths_Region 3_race_American Indian/Alaskan Native,Deaths_Region 3_race_Asian,Deaths_Region 3_race_Black,Deaths_Region 3_race_Native Hawaiian/Other Pacific Islander,Deaths_Region 3_race_Other,Deaths_Region 3_race_Unknown,Deaths_Region 3_race_White,Deaths_Region 4_race_American Indian/Alaskan Native,Deaths_Region 4_race_Asian,Deaths_Region 4_race_Black,Deaths_Region 4_race_Native Hawaiian/Other Pacific Islander,Deaths_Region 4_race_Other,Deaths_Region 4_race_Unknown,Deaths_Region 4_race_White,Deaths_Region 5_race_American Indian/Alaskan Native,Deaths_Region 5_race_Asian,Deaths_Region 5_race_Black,Deaths_Region 5_race_Native Hawaiian/Other Pacific Islander,Deaths_Region 5_race_Other,Deaths_Region 5_race_Unknown,Deaths_Region 5_race_White,Deaths_Region 6_race_American Indian/Alaskan Native,Deaths_Region 6_race_Asian,Deaths_Region 6_race_Black,Deaths_Region 6_race_Native Hawaiian/Other Pacific Islander,Deaths_Region 6_race_Other,Deaths_Region 6_race_Unknown,Deaths_Region 6_race_White,Deaths_Region 7_race_American Indian/Alaskan Native,Deaths_Region 7_race_Asian,Deaths_Region 7_race_Black,Deaths_Region 7_race_Native Hawaiian/Other Pacific Islander,Deaths_Region 7_race_Other,Deaths_Region 7_race_Unknown,Deaths_Region 7_race_White,Deaths_Region 8_race_American Indian/Alaskan Native,Deaths_Region 8_race_Asian,Deaths_Region 8_race_Black,Deaths_Region 8_race_Native Hawaiian/Other Pacific Islander,Deaths_Region 8_race_Other,Deaths_Region 8_race_Unknown,Deaths_Region 8_race_White,Deaths_Region 9_race_American Indian/Alaskan Native,Deaths_Region 9_race_Asian,Deaths_Region 9_race_Black,Deaths_Region 9_race_Native Hawaiian/Other Pacific Islander,Deaths_Region 9_race_Other,Deaths_Region 9_race_Unknown,Deaths_Region 9_race_White,Hospitalized,ICUBeds_InUseRegion1,ICUBeds_InUseRegion2,ICUBeds_InUseRegion3,ICUBeds_InUseRegion4,ICUBeds_InUseRegion5,ICUBeds_InUseRegion6,ICUBeds_InUseRegion7,ICUBeds_InUseRegion8,ICUBeds_InUseRegion9,ICUBeds_StillAvailableRegion1,ICUBeds_StillAvailableRegion2,ICUBeds_StillAvailableRegion3,ICUBeds_StillAvailableRegion4,ICUBeds_StillAvailableRegion5,ICUBeds_StillAvailableRegion6,ICUBeds_StillAvailableRegion7,ICUBeds_StillAvailableRegion8,ICUBeds_StillAvailableRegion9,OnVentilator,Probable Deaths Age: Average,Probable Deaths Age: Median,Scrape_Time,TestsByStateLab,Total Probable Deaths,Vent_InUseRegion1,Vent_InUseRegion2,Vent_InUseRegion3,Vent_InUseRegion4,Vent_InUseRegion5,Vent_InUseRegion6,Vent_InUseRegion7,Vent_InUseRegion8,Vent_InUseRegion9,Vent_StillAvailableRegion1,Vent_StillAvailableRegion2,Vent_StillAvailableRegion3,Vent_StillAvailableRegion4,Vent_StillAvailableRegion5,Vent_StillAvailableRegion6,Vent_StillAvailableRegion7,Vent_StillAvailableRegion8,Vent_StillAvailableRegion9
1.93,84.50,13.60,46.00,54.00,0.00,0.08,0.81,54.58,0.08,0.74,0.54,43.06,3.98,7.13,20.49,19.22,12.99,35.33,57.83,9.47,18.85,11.43,1857,1264,382,1075,424,829,1392,704,844,1067,837,346,647,399,467,873,672,654,55,40,5,880,5261,6060,6321,7033,5857,6642,323301,2,9,45,97,233,473,1737,0,12,627,3,13,4,319,0,7,235,1,0,4,169,2,1,148,0,0,2,149,0,0,48,0,0,0,111,0,0,24,0,3,1,37,0,0,26,0,1,0,18,0,0,189,1,0,0,80,0,0,53,0,2,0,40,0,1,61,0,0,0,190,831,305,174,39,112,47,89,260,109,92,311,95,53,59,43,31,114,74,75,103,74,76,2020-05-26 13:41:11.683138,17725,105,126,67,11,49,21,20,70,51,31,534,182,109,136,74,110,213,101,175
1.93,84.50,13.60,46.00,54.00,0.00,0.08,0.81,54.58,0.08,0.74,0.54,43.06,3.98,7.13,20.49,19.22,12.99,35.33,57.83,9.47,18.85,11.43,1857,1264,382,1075,424,829,1392,704,844,1067,837,346,647,399,467,873,672,654,55,40,5,880,5261,6060,6321,7033,5857,6642,323301,2,9,45,97,233,473,1737,0,12,627,3,13,4,319,0,7,235,1,0,4,169,2,1,148,0,0,2,149,0,0,48,0,0,0,111,0,0,24,0,3,1,37,0,0,26,0,1,0,18,0,0,189,1,0,0,80,0,0,53,0,2,0,40,0,1,61,0,0,0,190,831,305,174,39,112,47,89,260,109,92,311,95,53,59,43,31,114,74,75,103,74,76,2020-05-26 21:18:54.531285,17725,105,126,67,11,49,21,20,70,51,31,534,182,109,136,74,110,213,101,175
1.93,84.50,13.60,46.00,54.00,0.00,0.08,0.81,54.58,0.08,0.74,0.54,43.06,3.98,7.13,20.49,19.22,12.99,35.33,57.83,9.47,18.85,11.43,1938,1224,390,1091,436,846,1482,729,866,1008,874,342,636,384,450,778,654,633,55,40,5,913,5339,6127,6392,7094,5916,6716,329730,2,10,45,98,233,476,1753,0,12,627,3,13,4,319,0,7,235,1,0,4,169,2,1,148,0,0,2,149,0,0,48,0,0,0,111,0,0,24,0,3,1,37,0,0,26,0,1,0,18,0,0,189,1,0,0,80,0,0,53,0,2,0,40,0,1,61,0,0,0,190,798,313,179,38,103,46,90,266,111,90,297,90,54,62,41,30,109,72,79,100,74,76,2020-05-27 20:40:47.843515,17917,105,126,63,18,51,17,20,66,55,31,534,186,102,133,78,110,230,97,173
1.93,84.50,13.60,46.00,54.00,0.00,0.08,0.81,54.58,0.08,0.74,0.54,43.06,3.98,7.13,20.49,19.22,12.99,35.33,57.83,9.47,18.85,11.43,1926,1286,426,1103,429,846,1488,707,859,1020,814,304,625,391,450,777,668,632,55,40,5,925,5393,6185,6440,7142,5954,6763,336664,2,10,45,98,233,480,1767,0,12,627,3,13,4,319,0,7,235,1,0,4,169,2,1,148,0,0,2,149,0,0,48,0,0,0,111,0,0,24,0,3,1,37,0,0,26,0,1,0,18,0,0,189,1,0,0,80,0,0,53,0,2,0,40,0,1,61,0,0,0,190,761,311,176,42,101,48,86,274,104,99,300,93,48,71,39,34,104,77,70,100,74,76,2020-05-28 20:13:46.949338,18363,105,122,56,9,43,19,23,70,54,31,540,193,111,140,76,107,226,98,173
1.93,84.50,13.60,46.00,54.00,0.00,0.08,0.81,54.58,0.08,0.74,0.54,43.06,3.98,7.13,20.49,19.22,12.99,35.33,57.83,9.47,18.85,11.43,1925,1271,428,1114,444,836,1491,683,874,986,825,322,606,384,463,768,693,619,55,40,5,925,5393,6185,6440,7142,5954,6763,336664,2,10,45,98,235,485,1786,0,12,627,3,13,4,319,0,7,235,1,0,4,169,2,1,148,0,0,2,149,0,0,48,0,0,0,111,0,0,24,0,3,1,37,0,0,26,0,1,0,18,0,0,189,1,0,0,80,0,0,53,0,2,0,40,0,1,61,0,0,0,190,714,301,162,36,101,53,89,290,113,95,305,99,54,71,34,33,94,69,74,90,74,76,2020-05-29 19:59:55.137142,18363,105,111,54,8,46,21,24,63,57,25,551,201,112,137,74,106,232,95,179
1.93,84.50,13.60,46.00,54.00,0.00,0.08,0.81,54.58,0.08,0.74,0.54,43.06,3.98,7.13,20.49,19.22,12.99,35.33,57.83,9.47,18.85,11.43,2160,1498,475,1278,534,1034,1683,770,1025,1655,1467,505,1113,678,685,1310,1080,1036,55,40,5,974,5532,6296,6541,7246,6036,6952,348424,2,10,45,100,235,489,1799,0,12,627,3,13,4,319,0,7,235,1,0,4,169,2,1,148,0,0,2,149,0,0,48,0,0,0,111,0,0,24,0,3,1,37,0,0,26,0,1,0,18,0,0,189,1,0,0,80,0,0,53,0,2,0,40,0,1,61,0,0,0,190,674,292,159,44,107,41,88,285,112,94,319,102,46,65,46,34,98,71,75,84,74,76,2020-05-30 19:52:22.591262,20395,105,112,57,8,45,21,21,65,54,24,549,198,112,138,74,109,229,98,180
1.93,84.50,13.60,46.00,54.00,0.00,0.08,0.81,54.58,0.08,0.74,0.54,43.06,3.98,7.13,20.49,19.22,12.99,35.33,57.83,9.47,18.85,11.43,1780,1176,415,1051,432,818,1395,679,825,1104,910,316,672,396,481,866,702,662,55,40,5,1019,5595,6359,6600,7278,6074,6991,354007,2,10,45,100,235,490,1804,0,12,627,3,13,4,319,0,7,235,1,0,4,169,2,1,148,0,0,2,149,0,0,48,0,0,0,111,0,0,24,0,3,1,37,0,0,26,0,1,0,18,0,0,189,1,0,0,80,0,0,53,0,2,0,40,0,1,61,0,0,0,190,678,294,125,47,118,42,85,265,113,86,315,136,43,61,45,37,111,70,83,84,74,76,2020-05-31 20:12:13.644980,21102,105,111,55,10,47,21,24,65,56,29,551,200,110,136,74,106,234,96,175
1.90,85.40,12.70,46.00,54.00,0.00,0.07,0.78,53.91,0.08,0.67,0.89,43.48,3.98,7.00,19.84,18.95,12.58,34.70,56.63,9.49,18.58,11.21,1808,1187,448,1075,432,793,1425,671,850,1092,900,327,649,396,483,835,710,637,55,40,5,1056,5689,6446,6657,7334,6124,7035,365537,2,10,45,100,235,490,1808,0,12,629,3,12,1,333,0,7,243,1,0,0,176,2,1,150,0,0,0,156,0,0,50,0,0,0,119,0,0,26,0,3,0,39,0,0,28,0,1,0,21,0,0,200,1,0,1,89,0,0,58,0,2,0,41,0,1,64,0,0,1,194,661,303,154,69,121,43,86,253,113,90,309,107,56,57,44,34,122,69,79,86,74,76,2020-06-01 20:06:43.876513,21833,111,116,56,12,33,25,27,66,54,32,546,199,108,150,70,103,228,98,172
1.90,85.40,12.70,46.00,54.00,0.00,0.07,0.78,53.91,0.08,0.67,0.89,43.48,3.98,7.00,19.84,18.95,12.58,34.70,56.63,9.49,18.58,11.21,2001,1255,440,1128,431,800,1493,697,871,973,839,340,602,397,478,797,685,612,55,40,5,1104,5767,6510,6724,7406,6164,7071,371201,2,10,47,102,238,497,1828,0,12,629,3,12,1,333,0,7,243,1,0,0,176,2,1,150,0,0,0,156,0,0,50,0,0,0,119,0,0,26,0,3,0,39,0,0,28,0,1,0,21,0,0,200,1,0,1,89,0,0,58,0,2,0,41,0,1,64,0,0,1,194,639,324,177,65,136,44,81,272,107,94,262,90,60,45,43,41,110,75,76,83,74,76,2020-06-02 20:17:07.158271,21932,111,123,50,12,48,19,34,71,50,31,549,205,108,135,76,96,225,102,173
1.90,85.40,12.70,46.00,54.00,0.00,0.07,0.78,53.91,0.08,0.67,0.89,43.48,3.98,7.00,19.84,18.95,12.58,34.70,56.63,9.49,18.58,11.21,1896,1296,417,1143,445,808,1485,694,891,933,804,366,579,383,468,817,684,597,55,40,5,1138,5845,6587,6784,7465,6204,7110,379624,2,10,47,102,244,500,1854,0,12,629,3,12,1,333,0,7,243,1,0,0,176,2,1,150,0,0,0,156,0,0,50,0,0,0,119,0,0,26,0,3,0,39,0,0,28,0,1,0,21,0,0,200,1,0,1,89,0,0,58,0,2,0,41,0,1,64,0,0,1,194,617,323,163,62,136,45,83,274,98,89,233,103,67,45,42,37,113,84,76,86,74,76,2020-06-03 19:55:56.968027,22463,111,125,54,11,46,18,31,82,42,35,547,201,109,137,77,99,214,110,168
