% Probable Deaths by Ethnicity: Hispanic/Latino,% Probable Deaths by Ethnicity: Non-Hispanic/Latino,% Probable Deaths by Ethnicity: Unknown,% Probable Deaths by Gender: Female,% Probable Deaths by Gender: Male,% Probable Deaths by Gender: Unknown/Other,% Probable Deaths by Race: American Indian/Alaska N..,% Probable Deaths by Race: Asian,% Probable Deaths by Race: Black,% Probable Deaths by Race: Native Hawaiian/Pl,% Probable Deaths by Race: Other,% Probable Deaths by Race: Unknown,% Probable Deaths by Race: White,% Probable Deaths by Underlying Condition: Asthma,% Probable Deaths by Underlying Condition: Cancer,% Probable Deaths by Underlying Condition: Cardiac Disease,% Probable Deaths by Underlying Condition: Chronic Kidney Disease,% Probable Deaths by Underlying Condition: Congestive Heart Failure,% Probable Deaths by Underlying Condition: Diabetes,% Probable Deaths by Underlying Condition: Hypertension,% Probable Deaths by Underlying Condition: Neurological,% Probable Deaths by Underlying Condition: Obesity,% Probable Deaths by Underlying Condition: Pulmonary,Beds_InUseRegion1,Beds_InUseRegion2,Beds_InUseRegion3,Beds_InUseRegion4,Beds_InUseRegion5,Beds_InUseRegion6,Beds_InUseRegion7,Beds_InUseRegion8,Beds_InUseRegion9,Beds_StillAvailableRegion1,Beds_StillAvailableRegion2,Beds_StillAvailableRegion3,Beds_StillAvailableRegion4,Beds_StillAvailableRegion5,Beds_StillAvailableRegion6,Beds_StillAvailableRegion7,Beds_StillAvailableRegion8,Beds_StillAvailableRegion9,Case_Pct_Female,Case_Pct_Male,Case_Pct_Other,Cases_0_17,Cases_18_29,Cases_30_39,Cases_40_49,Cases_50_59,Cases_60_69,Cases_70_plus,CommercialTests,Deaths_0_17,Deaths_18_29,Deaths_30_39,Deaths_40_49,Deaths_50_59,Deaths_60_69,Deaths_70_plus,Deaths_Region 1_race_American Indian/Alaskan Native,Deaths_Region 1_race_Asian,Deaths_Region 1_race_Black,Deaths_Region 1_race_Native Hawaiian/Other Pacific Islander,Deaths_Region 1_race_Other,Deaths_Region 1_race_Unknown,Deaths_Region 1_race_White,Deaths_Region 2_race_American Indian/Alaskan Native,Deaths_Region 2_race_Asian,Deaths_Region 2_race_Black,Deaths_Region 2_race_Native Hawaiian/Other Pacific Islander,Deaths_Region 2_race_Other,Deaths_Region 2_race_Unknown,Deaths_Region 2_race_White,Deaths_Region 3_race_American Indian/Alaskan Native,Deaths_Region 3_race_Asian,Deaths_Region 3_race_Black,Deaths_Region 3_race_Native Hawaiian/Other Pacific Islander,Deaths_Region 3_race_Other,Deaths_Region 3_race_Unknown,Deaths_Region 3_race_White,Deaths_Region 4_race_American Indian/Alaskan Native,Deaths_Region 4_race_Asian,Deaths_Region 4_race_Black,Deaths_Region 4_race_Native Hawaiian/Other Pacific Islander,Deaths_Region 4_race_Other,Deaths_Region 4_race_Unknown,Deaths_Region 4_race_White,Deaths_Region 5_race_American Indian/Alaskan Native,Deaths_Region 5_race_Asian,Deaths_Region 5_race_Black,Deaths_Region 5_race_Native Hawaiian/Other Pacific Islander,Deaths_Region 5_race_Other,Deaths_Region 5_race_Unknown,Deaths_Region 5_race_White,Deaths_Region 6_race_American Indian/Alaskan Native,Deaths_Region 6_race_Asian,Deaths_Region 6_race_Black,Deaths_Region 6_race_Native Hawaiian/Other Pacific Islander,Deaths_Region 6_race_Other,Deaths_Region 6_race_Unknown,Deaths_Region 6_race_White,Deaths_Region 7_race_American Indian/Alaskan Native,Deaths_Region 7_race_Asian,Deaths_Region 7_race_Black,Deaths_Region 7_race_Native Hawaiian/Other Pacific Islander,Deaths_Region 7_race_Other,Deaths_Region 7_race_Unknown,Deaths_Region 7_race_White,Deaths_Region 8_race_American Indian/Alaskan Native,Deaths_Region 8_race_Asian,Deaths_Region 8_race_Black,Deaths_Region 8_race_Native Hawaiian/Other Pacific Islander,Deaths_Region 8_race_Other,Deaths_Region 8_race_Unknown,Deaths_Region 8_race_White,Deaths_Region 9_race_American Indian/Alaskan Native,Deaths_Region 9_race_Asian,Deaths_Region 9_race_Black,Deaths_Region 9_race_Native Hawaiian/Other Pacific Islander,Deaths_Region 9_race_Other,Deaths_Region 9_race_Unknown,Deaths_Region 9_race_White,ICUBeds_InUseRegion1,ICUBeds_InUseRegion2,ICUBeds_InUseRegion3,ICUBeds_InUseRegion4,ICUBeds_InUseRegion5,ICUBeds_InUseRegion6,ICUBeds_InUseRegion7,ICUBeds_InUseRegion8,ICUBeds_InUseRegion9,ICUBeds_StillAvailableRegion1,ICUBeds_StillAvailableRegion2,ICUBeds_StillAvailableRegion3,ICUBeds_StillAvailableRegion4,ICUBeds_StillAvailableRegion5,ICUBeds_StillAvailableRegion6,ICUBeds_StillAvailableRegion7,ICUBeds_StillAvailableRegion8,ICUBeds_StillAvailableRegion9,Probable Deaths Age: Average,Probable Deaths Age: Median,Scrape_Time,TestsByStateLab,Total Probable Deaths,Vent_InUseRegion1,Vent_InUseRegion2,Vent_InUseRegion3,Vent_InUseRegion4,Vent_InUseRegion5,Vent_InUseRegion6,Vent_InUseRegion7,Vent_InUseRegion8,Vent_InUseRegion9,Vent_StillAvailableRegion1,Vent_StillAvailableRegion2,Vent_StillAvailableRegion3,Vent_StillAvailableRegion4,Vent_StillAvailableRegion5,Vent_StillAvailableRegion6,Vent_StillAvailableRegion7,Vent_StillAvailableRegion8,Vent_StillAvailableRegion9
2.00,90.00,8.00,47.00,53.00,0.00,0.11,0.65,50.72,0.08,0.51,0.73,47.14,4.15,7.58,21.68,21.33,14.89,37.68,62.08,16.85,19.84,12.90,2064,1382,517,1254,511,807,1575,744,919,958,366,238,450,174,429,735,632,585,56,43,1,8404,22925,17094,15688,15187,11853,12408,1148886,4,14,65,128,318,638,2436,1,14,676,3,11,3,387,0,7,298,1,0,1,211,3,1,173,0,0,0,209,0,0,85,0,1,3,203,0,0,46,0,4,2,85,0,0,73,0,1,0,78,0,0,260,1,0,6,150,0,0,111,0,1,0,98,0,1,81,0,0,1,258,386,190,65,158,70,79,305,115,101,198,31,30,26,20,33,115,67,79,74,76,2020-07-24 21:07:14.411866,50840,112,131,78,21,87,47,29,84,38,41,562,199,123,107,41,101,217,111,170
2.00,90.00,8.00,47.00,53.00,0.00,0.11,0.65,50.72,0.08,0.51,0.73,47.14,4.15,7.58,21.68,21.33,14.89,37.68,62.08,16.85,19.84,12.90,2064,1382,517,1254,511,807,1575,744,919,958,366,238,450,174,429,735,632,585,56,43,1,8404,22925,17094,15688,15187,11853,12408,1148886,4,14,65,128,318,638,2436,1,14,676,3,11,3,387,0,7,298,1,0,1,211,3,1,173,0,0,0,209,0,0,85,0,1,3,203,0,0,46,0,4,2,85,0,0,73,0,1,0,78,0,0,260,1,0,6,150,0,0,111,0,1,0,98,0,1,81,0,0,1,258,386,190,65,158,70,79,305,115,101,198,31,30,26,20,33,115,67,79,74,76,2020-07-25 20:11:00.570916,50840,112,131,78,21,87,47,29,84,38,41,562,199,123,107,41,101,217,111,170
2.00,90.00,8.00,47.00,53.00,0.00,0.11,0.65,50.72,0.08,0.51,0.73,47.14,4.15,7.58,21.68,21.33,14.89,37.68,62.08,16.85,19.84,12.90,1962,1294,474,1197,476,742,1542,730,812,1085,420,260,496,209,496,766,647,695,56,43,1,8781,23738,17727,16238,15766,12337,12807,1180479,4,14,66,129,321,645,2472,1,14,676,3,11,3,387,0,7,298,1,0,1,211,3,1,173,0,0,0,209,0,0,85,0,1,3,203,0,0,46,0,4,2,85,0,0,73,0,1,0,78,0,0,260,1,0,6,150,0,0,111,0,1,0,98,0,1,81,0,0,1,258,348,193,65,147,59,80,314,129,93,241,19,30,39,31,34,105,53,87,74,76,2020-07-26 20:12:34.268901,52785,112,133,72,20,86,43,33,93,44,36,565,187,125,111,45,97,217,105,176
2.00,90.00,8.00,47.00,53.00,0.00,0.11,0.65,50.72,0.08,0.51,0.73,47.14,4.15,7.58,21.68,21.33,14.89,37.68,62.08,16.85,19.84,12.90,2007,1320,486,1205,473,736,1509,714,833,1027,401,249,502,209,512,797,661,766,56,43,1,9039,24236,18147,16573,16102,12587,13054,1207145,4,14,67,130,323,653,2483,1,14,676,3,11,3,387,0,7,298,1,0,1,211,3,1,173,0,0,0,209,0,0,85,0,1,3,203,0,0,46,0,4,2,85,0,0,73,0,1,0,78,0,0,260,1,0,6,150,0,0,111,0,1,0,98,0,1,81,0,0,1,258,351,192,66,156,59,83,311,117,96,232,27,27,34,31,29,111,58,84,74,76,2020-07-27 20:05:00.211116,52877,112,135,75,19,94,47,36,93,58,39,560,184,126,103,41,94,220,91,173
2.00,90.00,8.00,47.00,53.00,0.00,0.11,0.65,50.72,0.08,0.51,0.73,47.14,4.15,7.58,21.68,21.33,14.89,37.68,62.08,16.85,19.84,12.90,2034,1373,505,1248,503,798,1576,725,893,1016,368,236,467,180,457,722,637,610,56,43,1,9146,24478,18309,16733,16243,12731,13216,1223207,4,14,68,130,325,657,2502,1,14,676,3,11,3,387,0,7,298,1,0,1,211,3,1,173,0,0,0,209,0,0,85,0,1,3,203,0,0,46,0,4,2,85,0,0,73,0,1,0,78,0,0,260,1,0,6,150,0,0,111,0,1,0,98,0,1,81,0,0,1,258,368,200,65,165,68,85,316,133,108,217,29,28,25,23,33,100,43,72,74,76,2020-07-28 20:10:17.692068,53097,112,151,72,19,84,59,39,83,54,42,545,187,124,111,51,91,216,95,170
2.00,90.00,8.00,48.00,52.00,0.00,0.11,0.70,50.29,0.08,0.51,0.08,48.18,4.08,7.64,22.20,21.53,15.26,37.91,62.17,17.45,19.81,12.87,2049,1359,488,1224,503,804,1605,691,926,1026,378,257,497,177,441,687,673,576,56,43,1,9344,24841,18586,16998,16488,12919,13412,1241210,4,15,69,132,330,672,2547,1,15,683,3,11,0,396,0,8,310,1,1,1,224,3,1,179,0,0,0,214,0,0,105,0,1,0,227,0,0,50,0,4,0,111,0,0,86,0,1,0,85,0,1,271,1,0,0,168,0,0,117,0,1,0,101,0,1,83,0,0,0,277,389,195,72,152,69,82,315,116,100,202,35,25,31,20,36,107,60,78,74,76,2020-07-29 20:19:46.958129,53921,114,153,73,20,76,50,28,82,58,42,548,209,142,119,60,102,222,91,170
2.00,90.00,8.00,48.00,52.00,0.00,0.11,0.70,50.29,0.08,0.51,0.08,48.18,4.08,7.64,22.20,21.53,15.26,37.91,62.17,17.45,19.81,12.87,2017,1387,462,1253,493,842,1588,730,938,1069,380,269,464,200,403,689,632,564,56,43,1,9516,25224,18874,17249,16741,13104,13589,1262355,4,15,70,134,334,676,2578,1,15,683,3,11,0,396,0,8,310,1,1,1,224,3,1,179,0,0,0,214,0,0,105,0,1,0,227,0,0,50,0,4,0,111,0,0,86,0,1,0,85,0,1,271,1,0,0,168,0,0,117,0,1,0,101,0,1,83,0,0,0,277,388,199,62,154,74,88,317,119,101,203,32,29,30,19,30,105,57,78,74,76,2020-07-30 20:39:03.236315,55035,114,161,76,17,76,35,32,79,57,38,532,206,145,119,74,98,225,92,174
2.00,90.00,8.00,48.00,52.00,0.00,0.11,0.70,50.29,0.08,0.51,0.08,48.18,4.08,7.64,22.20,21.53,15.26,37.91,62.17,17.45,19.81,12.87,2035,1373,467,1274,497,823,1620,720,950,1040,381,261,442,195,427,674,653,557,56,43,1,9700,25591,19131,17538,17007,13328,13800,1286441,4,15,70,135,335,681,2595,1,15,683,3,11,0,396,0,8,310,1,1,1,224,3,1,179,0,0,0,214,0,0,105,0,1,0,227,0,0,50,0,4,0,111,0,0,86,0,1,0,85,0,1,271,1,0,0,168,0,0,117,0,1,0,101,0,1,83,0,0,0,277,389,202,63,149,67,84,324,129,110,213,36,29,32,23,34,103,47,73,74,76,2020-07-31 20:06:42.155789,55802,114,148,84,21,80,40,32,84,59,40,543,198,141,115,69,98,218,90,172
2.00,90.00,8.00,48.00,52.00,0.00,0.11,0.70,50.29,0.08,0.51,0.08,48.18,4.08,7.64,22.20,21.53,15.26,37.91,62.17,17.45,19.81,12.87,2035,1373,467,1274,497,823,1620,720,950,1040,381,261,442,195,427,674,653,557,56,43,1,9700,25591,19131,17538,17007,13328,13800,1286441,4,15,70,135,335,681,2595,1,15,683,3,11,0,396,0,8,310,1,1,1,224,3,1,179,0,0,0,214,0,0,105,0,1,0,227,0,0,50,0,4,0,111,0,0,86,0,1,0,85,0,1,271,1,0,0,168,0,0,117,0,1,0,101,0,1,83,0,0,0,277,389,202,63,149,67,84,324,129,110,213,36,29,32,23,34,103,47,73,74,76,2020-08-01 20:14:12.459125,55802,114,148,84,21,80,40,32,84,59,40,543,198,141,115,69,98,218,90,172
2.00,90.00,8.00,48.00,52.00,0.00,0.11,0.70,50.29,0.08,0.51,0.08,48.18,4.08,7.64,22.20,21.53,15.26,37.91,62.17,17.45,19.81,12.87,1941,1297,399,1212,447,818,1496,711,830,1148,453,317,482,244,432,770,665,679,56,43,1,10072,26399,19697,18062,17510,13719,14104,1321466,4,16,70,136,338,689,2640,1,15,683,3,11,0,396,0,8,310,1,1,1,224,3,1,179,0,0,0,214,0,0,105,0,1,0,227,0,0,50,0,4,0,111,0,0,86,0,1,0,85,0,1,271,1,0,0,168,0,0,117,0,1,0,101,0,1,83,0,0,0,277,381,197,51,147,71,90,307,122,103,214,46,41,32,21,28,113,55,80,74,76,2020-08-02 20:26:00.784513,57974,114,154,85,21,84,47,34,96,52,40,538,197,142,111,62,96,211,97,169
