Cases_Black_race,Cases_Other_race,Cases_Unknown_race,Cases_White_race,Deaths_Black_race,Deaths_Other_race,Deaths_Unknown_race,Deaths_White_race,LDHH,Parish,Scrape Time
404,205,365,430,9,0,0,37,4,Acadia,2020-07-15 21:40:53.561509
63,55,235,130,,,,,5,Allen,2020-07-15 21:40:53.561509
663,154,225,577,36,0,1,27,2,Ascension,2020-07-15 21:40:53.561509
285,15,32,98,,,,,3,Assumption,2020-07-15 21:40:53.561509
168,64,89,165,,,,,6,Avoyelles,2020-07-15 21:40:53.561509
44,29,166,125,,,,,5,Beauregard,2020-07-15 21:40:53.561509
124,47,36,61,14,0,0,14,7,Bienville,2020-07-15 21:40:53.561509
519,116,141,548,17,0,0,22,7,Bossier,2020-07-15 21:40:53.561509
2657,337,509,910,170,1,0,78,7,Caddo,2020-07-15 21:40:53.561509
955,265,696,1300,28,1,0,45,5,Calcasieu,2020-07-15 21:40:53.561509
24,16,41,43,,,,,8,Caldwell,2020-07-15 21:40:53.561509
10,7,35,61,,,,,5,Cameron,2020-07-15 21:40:53.561509
25,27,121,43,,,,,6,Catahoula,2020-07-15 21:40:53.561509
84,23,12,34,,,,,7,Claiborne,2020-07-15 21:40:53.561509
59,15,55,22,,,,,6,Concordia,2020-07-15 21:40:53.561509
263,39,48,85,,,,,7,De Soto,2020-07-15 21:40:53.561509
3110,865,1447,1859,158,7,0,114,2,East Baton Rouge,2020-07-15 21:40:53.561509
248,78,77,59,,,,,8,East Carroll,2020-07-15 21:40:53.561509
161,69,40,89,17,0,0,17,2,East Feliciana,2020-07-15 21:40:53.561509
82,48,105,103,,,,,4,Evangeline,2020-07-15 21:40:53.561509
180,58,208,127,,,,,8,Franklin,2020-07-15 21:40:53.561509
17,22,32,62,,,,,6,Grant,2020-07-15 21:40:53.561509
543,161,284,356,18,0,0,35,4,Iberia,2020-07-15 21:40:53.561509
463,51,85,247,30,1,0,12,2,Iberville,2020-07-15 21:40:53.561509
61,92,42,46,,,,,8,Jackson,2020-07-15 21:40:53.561509
3556,1577,1786,4324,241,17,0,237,1,Jefferson,2020-07-15 21:40:53.561509
178,52,139,256,,,,,5,Jefferson Davis,2020-07-15 21:40:53.561509
17,29,37,43,,,,,6,La Salle,2020-07-15 21:40:53.561509
1333,559,824,1263,20,0,0,35,4,Lafayette,2020-07-15 21:40:53.561509
487,217,232,709,26,0,0,65,3,Lafourche,2020-07-15 21:40:53.561509
190,112,76,73,,,,,8,Lincoln,2020-07-15 21:40:53.561509
222,197,255,901,7,0,0,34,9,Livingston,2020-07-15 21:40:53.561509
213,52,103,71,,,,,8,Madison,2020-07-15 21:40:53.561509
183,28,42,35,,,,,8,Morehouse,2020-07-15 21:40:53.561509
181,30,79,111,,,,,7,Natchitoches,2020-07-15 21:40:53.561509
5385,675,1143,1541,407,10,0,125,1,Orleans,2020-07-15 21:40:53.561509
1458,624,539,550,50,0,0,42,8,Ouachita,2020-07-15 21:40:53.561509
4,8,41,3,,,,,,Parish Under Investigation,2020-07-15 21:40:53.561509
102,20,44,151,,,,,1,Plaquemines,2020-07-15 21:40:53.561509
182,25,63,125,13,0,0,15,2,Pointe Coupee,2020-07-15 21:40:53.561509
851,172,465,534,42,1,0,38,6,Rapides,2020-07-15 21:40:53.561509
53,7,16,16,,,,,7,Red River,2020-07-15 21:40:53.561509
139,47,51,52,,,,,8,Richland,2020-07-15 21:40:53.561509
