Deaths_Race_American_Indian_Alaskan_Native,Deaths_Race_Asian,Deaths_Race_Black,Deaths_Race_Native_Hawaiian_Other_Pacific_Islander,Deaths_Race_Other,Deaths_Race_Unknown,Deaths_Race_White,Parish,Scrape Time
0,0,30,0,0,2,23,Ascension,2020-05-26 13:41:11.683138
0,0,15,0,0,0,10,Bossier,2020-05-26 13:41:11.683138
0,0,124,1,0,1,48,Caddo,2020-05-26 13:41:11.683138
0,0,18,0,1,1,24,Calcasieu,2020-05-26 13:41:11.683138
0,6,128,1,0,1,94,East Baton Rouge,2020-05-26 13:41:11.683138
0,0,16,0,0,0,12,East Feliciana,2020-05-26 13:41:11.683138
0,0,10,0,0,0,27,Iberia,2020-05-26 13:41:11.683138
0,1,28,0,0,0,11,Iberville,2020-05-26 13:41:11.683138
0,7,220,2,6,5,197,Jefferson,2020-05-26 13:41:11.683138
0,0,25,0,0,2,43,Lafourche,2020-05-26 13:41:11.683138
0,0,6,0,0,0,21,Livingston,2020-05-26 13:41:11.683138
0,4,386,0,7,0,105,Orleans,2020-05-26 13:41:11.683138
0,0,24,0,0,0,12,Ouachita,2020-05-26 13:41:11.683138
0,0,22,0,0,0,22,St. Charles,2020-05-26 13:41:11.683138
0,0,19,0,0,0,6,St. James,2020-05-26 13:41:11.683138
0,0,41,0,0,0,36,St. John the Baptist,2020-05-26 13:41:11.683138
0,0,10,0,0,0,42,St. Landry,2020-05-26 13:41:11.683138
0,1,15,0,0,0,13,St. Mary,2020-05-26 13:41:11.683138
0,1,26,0,0,0,129,St. Tammany,2020-05-26 13:41:11.683138
0,0,11,0,0,0,22,Tangipahoa,2020-05-26 13:41:11.683138
2,0,22,0,0,0,24,Terrebonne,2020-05-26 13:41:11.683138
0,0,18,0,0,1,18,Washington,2020-05-26 13:41:11.683138
0,0,19,0,0,0,11,West Baton Rouge,2020-05-26 13:41:11.683138
0,0,30,0,0,2,23,Ascension,2020-05-26 21:18:54.531285
0,0,15,0,0,0,10,Bossier,2020-05-26 21:18:54.531285
0,0,124,1,0,1,48,Caddo,2020-05-26 21:18:54.531285
0,0,18,0,1,1,24,Calcasieu,2020-05-26 21:18:54.531285
0,6,128,1,0,1,94,East Baton Rouge,2020-05-26 21:18:54.531285
0,0,16,0,0,0,12,East Feliciana,2020-05-26 21:18:54.531285
0,0,10,0,0,0,27,Iberia,2020-05-26 21:18:54.531285
0,1,28,0,0,0,11,Iberville,2020-05-26 21:18:54.531285
0,7,220,2,6,5,197,Jefferson,2020-05-26 21:18:54.531285
0,0,25,0,0,2,43,Lafourche,2020-05-26 21:18:54.531285
0,0,6,0,0,0,21,Livingston,2020-05-26 21:18:54.531285
0,4,386,0,7,0,105,Orleans,2020-05-26 21:18:54.531285
0,0,24,0,0,0,12,Ouachita,2020-05-26 21:18:54.531285
0,0,22,0,0,0,22,St. Charles,2020-05-26 21:18:54.531285
0,0,19,0,0,0,6,St. James,2020-05-26 21:18:54.531285
0,0,41,0,0,0,36,St. John the Baptist,2020-05-26 21:18:54.531285
0,0,10,0,0,0,42,St. Landry,2020-05-26 21:18:54.531285
0,1,15,0,0,0,13,St. Mary,2020-05-26 21:18:54.531285
0,1,26,0,0,0,129,St. Tammany,2020-05-26 21:18:54.531285
0,0,11,0,0,0,22,Tangipahoa,2020-05-26 21:18:54.531285
2,0,22,0,0,0,24,Terrebonne,2020-05-26 21:18:54.531285
0,0,18,0,0,1,18,Washington,2020-05-26 21:18:54.531285
0,0,19,0,0,0,11,West Baton Rouge,2020-05-26 21:18:54.531285
0,0,30,0,0,2,23,Ascension,2020-05-27 20:40:47.843515
0,0,15,0,0,0,10,Bossier,2020-05-27 20:40:47.843515
0,0,124,1,0,1,48,Caddo,2020-05-27 20:40:47.843515
0,0,18,0,1,1,24,Calcasieu,2020-05-27 20:40:47.843515
0,6,128,1,0,1,94,East Baton Rouge,2020-05-27 20:40:47.843515
0,0,16,0,0,0,12,East Feliciana,2020-05-27 20:40:47.843515
0,0,10,0,0,0,27,Iberia,2020-05-27 20:40:47.843515
0,1,28,0,0,0,11,Iberville,2020-05-27 20:40:47.843515
0,7,220,2,6,5,197,Jefferson,2020-05-27 20:40:47.843515
0,0,25,0,0,2,43,Lafourche,2020-05-27 20:40:47.843515
0,0,6,0,0,0,21,Livingston,2020-05-27 20:40:47.843515
0,4,386,0,7,0,105,Orleans,2020-05-27 20:40:47.843515
0,0,24,0,0,0,12,Ouachita,2020-05-27 20:40:47.843515
0,0,22,0,0,0,22,St. Charles,2020-05-27 20:40:47.843515
0,0,19,0,0,0,6,St. James,2020-05-27 20:40:47.843515
0,0,41,0,0,0,36,St. John the Baptist,2020-05-27 20:40:47.843515
0,0,10,0,0,0,42,St. Landry,2020-05-27 20:40:47.843515
0,1,15,0,0,0,13,St. Mary,2020-05-27 20:40:47.843515
0,1,26,0,0,0,129,St. Tammany,2020-05-27 20:40:47.843515
0,0,11,0,0,0,22,Tangipahoa,2020-05-27 20:40:47.843515
2,0,22,0,0,0,24,Terrebonne,2020-05-27 20:40:47.843515
0,0,18,0,0,1,18,Washington,2020-05-27 20:40:47.843515
0,0,19,0,0,0,11,West Baton Rouge,2020-05-27 20:40:47.843515
0,0,30,0,0,2,23,Ascension,2020-05-28 20:13:46.949338
0,0,15,0,0,0,10,Bossier,2020-05-28 20:13:46.949338
0,0,124,1,0,1,48,Caddo,2020-05-28 20:13:46.949338
0,0,18,0,1,1,24,Calcasieu,2020-05-28 20:13:46.949338
0,6,128,1,0,1,94,East Baton Rouge,2020-05-28 20:13:46.949338
0,0,16,0,0,0,12,East Feliciana,2020-05-28 20:13:46.949338
0,0,10,0,0,0,27,Iberia,2020-05-28 20:13:46.949338
0,1,28,0,0,0,11,Iberville,2020-05-28 20:13:46.949338
0,7,220,2,6,5,197,Jefferson,2020-05-28 20:13:46.949338
0,0,25,0,0,2,43,Lafourche,2020-05-28 20:13:46.949338
0,0,6,0,0,0,21,Livingston,2020-05-28 20:13:46.949338
0,4,386,0,7,0,105,Orleans,2020-05-28 20:13:46.949338
0,0,24,0,0,0,12,Ouachita,2020-05-28 20:13:46.949338
0,0,22,0,0,0,22,St. Charles,2020-05-28 20:13:46.949338
0,0,19,0,0,0,6,St. James,2020-05-28 20:13:46.949338
0,0,41,0,0,0,36,St. John the Baptist,2020-05-28 20:13:46.949338
0,0,10,0,0,0,42,St. Landry,2020-05-28 20:13:46.949338
0,1,15,0,0,0,13,St. Mary,2020-05-28 20:13:46.949338
0,1,26,0,0,0,129,St. Tammany,2020-05-28 20:13:46.949338
0,0,11,0,0,0,22,Tangipahoa,2020-05-28 20:13:46.949338
2,0,22,0,0,0,24,Terrebonne,2020-05-28 20:13:46.949338
0,0,18,0,0,1,18,Washington,2020-05-28 20:13:46.949338
0,0,19,0,0,0,11,West Baton Rouge,2020-05-28 20:13:46.949338
