Cases_Black_race,Cases_Other_race,Cases_Unknown_race,Cases_White_race,Deaths_Black_race,Deaths_Other_race,Deaths_Unknown_race,Deaths_White_race,Parish,Scrape Time
295,146,332,273,8,0,0,34,Acadia,2020-07-13 20:41:33.427338
32,19,231,75,,,,,Allen,2020-07-13 20:41:33.427338
586,111,219,443,35,0,0,23,Ascension,2020-07-13 20:41:33.427338
266,14,27,80,,,,,Assumption,2020-07-13 20:41:33.427338
134,39,94,121,,,,,Avoyelles,2020-07-13 20:41:33.427338
30,21,132,79,,,,,Beauregard,2020-07-13 20:41:33.427338
112,37,32,55,14,0,0,114,Bienville,2020-07-13 20:41:33.427338
414,84,134,398,15,0,0,20,Bossier,2020-07-13 20:41:33.427338
2295,226,493,722,165,1,0,77,Caddo,2020-07-13 20:41:33.427338
556,142,799,753,25,1,0,33,Calcasieu,2020-07-13 20:41:33.427338
23,12,33,45,,,,,Caldwell,2020-07-13 20:41:33.427338
4,7,37,34,,,,,Cameron,2020-07-13 20:41:33.427338
20,23,125,31,,,,,Catahoula,2020-07-13 20:41:33.427338
75,16,9,29,,,,,Claiborne,2020-07-13 20:41:33.427338
47,8,45,18,,,,,Concordia,2020-07-13 20:41:33.427338
235,23,43,68,,,,,De Soto,2020-07-13 20:41:33.427338
2495,699,1402,1383,155,7,0,112,East Baton Rouge,2020-07-13 20:41:33.427338
218,68,112,48,,,,,East Carroll,2020-07-13 20:41:33.427338
135,67,33,76,17,0,0,16,East Feliciana,2020-07-13 20:41:33.427338
44,28,94,66,,,,,Evangeline,2020-07-13 20:41:33.427338
155,48,190,107,,,,,Franklin,2020-07-13 20:41:33.427338
15,11,25,43,,,,,Grant,2020-07-13 20:41:33.427338
385,102,284,210,15,0,0,30,Iberia,2020-07-13 20:41:33.427338
413,41,90,207,30,1,0,12,Iberville,2020-07-13 20:41:33.427338
56,77,44,43,,,,,Jackson,2020-07-13 20:41:33.427338
3348,1325,1712,3723,237,17,0,234,Jefferson,2020-07-13 20:41:33.427338
142,31,140,176,,,,,Jefferson Davis,2020-07-13 20:41:33.427338
14,22,36,33,,,,,La Salle,2020-07-13 20:41:33.427338
947,406,734,803,19,0,0,29,Lafayette,2020-07-13 20:41:33.427338
413,169,191,538,26,0,0,64,Lafourche,2020-07-13 20:41:33.427338
155,85,60,50,,,,,Lincoln,2020-07-13 20:41:33.427338
139,152,210,678,7,0,0,32,Livingston,2020-07-13 20:41:33.427338
194,42,101,56,,,,,Madison,2020-07-13 20:41:33.427338
161,17,43,33,,,,,Morehouse,2020-07-13 20:41:33.427338
139,25,74,86,,,,,Natchitoches,2020-07-13 20:41:33.427338
5130,612,1056,1331,404,10,0,121,Orleans,2020-07-13 20:41:33.427338
1252,453,531,465,46,0,0,35,Ouachita,2020-07-13 20:41:33.427338
4,9,45,2,,,,,Parish Under Investigation,2020-07-13 20:41:33.427338
92,18,38,130,,,,,Plaquemines,2020-07-13 20:41:33.427338
140,13,48,93,13,0,0,15,Pointe Coupee,2020-07-13 20:41:33.427338
749,117,348,471,38,1,0,29,Rapides,2020-07-13 20:41:33.427338
33,3,14,12,,,,,Red River,2020-07-13 20:41:33.427338
100,38,42,36,,,,,Richland,2020-07-13 20:41:33.427338
19,24,18,43,,,,,Sabine,2020-07-13 20:41:33.427338
272,59,63,259,,,,,St. Bernard,2020-07-13 20:41:33.427338
324,30,87,366,22,0,0,27,St. Charles,2020-07-13 20:41:33.427338
78,7,14,14,,,,,St. Helena,2020-07-13 20:41:33.427338
251,21,57,80,22,0,0,7,St. James,2020-07-13 20:41:33.427338
677,40,81,214,48,0,0,39,St. John the Baptist,2020-07-13 20:41:33.427338
297,77,176,246,11,0,0,46,St. Landry,2020-07-13 20:41:33.427338
305,207,92,257,8,0,0,19,St. Martin,2020-07-13 20:41:33.427338
228,48,193,137,21,1,0,16,St. Mary,2020-07-13 20:41:33.427338
