CaseAge0_19,CaseAge20_29,CaseAge30_39,CaseAge40_49,CaseAge50_59,CaseAge60_69,CaseAge70_79,CaseAge80_plus,CaseAgeUnknown,CaseSexFemale,CaseSexMale,CaseSexUnknown,DocUpdateDate,QuarantineComplete,QuarantineCurrent,QuarantineEver,QuarantineUpdate,Scrape_Time
363,2195,2603,2649,3204,2398,1529,1847,2,8872,7874,44,2020-04-08,5402,7625,13027,2020-04-07,2020-04-08 20:34:51.110433
403,2408,2882,2926,3562,2681,1782,2292,5,9988,8776,177,2020-04-09,5402,7625,13027,2020-04-07,2020-04-09 19:52:06.223172
446,2637,3201,3236,3931,2950,2001,2562,10,11094,9653,227,2020-04-10,5402,7625,13027,2020-04-07,2020-04-10 20:21:12.493304
500,2834,3459,3500,4279,3224,2169,2883,12,12150,10443,267,2020-04-11,5402,7625,13027,2020-04-07,2020-04-11 20:09:33.694934
554,3107,3801,3848,4654,3582,2424,3297,208,13315,11390,770,2020-04-12,5402,7625,13027,2020-04-07,2020-04-12 20:39:45.704987
593,3262,3993,4002,4896,3778,2580,3558,205,14038,11954,875,2020-04-13,5402,7625,13027,2020-04-07,2020-04-13 20:22:15.528954
622,3393,4165,4166,5120,3979,2744,3796,178,14750,12531,882,2020-04-14,5402,7625,13027,2020-04-07,2020-04-14 20:01:53.664347
675,3593,4448,4455,5420,4244,2894,3973,216,15547,13250,1121,2020-04-15,8118,9487,17605,2020-04-14,2020-04-15 20:13:11.534278
737,3826,4706,4754,5784,4562,3142,4423,247,16794,14176,1211,2020-04-16,8118,9487,17605,2020-04-14,2020-04-16 20:17:32.893608
803,4095,5040,5071,6158,4850,3342,4777,266,17823,14991,1588,2020-04-17,8118,9487,17605,2020-04-14,2020-04-17 20:04:39.460708
852,4314,5282,5326,6445,5090,3571,5193,299,18766,15773,1833,2020-04-18,8118,9487,17605,2020-04-14,2020-04-18 20:11:47.448403
899,4483,5483,5517,6687,5315,3767,5634,292,20138,16909,1030,2020-04-19,8118,9487,17605,2020-04-14,2020-04-19 20:25:14.961325
