state,stateAbbrev,date,Cases,Tested,Hospitalizations,Deaths,Age_Cases [0-9],Age_Cases [10-19],Age_Cases [20-29],Age_Cases [30-39],Age_Cases [40-49],Age_Cases [50-59],Age_Cases [60-69],Age_Cases [70-79],Age_Cases [80+],Age_Cases [Data not available],Age_Deaths [0-9],Age_Deaths [10-19],Age_Deaths [20-29],Age_Deaths [30-39],Age_Deaths [40-49],Age_Deaths [50-59],Age_Deaths [60-69],Age_Deaths [70-79],Age_Deaths [80+],Age_Deaths [Data not available],Sex_Cases [Female],Sex_Cases [Male],Sex_Deaths [Female],Sex_Deaths [Male],Race_Cases [African-American],Race_Cases [Asian],Race_Cases [White],Race_Cases [Hispanic],Race_Cases [Other],Race_Cases [Unknown],Race_Deaths [African-American],Race_Deaths [Asian],Race_Deaths [White],Race_Deaths [Hispanic],Race_Deaths [Other],Race_Deaths [Unknown],pullTime,ActiveHospitalizations
Maryland,MD,2020-03-28,992,12508,226,5,5,15,138,174,204,195,143,91,27,,,,,,,,,,,,487,505,,,,,,,,,,,,,,,2020-03-28 00:00:00,
Maryland,MD,2020-03-29,1239,13593,277,10,4,21,165,203,241,243,191,117,54,,,,,,,,,,,,634,605,,,,,,,,,,,,,,,2020-03-29 00:00:00,
Maryland,MD,2020-03-30,1413,14729,353,15,5,27,188,247,262,274,219,139,52,,,,,,,,,,,,716,697,,,,,,,,,,,,,,,2020-03-30 00:00:00,
Maryland,MD,2020-03-31,1660,16528,429,18,6,32,215,290,304,335,260,157,61,,,,,,,,,,,,856,804,,,,,,,,,,,,,,,2020-03-31 00:00:00,
Maryland,MD,2020-04-01,1985,19218,522,31,6,39,252,345,372,396,309,187,79,,,,,,,,,,,,1016,969,,,,,,,,,,,,,,,2020-04-01 00:00:00,
Maryland,MD,2020-04-02,2331,21221,582,36,9,46,286,410,437,471,357,217,98,,,,,,,,,,,,1194,1137,,,,,,,,,,,,,,,2020-04-02 00:00:00,
Maryland,MD,2020-04-03,2758,23690,664,42,9,55,335,485,509,552,423,266,124,,,,,,,,,,,,1435,1323,,,,,,,,,,,,,,,2020-04-03 00:00:00,
Maryland,MD,2020-04-04,3125,25610,821,53,13,65,379,557,575,625,473,299,139,,,,,,,,,,,,1640,1485,,,,,,,,,,,,,,,2020-04-04 00:00:00,
Maryland,MD,2020-04-05,3609,28337,936,67,16,69,422,638,666,736,546,354,162,,,,,,,,,,,,1915,1694,,,,,,,,,,,,,,,2020-04-05 00:00:00,
Maryland,MD,2020-04-06,4045,29617,1059,91,16,76,469,718,737,825,597,407,200,,,,,,,,,,,,2155,1890,,,,,,,,,,,,,,,2020-04-06 00:00:00,
Maryland,MD,2020-04-07,4371,31627,1106,103,21,82,505,773,795,891,643,445,216,,,,,,,,,,,,2329,2042,,,,,,,,,,,,,,,2020-04-07 00:00:00,
Maryland,MD,2020-04-08,5529,38462,1210,124,27,109,625,968,1015,1135,833,550,267,,,,,,,,,,,,2955,2574,,,,,,,,,,,,,,,2020-04-08 00:00:00,
Maryland,MD,2020-04-09,6185,41529,1348,138,33,127,701,1076,1145,1282,913,600,308,,0.0,0.0,0.0,4.0,4.0,16.0,28.0,43.0,43.0,,3320,2865,53.0,85.0,2064.0,122.0,1540.0,,449.0,1354.0,55.0,6.0,39.0,,3.0,21.0,2020-04-09 00:00:00,
Maryland,MD,2020-04-10,6968,44448,1413,171,36,146,772,1205,1281,1421,1051,685,371,,0.0,0.0,0.0,5.0,5.0,20.0,32.0,51.0,58.0,,3753,3215,69.0,102.0,2304.0,136.0,1694.0,,544.0,1507.0,61.0,6.0,45.0,,5.0,21.0,2020-04-10 00:00:00,
Maryland,MD,2020-04-11,7694,47238,1709,206,45,162,855,1317,1413,1565,1141,757,439,,0.0,0.0,1.0,8.0,5.0,22.0,42.0,57.0,71.0,,4140,3554,85.0,121.0,2599.0,153.0,1883.0,,643.0,1690.0,77.0,6.0,58.0,,7.0,23.0,2020-04-11 00:00:00,
Maryland,MD,2020-04-12,8225,49764,1860,235,52,172,906,1390,1504,1675,1212,816,498,,0.0,0.0,1.0,9.0,5.0,25.0,51.0,65.0,79.0,,4438,3787,99.0,136.0,2988.0,177.0,2145.0,,806.0,1578.0,91.0,7.0,72.0,,9.0,27.0,2020-04-12 00:00:00,
Maryland,MD,2020-04-13,8936,51751,1975,262,63,190,970,1511,1637,1801,1317,877,570,,0.0,0.0,1.0,9.0,5.0,26.0,58.0,73.0,90.0,,4831,4105,117.0,145.0,3202.0,190.0,2305.0,,861.0,1667.0,104.0,8.0,83.0,,12.0,28.0,2020-04-13 00:00:00,
Maryland,MD,2020-04-14,9472,53733,2122,302,70,199,1030,1603,1740,1902,1389,935,604,,0.0,0.0,1.0,11.0,6.0,29.0,69.0,83.0,103.0,,5132,4340,137.0,165.0,3512.0,211.0,2547.0,,961.0,1705.0,120.0,10.0,93.0,,15.0,24.0,2020-04-14 00:00:00,
Maryland,MD,2020-04-15,10032,55763,2231,413,74,204,1089,1670,1808,2005,1474,1010,698,,0.0,0.0,1.0,5.0,5.0,21.0,62.0,83.0,133.0,,5439,4593,197.0,216.0,3724.0,230.0,2425.0,1075.0,357.0,2221.0,152.0,11.0,143.0,14.0,8.0,85.0,2020-04-15 00:00:00,
Maryland,MD,2020-04-16,10784,58843,2451,459,86,231,1162,1784,1951,2138,1602,1065,765,,0.0,0.0,2.0,6.0,6.0,26.0,70.0,89.0,153.0,,5817,4967,220.0,239.0,3978.0,239.0,2535.0,1180.0,376.0,2476.0,166.0,12.0,165.0,15.0,9.0,92.0,2020-04-16 18:48:34.189990,
