# Cases Age [0-19],# Cases Age [20-29],# Cases Age [30-39],# Cases Age [40-49],# Cases Age [50-59],# Cases Age [60-69],# Cases Age [70-79],# Cases Age [80+],# Cases Race/Ethnicity: American Indian or Alaska Native,# Cases Race/Ethnicity: Asian,# Cases Race/Ethnicity: Black or African American,# Cases Race/Ethnicity: Hispanic or Latino,# Cases Race/Ethnicity: Native Hawaiian or Other Pacific Islander,# Cases Race/Ethnicity: Not Hispanic or Latino,# Cases Race/Ethnicity: Other Race,# Cases Race/Ethnicity: Two or more,# Cases Race/Ethnicity: Unknown Ethnicity,# Cases Race/Ethnicity: Unknown Race,# Cases Race/Ethnicity: White,% Cases Age [0-19],% Cases Age [20-29],% Cases Age [30-39],% Cases Age [40-49],% Cases Age [50-59],% Cases Age [60-69],% Cases Age [70-79],% Cases Age [80+],Scrape_Time,Total Cases: Female,Total Cases: Male,Total Confirmed Cases: Female,Total Confirmed Cases: Male,Total Deaths: Female,Total Deaths: Male,Total Hospitalized: Female,Total Hospitalized: Male,Total Probable Cases: Female,Total Probable Cases: Male,Total Recovered: Female,Total Recovered: Male
347,621,593,581,624,442,311,319,6,100,862,150,2,3060,115,28,628,378,2347,9.0,16.2,15.5,15.1,16.3,11.5,8.1,8.3,2020-07-28 20:28:35.543230,1997,1841,1774,1659,63,58,167,217,223,182,1734,1585
350,628,597,584,628,449,311,319,6,102,867,152,2,3081,115,26,633,376,2372,9.1,16.2,15.4,15.1,16.2,11.6,8.0,8.3,2020-07-29 20:28:45.768045,2009,1857,1784,1673,63,58,167,218,225,184,1742,1594
352,632,599,586,634,450,315,320,6,102,869,154,2,3100,120,26,634,376,2387,9.1,16.3,15.4,15.1,16.3,11.6,8.1,8.2,2020-07-30 20:46:36.022321,2020,1868,1795,1682,63,59,168,218,225,186,1749,1596
357,637,602,587,638,454,317,320,6,103,872,156,2,3122,119,26,634,377,2407,9.1,16.3,15.4,15.0,16.3,11.6,8.1,8.2,2020-07-31 20:14:50.684680,2028,1884,1802,1697,63,60,169,219,226,187,1758,1603
360,640,606,589,645,457,318,322,6,103,872,160,2,3141,116,29,636,380,2429,9.1,16.3,15.4,15.0,16.4,11.6,8.1,8.2,2020-08-01 20:21:47.478044,2042,1895,1809,1707,63,60,169,219,233,188,1771,1606
365,642,609,590,652,459,318,323,6,104,874,161,2,3152,117,28,645,389,2438,9.2,16.2,15.4,14.9,16.5,11.6,8.0,8.2,2020-08-02 20:34:16.426801,2053,1905,1820,1715,63,60,169,219,233,190,1777,1610
366,649,609,591,654,459,319,323,6,104,879,163,2,3161,117,28,646,390,2444,9.2,16.3,15.3,14.9,16.5,11.6,8.0,8.1,2020-08-03 20:23:47.460627,2063,1907,1824,1717,63,61,169,220,239,190,1783,1613
369,646,610,591,655,461,320,323,7,104,885,162,2,3173,117,29,640,384,2447,9.3,16.3,15.3,14.9,16.5,11.6,8.1,8.1,2020-08-04 20:09:02.639640,2065,1910,1828,1720,63,60,169,219,237,190,1796,1628
368,648,611,596,659,466,320,324,7,104,887,165,2,3189,119,30,638,384,2459,9.2,16.2,15.3,14.9,16.5,11.7,8.0,8.1,2020-08-05 20:15:37.347015,2070,1922,1836,1732,64,60,169,221,234,190,1806,1650
364,649,615,599,658,466,321,325,7,104,887,168,2,3190,119,30,639,387,2461,9.1,16.2,15.4,15.0,16.5,11.7,8.0,8.1,2020-08-06 20:10:22.813036,2071,1926,1842,1740,64,60,169,221,229,186,1815,1660
