Age [0-19],Age [20-29],Age [30-39],Age [40-49],Age [50-59],Age [60-69],Age [70-79],Age [80+],Female,Male,pullTime
0.0476,0.0476,0.0952,0.1667,0.2143,0.1905,0.1667,0.0714,0.5714,0.4286,2020-03-18 12:50:00.000000
0.038,0.058,0.115,0.135,0.212,0.231,0.096,0.115,0.577,0.423,2020-03-19 12:15:00.000000
0.036,0.054,0.125,0.161,0.161,0.232,0.143,0.089,0.518,0.482,2020-03-20 11:00:00.000000
0.03,0.07,0.1,0.16,0.19,0.24,0.11,0.1,0.56,0.44,2020-03-21 13:30:00.000000
0.02,0.08,0.09,0.15,0.18,0.25,0.15,0.09,0.54,0.46,2020-03-22 11:30:00.000000
0.02,0.11,0.08,0.15,0.18,0.22,0.14,0.09,0.53,0.47,2020-03-23 11:30:00.000000
0.02,0.12,0.08,0.15,0.2,0.21,0.14,0.09,0.52,0.48,2020-03-24 12:00:00.000000
0.02,0.11,0.07,0.16,0.19,0.23,0.13,0.09,0.49,0.51,2020-03-25 11:30:00.000000
0.03,0.1,0.08,0.16,0.19,0.23,0.14,0.08,0.51,0.49,2020-03-26 11:00:00.000000
0.02,0.1,0.08,0.16,0.19,0.23,0.13,0.09,0.51,0.49,2020-03-27 11:30:00.000000
0.02,0.1,0.09,0.17,0.17,0.22,0.13,0.1,0.51,0.49,2020-03-28 20:42:25.394800
0.02,0.11,0.09,0.17,0.18,0.21,0.13,0.1,0.49,0.51,2020-03-29 19:35:41.841754
0.015,0.105,0.095,0.16699999999999998,0.175,0.22899999999999998,0.127,0.087,0.5,0.5,2020-03-30 20:52:29.541094
0.02,0.106,0.08900000000000001,0.165,0.182,0.22399999999999998,0.129,0.086,0.5,0.5,2020-03-31 20:28:31.370598
0.017,0.102,0.081,0.157,0.201,0.22399999999999998,0.134,0.084,0.5,0.5,2020-04-01 20:08:40.965704
0.017,0.102,0.081,0.157,0.201,0.22399999999999998,0.134,0.084,0.5,0.5,2020-04-01 20:11:42.830884
0.016,0.106,0.08800000000000001,0.157,0.19899999999999998,0.218,0.13,0.085,0.51,0.49,2020-04-02 20:26:37.908802
0.021,0.1,0.081,0.155,0.201,0.222,0.134,0.086,0.5,0.5,2020-04-03 20:24:51.893738
0.022000000000000002,0.094,0.081,0.162,0.2,0.217,0.14,0.083,0.5,0.5,2020-04-04 20:10:29.912401
