Age [0-19],Age [20-29],Age [30-39],Age [40-49],Age [50-59],Age [60-69],Age [70-79],Age [80+],Female,Male,# Cases Race/Ethnicity: American Indian or Alaskan Native,# Cases Race/Ethnicity: Asian or Pacific Islander,# Cases Race/Ethnicity: Black or African American,# Cases Race/Ethnicity: White,# Cases Race/Ethnicity: Multiple Races,# Cases Race/Ethnicity: Other Race,# Cases Race/Ethnicity: Unknown Race,# Cases Race/Ethnicity: Hispanic,# Cases Race/Ethnicity: Not Hispanic,# Cases Race/Ethnicity: Unknown Ethnicity,pullTime
0.064,0.146,0.14800000000000002,0.154,0.17300000000000001,0.126,0.092,0.096,0.511,0.489,6.0,37.0,561.0,1611.0,11.0,54.0,357.0,74.0,2007.0,556.0,2020-06-10 15:35:18.323942
0.064,0.14800000000000002,0.15,0.154,0.172,0.126,0.091,0.095,0.511,0.489,7.0,39.0,579.0,1626.0,12.0,55.0,349.0,74.0,2041.0,552.0,2020-06-11 20:30:36.548426
0.065,0.15,0.151,0.154,0.171,0.125,0.091,0.09300000000000001,0.514,0.486,7.0,40.0,600.0,1642.0,12.0,57.0,363.0,76.0,2076.0,569.0,2020-06-12 20:26:43.649184
0.064,0.151,0.151,0.157,0.171,0.124,0.09,0.092,0.513,0.48700000000000004,7.0,41.0,625.0,1662.0,12.0,57.0,353.0,76.0,2118.0,563.0,2020-06-13 20:43:46.120301
0.065,0.154,0.152,0.155,0.17,0.12300000000000001,0.09,0.092,0.511,0.489,7.0,42.0,638.0,1669.0,12.0,57.0,368.0,76.0,2137.0,580.0,2020-06-14 20:03:15.282144
0.065,0.153,0.152,0.155,0.17,0.12300000000000001,0.09,0.091,0.511,0.489,7.0,43.0,646.0,1678.0,12.0,59.0,365.0,78.0,2156.0,576.0,2020-06-15 20:27:36.174138
0.066,0.152,0.151,0.157,0.16899999999999998,0.122,0.09,0.092,0.512,0.488,7.0,40.0,652.0,1690.0,12.0,59.0,359.0,78.0,2173.0,568.0,2020-06-16 20:29:25.674504
0.067,0.152,0.152,0.157,0.16899999999999998,0.122,0.09,0.092,0.513,0.48700000000000004,7.0,40.0,669.0,1697.0,13.0,57.0,353.0,78.0,2198.0,560.0,2020-06-17 20:34:19.804456
0.067,0.151,0.153,0.157,0.16899999999999998,0.122,0.09,0.092,0.514,0.486,7.0,41.0,684.0,1706.0,13.0,60.0,367.0,82.0,2226.0,570.0,2020-06-18 21:07:13.333932
0.068,0.152,0.153,0.156,0.16899999999999998,0.122,0.08900000000000001,0.092,0.512,0.488,6.0,44.0,700.0,1721.0,13.0,60.0,369.0,86.0,2253.0,574.0,2020-06-19 20:14:02.997313
0.068,0.152,0.154,0.157,0.168,0.12,0.08900000000000001,0.091,0.512,0.488,6.0,44.0,713.0,1740.0,13.0,62.0,360.0,89.0,2281.0,568.0,2020-06-20 21:22:59.625946
0.069,0.151,0.155,0.157,0.17,0.12,0.08800000000000001,0.091,0.512,0.488,6.0,45.0,719.0,1751.0,13.0,64.0,359.0,89.0,2300.0,568.0,2020-06-21 20:56:45.233913
0.069,0.151,0.155,0.157,0.17,0.12,0.08800000000000001,0.091,0.511,0.489,6.0,45.0,726.0,1759.0,13.0,66.0,356.0,92.0,2315.0,564.0,2020-06-22 19:57:19.322469
