# Cases Age [0-19],# Cases Age [20-29],# Cases Age [30-39],# Cases Age [40-49],# Cases Age [50-59],# Cases Age [60-69],# Cases Age [70-79],# Cases Age [80+],# Cases Race/Ethnicity: American Indian or Alaska Native,# Cases Race/Ethnicity: Asian,# Cases Race/Ethnicity: Black or African American,# Cases Race/Ethnicity: Hispanic or Latino,# Cases Race/Ethnicity: Native Hawaiian or Other Pacific Islander,# Cases Race/Ethnicity: Not Hispanic or Latino,# Cases Race/Ethnicity: Other Race,# Cases Race/Ethnicity: Two or more,# Cases Race/Ethnicity: Unknown Ethnicity,# Cases Race/Ethnicity: Unknown Race,# Cases Race/Ethnicity: White,% Cases Age [0-19],% Cases Age [20-29],% Cases Age [30-39],% Cases Age [40-49],% Cases Age [50-59],% Cases Age [60-69],% Cases Age [70-79],% Cases Age [80+],Scrape_Time,Total Cases: Female,Total Cases: Male,Total Confirmed Cases: Female,Total Confirmed Cases: Male,Total Deaths: Female,Total Deaths: Male,Total Hospitalized: Female,Total Hospitalized: Male,Total Probable Cases: Female,Total Probable Cases: Male,Total Recovered: Female,Total Recovered: Male
208,453,465,470,507,358,263,270,6,45,732,93,1,2341,66,13,559,354,1776,6.9,15.1,15.5,15.7,16.9,12,8.8,9,2020-06-24 21:29:39.8,1533,1461,1343,1312,53,49,146,193,190,149,1251,1192
212,456,470,472,508,363,264,272,6,48,737,94,1,2369,68,12,553,346,1798,7.0,15.1,15.6,15.6,16.8,12.0,8.8,9.0,2020-06-24 15:29:39.782567,1546,1471,1355,1325,54,49,146,193,191,146,1280,1210
212,456,470,472,508,363,264,272,6,48,737,94,1,2369,68,12,553,346,1798,7.0,15.1,15.6,15.6,16.8,12.0,8.8,9.0,2020-06-24 21:24:48.887948,1546,1471,1355,1325,54,49,146,193,191,146,1280,1210
216,463,479,474,516,369,269,284,6,54,741,103,1,2400,72,12,566,360,1823,7.0,15.1,15.6,15.4,16.8,12.0,8.8,9.3,2020-06-25 21:31:02.459898,1573,1497,1385,1346,54,49,147,196,188,151,1291,1221
222,470,478,481,523,371,270,287,6,54,745,105,1,2420,78,12,577,366,1840,7.2,15.2,15.4,15.5,16.9,12.0,8.7,9.3,2020-06-26 20:13:41.674965,1594,1508,1402,1356,54,49,147,196,192,152,1302,1240
225,479,485,493,533,377,274,289,6,58,754,106,1,2461,79,14,587,372,1870,7.1,15.2,15.4,15.6,16.9,11.9,8.7,9.2,2020-06-27 21:53:27.778668,1624,1530,1430,1379,54,50,149,196,194,151,1320,1246
232,483,489,498,540,382,275,292,6,63,761,108,1,2478,81,15,605,383,1881,7.3,15.1,15.3,15.6,16.9,12.0,8.6,9.2,2020-06-28 21:39:07.343575,1647,1544,1448,1390,54,50,149,197,199,154,1326,1251
232,483,489,498,540,382,275,292,6,63,761,108,1,2478,81,15,605,383,1881,7.3,15.1,15.3,15.6,16.9,12.0,8.6,9.2,2020-06-29 22:53:06.315450,1647,1544,1448,1390,54,50,149,197,199,154,1326,1251
247,501,499,505,545,386,277,293,6,65,771,117,2,2528,86,18,608,384,1921,7.6,15.4,15.3,15.5,16.8,11.9,8.5,9.0,2020-06-30 20:06:05.341864,1677,1576,1473,1420,55,50,149,199,204,156,1365,1281
257,508,506,512,548,389,281,295,6,71,779,118,2,2564,86,20,612,383,1947,7.8,15.4,15.4,15.5,16.6,11.8,8.5,9.0,2020-07-01 20:09:13.211050,1701,1753,1489,1433,55,51,149,204,212,320,1376,1422
263,513,511,518,555,390,283,295,6,74,790,121,2,2584,86,20,623,388,1962,7.9,15.4,15.4,15.6,16.7,11.7,8.5,8.9,2020-07-02 22:16:02.770724,1721,1606,1507,1444,55,50,150,204,214,162,1390,1308
280,518,515,527,560,396,283,299,7,77,793,123,2,2620,90,20,996,763,1987,8.3,15.3,15.2,15.6,16.6,11.7,8.4,8.9,2020-07-03 22:45:33.334142,1747,1624,1527,1457,55,50,153,204,220,167,1404,1327
278,520,524,531,562,399,283,300,7,77,801,124,2,2639,92,21,634,397,2000,8.2,15.3,15.4,15.6,16.5,11.7,8.3,8.8,2020-07-04 20:33:04.556813,1763,1634,1542,1470,56,51,154,204,221,164,1414,1337
283,525,529,529,566,399,284,300,7,78,803,124,2,2652,93,21,639,402,2009,8.3,15.4,15.5,15.5,16.6,11.7,8.3,8.8,2020-07-05 20:07:20.910165,1769,1646,1550,1478,58,51,155,204,219,168,1427,1345
283,526,530,530,566,403,285,300,7,79,803,125,2,2666,94,21,632,395,2022,8.3,15.4,15.5,15.5,16.5,11.8,8.3,8.8,2020-07-06 20:05:45.627059,1773,1650,1553,1481,58,51,155,204,220,169,1434,1353
285,530,532,536,567,404,285,301,7,79,802,129,2,2676,95,21,635,404,2030,8.3,15.4,15.5,15.6,16.5,11.7,8.3,8.8,2020-07-07 20:03:35.917248,1783,1656,1563,1486,58,52,155,205,220,170,1454,1362
288,537,536,538,568,405,287,301,6,81,806,132,2,2698,99,21,996,765,2046,8.3,15.5,15.5,15.5,16.4,11.7,8.3,8.7,2020-07-08 20:36:17.247499,1792,1668,1571,1494,58,52,157,206,221,174,1474,1382
290,544,540,541,573,408,288,302,6,82,809,134,2,2718,101,21,634,402,2063,8.3,15.6,15.5,15.5,16.4,11.7,8.3,8.7,2020-07-09 20:16:29.363550,1809,1677,1588,1504,59,52,158,207,221,173,1502,1399
291,547,541,544,576,407,289,304,6,82,812,137,2,2733,101,21,629,396,2079,8.3,15.6,15.5,15.5,16.5,11.6,8.3,8.7,2020-07-10 20:18:54.229917,1814,1685,1597,1513,59,52,158,208,217,172,1517,1414
300,553,540,549,576,409,290,303,6,84,814,137,2,2772,102,22,611,382,2108,8.5,15.7,15.3,15.6,16.4,11.6,8.2,8.6,2020-07-11 20:17:51.138293,1827,1693,1608,1523,60,52,159,209,219,170,1544,1428
303,559,541,551,576,411,292,306,6,84,816,138,2,2794,104,22,607,378,2127,8.6,15.8,15.3,15.6,16.3,11.6,8.3,8.6,2020-07-12 20:11:07.850583,1837,1702,1614,1529,61,53,160,211,223,173,1563,1431
309,563,542,553,579,413,293,306,6,85,821,138,2,2809,106,20,611,379,2139,8.7,15.8,15.2,15.5,16.3,11.6,8.2,8.6,2020-07-13 20:13:45.633428,1848,1710,1623,1536,61,53,161,211,225,174,1570,1438
310,564,543,553,581,413,294,308,6,87,824,140,2,2823,108,20,603,372,2147,8.7,15.8,15.2,15.5,16.3,11.6,8.2,8.6,2020-07-14 20:09:23.689659,1852,1714,1629,1539,61,53,162,211,223,175,1595,1467
314,569,543,556,581,414,293,308,6,87,826,141,2,2831,110,20,606,373,2154,8.8,15.9,15.2,15.5,16.2,11.6,8.2,8.6,2020-07-15 20:13:01.034305,1854,1724,1635,1551,61,53,162,211,219,173,1604,1475
317,574,546,556,583,417,295,310,6,91,826,142,2,2851,112,21,605,369,2171,8.8,16.0,15.2,15.5,16.2,11.6,8.2,8.6,2020-07-16 20:15:52.820541,1865,1733,1646,1561,61,53,163,211,219,172,1612,1482
322,579,554,562,589,422,298,310,6,91,836,145,2,2875,113,22,616,379,2187,8.9,15.9,15.2,15.5,16.2,11.6,8.2,8.5,2020-07-17 20:12:06.282904,1887,1749,1663,1576,62,53,163,212,224,173,1622,1492
323,582,556,562,592,A24,297,310,6,93,837,148,2,2892,115,23,606,366,2204,8.9,16.0,15.2,15.4,16.2,11.6,8.1,8.5,2020-07-18 20:29:12.379130,1891,1755,1669,1583,62,55,163,212,222,172,1637,1499
346,586,560,563,597,426,297,312,7,93,839,148,2,2907,114,25,632,393,2214,9.4,15.9,15.2,15.3,16.2,11.6,8.1,8.5,2020-07-19 20:09:34.723836,1903,1778,1678,1588,62,55,163,212,225,190,1641,1507
349,592,565,564,602,430,297,312,7,93,842,148,2,2928,114,25,635,395,2233,9.4,16.0,15.2,15.2,16.2,11.6,8.0,8.4,2020-07-20 20:12:39.035768,1914,1791,1690,1597,62,55,163,212,224,194,1649,1510
347,595,570,568,602,432,297,312,7,94,843,147,2,2946,113,25,630,392,2247,9.3,16.0,15.3,15.3,16.2,11.6,8.0,8.4,2020-07-21 21:57:10.331400,1920,1798,1699,1601,62,56,164,213,221,197,1661,1530
333,598,572,569,607,433,297,314,7,95,848,146,2,2956,115,25,621,378,2253,8.9,16.1,15.4,15.3,16.3,11.6,8.0,8.4,2020-07-22 21:51:03.734181,1928,1795,1709,1612,62,56,164,213,219,183,1675,1541
335,600,576,570,610,432,299,315,7,96,850,146,2,2974,114,25,616,376,2266,9.0,16.1,15.4,15.3,16.3,11.6,8.0,8.4,2020-07-23 19:50:46.511576,1939,1798,1717,1617,62,56,164,214,222,181,1690,1549
333,602,579,575,614,436,302,316,6,99,854,148,2,2993,114,25,616,373,2284,8.9,16.0,15.4,15.3,16.3,11.6,8.0,8.4,2020-07-24 20:23:53.339758,1948,1809,1727,1630,62,56,164,214,221,179,1700,1559
336,611,585,579,618,438,306,317,6,100,857,149,2,3017,114,26,624,374,2311,8.9,16.1,15.4,15.3,16.3,11.6,8.1,8.4,2020-07-25 20:17:48.395854,1969,1821,1745,1642,62,57,164,215,224,179,1713,1568
341,615,588,582,622,440,309,317,6,101,859,149,2,3034,115,26,631,378,2327,8.9,16.1,15.4,15.3,16.3,11.5,8.1,8.3,2020-07-26 20:19:19.213011,1986,1828,1761,1647,62,57,166,215,225,181,1716,1568
