state,stateAbbrev,date,Cases,Deaths,Age_Cases [0-19],Age_Cases [20-29],Age_Cases [30-39],Age_Cases [40-49],Age_Cases [50-59],Age_Cases [60-69],Age_Cases [70-79],Age_Cases [80+],Age_Cases [Unknown],Sex_Cases [Male],Sex_Cases [Female],Sex_Cases [Unknown],Race_Cases [American Indian/Alaska Native],Race_Cases [Asian/Pacific Islander],Race_Cases [Black/African American],Race_Cases [White],Race_Cases [Multiple Races],Race_Cases [Other],Race_Cases [Unknown],Race_Deaths [American Indian/Alaska Native],Race_Deaths [Asian/Pacific Islander],Race_Deaths [Black/African American],Race_Deaths [White],Race_Deaths [Multiple Races],Race_Deaths [Other],Race_Deaths [Unknown],Ethnicity_Cases [Hispanic/Latino],Ethnicity_Cases [Non-Hispanic Latino],Ethnicity_Cases [Unknown],Ethnicity_Deaths [Hispanic/Latino],Ethnicity_Deaths [Non-Hispanic Latino],Ethnicity_Deaths [Unknown],pullTime,Age_Deaths [0-19],Age_Deaths [20-29],Age_Deaths [30-39],Age_Deaths [40-49],Age_Deaths [50-59],Age_Deaths [60-69],Age_Deaths [70-79],Age_Deaths [80+],Age_Deaths [Unknown],Sex_Deaths [Female],Sex_Deaths [Male],Sex_Deaths [Unknown]
Michigan,MI,2020-03-21,787,5,15,70,118,157,157,149,78,47,,401,385,,,,,,,,,,,,,,,,,,,,,,2020-03-21 00:00:00,,,,,,,,,,,,
Michigan,MI,2020-03-22,1035,8,10,82,144,186,196,207,124,72,,517,517,,,,,,,,,,,,,,,,,,,,,,2020-03-22 00:00:00,,,,,,,,,,,,
Michigan,MI,2020-03-23,1328,15,13,119,185,239,252,265,159,92,,664,664,,,,,,,,,,,,,,,,,,,,,,2020-03-23 00:00:00,,,,,,,,,,,,
Michigan,MI,2020-03-24,1791,24,17,143,232,304,358,376,232,125,,931,859,,,,,,,,,,,,,,,,,,,,,,2020-03-24 00:00:00,,,,,,,,,,,,
Michigan,MI,2020-03-25,2294,43,22,183,275,389,435,481,321,183,,1169,1124,,,,,,,,,,,,,,,,,,,,,,2020-03-25 00:00:00,,,,,,,,,,,,
Michigan,MI,2020-03-26,2856,60,28,199,342,456,542,599,428,228,,1456,1399,,,,,,,,,,,,,,,,,,,,,,2020-03-26 00:00:00,,,,,,,,,,,,
Michigan,MI,2020-03-27,3657,92,36,292,475,621,694,731,511,292,,1865,1791,,,,,,,,,,,,,,,,,,,,,,2020-03-27 00:00:00,,,,,,,,,,,,
Michigan,MI,2020-03-28,3657,92,36,292,475,621,694,731,511,292,,1865,1791,,,,,,,,,,,,,,,,,,,,,,2020-03-28 00:00:00,,,,,,,,,,,,
Michigan,MI,2020-03-29,3657,92,36,292,475,621,694,731,511,292,,1865,1791,,,,,,,,,,,,,,,,,,,,,,2020-03-29 00:00:00,,,,,,,,,,,,
Michigan,MI,2020-03-30,5486,132,54,493,713,932,1097,1042,768,438,,2743,2743,,,,,,,,,,,,,,,,,,,,,,2020-03-30 00:00:00,,,,,,,,,,,,
