Date,agecat,case_status,cases,deaths,racecat,sex
2020-06-29 00:00:00,0-19,Confirmed,9,0,American Indian/Alaska Native,Female
2020-06-29 00:00:00,0-19,Probable,0,0,American Indian/Alaska Native,Female
2020-06-29 00:00:00,20-29,Confirmed,19,0,American Indian/Alaska Native,Female
2020-06-29 00:00:00,20-29,Probable,Suppressed,0,American Indian/Alaska Native,Female
2020-06-29 00:00:00,30-39,Confirmed,14,0,American Indian/Alaska Native,Female
2020-06-29 00:00:00,30-39,Probable,Suppressed,0,American Indian/Alaska Native,Female
2020-06-29 00:00:00,40-49,Confirmed,26,0,American Indian/Alaska Native,Female
2020-06-29 00:00:00,40-49,Probable,Suppressed,0,American Indian/Alaska Native,Female
2020-06-29 00:00:00,50-59,Confirmed,32,0,American Indian/Alaska Native,Female
2020-06-29 00:00:00,50-59,Probable,Suppressed,0,American Indian/Alaska Native,Female
2020-06-29 00:00:00,60-69,Confirmed,16,Suppressed,American Indian/Alaska Native,Female
2020-06-29 00:00:00,60-69,Probable,Suppressed,0,American Indian/Alaska Native,Female
2020-06-29 00:00:00,70-79,Confirmed,11,Suppressed,American Indian/Alaska Native,Female
2020-06-29 00:00:00,70-79,Probable,Suppressed,0,American Indian/Alaska Native,Female
2020-06-29 00:00:00,80+,Confirmed,Suppressed,Suppressed,American Indian/Alaska Native,Female
2020-06-29 00:00:00,80+,Probable,0,0,American Indian/Alaska Native,Female
2020-06-29 00:00:00,Unknown,Confirmed,0,0,American Indian/Alaska Native,Female
2020-06-29 00:00:00,Unknown,Probable,0,0,American Indian/Alaska Native,Female
2020-06-29 00:00:00,0-19,Confirmed,35,0,Asian/Pacific Islander,Female
2020-06-29 00:00:00,0-19,Probable,14,0,Asian/Pacific Islander,Female
2020-06-29 00:00:00,20-29,Confirmed,101,0,Asian/Pacific Islander,Female
2020-06-29 00:00:00,20-29,Probable,15,0,Asian/Pacific Islander,Female
2020-06-29 00:00:00,30-39,Confirmed,151,0,Asian/Pacific Islander,Female
2020-06-29 00:00:00,30-39,Probable,16,0,Asian/Pacific Islander,Female
