state,stateAbbrev,date,Cases,Tested,Deaths,Hospitalizations,Sex_Cases [Female],Sex_Cases [Male],Sex_Cases [Unknown],Age_Cases [0-5],Age_Cases [6-19],Age_Cases [20-44],Age_Cases [45-64],Age_Cases [65+],Race_Cases [White],Race_Cases [Black],Race_Cases [Asian],Race_Cases [Native Hawaiian/ Pacific Islander],Race_Cases [American Indian/ Alaska Native],Race_Cases [Other],Race_Cases [Unknown],Race_Deaths [White],Race_Deaths [Black],Race_Deaths [Asian],Race_Deaths [Native Hawaiian/ Pacific Islander],Race_Deaths [American Indian/ Alaska Native],Race_Deaths [Other],Race_Deaths [Unknown],Ethnicity_Cases [Hispanic],Ethnicity_Cases [Non-Hispanic],Ethnicity_Cases [Unknown],Ethnicity_Deaths [Hispanic],Ethnicity_Deaths [Non-Hispanic],Ethnicity_Deaths [Unknown],pullTime,Age_Cases [Unknown],Age_Cases [20-29],Age_Cases [30-39],Age_Cases [40-49],Age_Cases [50-59],Age_Cases [60-69],Age_Cases [70+],Age_Deaths [0-5],Age_Deaths [6-19],Age_Deaths [20-29],Age_Deaths [30-39],Age_Deaths [40-49],Age_Deaths [50-59],Age_Deaths [60-69],Age_Deaths [70+],Age_Deaths [Unknown],Race_Cases [Multiple races],Race_Deaths [Multiple races],Age_Cases [70-79],Age_Cases [80-89],Age_Cases [90-99],Age_Cases [100+],Age_Deaths [70-79],Age_Deaths [80-89],Age_Deaths [90-99],Age_Deaths [100+],Age_Cases [0-4],Age_Cases [5-9],Age_Cases [10-14],Age_Cases [15-19],Age_Cases [20-24],Age_Cases [25-29],Age_Cases [30-34],Age_Cases [35-39],Age_Cases [40-44],Age_Cases [45-49],Age_Cases [50-54],Age_Cases [55-59],Age_Cases [60-64],Age_Cases [65-69],Age_Cases [70-74],Age_Cases [75-79],Age_Cases [80-84],Age_Cases [85-89],Age_Cases [90-94],Age_Cases [95-99],Age_Deaths [0-4],Age_Deaths [5-9],Age_Deaths [10-14],Age_Deaths [15-19],Age_Deaths [20-24],Age_Deaths [25-29],Age_Deaths [30-34],Age_Deaths [35-39],Age_Deaths [40-44],Age_Deaths [45-49],Age_Deaths [50-54],Age_Deaths [55-59],Age_Deaths [60-64],Age_Deaths [65-69],Age_Deaths [70-74],Age_Deaths [75-79],Age_Deaths [80-84],Age_Deaths [85-89],Age_Deaths [90-94],Age_Deaths [95-99],"RaceEthnicity_Cases [White, non-Hispanic]","RaceEthnicity_Cases [Black, non-Hispanic]","RaceEthnicity_Cases [Asian, non-Hispanic]","RaceEthnicity_Cases [American Indian/ Alaska Native, non-Hispanic]","RaceEthnicity_Cases [Native Hawaiian/ Pacific Islander, non-Hispanic]","RaceEthnicity_Cases [Multiple races, non-Hispanic]","RaceEthnicity_Cases [Other, non-Hispanic]",RaceEthnicity_Cases [Hispanic],RaceEthnicity_Cases [Unknown/missing],"RaceEthnicity_Deaths [White, non-Hispanic]","RaceEthnicity_Deaths [Black, non-Hispanic]","RaceEthnicity_Deaths [Asian, non-Hispanic]","RaceEthnicity_Deaths [American Indian/ Alaska Native, non-Hispanic]","RaceEthnicity_Deaths [Native Hawaiian/ Pacific Islander, non-Hispanic]","RaceEthnicity_Deaths [Multiple races, non-Hispanic]","RaceEthnicity_Deaths [Other, non-Hispanic]",RaceEthnicity_Deaths [Hispanic],RaceEthnicity_Deaths [Unknown/missing]
Minnesota,MN,2020-04-06,986,28128,30,223,503,483,0,4.0,25.0,393.0,334.0,229.0,730.0,59.0,39.0,0.0,10.0,30.0,138.0,23.0,0.0,1.0,0,0.0,0.0,6.0,49.0,769.0,168.0,1.0,23.0,6.0,2020-04-06 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota,MN,2020-04-07,1069,29260,34,242,545,524,0,5.0,26.0,424.0,357.0,256.0,780.0,75.0,32.0,11.0,11.0,32.0,150.0,28.0,0.0,1.0,0,0.0,0.0,5.0,53.0,834.0,182.0,1.0,27.0,6.0,2020-04-07 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota,MN,2020-04-08,1154,30753,39,271,589,565,0,5.0,26.0,424.0,357.0,256.0,842.0,81.0,35.0,12.0,12.0,35.0,150.0,30.0,0.0,1.0,0,0.0,0.0,8.0,58.0,912.0,185.0,1.0,29.0,9.0,2020-04-08 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota,MN,2020-04-09,1242,32294,50,293,646,596,0,5.0,31.0,474.0,419.0,313.0,907.0,99.0,37.0,12.0,12.0,37.0,149.0,44.0,1.0,1.0,1,0.0,0.0,3.0,62.0,994.0,186.0,1.0,46.0,3.0,2020-04-09 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota,MN,2020-04-10,1336,33894,57,317,695,641,0,5.0,31.0,505.0,451.0,344.0,975.0,107.0,53.0,13.0,13.0,40.0,174.0,49.0,1.0,1.0,0,1.0,0.0,5.0,67.0,1069.0,200.0,1.0,50.0,6.0,2020-04-10 00:00:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota,MN,2020-04-11,1427,35404,64,340,742,685,0,6.0,33.0,528.0,474.0,386.0,1013.0,114.0,57.0,14.0,14.0,29.0,200.0,50.0,1.0,1.0,0,1.0,0.0,11.0,71.0,1127.0,228.0,2.0,50.0,12.0,2020-04-11 00:00:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota,MN,2020-04-12,1621,37421,70,361,827,778,16,16.0,32.0,584.0,551.0,454.0,1086.0,146.0,65.0,16.0,16.0,49.0,276.0,58.0,1.0,1.0,0,1.0,0.0,9.0,81.0,1232.0,308.0,2.0,58.0,10.0,2020-04-12 00:00:00,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota,MN,2020-04-13,1650,38427,70,361,825,792,33,16.0,33.0,578.0,544.0,446.0,1089.0,148.0,66.0,16.0,16.0,33.0,297.0,58.0,1.0,1.0,0,1.0,0.0,9.0,82.0,1238.0,330.0,2.0,58.0,10.0,2020-04-13 00:00:00,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota,MN,2020-04-14,1695,39241,79,405,864,831,0,17.0,34.0,593.0,576.0,475.0,1153.0,170.0,68.0,17.0,17.0,34.0,271.0,69.0,2.0,1.0,0,1.0,0.0,6.0,85.0,1322.0,288.0,2.0,70.0,6.0,2020-04-14 00:00:00,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota,MN,2020-04-15,1809,40242,87,445,941,868,0,18.0,36.0,633.0,615.0,525.0,1212.0,181.0,72.0,18.0,18.0,36.0,289.0,73.0,2.0,1.0,0,1.0,1.0,10.0,90.0,1393.0,326.0,3.0,73.0,11.0,2020-04-15 00:00:00,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
