,Age,Number_of_Cases,date
0,Under 20,43,March 31
1,20,29,March 31
2,21,35,March 31
3,22,21,March 31
4,23,18,March 31
5,24,21,March 31
6,25,16,March 31
7,26,18,March 31
8,27,16,March 31
9,28,18,March 31
10,29,20,March 31
11,30,16,March 31
12,31,13,March 31
13,32,18,March 31
14,33,18,March 31
15,34,17,March 31
16,35,20,March 31
17,36,18,March 31
18,37,16,March 31
19,38,17,March 31
20,39,17,March 31
21,40,26,March 31
22,41,16,March 31
23,42,15,March 31
24,43,22,March 31
25,44,19,March 31
26,45,21,March 31
27,46,25,March 31
28,47,20,March 31
29,48,18,March 31
30,49,35,March 31
31,50,30,March 31
32,51,26,March 31
33,52,36,March 31
34,53,25,March 31
35,54,24,March 31
36,55,24,March 31
37,56,30,March 31
38,57,27,March 31
39,58,38,March 31
40,59,28,March 31
41,60,29,March 31
42,61,23,March 31
43,62,21,March 31
44,63,21,March 31
45,64,31,March 31
46,65,21,March 31
47,66,22,March 31
48,67,15,March 31
49,68,23,March 31
50,69,6,March 31
51,70,17,March 31
52,71,17,March 31
53,72,14,March 31
54,73,12,March 31
55,74,14,March 31
56,75,12,March 31
57,76,6,March 31
58,77,11,March 31
59,78,5,March 31
60,79,6,March 31
61,80+,71,March 31
0,Under 20,47,April 1
1,20,34,April 1
2,21,38,April 1
3,22,24,April 1
4,23,20,April 1
5,24,23,April 1
6,25,17,April 1
7,26,22,April 1
8,27,21,April 1
9,28,21,April 1
10,29,25,April 1
11,30,19,April 1
12,31,16,April 1
13,32,21,April 1
14,33,20,April 1
15,34,25,April 1
16,35,21,April 1
17,36,23,April 1
18,37,20,April 1
19,38,19,April 1
20,39,20,April 1
21,40,32,April 1
22,41,19,April 1
23,42,17,April 1
24,43,24,April 1
25,44,28,April 1
26,45,25,April 1
27,46,28,April 1
28,47,25,April 1
29,48,21,April 1
30,49,38,April 1
31,50,38,April 1
32,51,34,April 1
33,52,38,April 1
34,53,30,April 1
35,54,32,April 1
36,55,25,April 1
37,56,33,April 1
38,57,28,April 1
39,58,44,April 1
40,59,33,April 1
41,60,37,April 1
42,61,30,April 1
43,62,26,April 1
44,63,24,April 1
45,64,35,April 1
46,65,27,April 1
47,66,27,April 1
48,67,24,April 1
49,68,30,April 1
50,69,6,April 1
51,70,21,April 1
52,71,22,April 1
53,72,17,April 1
54,73,15,April 1
55,74,18,April 1
56,75,12,April 1
57,76,9,April 1
58,77,14,April 1
59,78,5,April 1
60,79,7,April 1
61,80+,87,April 1
0,Under 20,51,April 2
1,20,38,April 2
2,21,41,April 2
3,22,27,April 2
4,23,23,April 2
5,24,25,April 2
6,25,19,April 2
7,26,27,April 2
8,27,23,April 2
9,28,25,April 2
10,29,30,April 2
11,30,22,April 2
12,31,21,April 2
13,32,28,April 2
14,33,26,April 2
15,34,26,April 2
16,35,25,April 2
17,36,24,April 2
18,37,24,April 2
19,38,20,April 2
20,39,20,April 2
21,40,38,April 2
22,41,23,April 2
23,42,21,April 2
24,43,25,April 2
25,44,34,April 2
26,45,30,April 2
27,46,30,April 2
28,47,27,April 2
29,48,25,April 2
30,49,45,April 2
31,50,40,April 2
32,51,39,April 2
33,52,43,April 2
34,53,35,April 2
35,54,34,April 2
36,55,30,April 2
37,56,37,April 2
38,57,33,April 2
39,58,50,April 2
40,59,35,April 2
41,60,41,April 2
42,61,34,April 2
43,62,36,April 2
44,63,30,April 2
45,64,38,April 2
46,65,33,April 2
47,66,34,April 2
48,67,33,April 2
49,68,32,April 2
50,69,12,April 2
51,70,26,April 2
52,71,23,April 2
53,72,20,April 2
54,73,16,April 2
55,74,24,April 2
56,75,15,April 2
57,76,11,April 2
58,77,16,April 2
59,78,9,April 2
60,79,11,April 2
61,80+,101,April 2
0,Under 20,53,April 3
1,20,39,April 3
2,21,41,April 3
3,22,32,April 3
4,23,26,April 3
5,24,29,April 3
6,25,22,April 3
7,26,31,April 3
8,27,27,April 3
9,28,29,April 3
10,29,32,April 3
11,30,28,April 3
12,31,25,April 3
13,32,32,April 3
14,33,28,April 3
15,34,31,April 3
16,35,28,April 3
17,36,27,April 3
18,37,31,April 3
19,38,24,April 3
20,39,24,April 3
21,40,43,April 3
22,41,26,April 3
23,42,29,April 3
24,43,30,April 3
25,44,36,April 3
26,45,32,April 3
27,46,33,April 3
28,47,32,April 3
29,48,32,April 3
30,49,50,April 3
31,50,45,April 3
32,51,46,April 3
33,52,50,April 3
34,53,45,April 3
35,54,38,April 3
36,55,35,April 3
37,56,44,April 3
38,57,42,April 3
39,58,62,April 3
40,59,43,April 3
41,60,44,April 3
42,61,42,April 3
43,62,39,April 3
44,63,33,April 3
45,64,45,April 3
46,65,37,April 3
47,66,36,April 3
48,67,42,April 3
49,68,38,April 3
50,69,14,April 3
51,70,28,April 3
52,71,27,April 3
53,72,21,April 3
54,73,18,April 3
55,74,26,April 3
56,75,16,April 3
57,76,15,April 3
58,77,20,April 3
59,78,11,April 3
60,79,13,April 3
61,80+,116,April 3
0,Under 20,54,April 4
1,20,39,April 4
2,21,43,April 4
3,22,36,April 4
4,23,29,April 4
5,24,32,April 4
6,25,22,April 4
7,26,35,April 4
8,27,28,April 4
9,28,32,April 4
10,29,41,April 4
11,30,29,April 4
12,31,28,April 4
13,32,32,April 4
14,33,29,April 4
15,34,32,April 4
16,35,32,April 4
17,36,32,April 4
18,37,32,April 4
19,38,26,April 4
20,39,26,April 4
21,40,44,April 4
22,41,30,April 4
23,42,32,April 4
24,43,32,April 4
25,44,36,April 4
26,45,33,April 4
27,46,36,April 4
28,47,34,April 4
29,48,35,April 4
30,49,55,April 4
31,50,49,April 4
32,51,48,April 4
33,52,51,April 4
34,53,49,April 4
35,54,43,April 4
36,55,38,April 4
37,56,48,April 4
38,57,48,April 4
39,58,68,April 4
40,59,50,April 4
41,60,48,April 4
42,61,45,April 4
43,62,42,April 4
44,63,37,April 4
45,64,50,April 4
46,65,39,April 4
47,66,38,April 4
48,67,44,April 4
49,68,44,April 4
50,69,15,April 4
51,70,29,April 4
52,71,31,April 4
53,72,22,April 4
54,73,20,April 4
55,74,27,April 4
56,75,20,April 4
57,76,16,April 4
58,77,22,April 4
59,78,13,April 4
60,79,14,April 4
61,80+,125,April 4
62,Unknown,2,April 4
,Age,Number_of_Cases,date
0,Under 20,56,April 5
1,20,40,April 5
2,21,46,April 5
3,22,36,April 5
4,23,32,April 5
5,24,32,April 5
6,25,23,April 5
7,26,35,April 5
8,27,28,April 5
9,28,33,April 5
10,29,44,April 5
11,30,30,April 5
12,31,29,April 5
13,32,34,April 5
14,33,31,April 5
15,34,35,April 5
16,35,32,April 5
17,36,33,April 5
18,37,33,April 5
19,38,25,April 5
20,39,26,April 5
21,40,45,April 5
22,41,32,April 5
23,42,33,April 5
24,43,31,April 5
25,44,37,April 5
26,45,35,April 5
27,46,38,April 5
28,47,36,April 5
29,48,35,April 5
30,49,55,April 5
31,50,50,April 5
32,51,49,April 5
33,52,52,April 5
34,53,49,April 5
35,54,43,April 5
36,55,39,April 5
37,56,49,April 5
38,57,47,April 5
39,58,71,April 5
40,59,53,April 5
41,60,50,April 5
42,61,45,April 5
43,62,44,April 5
44,63,39,April 5
45,64,52,April 5
46,65,40,April 5
47,66,38,April 5
48,67,45,April 5
49,68,43,April 5
50,69,17,April 5
51,70,30,April 5
52,71,34,April 5
53,72,24,April 5
54,73,22,April 5
55,74,27,April 5
56,75,21,April 5
57,76,16,April 5
58,77,22,April 5
59,78,14,April 5
60,79,14,April 5
61,80+,134,April 5
62,Unknown,4,April 5
,Age,Number_of_Cases,date
0,Under 20,56,April 5
1,20,40,April 5
2,21,46,April 5
3,22,36,April 5
4,23,32,April 5
5,24,32,April 5
6,25,23,April 5
7,26,35,April 5
8,27,28,April 5
9,28,33,April 5
10,29,44,April 5
11,30,30,April 5
12,31,29,April 5
13,32,34,April 5
14,33,31,April 5
15,34,35,April 5
16,35,32,April 5
17,36,33,April 5
18,37,33,April 5
19,38,25,April 5
20,39,26,April 5
21,40,45,April 5
22,41,32,April 5
23,42,33,April 5
24,43,31,April 5
25,44,37,April 5
26,45,35,April 5
27,46,38,April 5
28,47,36,April 5
29,48,35,April 5
30,49,55,April 5
31,50,50,April 5
32,51,49,April 5
33,52,52,April 5
34,53,49,April 5
35,54,43,April 5
36,55,39,April 5
37,56,49,April 5
38,57,47,April 5
39,58,71,April 5
40,59,53,April 5
41,60,50,April 5
42,61,45,April 5
43,62,44,April 5
44,63,39,April 5
45,64,52,April 5
46,65,40,April 5
47,66,38,April 5
48,67,45,April 5
49,68,43,April 5
50,69,17,April 5
51,70,30,April 5
52,71,34,April 5
53,72,24,April 5
54,73,22,April 5
55,74,27,April 5
56,75,21,April 5
57,76,16,April 5
58,77,22,April 5
59,78,14,April 5
60,79,14,April 5
61,80+,134,April 5
62,Unknown,4,April 5
0,Under 20,63,April 6
1,20,44,April 6
2,21,49,April 6
3,22,40,April 6
4,23,32,April 6
5,24,36,April 6
6,25,28,April 6
7,26,38,April 6
8,27,33,April 6
9,28,37,April 6
10,29,47,April 6
11,30,39,April 6
12,31,32,April 6
13,32,36,April 6
14,33,32,April 6
15,34,36,April 6
16,35,37,April 6
17,36,40,April 6
18,37,36,April 6
19,38,27,April 6
20,39,31,April 6
21,40,52,April 6
22,41,34,April 6
23,42,40,April 6
24,43,39,April 6
25,44,47,April 6
26,45,41,April 6
27,46,45,April 6
28,47,41,April 6
29,48,39,April 6
30,49,64,April 6
31,50,57,April 6
32,51,58,April 6
33,52,60,April 6
34,53,60,April 6
35,54,50,April 6
36,55,49,April 6
37,56,55,April 6
38,57,52,April 6
39,58,84,April 6
40,59,62,April 6
41,60,63,April 6
42,61,54,April 6
43,62,55,April 6
44,63,46,April 6
45,64,59,April 6
46,65,48,April 6
47,66,47,April 6
48,67,50,April 6
49,68,47,April 6
50,69,23,April 6
51,70,34,April 6
52,71,36,April 6
53,72,28,April 6
54,73,25,April 6
55,74,30,April 6
56,75,23,April 6
57,76,21,April 6
58,77,25,April 6
59,78,16,April 6
60,79,18,April 6
61,80+,149,April 6
62,Unknown,3,April 6
0,Under 20,76,April 7
1,20,47,April 7
2,21,50,April 7
3,22,40,April 7
4,23,37,April 7
5,24,38,April 7
6,25,34,April 7
7,26,42,April 7
8,27,39,April 7
9,28,42,April 7
10,29,54,April 7
11,30,43,April 7
12,31,39,April 7
13,32,38,April 7
14,33,36,April 7
15,34,37,April 7
16,35,46,April 7
17,36,42,April 7
18,37,40,April 7
19,38,30,April 7
20,39,33,April 7
21,40,56,April 7
22,41,34,April 7
23,42,44,April 7
24,43,48,April 7
25,44,51,April 7
26,45,47,April 7
27,46,48,April 7
28,47,47,April 7
29,48,46,April 7
30,49,72,April 7
31,50,62,April 7
32,51,64,April 7
33,52,66,April 7
34,53,71,April 7
35,54,59,April 7
36,55,56,April 7
37,56,59,April 7
38,57,63,April 7
39,58,93,April 7
40,59,66,April 7
41,60,69,April 7
42,61,65,April 7
43,62,60,April 7
44,63,52,April 7
45,64,61,April 7
46,65,54,April 7
47,66,56,April 7
48,67,49,April 7
49,68,51,April 7
50,69,27,April 7
51,70,36,April 7
52,71,41,April 7
53,72,37,April 7
54,73,30,April 7
55,74,29,April 7
56,75,28,April 7
57,76,23,April 7
58,77,26,April 7
59,78,18,April 7
60,79,18,April 7
61,80+,169,April 7
62,Unknown,3,April 7
0,Under 20,82,April 8
1,20,50,April 8
2,21,51,April 8
3,22,42,April 8
4,23,40,April 8
5,24,42,April 8
6,25,35,April 8
7,26,48,April 8
8,27,44,April 8
9,28,44,April 8
10,29,58,April 8
11,30,44,April 8
12,31,43,April 8
13,32,44,April 8
14,33,39,April 8
15,34,38,April 8
16,35,49,April 8
17,36,48,April 8
18,37,42,April 8
19,38,33,April 8
20,39,35,April 8
21,40,57,April 8
22,41,38,April 8
23,42,45,April 8
24,43,53,April 8
25,44,56,April 8
26,45,50,April 8
27,46,55,April 8
28,47,51,April 8
29,48,50,April 8
30,49,77,April 8
31,50,67,April 8
32,51,67,April 8
33,52,70,April 8
34,53,77,April 8
35,54,62,April 8
36,55,66,April 8
37,56,62,April 8
38,57,65,April 8
39,58,98,April 8
40,59,72,April 8
41,60,72,April 8
42,61,72,April 8
43,62,65,April 8
44,63,55,April 8
45,64,70,April 8
46,65,60,April 8
47,66,60,April 8
48,67,57,April 8
49,68,54,April 8
50,69,31,April 8
51,70,44,April 8
52,71,50,April 8
53,72,41,April 8
54,73,34,April 8
55,74,33,April 8
56,75,33,April 8
57,76,26,April 8
58,77,32,April 8
59,78,20,April 8
60,79,21,April 8
61,80+,205,April 8
62,Unknown,3,April 8
0,Under 20,81,April 9
1,20,49,April 9
2,21,51,April 9
3,22,44,April 9
4,23,42,April 9
5,24,44,April 9
6,25,38,April 9
7,26,51,April 9
8,27,45,April 9
9,28,46,April 9
10,29,64,April 9
11,30,45,April 9
12,31,49,April 9
13,32,46,April 9
14,33,42,April 9
15,34,42,April 9
16,35,54,April 9
17,36,49,April 9
18,37,44,April 9
19,38,38,April 9
20,39,38,April 9
21,40,60,April 9
22,41,39,April 9
23,42,50,April 9
24,43,56,April 9
25,44,58,April 9
26,45,55,April 9
27,46,59,April 9
28,47,53,April 9
29,48,55,April 9
30,49,79,April 9
31,50,70,April 9
32,51,70,April 9
33,52,73,April 9
34,53,81,April 9
35,54,64,April 9
36,55,71,April 9
37,56,68,April 9
38,57,71,April 9
39,58,99,April 9
40,59,77,April 9
41,60,75,April 9
42,61,81,April 9
43,62,67,April 9
44,63,62,April 9
45,64,75,April 9
46,65,63,April 9
47,66,64,April 9
48,67,63,April 9
49,68,59,April 9
50,69,34,April 9
51,70,45,April 9
52,71,52,April 9
53,72,45,April 9
54,73,37,April 9
55,74,33,April 9
56,75,34,April 9
57,76,30,April 9
58,77,32,April 9
59,78,22,April 9
60,79,21,April 9
61,80+,232,April 9
62,Unknown,3,April 9
0,Under 20,87,April 10
1,20,52,April 10
2,21,52,April 10
3,22,47,April 10
4,23,48,April 10
5,24,54,April 10
6,25,41,April 10
7,26,52,April 10
8,27,50,April 10
9,28,51,April 10
10,29,71,April 10
11,30,49,April 10
12,31,54,April 10
13,32,48,April 10
14,33,46,April 10
15,34,44,April 10
16,35,56,April 10
17,36,53,April 10
18,37,46,April 10
19,38,39,April 10
20,39,41,April 10
21,40,64,April 10
22,41,43,April 10
23,42,52,April 10
24,43,60,April 10
25,44,65,April 10
26,45,57,April 10
27,46,64,April 10
28,47,58,April 10
29,48,65,April 10
30,49,85,April 10
31,50,78,April 10
32,51,75,April 10
33,52,77,April 10
34,53,86,April 10
35,54,67,April 10
36,55,77,April 10
37,56,74,April 10
38,57,78,April 10
39,58,106,April 10
40,59,81,April 10
41,60,78,April 10
42,61,84,April 10
43,62,73,April 10
44,63,67,April 10
45,64,77,April 10
46,65,65,April 10
47,66,68,April 10
48,67,66,April 10
49,68,65,April 10
50,69,42,April 10
51,70,48,April 10
52,71,53,April 10
53,72,49,April 10
54,73,38,April 10
55,74,35,April 10
56,75,39,April 10
57,76,31,April 10
58,77,34,April 10
59,78,24,April 10
60,79,22,April 10
61,80+,245,April 10
62,Unknown,3,April 10
0,Under 20,94,April 11
1,20,56,April 11
2,21,53,April 11
3,22,49,April 11
4,23,51,April 11
5,24,56,April 11
6,25,43,April 11
7,26,55,April 11
8,27,53,April 11
9,28,54,April 11
10,29,74,April 11
11,30,54,April 11
12,31,55,April 11
13,32,51,April 11
14,33,48,April 11
15,34,47,April 11
16,35,58,April 11
17,36,60,April 11
18,37,48,April 11
19,38,43,April 11
20,39,47,April 11
21,40,69,April 11
22,41,45,April 11
23,42,58,April 11
24,43,62,April 11
25,44,67,April 11
26,45,61,April 11
27,46,68,April 11
28,47,64,April 11
29,48,73,April 11
30,49,90,April 11
31,50,82,April 11
32,51,79,April 11
33,52,81,April 11
34,53,88,April 11
35,54,76,April 11
36,55,81,April 11
37,56,78,April 11
38,57,83,April 11
39,58,111,April 11
40,59,87,April 11
41,60,80,April 11
42,61,93,April 11
43,62,75,April 11
44,63,71,April 11
45,64,79,April 11
46,65,69,April 11
47,66,74,April 11
48,67,67,April 11
49,68,65,April 11
50,69,42,April 11
51,70,50,April 11
52,71,55,April 11
53,72,55,April 11
54,73,39,April 11
55,74,35,April 11
56,75,39,April 11
57,76,33,April 11
58,77,36,April 11
59,78,24,April 11
60,79,29,April 11
61,80+,259,April 11
62,Unknown,3,April 11
0,Under 20,95,April 12
1,20,56,April 12
2,21,54,April 12
3,22,49,April 12
4,23,52,April 12
5,24,58,April 12
6,25,44,April 12
7,26,56,April 12
8,27,55,April 12
9,28,58,April 12
10,29,77,April 12
11,30,57,April 12
12,31,57,April 12
13,32,51,April 12
14,33,48,April 12
15,34,49,April 12
16,35,58,April 12
17,36,63,April 12
18,37,50,April 12
19,38,44,April 12
20,39,49,April 12
21,40,70,April 12
22,41,45,April 12
23,42,62,April 12
24,43,64,April 12
25,44,68,April 12
26,45,63,April 12
27,46,69,April 12
28,47,67,April 12
29,48,76,April 12
30,49,93,April 12
31,50,85,April 12
32,51,83,April 12
33,52,83,April 12
34,53,89,April 12
35,54,79,April 12
36,55,83,April 12
37,56,79,April 12
38,57,85,April 12
39,58,115,April 12
40,59,88,April 12
41,60,87,April 12
42,61,95,April 12
43,62,79,April 12
44,63,74,April 12
45,64,82,April 12
46,65,72,April 12
47,66,77,April 12
48,67,70,April 12
49,68,66,April 12
50,69,43,April 12
51,70,52,April 12
52,71,59,April 12
53,72,56,April 12
54,73,41,April 12
55,74,35,April 12
56,75,41,April 12
57,76,34,April 12
58,77,38,April 12
59,78,27,April 12
60,79,29,April 12
61,80+,274,April 12
62,Unknown,3,April 12
,Age,Number_of_Cases,date
0,Under 20,100,April 13
1,20,57,April 13
2,21,55,April 13
3,22,55,April 13
4,23,56,April 13
5,24,58,April 13
6,25,47,April 13
7,26,56,April 13
8,27,58,April 13
9,28,62,April 13
10,29,78,April 13
11,30,63,April 13
12,31,59,April 13
13,32,54,April 13
14,33,51,April 13
15,34,53,April 13
16,35,59,April 13
17,36,68,April 13
18,37,52,April 13
19,38,49,April 13
20,39,52,April 13
21,40,75,April 13
22,41,49,April 13
23,42,65,April 13
24,43,69,April 13
25,44,70,April 13
26,45,67,April 13
27,46,69,April 13
28,47,73,April 13
29,48,77,April 13
30,49,96,April 13
31,50,92,April 13
32,51,87,April 13
33,52,84,April 13
34,53,94,April 13
35,54,82,April 13
36,55,86,April 13
37,56,80,April 13
38,57,85,April 13
39,58,118,April 13
40,59,90,April 13
41,60,95,April 13
42,61,102,April 13
43,62,84,April 13
44,63,77,April 13
45,64,87,April 13
46,65,77,April 13
47,66,80,April 13
48,67,73,April 13
49,68,72,April 13
50,69,44,April 13
51,70,57,April 13
52,71,64,April 13
53,72,56,April 13
54,73,43,April 13
55,74,37,April 13
56,75,45,April 13
57,76,38,April 13
58,77,41,April 13
59,78,30,April 13
60,79,31,April 13
61,80+,301,April 13
62,Unknown,4,April 13
,Age,Number_of_Cases,date
0,Under 20,100,April 13
1,20,57,April 13
2,21,55,April 13
3,22,55,April 13
4,23,56,April 13
5,24,58,April 13
6,25,47,April 13
7,26,56,April 13
8,27,58,April 13
9,28,62,April 13
10,29,78,April 13
11,30,63,April 13
12,31,59,April 13
13,32,54,April 13
14,33,51,April 13
15,34,53,April 13
16,35,59,April 13
17,36,68,April 13
18,37,52,April 13
19,38,49,April 13
20,39,52,April 13
21,40,75,April 13
22,41,49,April 13
23,42,65,April 13
24,43,69,April 13
25,44,70,April 13
26,45,67,April 13
27,46,69,April 13
28,47,73,April 13
29,48,77,April 13
30,49,96,April 13
31,50,92,April 13
32,51,87,April 13
33,52,84,April 13
34,53,94,April 13
35,54,82,April 13
36,55,86,April 13
37,56,80,April 13
38,57,85,April 13
39,58,118,April 13
40,59,90,April 13
41,60,95,April 13
42,61,102,April 13
43,62,84,April 13
44,63,77,April 13
45,64,87,April 13
46,65,77,April 13
47,66,80,April 13
48,67,73,April 13
49,68,72,April 13
50,69,44,April 13
51,70,57,April 13
52,71,64,April 13
53,72,56,April 13
54,73,43,April 13
55,74,37,April 13
56,75,45,April 13
57,76,38,April 13
58,77,41,April 13
59,78,30,April 13
60,79,31,April 13
61,80+,301,April 13
62,Unknown,4,April 13
0,Under 20,100,April 13
1,20,57,April 13
2,21,55,April 13
3,22,55,April 13
4,23,56,April 13
5,24,58,April 13
6,25,47,April 13
7,26,56,April 13
8,27,58,April 13
9,28,62,April 13
10,29,78,April 13
11,30,63,April 13
12,31,59,April 13
13,32,54,April 13
14,33,51,April 13
15,34,53,April 13
16,35,59,April 13
17,36,68,April 13
18,37,52,April 13
19,38,49,April 13
20,39,52,April 13
21,40,75,April 13
22,41,49,April 13
23,42,65,April 13
24,43,69,April 13
25,44,70,April 13
26,45,67,April 13
27,46,69,April 13
28,47,73,April 13
29,48,77,April 13
30,49,96,April 13
31,50,92,April 13
32,51,87,April 13
33,52,84,April 13
34,53,94,April 13
35,54,82,April 13
36,55,86,April 13
37,56,80,April 13
38,57,85,April 13
39,58,118,April 13
40,59,90,April 13
41,60,95,April 13
42,61,102,April 13
43,62,84,April 13
