,Age,Number_of_Cases,date
0,Under 20,43,31-Mar
1,20,29,31-Mar
2,21,35,31-Mar
3,22,21,31-Mar
4,23,18,31-Mar
5,24,21,31-Mar
6,25,16,31-Mar
7,26,18,31-Mar
8,27,16,31-Mar
9,28,18,31-Mar
10,29,20,31-Mar
11,30,16,31-Mar
12,31,13,31-Mar
13,32,18,31-Mar
14,33,18,31-Mar
15,34,17,31-Mar
16,35,20,31-Mar
17,36,18,31-Mar
18,37,16,31-Mar
19,38,17,31-Mar
20,39,17,31-Mar
21,40,26,31-Mar
22,41,16,31-Mar
23,42,15,31-Mar
24,43,22,31-Mar
25,44,19,31-Mar
26,45,21,31-Mar
27,46,25,31-Mar
28,47,20,31-Mar
29,48,18,31-Mar
30,49,35,31-Mar
31,50,30,31-Mar
32,51,26,31-Mar
33,52,36,31-Mar
34,53,25,31-Mar
35,54,24,31-Mar
36,55,24,31-Mar
37,56,30,31-Mar
38,57,27,31-Mar
39,58,38,31-Mar
40,59,28,31-Mar
41,60,29,31-Mar
42,61,23,31-Mar
43,62,21,31-Mar
44,63,21,31-Mar
45,64,31,31-Mar
46,65,21,31-Mar
47,66,22,31-Mar
48,67,15,31-Mar
49,68,23,31-Mar
50,69,6,31-Mar
51,70,17,31-Mar
52,71,17,31-Mar
53,72,14,31-Mar
54,73,12,31-Mar
55,74,14,31-Mar
56,75,12,31-Mar
57,76,6,31-Mar
58,77,11,31-Mar
59,78,5,31-Mar
60,79,6,31-Mar
61,80+,71,31-Mar
0,Under 20,47,1-Apr
1,20,34,1-Apr
2,21,38,1-Apr
3,22,24,1-Apr
4,23,20,1-Apr
5,24,23,1-Apr
6,25,17,1-Apr
7,26,22,1-Apr
8,27,21,1-Apr
9,28,21,1-Apr
10,29,25,1-Apr
11,30,19,1-Apr
12,31,16,1-Apr
13,32,21,1-Apr
14,33,20,1-Apr
15,34,25,1-Apr
16,35,21,1-Apr
17,36,23,1-Apr
18,37,20,1-Apr
19,38,19,1-Apr
20,39,20,1-Apr
21,40,32,1-Apr
22,41,19,1-Apr
23,42,17,1-Apr
24,43,24,1-Apr
25,44,28,1-Apr
26,45,25,1-Apr
27,46,28,1-Apr
28,47,25,1-Apr
29,48,21,1-Apr
30,49,38,1-Apr
31,50,38,1-Apr
32,51,34,1-Apr
33,52,38,1-Apr
34,53,30,1-Apr
35,54,32,1-Apr
36,55,25,1-Apr
37,56,33,1-Apr
38,57,28,1-Apr
39,58,44,1-Apr
40,59,33,1-Apr
41,60,37,1-Apr
42,61,30,1-Apr
43,62,26,1-Apr
44,63,24,1-Apr
45,64,35,1-Apr
46,65,27,1-Apr
47,66,27,1-Apr
48,67,24,1-Apr
49,68,30,1-Apr
50,69,6,1-Apr
51,70,21,1-Apr
52,71,22,1-Apr
53,72,17,1-Apr
54,73,15,1-Apr
55,74,18,1-Apr
56,75,12,1-Apr
57,76,9,1-Apr
58,77,14,1-Apr
59,78,5,1-Apr
60,79,7,1-Apr
61,80+,87,1-Apr
0,Under 20,51,2-Apr
1,20,38,2-Apr
2,21,41,2-Apr
3,22,27,2-Apr
4,23,23,2-Apr
5,24,25,2-Apr
6,25,19,2-Apr
7,26,27,2-Apr
8,27,23,2-Apr
9,28,25,2-Apr
10,29,30,2-Apr
11,30,22,2-Apr
12,31,21,2-Apr
13,32,28,2-Apr
14,33,26,2-Apr
15,34,26,2-Apr
16,35,25,2-Apr
17,36,24,2-Apr
18,37,24,2-Apr
19,38,20,2-Apr
20,39,20,2-Apr
21,40,38,2-Apr
22,41,23,2-Apr
23,42,21,2-Apr
24,43,25,2-Apr
25,44,34,2-Apr
26,45,30,2-Apr
27,46,30,2-Apr
28,47,27,2-Apr
29,48,25,2-Apr
30,49,45,2-Apr
31,50,40,2-Apr
32,51,39,2-Apr
33,52,43,2-Apr
34,53,35,2-Apr
35,54,34,2-Apr
36,55,30,2-Apr
37,56,37,2-Apr
38,57,33,2-Apr
39,58,50,2-Apr
40,59,35,2-Apr
41,60,41,2-Apr
42,61,34,2-Apr
43,62,36,2-Apr
44,63,30,2-Apr
45,64,38,2-Apr
46,65,33,2-Apr
47,66,34,2-Apr
48,67,33,2-Apr
49,68,32,2-Apr
50,69,12,2-Apr
51,70,26,2-Apr
52,71,23,2-Apr
53,72,20,2-Apr
54,73,16,2-Apr
55,74,24,2-Apr
56,75,15,2-Apr
57,76,11,2-Apr
58,77,16,2-Apr
59,78,9,2-Apr
60,79,11,2-Apr
61,80+,101,2-Apr
0,Under 20,53,3-Apr
1,20,39,3-Apr
2,21,41,3-Apr
3,22,32,3-Apr
4,23,26,3-Apr
5,24,29,3-Apr
6,25,22,3-Apr
7,26,31,3-Apr
8,27,27,3-Apr
9,28,29,3-Apr
10,29,32,3-Apr
11,30,28,3-Apr
12,31,25,3-Apr
13,32,32,3-Apr
14,33,28,3-Apr
15,34,31,3-Apr
16,35,28,3-Apr
17,36,27,3-Apr
18,37,31,3-Apr
19,38,24,3-Apr
20,39,24,3-Apr
21,40,43,3-Apr
22,41,26,3-Apr
23,42,29,3-Apr
24,43,30,3-Apr
25,44,36,3-Apr
26,45,32,3-Apr
27,46,33,3-Apr
28,47,32,3-Apr
29,48,32,3-Apr
30,49,50,3-Apr
31,50,45,3-Apr
32,51,46,3-Apr
33,52,50,3-Apr
34,53,45,3-Apr
35,54,38,3-Apr
36,55,35,3-Apr
37,56,44,3-Apr
38,57,42,3-Apr
39,58,62,3-Apr
40,59,43,3-Apr
41,60,44,3-Apr
42,61,42,3-Apr
43,62,39,3-Apr
44,63,33,3-Apr
45,64,45,3-Apr
46,65,37,3-Apr
47,66,36,3-Apr
48,67,42,3-Apr
49,68,38,3-Apr
50,69,14,3-Apr
51,70,28,3-Apr
52,71,27,3-Apr
53,72,21,3-Apr
54,73,18,3-Apr
55,74,26,3-Apr
56,75,16,3-Apr
57,76,15,3-Apr
58,77,20,3-Apr
59,78,11,3-Apr
60,79,13,3-Apr
61,80+,116,3-Apr
0,Under 20,54,4-Apr
1,20,39,4-Apr
2,21,43,4-Apr
3,22,36,4-Apr
4,23,29,4-Apr
5,24,32,4-Apr
6,25,22,4-Apr
7,26,35,4-Apr
8,27,28,4-Apr
9,28,32,4-Apr
10,29,41,4-Apr
11,30,29,4-Apr
12,31,28,4-Apr
13,32,32,4-Apr
14,33,29,4-Apr
15,34,32,4-Apr
16,35,32,4-Apr
17,36,32,4-Apr
18,37,32,4-Apr
19,38,26,4-Apr
20,39,26,4-Apr
21,40,44,4-Apr
22,41,30,4-Apr
23,42,32,4-Apr
24,43,32,4-Apr
25,44,36,4-Apr
26,45,33,4-Apr
27,46,36,4-Apr
28,47,34,4-Apr
29,48,35,4-Apr
30,49,55,4-Apr
31,50,49,4-Apr
32,51,48,4-Apr
33,52,51,4-Apr
34,53,49,4-Apr
35,54,43,4-Apr
36,55,38,4-Apr
37,56,48,4-Apr
38,57,48,4-Apr
39,58,68,4-Apr
40,59,50,4-Apr
41,60,48,4-Apr
42,61,45,4-Apr
43,62,42,4-Apr
44,63,37,4-Apr
45,64,50,4-Apr
46,65,39,4-Apr
47,66,38,4-Apr
48,67,44,4-Apr
49,68,44,4-Apr
50,69,15,4-Apr
51,70,29,4-Apr
52,71,31,4-Apr
53,72,22,4-Apr
54,73,20,4-Apr
55,74,27,4-Apr
56,75,20,4-Apr
57,76,16,4-Apr
58,77,22,4-Apr
59,78,13,4-Apr
60,79,14,4-Apr
61,80+,125,4-Apr
62,Unknown,2,4-Apr
,Age,Number_of_Cases,date
0,Under 20,56,5-Apr
1,20,40,5-Apr
2,21,46,5-Apr
3,22,36,5-Apr
4,23,32,5-Apr
5,24,32,5-Apr
6,25,23,5-Apr
7,26,35,5-Apr
8,27,28,5-Apr
9,28,33,5-Apr
10,29,44,5-Apr
11,30,30,5-Apr
12,31,29,5-Apr
13,32,34,5-Apr
14,33,31,5-Apr
15,34,35,5-Apr
16,35,32,5-Apr
17,36,33,5-Apr
18,37,33,5-Apr
19,38,25,5-Apr
20,39,26,5-Apr
21,40,45,5-Apr
22,41,32,5-Apr
23,42,33,5-Apr
24,43,31,5-Apr
25,44,37,5-Apr
26,45,35,5-Apr
27,46,38,5-Apr
28,47,36,5-Apr
29,48,35,5-Apr
30,49,55,5-Apr
31,50,50,5-Apr
32,51,49,5-Apr
33,52,52,5-Apr
34,53,49,5-Apr
35,54,43,5-Apr
36,55,39,5-Apr
37,56,49,5-Apr
38,57,47,5-Apr
39,58,71,5-Apr
40,59,53,5-Apr
41,60,50,5-Apr
42,61,45,5-Apr
43,62,44,5-Apr
44,63,39,5-Apr
45,64,52,5-Apr
46,65,40,5-Apr
47,66,38,5-Apr
48,67,45,5-Apr
49,68,43,5-Apr
50,69,17,5-Apr
51,70,30,5-Apr
52,71,34,5-Apr
53,72,24,5-Apr
54,73,22,5-Apr
55,74,27,5-Apr
56,75,21,5-Apr
57,76,16,5-Apr
58,77,22,5-Apr
59,78,14,5-Apr
60,79,14,5-Apr
61,80+,134,5-Apr
62,Unknown,4,5-Apr
,Age,Number_of_Cases,date
0,Under 20,56,5-Apr
1,20,40,5-Apr
2,21,46,5-Apr
3,22,36,5-Apr
4,23,32,5-Apr
5,24,32,5-Apr
6,25,23,5-Apr
7,26,35,5-Apr
8,27,28,5-Apr
9,28,33,5-Apr
10,29,44,5-Apr
11,30,30,5-Apr
12,31,29,5-Apr
13,32,34,5-Apr
14,33,31,5-Apr
15,34,35,5-Apr
16,35,32,5-Apr
17,36,33,5-Apr
18,37,33,5-Apr
19,38,25,5-Apr
20,39,26,5-Apr
21,40,45,5-Apr
22,41,32,5-Apr
23,42,33,5-Apr
24,43,31,5-Apr
25,44,37,5-Apr
26,45,35,5-Apr
27,46,38,5-Apr
28,47,36,5-Apr
29,48,35,5-Apr
30,49,55,5-Apr
31,50,50,5-Apr
32,51,49,5-Apr
33,52,52,5-Apr
34,53,49,5-Apr
35,54,43,5-Apr
36,55,39,5-Apr
37,56,49,5-Apr
38,57,47,5-Apr
