County Name,Scrape Time,Total Cases,Total Deaths
Shelby,2020-05-24 18:35:42.946138,1,0
Warren,2020-05-24 18:35:42.946138,26,0
St Clair,2020-05-24 18:35:42.946138,2,0
Shannon,2020-05-24 18:35:42.946138,0,0
Pemiscot,2020-05-24 18:35:42.946138,72,4
Ralls,2020-05-24 18:35:42.946138,2,0
Pulaski,2020-05-24 18:35:42.946138,33,1
Harrison,2020-05-24 18:35:42.946138,8,0
Grundy,2020-05-24 18:35:42.946138,2,0
Oregon,2020-05-24 18:35:42.946138,2,0
Dade,2020-05-24 18:35:42.946138,0,0
Scotland,2020-05-24 18:35:42.946138,4,0
Cass,2020-05-24 18:35:42.946138,79,7
Wayne,2020-05-24 18:35:42.946138,0,0
Hickory,2020-05-24 18:35:42.946138,0,0
Dallas,2020-05-24 18:35:42.946138,2,0
Washington,2020-05-24 18:35:42.946138,10,1
Pike,2020-05-24 18:35:42.946138,14,1
Caldwell,2020-05-24 18:35:42.946138,5,0
Adair,2020-05-24 18:35:42.946138,41,0
Platte,2020-05-24 18:35:42.946138,65,1
Butler,2020-05-24 18:35:42.946138,28,0
Cape Girardeau,2020-05-24 18:35:42.946138,59,2
Ozark,2020-05-24 18:35:42.946138,0,0
Bates,2020-05-24 18:35:42.946138,7,1
Putnam,2020-05-24 18:35:42.946138,0,0
Osage,2020-05-24 18:35:42.946138,5,0
Jackson,2020-05-24 18:35:42.946138,517,15
Stoddard,2020-05-24 18:35:42.946138,70,3
Johnson,2020-05-24 18:35:42.946138,72,0
McDonald,2020-05-24 18:35:42.946138,17,0
Crawford,2020-05-24 18:35:42.946138,8,0
Clinton,2020-05-24 18:35:42.946138,18,0
Linn,2020-05-24 18:35:42.946138,6,1
Barry,2020-05-24 18:35:42.946138,9,0
Cole,2020-05-24 18:35:42.946138,59,1
Dent,2020-05-24 18:35:42.946138,1,0
Miller,2020-05-24 18:35:42.946138,4,0
Reynolds,2020-05-24 18:35:42.946138,2,0
Saline,2020-05-24 18:35:42.946138,265,0
Christian,2020-05-24 18:35:42.946138,20,0
Montgomery,2020-05-24 18:35:42.946138,8,0
Worth,2020-05-24 18:35:42.946138,4,0
Pettis,2020-05-24 18:35:42.946138,69,1
Clark,2020-05-24 18:35:42.946138,1,0
Marion,2020-05-24 18:35:42.946138,5,0
Cooper,2020-05-24 18:35:42.946138,9,0
Phelps,2020-05-24 18:35:42.946138,4,0
Greene,2020-05-24 18:35:42.946138,116,8
Monroe,2020-05-24 18:35:42.946138,0,0
Daviess,2020-05-24 18:35:42.946138,4,0
Barton,2020-05-24 18:35:42.946138,0,0
Ripley,2020-05-24 18:35:42.946138,7,0
Gentry,2020-05-24 18:35:42.946138,17,0
Benton,2020-05-24 18:35:42.946138,10,0
Wright,2020-05-24 18:35:42.946138,11,0
Lincoln,2020-05-24 18:35:42.946138,79,1
Howell,2020-05-24 18:35:42.946138,5,0
Schuyler,2020-05-24 18:35:42.946138,2,0
Maries,2020-05-24 18:35:42.946138,2,0
Laclede,2020-05-24 18:35:42.946138,3,0
DeKalb,2020-05-24 18:35:42.946138,5,0
Vernon,2020-05-24 18:35:42.946138,7,0
Buchanan,2020-05-24 18:35:42.946138,617,2
Clay,2020-05-24 18:35:42.946138,149,2
Stone,2020-05-24 18:35:42.946138,4,0
Bollinger,2020-05-24 18:35:42.946138,6,0
Jefferson,2020-05-24 18:35:42.946138,320,16
Knox,2020-05-24 18:35:42.946138,0,0
Lafayette,2020-05-24 18:35:42.946138,69,1
Nodaway,2020-05-24 18:35:42.946138,12,0
Gasconade,2020-05-24 18:35:42.946138,2,0
Kansas City,2020-05-24 18:35:42.946138,1024,24
Livingston,2020-05-24 18:35:42.946138,3,0
Perry,2020-05-24 18:35:42.946138,49,0
