County,stateAbbrev,Total_Deaths,Total,Positive_by_State_Public_Health_Laboratory,Positive_by_Commercial_or_Other_Laboratory,pullTime
Boone,MO,1.0,49,1,48,2020-03-29 12:33:48.028923
Camden,MO,1.0,4,2,2,2020-03-29 12:33:48.028923
Greene,MO,3.0,41,18,23,2020-03-29 12:33:48.028923
Jackson,MO,1.0,43,5,38,2020-03-29 12:33:48.028923
St. Charles,MO,1.0,37,6,31,2020-03-29 12:33:48.028923
St. Louis City,MO,1.0,93,10,83,2020-03-29 12:33:48.028923
St. Louis County,MO,2.0,313,26,287,2020-03-29 12:33:48.028923
Adair,MO,,1,0,1,2020-03-29 12:33:48.028923
Andrew,MO,,0,0,0,2020-03-29 12:33:48.028923
Atchison,MO,,1,1,0,2020-03-29 12:33:48.028923
Audrain,MO,,0,0,0,2020-03-29 12:33:48.028923
Barry,MO,,1,0,1,2020-03-29 12:33:48.028923
Barton,MO,,0,0,0,2020-03-29 12:33:48.028923
Bates,MO,,1,0,1,2020-03-29 12:33:48.028923
Benton,MO,,1,0,1,2020-03-29 12:33:48.028923
Bollinger,MO,,1,0,1,2020-03-29 12:33:48.028923
Buchanan,MO,,3,0,3,2020-03-29 12:33:48.028923
Butler,MO,,0,0,0,2020-03-29 12:33:48.028923
Caldwell,MO,,0,0,0,2020-03-29 12:33:48.028923
Callaway,MO,,6,0,6,2020-03-29 12:33:48.028923
Cape Girardeau,MO,,5,0,5,2020-03-29 12:33:48.028923
Carroll,MO,,0,0,0,2020-03-29 12:33:48.028923
Carter,MO,,2,1,1,2020-03-29 12:33:48.028923
Cass,MO,,8,2,6,2020-03-29 12:33:48.028923
Cedar,MO,,0,0,0,2020-03-29 12:33:48.028923
Chariton,MO,,1,0,1,2020-03-29 12:33:48.028923
Christian,MO,,6,3,3,2020-03-29 12:33:48.028923
Clark,MO,,0,0,0,2020-03-29 12:33:48.028923
Clay,MO,,10,0,10,2020-03-29 12:33:48.028923
Clinton,MO,,1,0,1,2020-03-29 12:33:48.028923
Cole,MO,,17,3,14,2020-03-29 12:33:48.028923
Cooper,MO,,1,0,1,2020-03-29 12:33:48.028923
Crawford,MO,,0,0,0,2020-03-29 12:33:48.028923
Dade,MO,,0,0,0,2020-03-29 12:33:48.028923
Dallas,MO,,0,0,0,2020-03-29 12:33:48.028923
Daviess,MO,,0,0,0,2020-03-29 12:33:48.028923
DeKalb,MO,,0,0,0,2020-03-29 12:33:48.028923
Dent,MO,,0,0,0,2020-03-29 12:33:48.028923
Douglas,MO,,0,0,0,2020-03-29 12:33:48.028923
Dunklin,MO,,3,0,3,2020-03-29 12:33:48.028923
Franklin,MO,,6,0,6,2020-03-29 12:33:48.028923
Gasconade,MO,,0,0,0,2020-03-29 12:33:48.028923
Gentry,MO,,0,0,0,2020-03-29 12:33:48.028923
Grundy,MO,,0,0,0,2020-03-29 12:33:48.028923
Harrison,MO,,0,0,0,2020-03-29 12:33:48.028923
Henry,MO,,1,1,0,2020-03-29 12:33:48.028923
Hickory,MO,,0,0,0,2020-03-29 12:33:48.028923
Holt,MO,,0,0,0,2020-03-29 12:33:48.028923
Howard,MO,,0,0,0,2020-03-29 12:33:48.028923
Howell,MO,,0,0,0,2020-03-29 12:33:48.028923
Iron,MO,,0,0,0,2020-03-29 12:33:48.028923
Jasper,MO,,1,1,0,2020-03-29 12:33:48.028923
Jefferson,MO,,17,3,14,2020-03-29 12:33:48.028923
Johnson,MO,,9,1,8,2020-03-29 12:33:48.028923
Joplin,MO,,1,0,1,2020-03-29 12:33:48.028923
Kansas City,MO,,94,1,93,2020-03-29 12:33:48.028923
Knox,MO,,0,0,0,2020-03-29 12:33:48.028923
Laclede,MO,,0,0,0,2020-03-29 12:33:48.028923
Lafayette,MO,,4,0,4,2020-03-29 12:33:48.028923
Lawrence,MO,,0,0,0,2020-03-29 12:33:48.028923
Lewis,MO,,0,0,0,2020-03-29 12:33:48.028923
Lincoln,MO,,2,1,1,2020-03-29 12:33:48.028923
Linn,MO,,0,0,0,2020-03-29 12:33:48.028923
Livingston,MO,,0,0,0,2020-03-29 12:33:48.028923
Macon,MO,,0,0,0,2020-03-29 12:33:48.028923
Madison,MO,,0,0,0,2020-03-29 12:33:48.028923
Maries,MO,,0,0,0,2020-03-29 12:33:48.028923
Marion,MO,,0,0,0,2020-03-29 12:33:48.028923
McDonald,MO,,1,0,1,2020-03-29 12:33:48.028923
Mercer,MO,,0,0,0,2020-03-29 12:33:48.028923
Miller,MO,,0,0,0,2020-03-29 12:33:48.028923
Mississippi,MO,,0,0,0,2020-03-29 12:33:48.028923
Moniteau,MO,,3,0,3,2020-03-29 12:33:48.028923
Monroe,MO,,0,0,0,2020-03-29 12:33:48.028923
Montgomery,MO,,3,0,3,2020-03-29 12:33:48.028923
