County,stateAbbrev,Total_Deaths,Total,Positive_by_State_Public_Health_Laboratory,Positive_by_Commercial_or_Other_Laboratory,pullTime
Boone,MO,1,49,1,48,33:48.0
Camden,MO,1,4,2,2,33:48.0
Greene,MO,3,41,18,23,33:48.0
Jackson,MO,1,43,5,38,33:48.0
St. Charles,MO,1,37,6,31,33:48.0
St. Louis City,MO,1,93,10,83,33:48.0
St. Louis County,MO,2,313,26,287,33:48.0
Adair,MO,,1,0,1,33:48.0
Andrew,MO,,0,0,0,33:48.0
Atchison,MO,,1,1,0,33:48.0
Audrain,MO,,0,0,0,33:48.0
Barry,MO,,1,0,1,33:48.0
Barton,MO,,0,0,0,33:48.0
Bates,MO,,1,0,1,33:48.0
Benton,MO,,1,0,1,33:48.0
Bollinger,MO,,1,0,1,33:48.0
Buchanan,MO,,3,0,3,33:48.0
Butler,MO,,0,0,0,33:48.0
Caldwell,MO,,0,0,0,33:48.0
Callaway,MO,,6,0,6,33:48.0
Cape Girardeau,MO,,5,0,5,33:48.0
Carroll,MO,,0,0,0,33:48.0
Carter,MO,,2,1,1,33:48.0
Cass,MO,,8,2,6,33:48.0
Cedar,MO,,0,0,0,33:48.0
Chariton,MO,,1,0,1,33:48.0
Christian,MO,,6,3,3,33:48.0
Clark,MO,,0,0,0,33:48.0
Clay,MO,,10,0,10,33:48.0
Clinton,MO,,1,0,1,33:48.0
Cole,MO,,17,3,14,33:48.0
Cooper,MO,,1,0,1,33:48.0
Crawford,MO,,0,0,0,33:48.0
Dade,MO,,0,0,0,33:48.0
Dallas,MO,,0,0,0,33:48.0
Daviess,MO,,0,0,0,33:48.0
DeKalb,MO,,0,0,0,33:48.0
Dent,MO,,0,0,0,33:48.0
Douglas,MO,,0,0,0,33:48.0
Dunklin,MO,,3,0,3,33:48.0
Franklin,MO,,6,0,6,33:48.0
Gasconade,MO,,0,0,0,33:48.0
Gentry,MO,,0,0,0,33:48.0
Grundy,MO,,0,0,0,33:48.0
Harrison,MO,,0,0,0,33:48.0
Henry,MO,,1,1,0,33:48.0
Hickory,MO,,0,0,0,33:48.0
Holt,MO,,0,0,0,33:48.0
Howard,MO,,0,0,0,33:48.0
Howell,MO,,0,0,0,33:48.0
Iron,MO,,0,0,0,33:48.0
Jasper,MO,,1,1,0,33:48.0
Jefferson,MO,,17,3,14,33:48.0
Johnson,MO,,9,1,8,33:48.0
Joplin,MO,,1,0,1,33:48.0
Kansas City,MO,,94,1,93,33:48.0
Knox,MO,,0,0,0,33:48.0
Laclede,MO,,0,0,0,33:48.0
Lafayette,MO,,4,0,4,33:48.0
Lawrence,MO,,0,0,0,33:48.0
Lewis,MO,,0,0,0,33:48.0
Lincoln,MO,,2,1,1,33:48.0
Linn,MO,,0,0,0,33:48.0
Livingston,MO,,0,0,0,33:48.0
Macon,MO,,0,0,0,33:48.0
Madison,MO,,0,0,0,33:48.0
Maries,MO,,0,0,0,33:48.0
Marion,MO,,0,0,0,33:48.0
McDonald,MO,,1,0,1,33:48.0
Mercer,MO,,0,0,0,33:48.0
Miller,MO,,0,0,0,33:48.0
Mississippi,MO,,0,0,0,33:48.0
Moniteau,MO,,3,0,3,33:48.0
Monroe,MO,,0,0,0,33:48.0
Montgomery,MO,,3,0,3,33:48.0
Morgan,MO,,0,0,0,33:48.0
New Madrid,MO,,0,0,0,33:48.0
Newton,MO,,4,3,1,33:48.0
Nodaway,MO,,0,0,0,33:48.0
Oregon,MO,,0,0,0,33:48.0
Osage,MO,,0,0,0,33:48.0
Ozark,MO,,0,0,0,33:48.0
Pemiscot,MO,,1,0,1,33:48.0
Perry,MO,,7,4,3,33:48.0
Pettis,MO,,1,0,1,33:48.0
Phelps,MO,,0,0,0,33:48.0
Pike,MO,,0,0,0,33:48.0
Platte,MO,,6,0,6,33:48.0
Polk,MO,,0,0,0,33:48.0
Pulaski,MO,,5,1,4,33:48.0
Putnam,MO,,0,0,0,33:48.0
Ralls,MO,,1,1,0,33:48.0
Randolph,MO,,1,0,1,33:48.0
Ray,MO,,1,0,1,33:48.0
Reynolds,MO,,0,0,0,33:48.0
Ripley,MO,,1,0,1,33:48.0
Saline,MO,,0,0,0,33:48.0
Schuyler,MO,,0,0,0,33:48.0
